date,5. volume,4. close,2. high,1. open,3. low
2005-10-12,8198667.0,10.02,10.8,10.7,10.0
2005-10-13,1114745.0,9.97,10.05,10.05,9.89
2005-10-14,2009608.0,10.06,10.08,10.0,9.95
2005-10-17,1071294.0,10.05,10.25,10.08,10.0
2005-10-18,1011922.0,10.07,10.09,10.04,10.0175
2005-10-19,578275.0,10.1,10.12,10.08,10.04
2005-10-20,667137.0,10.11,10.11,10.06,10.06
2005-10-21,445412.0,10.11,10.12,10.12,10.06
2005-10-24,584863.0,10.33,10.34,10.11,10.1
2005-10-25,968118.0,10.52,10.55,10.3,10.3
2005-10-26,574588.0,10.62,10.65,10.53,10.53
2005-10-27,515490.0,10.55,10.65,10.64,10.46
2005-10-28,622275.0,10.6,10.64,10.5,10.49
2005-10-31,261412.0,10.6,10.65,10.6,10.6
2005-11-01,395451.0,10.6,10.63,10.61,10.57
2005-11-02,233098.0,10.62,10.64,10.6,10.58
2005-11-03,329373.0,10.53,10.63,10.6,10.36
2005-11-04,211529.0,10.53,10.59,10.35,10.35
2005-11-07,333176.0,10.53,10.59,10.59,10.45
2005-11-08,399647.0,10.55,10.59,10.59,10.48
2005-11-09,254118.0,10.52,10.6,10.52,10.5
2005-11-10,209020.0,10.5,10.58,10.53,10.47
2005-11-11,84863.0,10.52,10.55,10.52,10.5
2005-11-14,168627.0,10.45,10.54,10.48,10.43
2005-11-15,217922.0,10.4,10.48,10.48,10.37
2005-11-16,289686.0,10.31,10.41,10.4,10.3
2005-11-17,441137.0,10.3,10.3,10.26,10.25
2005-11-18,384039.0,10.26,10.27,10.25,10.25
2005-11-21,476902.0,10.44,10.5,10.25,10.25
2005-11-22,504784.0,10.5,10.55,10.3,10.3
2005-11-23,428627.0,10.65,10.65,10.42,10.42
2005-11-25,112157.0,10.6,10.65,10.618,10.55
2005-11-28,478118.0,10.69,10.69,10.5,10.5
2005-11-29,207333.0,10.7115,10.72,10.69,10.64
2005-11-30,327882.0,10.78,10.78,10.7,10.66
2005-12-01,325176.0,10.75,10.82,10.75,10.73
2005-12-02,345961.0,10.9,10.94,10.73,10.7
2005-12-05,118549.0,10.8,10.949,10.9,10.79
2005-12-06,70784.0,10.76,10.89,10.8765,10.75
2005-12-07,149961.0,10.77,10.85,10.85,10.75
2005-12-08,160235.0,10.78,10.8,10.77,10.74
2005-12-09,156549.0,10.87,10.89,10.76,10.75
2005-12-12,468824.0,10.98,11.0,10.82,10.7
2005-12-13,197020.0,10.98,10.99,10.83,10.7
2005-12-14,476510.0,10.96,10.99,10.99,10.9
2005-12-15,140627.0,10.92,10.97,10.97,10.75
2005-12-16,2783490.0,10.99,10.99,10.92,10.75
2005-12-19,606353.0,10.84,10.97,10.89,10.8
2005-12-20,400353.0,10.89,10.94,10.89,10.82
2005-12-21,397333.0,10.92,10.98,10.94,10.89
2005-12-22,399451.0,11.02,11.05,10.88,10.88
2005-12-23,146157.0,11.0,11.05,11.02,10.96
2005-12-27,118667.0,11.01,11.05,10.94,10.94
2005-12-28,305490.0,11.0,11.02,11.02,10.95
2005-12-29,381647.0,11.0,11.03,10.989,10.97
2005-12-30,341255.0,11.03,11.07,11.0,11.0
2006-01-03,876471.0,11.06,11.08,11.05,10.99
2006-01-04,309176.0,11.09,11.1,11.06,11.0
2006-01-05,270902.0,11.1,11.13,11.1,11.05
