date,5. volume,4. close,2. high,1. open,3. low
2000-06-16,115800.0,9.12,9.25,9.06,9.0
2000-06-19,302800.0,9.0,9.25,9.12,9.0
2000-06-20,261600.0,9.38,9.81,9.03,7.88
2000-06-21,520400.0,11.0,11.12,10.0,9.62
2000-06-22,190600.0,9.88,11.12,11.06,9.53
2000-06-23,136600.0,10.38,10.62,10.19,10.0
2000-06-26,101800.0,10.0,10.62,10.5,9.75
2000-06-27,136800.0,9.5,10.44,10.0,9.0
2000-06-28,184000.0,9.62,9.88,9.62,9.12
2000-06-29,185400.0,9.0,9.88,9.88,9.0
2000-06-30,191000.0,9.44,9.62,9.31,9.12
2000-07-03,32000.0,9.62,9.75,9.75,9.5
2000-07-05,138200.0,10.0,10.0,9.75,9.5
2000-07-06,129800.0,9.75,10.06,10.0,9.44
2000-07-07,793600.0,10.25,11.62,10.03,9.56
2000-07-10,629000.0,12.56,13.25,11.06,10.44
2000-07-11,1337000.0,12.75,14.25,13.56,11.88
2000-07-12,1094600.0,15.0,15.44,13.97,12.69
2000-07-13,1220200.0,16.75,18.12,18.0,16.12
2000-07-14,563800.0,15.5,17.75,17.62,14.88
2000-07-17,184400.0,15.62,16.12,16.0,15.25
2000-07-18,134200.0,14.5,15.94,15.69,14.38
2000-07-19,176200.0,14.0,14.5,14.38,13.12
2000-07-20,263200.0,15.88,16.62,13.81,13.62
2000-07-21,190600.0,17.12,17.12,15.88,15.62
2000-07-24,186200.0,16.75,17.75,17.0,16.06
2000-07-25,96600.0,16.12,17.25,16.88,15.5
2000-07-26,196400.0,17.38,17.5,16.12,14.12
2000-07-27,223200.0,17.12,19.0,16.75,16.5
2000-07-28,151400.0,16.25,17.19,17.12,15.5
2000-07-31,319600.0,18.88,19.06,16.0,14.88
2000-08-01,99200.0,17.44,18.12,17.94,17.38
2000-08-02,66200.0,17.06,18.19,17.5,17.0
2000-08-03,49000.0,17.56,18.0,17.0,16.5
2000-08-04,81400.0,17.06,18.06,18.0,16.88
2000-08-07,116000.0,16.0,17.38,17.0,15.5
2000-08-08,33000.0,15.75,16.75,16.75,15.5
2000-08-09,78800.0,14.69,15.94,15.72,14.5
2000-08-10,50200.0,14.75,15.62,14.75,14.62
2000-08-11,86200.0,14.0,14.75,14.31,13.19
2000-08-14,37200.0,14.0,14.66,14.66,14.0
2000-08-15,137000.0,12.62,14.0,13.94,12.62
2000-08-16,54000.0,13.69,14.19,12.75,12.75
2000-08-17,119400.0,14.5,14.5,14.0,13.62
2000-08-18,25800.0,14.0,14.62,14.53,14.0
2000-08-21,16400.0,13.56,13.94,13.91,13.25
2000-08-22,17800.0,13.25,13.56,13.25,13.12
2000-08-23,42400.0,13.06,13.12,13.0,12.5
2000-08-24,49200.0,12.88,13.0,12.88,12.5
2000-08-25,144200.0,15.12,15.12,12.78,12.5
2000-08-28,41000.0,14.38,15.12,15.09,14.12
2000-08-29,26800.0,14.38,15.38,15.31,14.12
2000-08-30,17400.0,15.0,15.12,14.53,14.53
2000-08-31,42600.0,14.5,15.25,15.25,14.0
2000-09-01,86200.0,13.88,14.88,14.53,13.88
2000-09-05,77400.0,13.94,14.28,14.0,13.5
2000-09-06,71000.0,13.75,14.0,13.88,13.5
2000-09-07,48200.0,13.88,14.0,13.75,13.5
2000-09-08,62400.0,14.0,14.44,13.94,13.75
2000-09-11,33400.0,14.19,14.19,14.06,13.81
2000-09-12,77800.0,14.94,14.94,14.31,14.25
2000-09-13,36800.0,14.06,14.88,14.88,14.0
2000-09-14,46000.0,14.56,14.75,14.5,14.0
2000-09-15,59400.0,13.5,14.56,14.22,13.25
2000-09-18,47400.0,13.0,14.0,13.75,12.5
2000-09-19,79600.0,12.75,13.0,12.75,12.75
2000-09-20,86200.0,11.62,13.0,12.88,11.62
2000-09-21,83200.0,11.0,12.25,11.62,10.5
2000-09-22,28200.0,11.94,12.0,10.78,10.62
2000-09-25,60800.0,11.88,13.38,12.0,11.75
2000-09-26,18400.0,11.88,12.0,11.94,11.75
