date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,178800.0,33.31,34.0,33.19,33.0
2000-01-04,241900.0,32.62,33.38,33.06,31.94
2000-01-05,233400.0,32.56,32.88,32.5,32.38
2000-01-06,164400.0,32.56,32.75,32.62,32.25
2000-01-07,277900.0,34.19,34.25,32.81,32.75
2000-01-10,651300.0,34.75,34.94,34.19,33.12
2000-01-11,466800.0,33.56,34.69,34.62,33.0
2000-01-12,163000.0,33.81,33.94,33.81,33.38
2000-01-13,209000.0,34.19,34.44,34.06,33.38
2000-01-14,201900.0,34.06,34.38,34.0,33.75
2000-01-18,250200.0,34.75,34.88,33.62,33.62
2000-01-19,494700.0,33.81,34.75,34.25,33.0
2000-01-20,179900.0,33.5,34.0,33.75,33.12
2000-01-21,213100.0,32.75,33.5,33.5,32.5
2000-01-24,651500.0,30.62,32.94,32.62,30.38
2000-01-25,462000.0,32.06,32.56,30.75,30.75
2000-01-26,416800.0,31.0,31.81,31.81,30.5
2000-01-27,229900.0,31.75,32.0,30.88,30.88
2000-01-28,165000.0,31.38,31.69,31.38,31.25
2000-01-31,198700.0,31.62,31.94,31.12,31.0
2000-02-01,163800.0,31.5,31.81,31.62,31.0
2000-02-02,198800.0,31.44,31.56,31.5,31.25
2000-02-03,122200.0,31.38,31.62,31.38,30.88
2000-02-04,99600.0,31.12,31.44,31.12,31.0
2000-02-07,170700.0,30.75,31.12,31.0,30.44
2000-02-08,133900.0,30.88,31.44,31.0,30.75
2000-02-09,242300.0,30.25,31.0,31.0,30.19
2000-02-10,153000.0,30.5,30.88,30.19,30.19
2000-02-11,240500.0,30.44,30.62,30.38,30.25
2000-02-14,197800.0,29.88,30.38,30.38,29.38
2000-02-15,251400.0,30.12,30.19,29.75,29.12
2000-02-16,396100.0,28.75,29.88,29.88,28.5
2000-02-17,241000.0,28.5,29.31,28.88,28.31
2000-02-18,496400.0,27.38,28.0,28.0,27.12
2000-02-22,460600.0,26.75,27.38,27.38,25.69
2000-02-23,302700.0,25.25,26.38,26.31,24.88
2000-02-24,512000.0,25.44,26.5,25.56,24.5
2000-02-25,478400.0,23.25,25.44,25.38,22.38
2000-02-28,566300.0,24.38,24.56,23.12,23.12
2000-02-29,531800.0,24.25,24.25,24.12,23.19
2000-03-01,603000.0,24.19,24.56,24.56,24.0
2000-03-02,365000.0,23.94,24.56,24.44,23.94
2000-03-03,483400.0,24.75,25.19,23.94,23.56
2000-03-06,222400.0,24.94,25.5,24.75,24.12
2000-03-07,288300.0,24.19,25.38,24.81,24.0
2000-03-08,317800.0,24.75,25.12,24.0,23.75
2000-03-09,220900.0,24.81,25.0,24.75,24.12
2000-03-10,280600.0,24.31,24.62,24.56,23.38
2000-03-13,191600.0,24.5,24.75,24.31,23.94
2000-03-14,261100.0,24.69,25.12,24.62,24.25
2000-03-15,336300.0,25.81,25.88,24.69,24.69
2000-03-16,635600.0,27.5,27.62,25.81,25.81
