date,5. volume,4. close,2. high,1. open,3. low
2002-02-25,64992.0,42.2,42.2,40.62,40.6
2002-02-26,754549.0,43.55,43.7,41.95,41.65
2002-02-27,254810.0,43.5,43.7,43.61,42.86
2002-02-28,358359.0,42.95,43.1,43.1,42.92
2002-03-01,94630.0,42.0,42.85,42.85,41.45
2002-03-04,19089.0,42.3,42.3,42.2,41.75
2002-03-05,75540.0,40.1,42.29,42.19,40.0
2002-03-06,59360.0,39.7,39.85,39.5,39.0
2002-03-07,40992.0,40.3,40.5,40.5,39.85
2002-03-08,12267.0,40.25,40.4,40.4,40.05
2002-03-11,57905.0,39.99,40.4,40.4,39.75
2002-03-12,53902.0,40.84,40.84,40.05,39.95
2002-03-13,59817.0,40.6,41.4,40.75,40.5
2002-03-14,45542.0,40.9,40.9,40.61,40.55
2002-03-15,36730.0,41.12,41.17,40.15,40.0
2002-03-18,24000.0,41.6,41.67,41.6,41.02
2002-03-19,7639.0,41.4,41.7,41.38,41.38
2002-03-20,60087.0,41.42,41.55,41.55,41.2
2002-03-21,66548.0,39.9,40.75,40.75,39.75
2002-03-22,105821.0,39.67,39.67,39.4,39.29
2002-03-25,23904.0,39.4,39.61,39.42,39.4
2002-03-26,38996.0,39.81,40.0,39.6,39.6
2002-03-27,5458.0,40.5,40.5,39.8,39.8
2002-03-28,44177.0,40.1,40.75,40.75,39.8
2002-04-01,3540.0,41.2,41.2,40.0,40.0
2002-04-02,51721.0,40.7,41.55,40.76,40.63
2002-04-03,40727.0,39.2,40.95,40.95,39.2
2002-04-04,144541.0,40.4,40.4,39.1,39.1
2002-04-05,52730.0,40.8,40.95,40.3,40.3
2002-04-08,29999.0,40.85,40.85,40.25,40.25
2002-04-09,35540.0,42.15,42.4,41.0,41.0
2002-04-10,72811.0,43.75,43.77,42.16,42.16
2002-04-11,115360.0,43.2,43.97,43.82,43.2
2002-04-12,16992.0,42.8,43.21,43.21,42.6
2002-04-15,14449.0,41.22,42.1,42.1,41.19
2002-04-16,116268.0,40.5,41.55,41.55,39.9
2002-04-17,26813.0,40.5,41.1,40.55,40.5
2002-04-18,50548.0,40.5,40.7,40.5,39.9
2002-04-19,78185.0,40.6,40.6,40.5,40.3
2002-04-22,166083.0,40.25,40.4,40.3,39.89
2002-04-23,182359.0,40.1,40.35,40.15,40.1
2002-04-24,2633.0,40.05,40.2,40.2,39.9
2002-04-25,71357.0,39.25,39.3,39.2,39.1
2002-04-26,75636.0,39.15,39.75,39.75,39.05
