date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,246000.0,6.5,6.91,6.75,6.38
2000-01-04,169200.0,6.12,6.5,6.44,6.06
2000-01-05,259600.0,5.88,6.38,6.25,5.5
2000-01-06,129600.0,6.19,6.28,5.97,5.97
2000-01-07,114800.0,6.12,6.19,6.12,6.0
2000-01-10,189600.0,6.19,6.47,6.12,5.94
2000-01-11,179600.0,5.88,6.5,6.09,5.88
2000-01-12,208000.0,5.81,6.38,6.31,5.5
2000-01-13,144400.0,5.75,5.78,5.78,5.5
2000-01-14,73200.0,5.81,6.25,5.91,5.75
2000-01-18,127200.0,5.88,6.12,5.97,5.62
2000-01-19,179200.0,6.25,6.25,5.91,5.75
2000-01-20,544400.0,7.12,7.12,6.25,6.22
2000-01-21,230000.0,7.0,7.03,7.03,6.06
2000-01-24,126400.0,6.56,7.0,6.92,6.5
2000-01-25,178000.0,6.12,6.75,6.75,6.0
2000-01-26,193200.0,5.94,6.38,6.12,5.75
2000-01-27,236800.0,6.12,6.38,6.0,5.81
2000-01-28,69600.0,5.94,6.12,6.12,5.88
2000-01-31,189200.0,6.0,6.25,6.0,5.88
2000-02-01,162000.0,6.0,6.56,6.38,6.0
2000-02-02,309600.0,5.62,6.25,6.12,5.62
2000-02-03,284400.0,5.56,5.81,5.69,5.5
2000-02-04,335200.0,5.5,5.69,5.56,5.25
2000-02-07,198800.0,5.38,5.5,5.38,5.25
2000-02-08,305600.0,5.28,5.38,5.34,5.25
2000-02-09,403200.0,5.0,5.44,5.42,5.0
2000-02-10,299600.0,5.0,5.12,5.12,4.97
2000-02-11,243200.0,5.06,5.12,5.0,4.94
2000-02-14,112400.0,4.94,5.06,5.03,4.94
2000-02-15,1076400.0,5.06,5.31,5.25,5.0
2000-02-16,484400.0,5.0,5.12,5.12,5.0
2000-02-17,475600.0,5.0,5.16,5.12,4.88
2000-02-18,188000.0,5.03,5.06,5.03,4.88
2000-02-22,363600.0,5.06,5.12,5.05,4.94
2000-02-23,226000.0,5.44,5.44,5.19,5.0
2000-02-24,622000.0,5.5,5.62,5.56,5.38
2000-02-25,207200.0,5.44,5.56,5.5,5.38
2000-02-28,244800.0,5.06,5.56,5.53,5.06
2000-02-29,187600.0,5.31,5.44,5.31,5.06
2000-03-01,271200.0,5.31,5.62,5.38,5.25
2000-03-02,670800.0,6.0,6.06,5.78,5.56
2000-03-03,494800.0,6.44,6.62,6.19,5.88
2000-03-06,288800.0,6.38,6.75,6.5,6.19
2000-03-07,253200.0,6.12,6.56,6.16,6.0
2000-03-08,150000.0,5.88,6.44,6.06,5.62
