date,5. volume,4. close,2. high,1. open,3. low
2014-05-22,84449700.0,20.9,22.8,21.75,20.24
2014-05-23,20890300.0,20.1,21.25,21.25,19.94
2014-05-27,15338100.0,22.97,22.98,20.28,20.25
2014-05-28,16783000.0,24.78,25.3,22.98,22.8
2014-05-29,8525900.0,25.4,25.69,25.04,24.24
2014-05-30,6302800.0,25.0,25.56,25.27,23.79
2014-06-02,3808800.0,24.6,25.44,25.4,24.07
2014-06-03,3388500.0,25.1,25.25,24.17,24.03
2014-06-04,2990800.0,24.54,25.28,24.99,24.44
2014-06-05,7933500.0,25.78,26.75,24.8,24.6
2014-06-06,4317500.0,26.58,27.04,26.5,26.31
2014-06-09,10638600.0,28.43,29.09,27.0,26.58
2014-06-10,5617200.0,28.35,28.86,28.82,27.7
2014-06-11,6555600.0,29.0,29.49,28.1,28.1
2014-06-12,9159600.0,27.17,29.6,29.59,26.34
2014-06-13,5161800.0,27.79,28.2,27.68,27.13
2014-06-16,6160000.0,26.89,27.44,27.22,26.38
2014-06-17,3652000.0,27.019,27.45,27.22,26.63
2014-06-18,5278300.0,26.52,27.89,27.44,26.03
2014-06-19,3716900.0,25.83,27.0,27.0,25.8
2014-06-20,7613400.0,25.45,25.97,25.75,24.92
2014-06-23,5590900.0,26.37,26.46,25.11,25.1
2014-06-24,5737700.0,27.04,27.34,26.51,26.51
2014-06-25,1923600.0,27.07,27.35,27.25,26.45
2014-06-26,3622300.0,28.3,28.35,27.14,26.81
2014-06-27,3066300.0,28.01,28.5,28.36,27.71
2014-06-30,3986200.0,28.51,28.53,28.17,27.68
2014-07-01,12595400.0,29.69,31.22,29.0,28.8601
2014-07-02,6108200.0,28.96,30.41,30.4,28.5
2014-07-03,4398200.0,27.79,29.35,29.28,27.53
2014-07-07,3826200.0,27.63,28.73,28.01,27.45
2014-07-08,6439100.0,26.47,28.08,28.08,25.81
2014-07-09,4549900.0,26.36,27.15,27.09,26.05
2014-07-10,4717600.0,27.7,27.7956,25.83,25.28
2014-07-11,3298100.0,27.04,27.9,27.51,26.85
2014-07-14,2850400.0,28.04,28.23,27.63,27.5
2014-07-15,3427000.0,28.21,28.4,28.2,27.7501
2014-07-16,3785400.0,29.11,29.3,28.5,28.3
2014-07-17,3733900.0,27.5599,29.39,28.82,27.5
2014-07-18,1993900.0,27.82,28.33,27.74,27.5
2014-07-21,2086000.0,28.54,28.66,27.67,27.67
2014-07-22,2304200.0,28.73,29.3799,28.84,28.5
2014-07-23,2476900.0,27.88,29.06,28.89,27.81
2014-07-24,2733300.0,29.05,29.23,28.0,27.9
2014-07-25,3872000.0,29.03,29.48,29.1,28.5
2014-07-28,5040700.0,29.49,30.35,29.26,29.07
2014-07-29,3316500.0,29.62,30.22,29.83,29.5
2014-07-30,3085100.0,29.07,30.1,30.06,29.02
2014-07-31,2979500.0,28.58,28.9,28.5,28.1
