date,5. volume,4. close,2. high,1. open,3. low
2009-01-05,3100.0,8.18,8.33,7.68,7.68
2009-01-06,11700.0,8.24,8.24,8.18,8.13
2009-01-07,5900.0,7.76,7.79,7.79,7.76
2009-01-08,2100.0,7.64,7.65,7.62,7.62
2009-01-09,1600.0,7.7,7.81,7.57,7.57
2009-01-12,8200.0,7.3,7.74,7.73,7.3
2009-01-13,10600.0,6.92,7.36,7.36,6.92
2009-01-14,600.0,6.68,6.84,6.84,6.68
2009-01-15,500.0,6.44,6.44,6.44,6.44
2009-01-16,12300.0,6.54,6.55,6.52,6.46
2009-01-20,15100.0,6.55,6.67,6.55,6.55
2009-01-21,6900.0,6.82,6.82,6.76,6.66
2009-01-22,700.0,7.25,7.25,7.0,6.85
2009-01-23,2200.0,7.29,7.29,7.11,7.11
2009-01-26,1300.0,7.47,7.53,7.39,7.39
2009-01-27,6800.0,7.55,7.61,7.61,7.55
2009-01-28,400.0,7.88,7.88,7.83,7.79
2009-01-29,200.0,8.08,8.08,7.77,7.77
2009-01-30,7700.0,8.11,8.11,7.8,7.77
2009-02-02,5600.0,7.88,8.0,8.0,7.85
2009-02-03,1100.0,7.95,8.08,7.87,7.87
2009-02-04,3700.0,7.94,8.0,7.96,7.92
2009-02-05,3600.0,8.03,8.05,8.0,8.0
2009-02-06,1200.0,8.38,8.38,8.06,8.06
2009-02-09,1600.0,8.57,8.68,8.68,8.57
2009-02-10,500.0,8.51,8.66,8.66,8.51
2009-02-11,0.0,8.51,8.51,8.51,8.51
2009-02-12,700.0,8.54,8.54,8.4,8.4
2009-02-13,0.0,8.54,8.54,8.54,8.54
2009-02-17,1600.0,8.46,8.53,8.53,8.46
2009-02-18,1100.0,8.32,8.32,8.32,8.32
2009-02-19,500.0,8.34,8.34,8.25,8.25
2009-02-20,1000.0,7.87,7.88,7.81,7.81
2009-02-23,1500.0,7.98,7.98,7.92,7.91
2009-02-24,700.0,7.93,7.96,7.96,7.93
2009-02-25,6700.0,7.86,7.93,7.79,7.71
2009-02-26,500.0,8.53,8.56,8.56,8.53
2009-02-27,0.0,8.53,8.53,8.53,8.53
2009-03-02,3300.0,7.97,8.17,8.11,7.96
2009-03-03,3100.0,8.07,8.16,8.16,7.94
2009-03-04,0.0,8.07,8.07,8.07,8.07
2009-03-05,2200.0,8.07,8.17,8.17,8.07
2009-03-06,700.0,8.06,8.06,8.04,8.02
2009-03-09,3600.0,7.91,7.91,7.67,7.67
2009-03-10,3300.0,8.03,8.24,8.09,8.03
2009-03-11,0.0,8.03,8.03,8.03,8.03
2009-03-12,0.0,8.03,8.03,8.03,8.03
2009-03-13,0.0,8.03,8.03,8.03,8.03
2009-03-16,3300.0,8.31,8.44,8.39,8.31
2009-03-17,0.0,8.31,8.31,8.31,8.31
2009-03-18,1100.0,8.61,8.61,8.38,8.38
2009-03-19,1200.0,8.69,8.73,8.69,8.68
2009-03-20,100.0,8.63,8.63,8.63,8.63
2009-03-23,2700.0,8.58,8.64,8.63,8.58
2009-03-24,100.0,8.83,8.83,8.83,8.83
2009-03-25,12500.0,8.68,8.79,8.79,8.62
2009-03-26,0.0,8.68,8.68,8.68,8.68
2009-03-27,200.0,8.5,8.5,8.5,8.5
2009-03-30,0.0,8.5,8.5,8.5,8.5
2009-03-31,0.0,8.5,8.5,8.5,8.5
2009-04-01,200.0,8.34,8.34,8.34,8.34
2009-04-02,4400.0,8.82,9.0,8.99,8.82
2009-04-03,500.0,9.04,9.07,9.07,9.04
2009-04-06,1500.0,9.03,9.03,8.99,8.99
2009-04-07,3900.0,9.38,9.4,9.38,9.22
2009-04-08,14000.0,9.68,9.71,9.6,9.55
2009-04-09,5400.0,9.87,10.11,10.01,9.83
2009-04-13,2500.0,9.99,9.99,9.77,9.75
2009-04-14,500.0,10.15,10.15,10.15,10.15
2009-04-15,1000.0,10.14,10.14,10.14,10.14
2009-04-16,1000.0,10.24,10.24,10.16,10.16
2009-04-17,700.0,10.29,10.44,10.44,10.28
