date,5. volume,4. close,2. high,1. open,3. low
2016-04-26,5000.0,9.75,9.75,9.75,9.75
2016-04-27,1500.0,9.8,9.82,9.82,9.8
2016-04-28,12109.0,9.85,9.9,9.9,9.85
2016-04-29,0.0,9.85,9.85,9.85,9.85
2016-05-02,0.0,9.85,9.85,9.85,9.85
2016-05-03,0.0,9.85,9.85,9.85,9.85
2016-05-04,100.0,10.0,10.0,10.0,10.0
2016-05-05,0.0,10.0,10.0,10.0,10.0
2016-05-06,0.0,10.0,10.0,10.0,10.0
2016-05-09,0.0,10.0,10.0,10.0,10.0
2016-05-10,1000.0,9.8,9.8,9.8,9.8
2016-05-11,0.0,9.8,9.8,9.8,9.8
2016-05-12,0.0,9.8,9.8,9.8,9.8
2016-05-13,0.0,9.8,9.8,9.8,9.8
2016-05-16,0.0,9.8,9.8,9.8,9.8
2016-05-17,0.0,9.8,9.8,9.8,9.8
2016-05-18,0.0,9.8,9.8,9.8,9.8
2016-05-19,3000.0,9.85,9.85,9.85,9.85
2016-05-20,0.0,9.85,9.85,9.85,9.85
2016-05-23,300.0,9.8,9.8,9.8,9.8
2016-05-24,0.0,9.8,9.8,9.8,9.8
2016-05-25,0.0,9.8,9.8,9.8,9.8
2016-05-26,198.0,9.88,9.88,9.88,9.88
2016-05-27,0.0,9.88,9.88,9.88,9.88
2016-05-31,400.0,9.9,9.9,9.9,9.9
2016-06-01,0.0,9.9,9.9,9.9,9.9
2016-06-02,3900.0,9.85,9.85,9.84,9.84
2016-06-03,0.0,9.85,9.85,9.85,9.85
2016-06-06,0.0,9.85,9.85,9.85,9.85
2016-06-07,300.0,9.94,9.94,9.94,9.94
2016-06-08,2800.0,9.87,9.88,9.88,9.86
2016-06-09,1000.0,9.86,9.86,9.86,9.86
2016-06-10,95.0,9.86,9.86,9.86,9.86
2016-06-13,0.0,9.86,9.86,9.86,9.86
2016-06-14,0.0,9.86,9.86,9.86,9.86
2016-06-15,11876.0,9.95,12.0,12.0,9.84
2016-06-16,9.0,9.95,9.95,9.95,9.95
2016-06-17,2306.0,9.84,9.84,9.84,9.84
2016-06-20,6504.0,9.83,9.86,9.8498,9.83
2016-06-21,0.0,9.83,9.83,9.83,9.83
2016-06-22,0.0,9.83,9.83,9.83,9.83
2016-06-23,0.0,9.83,9.83,9.83,9.83
2016-06-24,8600.0,9.85,9.85,9.85,9.85
2016-06-27,0.0,9.85,9.85,9.85,9.85
2016-06-28,4300.0,9.85,9.85,9.85,9.85
2016-06-29,3186.0,9.87,9.87,9.87,9.87
2016-06-30,0.0,9.87,9.87,9.87,9.87
2016-07-01,0.0,9.87,9.87,9.87,9.87
2016-07-05,0.0,9.87,9.87,9.87,9.87
2016-07-06,0.0,9.87,9.87,9.87,9.87
2016-07-07,600.0,9.87,9.87,9.87,9.87
2016-07-08,1000.0,9.88,9.88,9.88,9.88
2016-07-11,2500.0,9.89,9.9,9.88,9.88
2016-07-12,0.0,9.89,9.89,9.89,9.89
2016-07-13,2350.0,9.89,9.91,9.9099,9.89
2016-07-14,0.0,9.89,9.89,9.89,9.89
2016-07-15,950.0,9.9,9.92,9.92,9.9
2016-07-18,3300.0,9.88,9.9101,9.9101,9.88
2016-07-19,6617.0,9.92,9.9399,9.9399,9.8997
2016-07-20,350.0,9.9199,9.9199,9.9199,9.9199
2016-07-21,900.0,9.9,9.99,9.99,9.9
2016-07-22,900.0,9.97,9.97,9.96,9.94
2016-07-25,12625.0,9.96,9.9601,9.9199,9.9199
2016-07-26,0.0,9.96,9.96,9.96,9.96
2016-07-27,1200.0,9.97,9.97,9.97,9.97
2016-07-28,2900.0,9.98,10.04,10.0,9.97
2016-07-29,100.0,9.95,9.95,9.95,9.95
2016-08-01,18098.0,9.9912,9.9942,9.98,9.98
2016-08-02,23700.0,10.0015,10.0125,9.9899,9.98
2016-08-03,19425.0,10.02,10.02,10.0,9.99
2016-08-04,5850.0,10.0,10.0,10.0,9.9999
2016-08-05,2400.0,10.0,10.0,10.0,10.0
2016-08-08,0.0,10.0,10.0,10.0,10.0
2016-08-09,3100.0,10.01,10.02,9.99,9.99
2016-08-10,27171.0,10.0,10.0,9.9999,9.98
2016-08-11,454571.0,10.01,10.02,10.0,9.9999
2016-08-12,0.0,10.01,10.01,10.01,10.01
2016-08-15,9000.0,10.01,10.01,10.01,10.0097
2016-08-16,10198.0,10.015,10.02,10.01,10.01
2016-08-17,0.0,10.015,10.015,10.015,10.015
2016-08-18,1800.0,10.04,10.04,10.02,10.02
2016-08-19,6000.0,10.04,10.04,10.0,10.0
2016-08-22,1400.0,10.05,10.05,10.01,10.01
2016-08-23,2400.0,10.03,10.04,10.01,10.01
2016-08-24,4500.0,10.04,10.04,10.02,10.02
2016-08-25,0.0,10.04,10.04,10.04,10.04
2016-08-26,0.0,10.04,10.04,10.04,10.04
2016-08-29,1600.0,10.04,10.04,10.03,10.01
2016-08-30,2100.0,10.02,10.0299,10.01,10.01
2016-08-31,0.0,10.02,10.02,10.02,10.02
2016-09-01,12300.0,10.06,10.06,10.0,10.0
2016-09-02,0.0,10.06,10.06,10.06,10.06
2016-09-06,800.0,10.0,10.0042,10.0001,10.0
2016-09-07,0.0,10.0,10.0,10.0,10.0
2016-09-08,1800.0,10.01,10.01,10.0,10.0
2016-09-09,0.0,10.01,10.01,10.01,10.01
2016-09-12,100.0,10.02,10.02,10.02,10.02
2016-09-13,0.0,10.02,10.02,10.02,10.02
2016-09-14,250.0,10.0199,10.0199,10.0199,10.0199
2016-09-15,11300.0,10.01,10.0599,10.0599,9.9874
2016-09-16,3200.0,9.9,10.05,10.03,9.9
2016-09-19,3921.0,9.99,10.0,10.0,9.99
2016-09-20,4758.0,10.0408,10.0599,10.02,10.02
2016-09-21,500.0,10.01,10.01,10.01,10.01
2016-09-22,6500.0,10.01,10.04,10.02,10.01
2016-09-23,1100.0,10.03,10.03,10.03,10.03
2016-09-26,100.0,10.02,10.02,10.02,10.02
2016-09-27,0.0,10.02,10.02,10.02,10.02
2016-09-28,1200.0,10.03,10.04,10.03,10.03
2016-09-29,2500.0,10.03,10.0399,10.0399,10.03
2016-09-30,3000.0,10.03,10.03,10.03,10.03
2016-10-03,39906.0,10.0472,10.06,10.06,10.03
2016-10-04,17800.0,10.07,10.07,10.0601,10.05
2016-10-05,3200.0,10.07,10.08,10.05,10.05
2016-10-06,900.0,10.07,10.08,10.08,10.07
2016-10-07,5700.0,10.05,10.07,10.0501,10.05
2016-10-10,1100.0,10.14,10.14,10.0701,10.0701
2016-10-11,200.0,10.06,10.06,10.05,10.05
