date,5. volume,4. close,2. high,1. open,3. low
2014-11-11,623899.0,6.58,7.2,6.62,6.5
2014-11-12,99347.0,6.5,6.85,6.56,6.5
2014-11-13,45123.0,6.62,6.651,6.51,6.51
2014-11-14,40735.0,6.75,7.0723,6.6,6.5001
2014-11-17,30963.0,6.76,7.0,6.65,6.61
2014-11-18,33837.0,6.84,7.0,6.8,6.78
2014-11-19,66197.0,6.5,6.9,6.9,6.5
2014-11-20,74320.0,6.61,6.83,6.54,6.5005
2014-11-21,66705.0,6.5,6.682,6.682,6.5
2014-11-24,83936.0,6.17,6.57,6.51,6.0
2014-11-25,63799.0,6.32,6.4,6.2,6.15
2014-11-26,10914.0,6.32,6.48,6.251,6.25
2014-11-28,5989.0,6.18,6.4,6.4,6.18
2014-12-01,5634.0,6.44,6.479,6.34,6.16
2014-12-02,1625.0,6.39,6.48,6.16,6.16
2014-12-03,801.0,6.39,6.39,6.28,6.28
2014-12-04,1495.0,6.39,6.39,6.33,6.33
2014-12-05,8347.0,6.45,6.45,6.3,6.29
2014-12-08,9494.0,6.37,6.48,6.48,6.2
2014-12-09,20645.0,6.34,6.48,6.3,6.2
2014-12-10,5461.0,6.4899,6.49,6.46,6.228
2014-12-11,14664.0,6.49,6.49,6.49,6.4
2014-12-12,15161.0,6.2,6.49,6.15,6.04
2014-12-15,6373.0,6.46,6.46,6.22,6.22
2014-12-16,18784.0,6.25,6.48,6.48,6.0
2014-12-17,11975.0,6.2,6.46,6.2,6.2
2014-12-18,6108.0,6.4,6.48,6.48,6.25
2014-12-19,57399.0,6.25,6.48,6.48,6.16
2014-12-22,29728.0,6.29,6.47,6.25,6.25
2014-12-23,32659.0,6.15,6.37,6.25,6.0
2014-12-24,32580.0,6.05,6.34,6.34,6.05
2014-12-26,4190.0,6.07,6.2,6.1232,6.05
2014-12-29,28309.0,6.05,6.19,6.05,6.05
2014-12-30,11156.0,6.07,6.07,6.05,6.0
2014-12-31,1200.0,6.38,6.43,6.43,6.38
2015-01-02,7558.0,6.31,6.5,6.5,6.295
2015-01-05,6406.0,6.31,6.33,6.21,6.2
2015-01-06,5763.0,6.39,6.39,6.26,6.26
2015-01-07,15105.0,6.5,6.5,6.17,6.16
2015-01-08,9359.0,6.58,6.83,6.4938,6.4938
2015-01-09,364.0,6.53,6.53,6.53,6.53
2015-01-12,991.0,6.68,6.8,6.78,6.44
2015-01-13,6560.0,6.75,6.75,6.5,6.4
2015-01-14,7401.0,6.46,6.63,6.32,6.3
2015-01-15,2250.0,6.48,6.48,6.3,6.3
2015-01-16,62391.0,6.5,6.8,6.35,6.25
2015-01-20,47332.0,6.412,6.869,6.64,6.39
2015-01-21,7691.0,6.695,6.748,6.45,6.45
2015-01-22,10399.0,6.57,6.75,6.56,6.52
2015-01-23,2856.0,6.57,6.58,6.57,6.49
2015-01-26,5578.0,6.67,6.73,6.35,6.33
2015-01-27,10389.0,6.54,6.76,6.31,6.31
2015-01-28,4162.0,6.43,6.54,6.54,6.35
2015-01-29,1803.0,6.44,6.51,6.35,6.3
2015-01-30,100337.0,6.44,7.5,6.49,6.25
2015-02-02,31184.0,6.82,7.68,7.5,6.584
2015-02-03,4631.0,6.51,6.989,6.989,6.51
2015-02-04,10020.0,6.75,6.849,6.7399,6.5
2015-02-05,24300.0,6.78,6.8,6.75,6.6
2015-02-06,40124.0,6.97,7.01,6.78,6.69
2015-02-09,12065.0,6.97,7.2,6.99,6.81
2015-02-10,16378.0,6.66,7.25,6.8301,6.55
2015-02-11,9517.0,6.9,7.19,6.74,6.71
2015-02-12,11085.0,6.99,7.39,6.75,6.75
2015-02-13,5392.0,7.03,7.03,6.96,6.65
2015-02-17,1815.0,6.95,7.0399,6.9,6.9
2015-02-18,9788.0,6.98,7.23,7.219,6.78
2015-02-19,15505.0,7.25,7.25,7.0,6.7001
2015-02-20,11463.0,7.19,7.19,6.99,6.949
2015-02-23,10081.0,7.27,8.8,8.8,7.15
2015-02-24,16802.0,7.74,7.79,7.25,7.25
2015-02-25,6059.0,7.95,8.31,7.81,7.605
2015-02-26,14901.0,7.88,8.1799,8.14,7.85
2015-02-27,7129.0,7.97,8.0899,7.75,7.75
2015-03-02,5014.0,8.16,9.0,9.0,8.0601
2015-03-03,30130.0,8.66,8.99,8.33,7.82
2015-03-04,19619.0,8.43,8.95,8.95,8.24
2015-03-05,7285.0,8.32,8.5,8.39,8.05
2015-03-06,19155.0,8.65,8.899,8.49,8.44
2015-03-09,22067.0,8.96,9.0,9.0,8.47
2015-03-10,11727.0,8.75,8.92,8.71,8.26
2015-03-11,9056.0,8.66,8.9,8.89,8.54
2015-03-12,24114.0,8.74,9.4,8.7,8.54
2015-03-13,20878.0,8.1,8.75,8.74,8.0
2015-03-16,9247.0,8.35,8.843,8.843,8.06
2015-03-17,3553.0,8.47,8.74,8.28,8.26
2015-03-18,18129.0,8.4,8.8535,8.5,8.4
2015-03-19,74368.0,8.55,10.5,8.59,8.41
2015-03-20,83398.0,7.32,9.7,9.7,7.32
2015-03-23,23053.0,7.2,7.9799,7.48,7.12
2015-03-24,11394.0,7.69,7.69,7.28,7.1
2015-03-25,12660.0,7.68,7.7,7.58,7.38
2015-03-26,3718.0,7.46,8.02,7.53,7.46
2015-03-27,5680.0,7.52,7.9162,7.5,7.5
2015-03-30,4317.0,7.61,7.65,7.65,7.23
2015-03-31,7588.0,7.87,8.62,7.44,7.25
2015-04-01,2907.0,7.81,7.85,7.85,7.29
2015-04-02,16117.0,7.88,7.93,7.57,7.57
2015-04-06,10747.0,8.35,8.599,7.87,7.823
2015-04-07,11815.0,8.53,8.555,8.25,8.01
2015-04-08,5710.0,8.89,8.89,8.77,8.2
2015-04-09,11194.0,7.96,8.926,8.89,7.59
2015-04-10,5843.0,8.24,8.75,8.1,7.63
2015-04-13,3088.0,8.47,8.5,8.5,8.01
2015-04-14,1332.0,8.4,8.45,8.13,8.13
2015-04-15,1862.0,8.5,8.6,8.3,8.3
