date,5. volume,4. close,2. high,1. open,3. low
2014-04-09,8710682.0,15.2,17.25,16.5,15.15
2014-04-10,1996999.0,15.11,15.48,15.2,14.75
2014-04-11,958707.0,14.05,15.2,15.11,14.0
2014-04-14,698102.0,13.84,14.45,14.15,13.63
2014-04-15,1022505.0,13.45,14.15,13.98,13.08
2014-04-16,133726.0,13.63,13.99,13.99,13.3
2014-04-17,220282.0,13.59,13.79,13.6,13.41
2014-04-21,162378.0,13.45,13.6,13.6,13.25
2014-04-22,727963.0,13.94,14.24,13.6,13.4
2014-04-23,214436.0,13.61,13.999,13.97,13.5
2014-04-24,195275.0,13.67,13.98,13.98,13.55
2014-04-25,203266.0,13.85,14.01,13.7,13.7
2014-04-28,378287.0,13.92,14.18,13.9,13.73
2014-04-29,432499.0,13.64,13.94,13.77,13.55
2014-04-30,215239.0,13.73,14.0,13.91,13.52
2014-05-01,141603.0,13.85,14.07,13.7,13.66
2014-05-02,289116.0,14.12,14.18,13.78,13.7
2014-05-05,190408.0,13.99,14.09,13.88,13.56
2014-05-06,70396.0,13.7,13.946,13.89,13.66
2014-05-07,161454.0,13.27,13.87,13.675,13.06
2014-05-08,111307.0,13.25,13.6,13.31,13.01
2014-05-09,140637.0,13.06,13.515,13.17,12.9
2014-05-12,56610.0,13.43,13.5,13.1,13.1
2014-05-13,33212.0,13.27,13.39,13.39,13.1
2014-05-14,115717.0,13.58,13.58,13.26,13.02
2014-05-15,118258.0,13.25,13.8,13.55,13.14
2014-05-16,63307.0,13.41,13.58,13.3,13.09
2014-05-19,75427.0,13.67,13.75,13.31,13.132
2014-05-20,63360.0,13.71,13.75,13.7,13.44
2014-05-21,123734.0,13.59,13.94,13.73,13.4
2014-05-22,204482.0,13.84,13.84,13.56,13.32
2014-05-23,177267.0,14.07,14.3,13.9,13.88
2014-05-27,181288.0,14.45,14.47,14.1,14.03
2014-05-28,80939.0,14.38,14.6,14.45,14.29
2014-05-29,186862.0,14.38,14.5,14.4,14.24
2014-05-30,773279.0,14.58,15.67,14.4,14.03
2014-06-02,373456.0,15.0,15.2,14.63,14.23
2014-06-03,240543.0,15.32,15.62,15.13,15.0
2014-06-04,136952.0,15.15,15.65,15.26,15.08
2014-06-05,216235.0,16.1,16.19,15.23,15.2
2014-06-06,285300.0,16.5,16.66,16.19,16.08
2014-06-09,493076.0,16.94,17.16,16.69,16.4
2014-06-10,780503.0,17.12,17.59,17.0,16.2912
2014-06-11,635832.0,17.77,18.0,17.66,17.09
2014-06-12,284702.0,17.89,17.9,17.88,17.585
2014-06-13,161466.0,17.61,17.85,17.83,17.36
2014-06-16,108609.0,17.23,17.7,17.65,17.1
2014-06-17,160606.0,17.61,17.67,17.16,17.15
2014-06-18,447659.0,18.18,18.57,17.64,17.3601
2014-06-19,372301.0,18.04,19.0,19.0,17.92
2014-06-20,163583.0,17.59,18.4,18.13,17.22
2014-06-23,115536.0,17.93,18.11,17.67,17.43
2014-06-24,155115.0,17.45,18.24,17.93,17.32
2014-06-25,214348.0,17.08,17.49,17.13,16.8
2014-06-26,410580.0,17.14,17.75,17.14,16.88
2014-06-27,192128.0,17.19,17.5,17.13,17.0856
2014-06-30,323573.0,17.34,17.78,17.22,17.21
2014-07-01,494226.0,18.61,18.64,17.35,17.34
2014-07-02,234454.0,18.6,19.19,18.72,18.3801
2014-07-03,385707.0,19.34,19.77,18.78,18.6401
2014-07-07,203786.0,18.87,19.34,19.34,18.2701
2014-07-08,273455.0,18.86,19.12,18.88,18.42
2014-07-09,459272.0,19.8,19.9,18.94,18.77
2014-07-10,160587.0,19.46,19.9,19.15,18.701
2014-07-11,236865.0,18.99,19.733,19.45,18.85
2014-07-14,100073.0,18.94,19.1299,18.9,18.51
2014-07-15,110697.0,18.7,19.0499,18.99,18.37
2014-07-16,233583.0,19.05,19.29,18.7,18.62
2014-07-17,163918.0,19.0,19.32,19.0,18.87
2014-07-18,166273.0,18.8,19.29,18.96,18.8
2014-07-21,285444.0,18.74,19.05,18.8,18.65
2014-07-22,279279.0,19.0,19.13,18.88,18.7
2014-07-23,51280.0,18.77,19.11,19.08,18.66
2014-07-24,217027.0,18.5,19.2,18.82,18.03
2014-07-25,135389.0,18.98,19.22,18.27,18.27
2014-07-28,265696.0,19.39,19.59,18.96,18.86
2014-07-29,153972.0,18.88,19.6,19.57,18.75
2014-07-30,179066.0,18.98,19.365,19.14,18.46
2014-07-31,118608.0,18.76,19.04,19.04,18.4
2014-08-01,79588.0,18.6,18.9346,18.7,18.51
2014-08-04,55842.0,18.69,18.96,18.6,18.324
2014-08-05,122813.0,18.99,19.15,18.57,18.28
2014-08-06,96405.0,18.65,19.08,18.83,18.62
2014-08-07,94159.0,18.87,19.0,18.7,18.5
2014-08-08,133245.0,18.93,19.5,18.94,18.66
2014-08-11,674257.0,20.47,20.74,19.05,18.63
2014-08-12,640412.0,21.28,21.74,20.65,20.54
2014-08-13,399455.0,20.62,21.35,21.28,20.4
2014-08-14,312448.0,20.28,20.62,20.57,19.6501
2014-08-15,191224.0,20.27,20.48,20.32,19.85
2014-08-18,332616.0,20.79,21.02,20.36,19.91
2014-08-19,214931.0,20.64,21.2725,21.22,20.47
2014-08-20,83138.0,20.48,20.65,20.53,20.24
2014-08-21,179235.0,20.36,20.6,20.3,19.66
2014-08-22,134749.0,20.57,20.83,20.4,20.251
2014-08-25,822325.0,22.65,22.86,20.67,20.47
2014-08-26,982915.0,19.58,21.06,19.62,19.5
2014-08-27,444717.0,20.25,20.26,19.7,19.65
2014-08-28,359770.0,21.39,22.01,20.25,19.83
2014-08-29,428825.0,21.19,21.91,21.35,20.9986
2014-09-02,314413.0,20.39,21.18,21.18,20.2
2014-09-03,303844.0,19.8,20.355,20.18,19.71
2014-09-04,217979.0,20.06,21.21,19.97,19.9
2014-09-05,126181.0,20.29,20.58,20.29,20.06
2014-09-08,300990.0,19.52,20.33,20.3,19.3
2014-09-09,296085.0,17.99,19.54,19.49,17.75
2014-09-10,415864.0,18.91,19.35,18.0,17.95
2014-09-11,169348.0,18.87,19.14,18.76,18.3
2014-09-12,200846.0,19.14,19.95,18.89,18.8
2014-09-15,162605.0,18.97,19.65,19.09,18.67
2014-09-16,174598.0,19.46,19.73,18.9,18.7424
2014-09-17,179480.0,19.5,19.615,19.39,19.1
2014-09-18,380836.0,20.18,21.094,19.5,19.5
2014-09-19,450972.0,20.53,20.89,20.33,20.27
2014-09-22,366192.0,18.99,20.5723,20.44,18.47
2014-09-23,268214.0,19.91,19.92,19.12,19.07
2014-09-24,218280.0,19.42,19.94,19.88,19.16
2014-09-25,132767.0,18.76,19.27,19.27,18.5
2014-09-26,149009.0,18.99,19.2,18.86,18.805
2014-09-29,165642.0,19.47,19.77,18.74,18.74
2014-09-30,427379.0,19.46,20.33,19.5,18.99
2014-10-01,130143.0,19.35,19.95,19.67,19.11
2014-10-02,134768.0,19.25,19.35,19.34,19.0
2014-10-03,463226.0,19.99,20.29,19.32,19.32
2014-10-06,327814.0,18.63,20.31,20.17,18.5
2014-10-07,98952.0,18.84,19.0875,18.6,18.6
2014-10-08,135916.0,18.99,19.19,18.9,18.12
2014-10-09,102171.0,18.88,19.3,18.99,18.63
2014-10-10,369188.0,18.13,18.71,18.71,17.87
2014-10-13,259058.0,18.57,18.6,18.18,17.81
2014-10-14,295019.0,18.54,19.1,18.65,18.14
2014-10-15,212811.0,19.58,19.8,18.35,18.12
2014-10-16,150035.0,19.26,19.55,19.3,18.1801
2014-10-17,199411.0,18.99,19.8,19.34,18.78
2014-10-20,139222.0,18.98,19.47,18.82,18.3
2014-10-21,207045.0,18.3,19.0,19.0,18.21
2014-10-22,404867.0,18.67,19.05,18.34,18.225
2014-10-23,227923.0,19.0,19.09,18.7,18.47
2014-10-24,267107.0,18.58,19.1,19.03,18.32
2014-10-27,396480.0,18.07,18.71,18.71,17.83
2014-10-28,245853.0,18.78,18.95,18.15,18.0
2014-10-29,177795.0,18.2,18.9,18.69,18.1
2014-10-30,316566.0,17.62,18.27,18.17,17.0
2014-10-31,325505.0,18.26,18.665,17.81,17.71
2014-11-03,248312.0,18.65,18.86,18.38,18.0
2014-11-04,311428.0,18.67,18.96,18.69,18.41
2014-11-05,183079.0,18.17,18.97,18.45,18.06
2014-11-06,412497.0,17.51,18.19,18.19,17.37
2014-11-07,254651.0,17.36,17.94,17.63,17.2
2014-11-10,491701.0,18.88,19.305,17.46,17.4
2014-11-11,208780.0,18.2,19.15,18.83,18.12
2014-11-12,242083.0,18.71,19.01,18.1,17.94
2014-11-13,112320.0,18.57,18.99,18.67,18.43
2014-11-14,96551.0,18.46,18.7,18.63,18.13
2014-11-17,222574.0,18.37,18.775,18.45,18.01
2014-11-18,297319.0,18.9,19.0,18.57,18.56
2014-11-19,505983.0,18.8,19.84,18.96,18.69
2014-11-20,176517.0,18.72,18.81,18.61,18.25
2014-11-21,262896.0,18.77,19.165,18.76,18.45
2014-11-24,339552.0,18.61,18.75,18.68,18.3805
2014-11-25,789802.0,19.04,19.48,19.0,18.3
2014-11-26,1036734.0,19.0,19.45,18.94,18.89
2014-11-28,219600.0,18.87,19.18,19.0,18.6
2014-12-01,366803.0,18.39,19.0,18.9,18.1
2014-12-02,200886.0,17.87,18.46,18.06,17.71
2014-12-03,277196.0,17.95,18.16,17.9,17.75
2014-12-04,365216.0,17.04,18.08,17.88,16.88
2014-12-05,243931.0,17.43,17.66,16.95,16.9441
2014-12-08,430049.0,16.78,17.49,17.43,16.34
2014-12-09,591503.0,15.68,16.55,16.55,15.1
2014-12-10,708731.0,16.15,16.4,16.0,15.9
2014-12-11,130926.0,16.26,16.42,16.23,16.143
2014-12-12,417122.0,16.53,16.63,16.22,16.12
2014-12-15,444205.0,16.45,16.95,16.49,16.31
2014-12-16,234575.0,16.14,16.46,16.42,16.12
2014-12-17,119957.0,16.02,16.27,16.12,16.02
2014-12-18,287217.0,15.66,16.33,16.02,15.52
2014-12-19,250949.0,15.6,15.8,15.52,15.4
2014-12-22,331749.0,15.27,15.84,15.57,15.1
2014-12-23,287258.0,14.69,15.594,15.28,14.62
2014-12-24,198046.0,15.35,15.42,14.75,14.64
2014-12-26,113847.0,14.99,15.39,15.37,14.72
2014-12-29,273365.0,14.99,15.32,14.95,14.76
2014-12-30,470963.0,15.02,15.34,15.01,14.82
2014-12-31,345666.0,15.04,15.18,15.0,14.82
2015-01-02,211639.0,15.32,15.6,15.04,15.04
2015-01-05,577964.0,15.32,15.49,15.3,15.21
2015-01-06,346974.0,15.3,15.385,15.32,15.21
2015-01-07,193593.0,15.51,15.68,15.32,15.205
2015-01-08,305322.0,15.67,15.83,15.53,15.31
2015-01-09,314048.0,15.92,15.95,15.72,15.72
2015-01-12,178031.0,15.51,15.98,15.87,15.375
2015-01-13,393396.0,15.36,16.2,16.05,15.24
2015-01-14,263408.0,15.54,15.598,15.34,15.05
2015-01-15,321822.0,15.575,16.1,15.5,15.42
2015-01-16,299115.0,15.53,15.88,15.47,15.33
2015-01-20,271702.0,15.25,15.6,15.49,15.17
2015-01-21,218897.0,15.52,15.71,15.25,15.06
2015-01-22,453880.0,16.34,16.515,15.66,15.55
2015-01-23,729749.0,17.24,17.3,16.41,16.39
2015-01-26,355828.0,17.18,17.29,17.25,16.9
2015-01-27,236284.0,17.32,17.48,17.05,17.0
2015-01-28,507248.0,16.97,17.41,17.35,16.87
2015-01-29,318337.0,17.0,17.19,16.96,16.645
2015-01-30,153083.0,17.03,17.27,16.96,16.9
2015-02-02,523374.0,17.33,17.43,17.15,16.81
2015-02-03,535006.0,18.44,18.49,17.32,17.2086
2015-02-04,176220.0,17.81,18.3,18.3,17.61
2015-02-05,226864.0,17.48,17.83,17.6,17.28
2015-02-06,109190.0,17.28,17.45,17.45,17.05
2015-02-09,109851.0,16.95,17.46,17.21,16.87
2015-02-10,69846.0,16.96,17.03,16.96,16.8
2015-02-11,130886.0,16.88,17.13,16.87,16.8515
2015-02-12,149783.0,16.99,17.02,16.91,16.87
2015-02-13,144793.0,17.49,17.5,17.0,16.88
2015-02-17,116815.0,17.25,17.58,17.52,17.14
2015-02-18,146565.0,17.29,17.4,17.25,17.0
2015-02-19,72858.0,17.34,17.57,17.29,17.2
2015-02-20,36154.0,17.35,17.45,17.35,17.23
2015-02-23,147038.0,17.37,17.51,17.26,17.16
2015-02-24,139449.0,17.34,17.59,17.3,17.21
2015-02-25,102250.0,17.45,17.51,17.35,17.34
2015-02-26,231271.0,17.32,17.51,17.49,17.16
2015-02-27,257075.0,16.99,17.4,17.4,16.75
2015-03-02,390511.0,16.81,17.1,16.93,16.56
2015-03-03,131296.0,17.0,17.3,16.73,16.73
2015-03-04,106545.0,17.0,17.05,17.0,16.65
2015-03-05,91080.0,16.83,17.0,17.0,16.6
2015-03-06,246195.0,17.32,17.35,17.07,16.51
2015-03-09,207320.0,17.2,17.47,17.47,16.56
2015-03-10,486690.0,17.41,17.74,17.25,16.85
2015-03-11,299494.0,17.02,17.49,17.45,16.87
2015-03-12,290682.0,17.0,17.1,16.95,16.75
2015-03-13,374633.0,17.0,17.08,17.0,16.71
2015-03-16,617207.0,17.0,17.1,17.06,16.93
2015-03-17,384332.0,16.81,17.1,17.1,16.78
2015-03-18,134433.0,16.76,16.96,16.75,16.64
2015-03-19,284071.0,16.94,17.1,16.8,16.5
2015-03-20,258366.0,16.75,17.0,17.0,16.7
2015-03-23,287073.0,16.8,16.91,16.7,16.61
2015-03-24,330168.0,16.64,16.96,16.9,16.52
2015-03-25,487813.0,16.53,16.95,16.55,16.39
2015-03-26,339691.0,15.705,16.494,16.25,15.5
2015-03-27,139872.0,15.48,15.9,15.79,15.42
2015-03-30,431693.0,15.5,15.56,15.3,14.82
2015-03-31,296396.0,16.22,16.36,15.55,15.55
2015-04-01,185542.0,16.39,16.66,16.17,16.17
2015-04-02,156283.0,16.45,16.7,16.39,16.32
2015-04-06,153516.0,16.41,16.48,16.41,16.3
2015-04-07,138668.0,16.19,16.46,16.35,15.97
2015-04-08,543140.0,16.85,16.98,16.3,16.3
2015-04-09,604685.0,16.72,16.98,16.94,16.278
2015-04-10,857281.0,17.2,17.24,16.8,16.75
2015-04-13,1078969.0,18.18,18.52,17.17,17.17
2015-04-14,1217910.0,17.29,18.2,18.2,16.9
2015-04-15,1024494.0,17.35,17.43,17.25,16.87
2015-04-16,486490.0,17.41,17.87,17.35,17.31
2015-04-17,503356.0,16.9,17.4499,17.32,16.7
