date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,2517800.0,70.5,73.56,73.5,70.06
2000-01-04,1570400.0,66.88,69.88,69.0,66.38
2000-01-05,1157200.0,64.81,66.44,66.0,63.88
2000-01-06,1297000.0,66.88,68.38,64.88,64.62
2000-01-07,825800.0,66.88,67.06,66.69,65.5
2000-01-10,1727200.0,70.0,71.5,71.5,69.12
2000-01-11,1420200.0,67.62,69.5,69.12,67.5
2000-01-12,1144600.0,65.69,67.81,67.75,65.5
2000-01-13,1332400.0,68.62,68.94,66.69,66.31
2000-01-14,1853000.0,69.81,71.0,69.75,69.0
2000-01-18,1205400.0,68.56,69.81,69.62,67.88
2000-01-19,887400.0,68.81,69.44,68.56,68.56
2000-01-20,1081800.0,68.38,69.69,69.38,67.0
2000-01-21,1059800.0,70.19,71.06,69.25,68.12
2000-01-24,2146400.0,71.62,74.94,71.0,71.0
2000-01-25,695000.0,70.25,71.88,71.62,69.44
2000-01-26,905600.0,70.44,71.06,70.75,68.12
2000-01-27,2199800.0,73.75,77.06,74.0,72.88
2000-01-28,1029200.0,69.31,73.12,72.75,68.75
2000-01-31,1531000.0,69.19,69.19,68.19,65.94
2000-02-01,1119200.0,68.5,68.75,66.75,66.31
2000-02-02,496200.0,70.06,70.44,68.75,68.5
2000-02-03,1161800.0,70.94,73.44,70.44,70.19
2000-02-04,1228200.0,73.56,74.31,71.38,70.75
2000-02-07,778600.0,73.5,74.81,73.88,73.31
2000-02-08,1002400.0,74.56,74.62,73.25,73.25
2000-02-09,1002600.0,73.38,76.25,75.12,72.88
2000-02-10,631600.0,72.06,73.88,73.38,71.38
2000-02-11,542400.0,70.44,72.38,72.31,70.12
2000-02-14,777400.0,71.25,72.25,70.44,70.44
2000-02-15,766000.0,73.38,73.44,71.5,70.94
2000-02-16,1152200.0,71.25,73.69,73.5,70.5
2000-02-17,862800.0,71.94,73.5,72.0,71.25
2000-02-18,759000.0,70.56,71.75,71.69,70.25
2000-02-22,1545600.0,71.38,72.0,70.19,68.06
2000-02-23,1833000.0,73.0,73.5,71.38,70.5
2000-02-24,1849400.0,76.5,77.0,75.0,74.62
2000-02-25,2708800.0,78.62,82.0,76.5,76.38
2000-02-28,1248600.0,78.06,79.88,78.88,77.5
