date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,64600.0,9.75,9.94,9.94,9.69
2000-01-04,58900.0,10.0,10.0,9.75,9.75
2000-01-05,89000.0,10.19,10.25,10.0,10.0
2000-01-06,62200.0,10.19,10.25,10.06,10.06
2000-01-07,49900.0,10.38,10.38,10.19,10.19
2000-01-10,67800.0,10.62,10.62,10.38,10.25
2000-01-11,56300.0,10.38,10.62,10.5,10.38
2000-01-12,50800.0,10.25,10.44,10.38,10.19
2000-01-13,65700.0,10.44,10.44,10.25,10.12
2000-01-14,46700.0,10.44,10.44,10.44,10.31
2000-01-18,44600.0,10.38,10.38,10.31,10.25
2000-01-19,59500.0,10.31,10.44,10.44,10.25
2000-01-20,20800.0,10.44,10.44,10.31,10.25
2000-01-21,44600.0,10.31,10.44,10.44,10.31
2000-01-24,93700.0,10.31,10.38,10.31,10.25
2000-01-25,42300.0,10.5,10.5,10.31,10.31
2000-01-26,46500.0,10.44,10.56,10.56,10.38
2000-01-27,52900.0,10.44,10.5,10.44,10.38
2000-01-28,21900.0,10.38,10.44,10.44,10.38
2000-01-31,54200.0,10.44,10.5,10.44,10.38
2000-02-01,41400.0,10.38,10.5,10.44,10.38
2000-02-02,85200.0,10.56,10.56,10.44,10.31
2000-02-03,86000.0,10.69,10.81,10.5,10.5
2000-02-04,37200.0,10.69,10.81,10.69,10.69
2000-02-07,61900.0,10.5,10.75,10.75,10.5
2000-02-08,38500.0,10.62,10.69,10.62,10.5
2000-02-09,27500.0,10.75,10.75,10.56,10.56
2000-02-10,40600.0,10.62,10.75,10.75,10.62
2000-02-11,27800.0,10.62,10.62,10.56,10.56
2000-02-14,44200.0,10.44,10.62,10.62,10.38
2000-02-15,71700.0,10.25,10.44,10.38,10.12
2000-02-16,83400.0,10.38,10.38,10.31,10.19
2000-02-17,27300.0,10.25,10.38,10.31,10.25
2000-02-18,40500.0,10.25,10.31,10.25,10.25
2000-02-22,48100.0,10.19,10.38,10.31,10.19
2000-02-23,66800.0,10.5,10.56,10.31,10.25
2000-02-24,56900.0,10.5,10.62,10.62,10.44
2000-02-25,32200.0,10.5,10.5,10.38,10.38
2000-02-28,37800.0,10.5,10.56,10.56,10.5
2000-02-29,30300.0,10.5,10.56,10.56,10.38
2000-03-01,33800.0,10.5,10.56,10.5,10.44
2000-03-02,36200.0,10.5,10.56,10.5,10.44
2000-03-03,39100.0,10.25,10.56,10.56,10.25
2000-03-06,69800.0,10.19,10.38,10.25,10.19
2000-03-07,41800.0,10.25,10.25,10.19,10.12
2000-03-08,74800.0,10.19,10.25,10.19,10.12
2000-03-09,47600.0,10.25,10.25,10.12,10.06
2000-03-10,25100.0,10.25,10.38,10.19,10.19
2000-03-13,43200.0,10.38,10.38,10.25,10.19
2000-03-14,32400.0,10.25,10.38,10.38,10.25
2000-03-15,35300.0,10.31,10.38,10.31,10.25
2000-03-16,35600.0,10.31,10.31,10.25,10.25
2000-03-17,20800.0,10.25,10.31,10.25,10.25
2000-03-20,28300.0,10.31,10.31,10.31,10.25
2000-03-21,27100.0,10.38,10.5,10.25,10.25
2000-03-22,18700.0,10.38,10.44,10.38,10.38
2000-03-23,43200.0,10.38,10.44,10.44,10.31
2000-03-24,51600.0,10.62,10.62,10.44,10.38
2000-03-27,50100.0,10.62,10.62,10.56,10.5
2000-03-28,40200.0,10.56,10.69,10.62,10.56
2000-03-29,54900.0,10.56,10.69,10.69,10.56
2000-03-30,36400.0,10.69,10.75,10.69,10.62
2000-03-31,33700.0,10.81,10.88,10.75,10.69
2000-04-03,34600.0,10.88,11.0,10.88,10.88
2000-04-04,58600.0,10.88,11.06,11.0,10.88
2000-04-05,24800.0,10.88,11.0,11.0,10.81
2000-04-06,52400.0,10.75,10.88,10.81,10.75
2000-04-07,13000.0,10.75,10.81,10.81,10.69
2000-04-10,45200.0,10.69,10.88,10.81,10.69
2000-04-11,47000.0,10.81,10.88,10.75,10.75
2000-04-12,25200.0,10.75,10.81,10.81,10.75
2000-04-13,32600.0,10.75,10.88,10.62,10.62
2000-04-14,68700.0,10.56,10.81,10.81,10.5
2000-04-17,34300.0,10.38,10.5,10.5,10.38
2000-04-18,50000.0,10.31,10.5,10.44,10.25
2000-04-19,49300.0,10.31,10.38,10.38,10.25
2000-04-20,26900.0,10.44,10.44,10.38,10.38
2000-04-24,32400.0,10.38,10.44,10.44,10.38
2000-04-25,33100.0,10.5,10.56,10.44,10.38
2000-04-26,37500.0,10.5,10.62,10.56,10.44
2000-04-27,57400.0,10.75,10.75,10.56,10.5
2000-04-28,37300.0,10.69,10.75,10.75,10.62
2000-05-01,38700.0,10.56,10.62,10.56,10.56
2000-05-02,30600.0,10.62,10.62,10.62,10.56
2000-05-03,32000.0,10.56,10.56,10.56,10.44
2000-05-04,20600.0,10.5,10.56,10.5,10.5
2000-05-05,13000.0,10.5,10.56,10.56,10.5
2000-05-08,42200.0,10.38,10.56,10.5,10.38
2000-05-09,36100.0,10.38,10.5,10.38,10.38
2000-05-10,58600.0,10.38,10.62,10.5,10.38
2000-05-11,77600.0,10.44,10.5,10.25,10.25
2000-05-12,35500.0,10.44,10.5,10.38,10.31
2000-05-15,59200.0,10.38,10.5,10.5,10.31
2000-05-16,28000.0,10.44,10.5,10.44,10.38
2000-05-17,28500.0,10.44,10.5,10.44,10.38
2000-05-18,36200.0,10.44,10.56,10.5,10.44
2000-05-19,66700.0,10.62,10.62,10.5,10.38
2000-05-22,105200.0,10.75,10.94,10.62,10.62
2000-05-23,80200.0,10.69,10.81,10.75,10.62
2000-05-24,26900.0,10.62,10.75,10.69,10.62
2000-05-25,40200.0,10.62,10.75,10.69,10.56
2000-05-26,17200.0,10.56,10.62,10.56,10.5
2000-05-30,48700.0,10.69,10.81,10.62,10.56
2000-05-31,22000.0,10.81,10.81,10.75,10.69
2000-06-01,19700.0,10.81,10.88,10.88,10.81
2000-06-02,50000.0,10.88,10.94,10.88,10.81
2000-06-05,14700.0,10.88,10.94,10.88,10.88
2000-06-06,34200.0,10.94,11.0,10.88,10.88
2000-06-07,18600.0,11.0,11.0,10.88,10.88
2000-06-08,19800.0,10.94,11.0,11.0,10.94
2000-06-09,37100.0,10.94,11.0,11.0,10.94
2000-06-12,62500.0,10.88,11.0,11.0,10.88
2000-06-13,43200.0,10.75,10.88,10.75,10.75
2000-06-14,26500.0,10.81,10.94,10.81,10.75
2000-06-15,125500.0,10.75,10.88,10.81,10.75
2000-06-16,61700.0,10.69,10.75,10.75,10.62
2000-06-19,25200.0,10.69,10.75,10.75,10.62
2000-06-20,15600.0,10.75,10.75,10.75,10.69
2000-06-21,60300.0,10.62,10.75,10.69,10.56
2000-06-22,48200.0,10.5,10.62,10.56,10.5
2000-06-23,74300.0,10.81,10.88,10.5,10.5
2000-06-26,27700.0,10.88,10.94,10.88,10.81
2000-06-27,40400.0,10.88,11.0,10.94,10.88
2000-06-28,16000.0,10.94,10.94,10.88,10.88
2000-06-29,49500.0,11.06,11.12,11.0,10.88
2000-06-30,27300.0,11.19,11.25,11.0,10.94
2000-07-03,10600.0,11.31,11.31,11.25,11.25
2000-07-05,53800.0,11.19,11.38,11.31,11.12
2000-07-06,35800.0,11.0,11.12,11.12,11.0
2000-07-07,67400.0,11.0,11.12,11.06,11.0
2000-07-10,20800.0,11.12,11.12,11.06,11.0
2000-07-11,32700.0,11.19,11.19,11.12,11.0
2000-07-12,43200.0,11.25,11.31,11.25,11.19
2000-07-13,29600.0,11.19,11.25,11.25,11.19
2000-07-14,18000.0,11.12,11.25,11.25,11.12
2000-07-17,33000.0,11.25,11.25,11.19,11.19
2000-07-18,39700.0,11.19,11.25,11.25,11.12
2000-07-19,26900.0,11.12,11.19,11.19,11.12
2000-07-20,42700.0,11.25,11.31,11.19,11.19
2000-07-21,49800.0,11.25,11.25,11.19,11.19
2000-07-24,38400.0,11.12,11.25,11.25,11.12
2000-07-25,51400.0,11.25,11.25,11.12,11.12
2000-07-26,31700.0,11.25,11.31,11.25,11.19
2000-07-27,26100.0,11.25,11.38,11.31,11.25
2000-07-28,39600.0,11.25,11.38,11.38,11.19
2000-07-31,27800.0,11.31,11.31,11.25,11.25
2000-08-01,92300.0,11.19,11.44,11.31,11.19
2000-08-02,21000.0,11.12,11.25,11.19,11.12
2000-08-03,27300.0,11.19,11.19,11.19,11.12
2000-08-04,47400.0,11.25,11.31,11.25,11.19
2000-08-07,36100.0,11.31,11.38,11.25,11.25
2000-08-08,26100.0,11.31,11.31,11.31,11.25
2000-08-09,30300.0,11.38,11.38,11.31,11.25
2000-08-10,29200.0,11.5,11.5,11.38,11.38
2000-08-11,63100.0,11.56,11.62,11.44,11.44
2000-08-14,53200.0,11.5,11.69,11.62,11.5
2000-08-15,39300.0,11.38,11.5,11.5,11.38
2000-08-16,84400.0,11.62,11.62,11.44,11.38
2000-08-17,52300.0,11.56,11.75,11.62,11.5
2000-08-18,42100.0,11.75,11.75,11.69,11.62
2000-08-21,45500.0,11.62,11.75,11.62,11.62
2000-08-22,52900.0,11.81,11.81,11.69,11.62
2000-08-23,16200.0,11.75,11.81,11.81,11.69
