date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,215000.0,60.62,61.12,60.56,58.88
2000-01-04,239100.0,57.56,60.25,60.25,57.44
2000-01-05,359900.0,57.13,58.25,58.25,54.75
2000-01-06,274300.0,58.25,59.13,57.0,55.0
2000-01-07,314800.0,59.63,60.38,58.0,57.75
2000-01-10,226300.0,62.0,62.13,60.0,59.0
2000-01-11,118100.0,60.38,62.0,61.88,59.97
2000-01-12,168500.0,58.81,60.63,60.25,58.44
2000-01-13,286800.0,60.88,61.25,58.81,58.81
2000-01-14,226600.0,61.94,62.25,60.88,60.88
2000-01-18,338900.0,59.88,61.63,61.63,59.0
2000-01-19,572500.0,62.0,62.25,60.25,60.13
2000-01-20,336100.0,61.88,62.25,62.25,61.25
2000-01-21,347200.0,63.75,64.5,62.13,62.0
2000-01-24,452200.0,64.38,65.69,64.38,63.81
2000-01-25,172400.0,65.81,66.25,64.75,63.38
2000-01-26,321900.0,66.13,67.63,65.25,65.25
2000-01-27,276800.0,63.13,68.88,66.75,63.06
2000-01-28,235400.0,60.5,61.75,60.0,57.5
2000-01-31,78600.0,58.63,59.75,59.69,58.63
2000-02-01,171500.0,59.88,60.75,60.25,59.0
2000-02-02,165400.0,62.75,64.13,60.0,60.0
2000-02-03,225400.0,66.19,68.63,64.13,63.06
2000-02-04,381600.0,67.34,69.75,67.0,66.75
2000-02-07,152100.0,66.97,67.38,67.25,66.13
2000-02-08,324000.0,66.94,67.13,67.13,66.81
2000-02-09,209900.0,64.63,66.75,66.75,64.13
2000-02-10,703300.0,64.13,65.0,64.69,63.75
2000-02-11,326000.0,63.44,65.0,64.5,62.25
2000-02-14,244000.0,64.31,64.38,63.47,61.56
2000-02-15,390800.0,62.25,64.69,64.69,59.0
2000-02-16,295500.0,60.13,62.5,61.88,59.69
2000-02-17,559200.0,54.63,60.5,60.25,54.13
2000-02-18,515600.0,51.81,55.25,55.25,51.81
2000-02-22,312500.0,49.63,52.75,52.25,48.94
2000-02-23,980400.0,50.06,50.88,49.0,49.0
2000-02-24,368600.0,47.02,50.88,50.88,46.88
2000-02-25,692900.0,43.75,48.0,47.25,43.75
2000-02-28,1190100.0,40.22,44.0,44.0,40.13
2000-02-29,1421100.0,43.56,44.25,40.63,40.13
2000-03-01,1791800.0,46.31,46.63,42.81,42.75
2000-03-02,1008300.0,45.38,46.38,46.38,44.66
2000-03-03,1067900.0,50.88,51.88,45.25,45.25
2000-03-06,449700.0,47.44,50.53,50.38,45.88
2000-03-07,669600.0,46.69,49.86,47.94,46.44
2000-03-08,808300.0,49.38,49.44,47.19,46.5
2000-03-09,818900.0,54.69,55.13,49.5,48.75
2000-03-10,424400.0,54.13,54.69,54.06,54.0
2000-03-13,531600.0,51.88,54.75,52.25,50.38
2000-03-14,414900.0,51.5,53.13,52.25,51.5
2000-03-15,332900.0,50.25,52.23,51.31,50.0
2000-03-16,308800.0,54.0,54.5,51.88,49.88
2000-03-17,608500.0,54.94,67.75,53.5,52.88
2000-03-20,244100.0,51.0,55.19,54.38,50.56
2000-03-21,898300.0,52.88,52.88,51.19,49.25
2000-03-22,353800.0,50.44,53.5,53.5,50.0
2000-03-23,658500.0,49.88,51.0,50.56,48.5
2000-03-24,219400.0,49.38,50.12,50.0,49.0
2000-03-27,625800.0,49.25,49.56,49.02,47.75
2000-03-28,111100.0,48.81,49.5,49.13,48.75
2000-03-29,166300.0,46.63,48.75,48.75,45.94
2000-03-30,404200.0,44.75,47.0,45.63,44.44
2000-03-31,1686800.0,45.5,46.63,46.38,42.88
2000-04-03,490800.0,42.56,45.63,45.5,42.13
2000-04-04,524600.0,43.5,43.75,43.75,42.0
2000-04-05,689100.0,45.13,45.13,42.19,42.19
