date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,72000.0,1.81,1.81,1.13,1.13
2000-01-04,48000.0,1.688,2.0,2.0,1.563
2000-01-05,16500.0,1.5,1.688,1.688,1.5
2000-01-06,6000.0,1.563,1.75,1.688,1.563
2000-01-07,8500.0,1.625,1.625,1.5,1.5
2000-01-10,18000.0,1.75,1.938,1.688,1.625
2000-01-11,34000.0,1.875,1.875,1.75,1.688
2000-01-12,28500.0,1.938,1.938,1.875,1.875
2000-01-13,152500.0,2.031,2.063,1.969,1.969
2000-01-14,75000.0,2.0,2.063,2.031,2.0
2000-01-18,553000.0,2.313,2.375,2.0,2.0
2000-01-19,59500.0,2.438,2.625,2.313,2.188
2000-01-20,136000.0,2.5,2.75,2.625,2.438
2000-01-21,32500.0,2.125,2.375,2.375,2.0
2000-01-24,61000.0,2.25,2.25,2.0,2.0
2000-01-25,30500.0,2.188,2.375,2.375,2.188
2000-01-26,37000.0,2.438,2.5,2.5,2.125
2000-01-27,62000.0,2.375,2.406,2.375,2.125
2000-01-28,67000.0,2.094,2.5,2.156,2.063
2000-01-31,14000.0,2.063,2.125,2.047,2.047
2000-02-01,4000.0,2.125,2.125,2.063,2.063
2000-02-02,2500.0,2.25,2.25,2.25,2.25
2000-02-03,6500.0,2.188,2.25,2.25,2.0
2000-02-04,56000.0,2.59,2.59,2.13,2.13
2000-02-07,249000.0,3.469,3.5,2.563,2.563
2000-02-08,135000.0,3.313,3.5,3.5,3.0
2000-02-09,6500.0,2.875,3.375,3.25,2.875
2000-02-10,63500.0,2.813,3.188,2.938,2.813
2000-02-11,500.0,3.063,3.063,2.969,2.875
2000-02-14,15500.0,2.625,2.844,2.813,2.625
2000-02-15,31000.0,2.5,2.625,2.625,2.5
2000-02-16,28000.0,2.875,2.875,2.625,2.5
2000-02-17,28500.0,2.688,2.875,2.875,2.438
2000-02-18,43500.0,2.25,2.5,2.5,2.188
2000-02-22,48500.0,2.25,2.438,2.219,2.188
2000-02-23,301000.0,2.25,2.281,2.281,2.156
2000-02-24,101500.0,2.25,2.563,2.484,2.25
2000-02-25,27500.0,2.25,2.344,2.344,2.188
2000-02-28,33500.0,2.125,2.25,2.188,2.125
2000-02-29,61000.0,2.406,2.406,2.219,2.125
2000-03-01,115000.0,2.625,2.75,2.438,2.375
2000-03-02,367500.0,3.125,4.188,2.766,2.75
2000-03-03,134000.0,3.375,3.625,3.375,3.125
2000-03-06,103500.0,3.0,3.5,3.469,3.0
2000-03-07,186500.0,3.5,4.0,3.094,3.0
2000-03-08,61000.0,3.125,3.75,3.344,3.125
