date,5. volume,4. close,2. high,1. open,3. low
2016-08-18,10000.0,9.7,9.7,9.7,9.7
2016-08-19,0.0,9.7,9.7,9.7,9.7
2016-08-22,0.0,9.7,9.7,9.7,9.7
2016-08-23,0.0,9.7,9.7,9.7,9.7
2016-08-24,0.0,9.7,9.7,9.7,9.7
2016-08-25,0.0,9.7,9.7,9.7,9.7
2016-08-26,0.0,9.7,9.7,9.7,9.7
2016-08-29,0.0,9.7,9.7,9.7,9.7
2016-08-30,0.0,9.7,9.7,9.7,9.7
2016-08-31,0.0,9.7,9.7,9.7,9.7
2016-09-01,0.0,9.7,9.7,9.7,9.7
2016-09-02,0.0,9.7,9.7,9.7,9.7
2016-09-06,0.0,9.7,9.7,9.7,9.7
2016-09-07,2500.0,9.7,9.7,9.7,9.7
2016-09-08,0.0,9.7,9.7,9.7,9.7
2016-09-09,0.0,9.7,9.7,9.7,9.7
2016-09-12,0.0,9.7,9.7,9.7,9.7
2016-09-13,2000.0,9.739,9.8499,9.8499,9.7
2016-09-14,0.0,9.739,9.739,9.739,9.739
2016-09-15,10500.0,9.75,9.7501,9.75,9.75
2016-09-16,0.0,9.75,9.75,9.75,9.75
2016-09-19,0.0,9.75,9.75,9.75,9.75
2016-09-20,500.0,9.77,9.77,9.77,9.77
2016-09-21,0.0,9.77,9.77,9.77,9.77
2016-09-22,0.0,9.77,9.77,9.77,9.77
2016-09-23,4300.0,9.75,9.77,9.77,9.75
2016-09-26,400.0,9.8492,9.8492,9.77,9.77
2016-09-27,0.0,9.8492,9.8492,9.8492,9.8492
2016-09-28,190000.0,9.65,9.71,9.71,9.65
2016-09-29,0.0,9.65,9.65,9.65,9.65
2016-09-30,100.0,9.77,9.77,9.77,9.77
2016-10-03,1.0,9.77,9.77,9.77,9.77
2016-10-04,0.0,9.77,9.77,9.77,9.77
2016-10-05,25301.0,9.8,9.8005,9.8,9.8
2016-10-06,0.0,9.8,9.8,9.8,9.8
2016-10-07,0.0,9.8,9.8,9.8,9.8
2016-10-10,0.0,9.8,9.8,9.8,9.8
2016-10-11,200.0,9.75,9.75,9.75,9.75
2016-10-12,0.0,9.75,9.75,9.75,9.75
2016-10-13,200.0,9.75,9.75,9.75,9.75
2016-10-14,10000.0,9.75,9.75,9.75,9.75
2016-10-17,5000.0,9.75,9.75,9.75,9.75
2016-10-18,300.0,9.82,9.82,9.82,9.82
2016-10-19,0.0,9.82,9.82,9.82,9.82
2016-10-20,0.0,9.82,9.82,9.82,9.82
2016-10-21,0.0,9.82,9.82,9.82,9.82
2016-10-24,0.0,9.82,9.82,9.82,9.82
2016-10-25,189000.0,9.75,9.75,9.75,9.75
2016-10-26,0.0,9.75,9.75,9.75,9.75
2016-10-27,0.0,9.75,9.75,9.75,9.75
2016-10-28,0.0,9.75,9.75,9.75,9.75
2016-10-31,200.0,9.75,9.75,9.75,9.75
2016-11-01,0.0,9.75,9.75,9.75,9.75
