date,5. volume,4. close,2. high,1. open,3. low
2003-10-03,3875700.0,15.0,15.2,14.0,14.0
2003-10-06,383600.0,15.79,15.89,15.17,15.03
2003-10-07,423900.0,16.25,16.6,15.65,15.65
2003-10-08,398900.0,16.1,16.35,16.35,15.8
2003-10-09,152800.0,15.6,16.1,15.91,15.6
2003-10-10,333500.0,15.42,15.939,15.6,15.15
2003-10-13,189000.0,15.31,15.48,15.48,15.25
2003-10-14,267500.0,16.3,16.65,15.37,15.31
2003-10-15,98100.0,16.01,16.92,16.31,16.0
2003-10-16,48300.0,16.1,16.25,16.14,16.0
2003-10-17,200200.0,15.85,16.06,16.01,15.85
2003-10-20,168500.0,15.95,16.02,15.98,15.76
2003-10-21,110600.0,15.95,15.98,15.89,15.86
2003-10-22,88800.0,15.84,16.0,16.0,15.8
2003-10-23,114800.0,15.5,15.76,15.76,15.35
2003-10-24,202000.0,15.93,16.0,15.46,15.46
2003-10-27,99900.0,16.0,16.6,15.999,15.75
2003-10-28,202300.0,15.83,16.6,16.4,15.68
2003-10-29,205700.0,16.1,16.22,15.771,15.65
2003-10-30,132500.0,16.6,16.94,16.1,16.0
2003-10-31,182300.0,17.3,17.3,16.65,16.6
2003-11-03,95300.0,17.51,17.87,17.3,17.07
2003-11-04,100500.0,17.23,17.71,17.71,17.0
2003-11-05,8100.0,17.0,17.05,16.99,16.7
2003-11-06,48000.0,16.88,17.0,16.98,16.66
2003-11-07,27300.0,17.0,17.0,17.0,16.71
2003-11-10,61800.0,16.95,17.1,16.68,16.68
2003-11-11,114500.0,17.0,17.0,16.75,16.75
2003-11-12,74800.0,16.99,17.19,16.8,16.7
2003-11-13,15100.0,16.62,16.999,16.7,16.61
2003-11-14,249400.0,16.74,16.8,16.61,16.61
2003-11-17,231900.0,16.41,16.85,16.75,16.4
2003-11-18,12200.0,16.3,16.5,16.41,16.3
2003-11-19,44300.0,16.5,16.64,16.27,16.2
2003-11-20,107800.0,16.45,16.599,16.5,16.25
2003-11-21,24900.0,16.6,16.6,16.25,16.2
2003-11-24,26000.0,16.7,16.7,16.6,16.4
2003-11-25,38700.0,16.75,17.2,16.8,16.5
2003-11-26,73800.0,17.8,17.95,16.88,16.7
2003-11-28,5200.0,17.7,17.85,17.8,17.4
2003-12-01,29200.0,18.0,18.0,17.9,17.5
2003-12-02,37500.0,17.65,18.0,17.5,17.5
2003-12-03,22800.0,17.84,17.85,17.81,17.51
2003-12-04,128600.0,17.97,17.97,17.8,17.75
2003-12-05,50400.0,17.76,18.2,17.75,17.75
2003-12-08,28500.0,16.9,17.95,17.95,16.9
2003-12-09,68800.0,16.05,17.55,17.55,15.63
2003-12-10,14900.0,16.299,16.46,16.06,16.0
2003-12-11,31200.0,16.9,17.14,16.25,16.0
2003-12-12,104700.0,17.34,17.4,16.81,16.79
2003-12-15,30700.0,17.25,17.7,16.81,16.81
2003-12-16,26000.0,17.67,17.8,17.26,17.26
2003-12-17,24900.0,18.0,18.09,17.3,17.3
2003-12-18,5100.0,18.0,18.05,18.05,17.82
2003-12-19,65000.0,18.0,18.0,17.67,17.67
2003-12-22,9600.0,18.0,18.05,17.51,17.51
2003-12-23,24700.0,18.2,18.25,18.0,17.96
2003-12-24,9200.0,18.25,18.3,18.3,17.96
2003-12-26,400.0,18.25,18.25,18.2,18.2
2003-12-29,27800.0,18.25,18.29,17.95,17.95
2003-12-30,75300.0,17.88,18.5,17.97,17.88
2003-12-31,45000.0,17.95,18.15,18.01,17.73
2004-01-02,17300.0,17.72,18.0,17.71,17.63
2004-01-05,25500.0,17.76,18.149,18.149,17.6
2004-01-06,30600.0,17.76,18.25,17.52,17.52
2004-01-07,139000.0,17.95,18.0,18.0,17.8
2004-01-08,190200.0,17.93,17.97,17.8,17.4
2004-01-09,27100.0,17.93,18.05,18.0,17.87
2004-01-12,146200.0,17.9,18.0,17.82,17.62
