date,5. volume,4. close,2. high,1. open,3. low
2016-01-04,1507.0,4.52,4.54,4.5,4.5
2016-01-05,4248.0,4.388,4.47,4.4,4.388
2016-01-06,457.0,4.2,4.2,4.2,4.2
2016-01-07,6500.0,3.98,3.98,3.98,3.98
2016-01-08,8476.0,4.04,4.08,4.08,3.97
2016-01-11,1600.0,4.08,4.08,4.05,4.04
2016-01-12,5871.0,3.824,3.95,3.95,3.824
2016-01-13,16425.0,3.75,3.858,3.85,3.75
2016-01-14,1120.0,3.76,3.76,3.75,3.75
2016-01-15,7565.0,3.61,3.77,3.77,3.02
2016-01-19,9149.0,3.882,3.93,3.93,3.85
2016-01-20,5078.0,3.49,3.61,3.61,3.35
2016-01-21,1000.0,3.54,3.542,3.12,3.12
2016-01-22,8489.0,3.75,3.76,3.675,3.675
2016-01-25,3780.0,3.37,3.37,3.37,3.32
2016-01-26,290.0,3.389,3.39,3.39,3.389
2016-01-27,16321.0,3.39,3.44,3.414,3.39
2016-01-28,7590.0,3.6,3.6,3.3,3.3
2016-01-29,7200.0,3.47,3.47,3.47,3.47
2016-02-01,6204.0,3.24,3.3,3.3,3.24
2016-02-02,4380.0,3.088,3.1,3.1,3.07
2016-02-03,529.0,3.3,3.3,3.3,3.3
2016-02-04,1625.0,3.1931,3.2,3.2,3.1931
2016-02-05,100.0,3.1931,3.1931,3.1931,3.1931
2016-02-08,17368.0,3.058,3.09,3.09,3.058
2016-02-09,4707.0,2.88,2.94,2.94,2.84
2016-02-10,1100.0,2.86,2.86,2.86,2.86
2016-02-11,4331.0,2.77,2.8823,2.8823,2.77
2016-02-12,14515.0,2.58,2.68,2.11,2.11
2016-02-16,3165.0,2.51,2.56,2.56,2.51
2016-02-17,6401.0,2.56,2.57,2.52,2.52
2016-02-18,8021.0,2.322,2.33,2.33,2.29
2016-02-19,5682.0,2.2,2.238,2.17,2.13
2016-02-22,6531.0,2.24,2.24,2.2,2.05
2016-02-23,5158.0,2.2,2.21,2.21,2.065
2016-02-24,7888.0,2.25,2.25,2.132,2.1
2016-02-25,2320.0,2.198,2.2,2.184,2.184
2016-02-26,10660.0,2.23,2.23,2.12,2.116
2016-02-29,4700.0,2.512,2.5155,2.36,2.36
2016-03-01,22411.0,2.6,2.6,2.572,2.5
2016-03-02,36683.0,2.64,2.64,2.572,2.572
2016-03-03,67600.0,2.62,2.64,2.64,2.6
2016-03-04,27652.0,3.09,3.1,2.73,2.6
2016-03-07,9907.0,3.25,3.25,3.07,3.07
2016-03-08,20256.0,3.22,3.43,3.35,3.22
2016-03-09,26935.0,3.258,3.3,3.2,3.15
2016-03-10,20550.0,3.15,3.19,3.19,3.15
2016-03-11,9860.0,3.13,3.19,3.15,3.1
2016-03-14,0.0,3.13,3.13,3.13,3.13
2016-03-15,3630.0,3.04,3.102,3.102,2.995
2016-03-16,6860.0,3.19,3.21,3.05,3.05
2016-03-17,8278.0,3.2,3.212,3.15,3.088
2016-03-18,6650.0,3.288,3.3,3.3,3.25
2016-03-21,8975.0,3.05,3.17,3.11,3.05
2016-03-22,9756.0,3.39,3.406,3.05,3.05
2016-03-23,124.0,3.275,3.275,3.275,3.275
2016-03-24,12825.0,2.96,3.077,3.077,2.96
2016-03-28,500.0,2.96,2.96,2.96,2.96
2016-03-29,978.0,3.0,3.0,3.0,3.0
2016-03-30,946.0,3.2,3.27,3.27,3.2
2016-03-31,47026.0,3.41,3.43,3.2385,3.2385
2016-04-01,4610.0,3.112,3.12,2.96,2.96
2016-04-04,4865.0,3.17,3.17,2.99,2.99
2016-04-05,10.0,3.17,3.17,3.17,3.17
2016-04-06,650.0,3.245,3.245,3.21,3.21
2016-04-07,6704.0,3.4,3.44,3.31,3.31
2016-04-08,21879.0,3.38,3.4,3.34,3.34
2016-04-11,18539.0,3.46,3.48,3.36,3.21
2016-04-12,23698.0,3.762,3.8,3.5,3.5
2016-04-13,4520.0,3.8,3.8,3.8,3.8
2016-04-14,5978.0,3.8,3.8,3.78,3.51
2016-04-15,2000.0,3.775,3.775,3.775,3.775
2016-04-18,2100.0,3.84,3.84,3.75,3.75
2016-04-19,6298.0,4.1,4.1,4.01,3.974
2016-04-20,12638.0,4.24,4.25,3.96,3.96
2016-04-21,6425.0,4.64,4.64,4.21,4.21
2016-04-22,8739.0,6.1,6.44,4.62,4.62
2016-04-25,1640.0,5.7,5.7,5.65,5.65
2016-04-26,13980.0,5.5,6.3,6.0,5.5
2016-04-27,5632.0,5.5,5.75,5.6,5.5
2016-04-28,18420.0,5.45,5.5,5.4,5.3
2016-04-29,15400.0,5.12,5.276,5.06,5.06
2016-05-02,4146.0,4.95,5.1,5.0,4.94
2016-05-03,3376.0,4.75,4.9,4.9,4.75
2016-05-04,1100.0,4.85,4.9,4.9,4.85
2016-05-05,3500.0,4.95,4.95,4.669,4.669
2016-05-06,95582.0,4.15,4.6,4.6,3.8
2016-05-09,1760.0,4.06,4.2,4.2,4.06
2016-05-10,20733.0,4.15,4.2,4.19,4.11
2016-05-11,5075.0,4.25,4.25,4.15,4.15
2016-05-12,15490.0,4.12,4.2,4.17,3.85
2016-05-13,4354.0,4.136,4.136,4.12,4.0924
2016-05-16,8001.0,4.15,4.32,4.32,4.13
2016-05-17,1257.0,4.15,4.2,4.2,4.106
2016-05-18,5862.0,4.1,4.675,4.675,3.9
2016-05-19,800.0,4.4,4.45,4.1,4.1
2016-05-20,15367.0,4.15,4.7,4.7,4.05
2016-05-23,11912.0,4.1,4.15,4.05,4.0
2016-05-24,3938.0,4.08,4.1,4.08,4.02
2016-05-25,3836.0,4.05,4.05,4.01,4.01
2016-05-26,4488.0,4.15,4.25,4.25,4.11
2016-05-27,5400.0,4.28,4.28,4.15,4.15
2016-05-31,7494.0,4.15,4.3,4.14,4.14
2016-06-01,22400.0,4.0,4.2,4.2,4.0
2016-06-02,10.0,4.0,4.0,4.0,4.0
2016-06-03,1050.0,4.3,4.3,4.3,4.3
2016-06-06,3020.0,4.45,4.45,4.3,4.3
2016-06-07,1825.0,5.15,5.15,4.5,4.5
2016-06-08,5320.0,4.75,5.05,3.9801,3.9801
2016-06-09,5588.0,4.4,4.65,4.3,4.3
2016-06-10,10166.0,4.4,4.5,4.5,4.4
2016-06-13,10000.0,4.375,4.45,4.45,4.375
2016-06-14,503.0,4.3,4.35,4.35,4.3
2016-06-15,8508.0,4.4,4.76,4.4,4.4
2016-06-16,10560.0,4.35,4.5,4.4,4.278
2016-06-17,8560.0,4.51,4.53,4.3,4.3
2016-06-20,5290.0,4.48,4.48,4.48,4.44
2016-06-21,450.0,4.59,4.59,4.44,4.44
2016-06-22,4250.0,4.45,4.5,4.466,4.45
2016-06-23,420.0,4.59,4.59,4.59,4.59
2016-06-24,1725.0,4.57,4.57,4.536,4.434
2016-06-27,13623.0,4.24,4.25,3.982,3.982
2016-06-28,1120.0,4.66,4.66,4.6,4.6
2016-06-29,4410.0,5.15,5.15,4.69,4.69
2016-06-30,204.0,5.18,5.18,5.18,5.18
2016-07-01,14284.0,6.0,6.0,5.8,5.66
2016-07-05,3884.0,6.65,6.7499,6.72,5.99
2016-07-06,18891.0,12.34,13.0,7.01,7.01
2016-07-07,12774.0,12.3,16.0,13.9,11.5744
2016-07-08,29691.0,13.16,13.8,12.0,12.0
2016-07-11,43705.0,13.3245,14.6,13.5,13.3245
2016-07-12,48271.0,11.43,13.71,13.5,11.15
2016-07-13,22120.0,12.0,13.25,11.45,11.45
2016-07-14,6548.0,11.56,12.1,11.5,11.47
2016-07-15,38118.0,12.4,13.9899,11.8,11.8
2016-07-18,6687.0,12.0001,12.2,12.2,11.888
2016-07-19,1046.0,11.7,11.7665,11.7665,11.7
2016-07-20,7346.0,11.35,11.75,11.55,11.31
2016-07-21,921.0,11.3,11.3101,11.31,11.3
2016-07-22,9419.0,11.05,11.75,11.3999,11.05
2016-07-25,11037.0,10.3,11.38,11.1,10.3
2016-07-26,9747.0,10.1,10.25,10.0,9.8
2016-07-27,11090.0,9.6,10.25,10.2499,9.1998
2016-07-28,4685.0,9.45,9.6,9.6,9.2749
2016-07-29,4647.0,9.2499,9.6,9.39,8.7
2016-08-01,8702.0,8.64,9.5,9.19,8.64
2016-08-02,2061.0,8.7001,9.05,8.7,8.7
2016-08-03,11389.0,8.1825,8.6199,8.44,8.16
2016-08-04,591.0,8.716,8.716,8.716,8.716
2016-08-05,6980.0,8.5,9.95,9.95,8.5
2016-08-08,5493.0,9.166,9.166,8.91,7.63
2016-08-09,569.0,9.42,9.42,8.55,8.55
2016-08-10,180.0,9.38,9.38,9.38,9.38
2016-08-11,4012.0,9.68,9.6962,9.35,9.31
2016-08-12,1689.0,9.69,9.77,9.12,9.01
2016-08-15,355.0,9.75,9.75,9.26,9.26
2016-08-16,2463.0,9.59,9.59,9.13,8.68
2016-08-17,4884.0,9.03,9.58,9.58,9.01
2016-08-18,11143.0,8.95,9.0,9.0,8.6
2016-08-19,2215.0,8.78,9.03,8.77,8.77
2016-08-22,2779.0,8.93,9.0,8.81,8.4535
2016-08-23,3336.0,8.6,8.71,8.65,8.6
2016-08-24,6503.0,8.35,9.03,8.84,8.16
2016-08-25,13596.0,8.07,8.58,8.58,7.92
2016-08-26,36564.0,8.0,8.0,7.74,7.6328
2016-08-29,10871.0,7.84,8.0001,8.0001,7.1
2016-08-30,12371.0,7.4,7.85,7.8,7.0
2016-08-31,3767.0,7.44,7.44,7.13,7.1
2016-09-01,2100.0,7.14,7.3,7.157,7.12
2016-09-02,5646.0,7.85,7.85,7.25,7.25
2016-09-06,52524.0,9.35,9.99,7.67,7.67
2016-09-07,160665.0,11.51,12.47,9.36,9.36
2016-09-08,44686.0,12.0,12.0,11.45,10.95
2016-09-09,46865.0,11.89,12.0,10.96,10.55
2016-09-12,40406.0,12.78,12.93,11.9,11.9
2016-09-13,43110.0,12.33,13.12,12.9,11.57
2016-09-14,32334.0,12.1,12.7,11.94,11.4
2016-09-15,17136.0,12.02,12.95,12.0,10.9709
2016-09-16,179420.0,11.9,12.76,11.72,11.52
2016-09-19,2139.0,11.35,12.02,12.02,11.3
2016-09-20,21193.0,9.81,11.35,11.35,9.34
2016-09-21,6994.0,10.35,10.82,9.81,9.81
2016-09-22,14305.0,10.6,11.0,10.39,10.29
2016-09-23,3394.0,10.33,10.73,10.55,10.27
2016-09-26,4588.0,10.54,10.98,10.38,10.38
2016-09-27,1766.0,10.05,10.47,10.45,10.05
2016-09-28,7333.0,10.29,10.99,10.22,9.6301
2016-09-29,14512.0,10.35,10.6,10.29,9.9
2016-09-30,9819.0,10.2,10.712,10.5,10.2
2016-10-03,2607.0,10.12,10.45,10.19,10.12
2016-10-04,10686.0,9.95,10.27,10.24,9.95
2016-10-05,28040.0,10.27,10.52,10.03,10.03
2016-10-06,2659.0,10.09,10.5,10.25,10.0
2016-10-07,83996.0,9.76,10.3084,10.14,9.06
2016-10-10,60829.0,9.56,10.39,9.7,9.53
2016-10-11,9734.0,8.99,9.5001,9.5,8.5
2016-10-12,8366.0,8.75,9.5774,8.85,8.75
2016-10-13,8524.0,9.25,9.48,8.9999,8.99
2016-10-14,5530.0,9.57,9.6,9.5907,9.4
2016-10-17,2749.0,9.4405,9.6,9.6,9.3325
2016-10-18,33968.0,9.3,9.6,9.6,8.75
2016-10-19,67319.0,9.9262,10.105,9.0,8.82
2016-10-20,33176.0,10.0505,10.51,9.65,9.65
2016-10-21,7834.0,9.8,10.1757,9.9,9.73
2016-10-24,4705.0,9.82,10.24,9.79,9.36
2016-10-25,2980.0,9.7,9.75,9.69,9.6
2016-10-26,3264.0,9.43,9.7,9.65,9.4
2016-10-27,27586.0,8.1,9.13,8.99,7.44
2016-10-28,8082.0,8.4,9.21,7.98,7.98
2016-10-31,5005.0,8.44,8.4427,8.43,8.43
2016-11-01,872.0,8.305,8.8,8.43,8.305
2016-11-02,7003.0,7.85,8.2,8.18,7.8
2016-11-03,15984.0,7.48,8.4965,8.2,7.21
2016-11-04,8033.0,7.34,7.53,7.48,7.3001
2016-11-07,8608.0,8.09,8.1,7.44,7.44
2016-11-08,2195.0,8.04,8.04,7.7655,7.7655
2016-11-09,7884.0,8.11,8.25,7.97,7.9501
2016-11-10,14356.0,9.1,9.4876,8.21,8.21
2016-11-11,32313.0,9.6015,9.81,9.0,8.125
2016-11-14,1676.0,9.11,9.7515,9.75,9.11
2016-11-15,2194.0,9.26,9.701,8.9344,8.9344
2016-11-16,1739.0,9.22,9.5533,9.0,9.0
2016-11-17,4004.0,9.5,9.75,9.75,9.5
2016-11-18,12438.0,9.51,9.55,9.5,9.46
2016-11-21,5042.0,9.6,10.0,9.51,9.5
2016-11-22,4358.0,9.53,9.87,9.87,9.5
2016-11-23,3722.0,9.59,9.6275,9.5,9.5
2016-11-25,5927.0,9.01,9.5156,9.19,8.87
2016-11-28,15650.0,8.04,9.07,8.66,8.04
2016-11-29,9273.0,8.29,8.4166,8.0,8.0
2016-11-30,38786.0,8.97,9.01,8.59,8.45
2016-12-01,53316.0,9.35,9.8,9.17,8.66
2016-12-02,17106.0,8.32,9.35,9.3,8.3105
2016-12-05,17644.0,8.31,9.05,8.76,8.1999
2016-12-06,29234.0,8.02,8.399,8.25,8.0
2016-12-07,88029.0,7.55,8.0328,8.0,7.2201
2016-12-08,91718.0,7.3,7.89,7.59,7.1
2016-12-09,101630.0,6.88,7.81,7.3,6.75
2016-12-12,80260.0,7.09,7.39,6.94,6.62
2016-12-13,94139.0,6.72,7.1,7.0,6.4715
2016-12-14,137249.0,6.15,6.91,6.78,6.0
2016-12-15,161800.0,5.81,6.1,6.08,5.74
2016-12-16,894471.0,6.23,6.23,5.92,5.86
2016-12-19,429515.0,6.36,6.5,6.01,6.01
2016-12-20,422817.0,6.7,7.0299,6.36,6.36
2016-12-21,369458.0,7.44,7.7425,6.7,6.7
2016-12-22,181570.0,7.7,7.87,7.3,7.3
2016-12-23,268661.0,7.62,7.8,7.68,7.5
2016-12-27,50752.0,7.67,7.85,7.75,7.5
2016-12-28,15585.0,7.74,7.8,7.7,7.65
2016-12-29,10263.0,7.76,7.9774,7.9774,7.7108
2016-12-30,130392.0,8.54,8.81,7.8,7.7087
2017-01-03,146631.0,8.14,8.64,8.22,6.8
