date,5. volume,4. close,2. high,1. open,3. low
2005-06-28,138900.0,20.01,20.01,20.0,20.0
2005-06-29,33900.0,20.0,20.01,20.0,20.0
2005-06-30,19800.0,20.02,20.03,20.01,20.0
2005-07-01,17700.0,20.0,20.04,20.02,20.0
2005-07-05,18400.0,20.01,20.03,20.01,20.0
2005-07-06,26100.0,20.0,20.05,20.05,20.0
2005-07-07,27000.0,20.0,20.01,20.0,20.0
2005-07-08,18000.0,20.01,20.01,20.0,20.0
2005-07-11,33000.0,20.01,20.01,20.0,20.0
2005-07-12,15800.0,20.0,20.01,20.0,20.0
2005-07-13,33200.0,20.0,20.01,20.0,20.0
2005-07-14,10100.0,20.01,20.01,20.0,20.0
2005-07-15,21000.0,20.0,20.01,20.0,20.0
2005-07-18,15100.0,20.01,20.01,20.0,20.0
2005-07-19,52700.0,20.0,20.01,20.0,20.0
2005-07-20,36400.0,20.01,20.01,20.0,20.0
2005-07-21,43800.0,20.0,20.01,20.01,20.0
2005-07-22,15100.0,20.0,20.01,20.01,20.0
2005-07-25,11900.0,20.0,20.01,20.01,20.0
2005-07-26,5700.0,20.04,20.04,20.0,20.0
2005-07-27,44200.0,20.01,20.01,20.0,20.0
2005-07-28,145400.0,20.0,20.0,20.0,20.0
2005-07-29,8300.0,20.0,20.01,20.01,20.0
2005-08-01,56500.0,20.03,20.03,20.01,20.0
2005-08-02,11700.0,20.0,20.0,20.0,20.0
2005-08-03,21200.0,20.0,20.01,20.0,20.0
2005-08-04,3400.0,20.0,20.01,20.0,20.0
2005-08-05,23000.0,20.04,20.04,20.0,20.0
2005-08-08,8000.0,20.0,20.02,20.0,20.0
2005-08-09,40400.0,19.65,20.0,20.0,19.65
2005-08-10,38700.0,18.86,19.55,19.55,18.2
2005-08-11,23500.0,18.5,18.99,18.9,18.4
2005-08-12,24700.0,18.6,18.74,18.65,18.5
2005-08-15,28400.0,18.4,18.75,18.7,18.35
2005-08-16,28300.0,18.4,18.75,18.5,18.35
2005-08-17,15800.0,18.45,18.57,18.45,18.35
2005-08-18,10800.0,18.58,18.65,18.4,18.4
2005-08-19,18200.0,18.15,18.57,18.5,18.13
2005-08-22,64700.0,18.0,18.1,18.05,17.67
2005-08-23,25600.0,18.17,18.2,18.0,17.9
2005-08-24,17100.0,18.05,18.2,18.1,17.95
2005-08-25,17100.0,18.44,18.45,18.0,18.0
2005-08-26,15300.0,18.38,18.5,18.3,18.25
2005-08-29,15500.0,18.5,18.5,18.25,18.15
2005-08-30,32900.0,19.0,19.1,18.55,18.5
2005-08-31,18800.0,19.0,19.0,18.85,18.75
2005-09-01,14600.0,19.2,19.2,19.0,18.75
2005-09-02,17100.0,19.2,19.35,19.05,19.01
2005-09-06,13900.0,19.3,19.3,19.15,19.01
2005-09-07,12500.0,19.5,19.5,19.2,19.2
2005-09-08,9300.0,19.45,19.54,19.28,19.13
2005-09-09,9000.0,19.34,19.45,19.45,19.13
2005-09-12,14500.0,19.14,19.25,19.25,19.0
2005-09-13,19000.0,19.11,19.3,19.25,19.1
2005-09-14,8800.0,18.97,19.17,19.0,18.9
2005-09-15,18800.0,18.88,19.15,18.9,18.8
2005-09-16,12700.0,19.09,19.25,19.0,18.9
2005-09-19,12400.0,18.95,19.19,19.19,18.8
2005-09-20,7200.0,18.99,19.2,19.05,18.95
2005-09-21,28400.0,18.7,19.0,19.0,18.5
2005-09-22,22800.0,18.36,18.8,18.8,18.2
2005-09-23,51300.0,18.16,18.5,18.5,17.56
2005-09-26,39800.0,18.07,18.25,17.91,17.9
2005-09-27,78100.0,17.96,18.3,18.0,17.75
2005-09-28,21200.0,18.29,18.3,17.8,17.8
2005-09-29,28500.0,18.37,18.5,18.34,18.05
2005-09-30,45400.0,18.21,18.43,18.37,18.0
2005-10-03,15600.0,18.35,18.39,18.39,18.07
2005-10-04,21200.0,18.24,18.38,18.35,18.12
2005-10-05,10300.0,18.26,18.35,18.2,18.2
2005-10-06,13700.0,18.35,18.39,18.25,18.25
2005-10-07,12500.0,18.06,18.34,18.3,18.06
2005-10-10,19900.0,18.01,18.2,17.9,17.89
2005-10-11,31400.0,18.05,18.25,18.0,18.0
2005-10-12,30900.0,17.95,18.2,18.0,17.9
2005-10-13,20400.0,18.0,18.0,18.0,17.8
2005-10-14,14500.0,17.9,18.0,18.0,17.8
2005-10-17,12500.0,17.9,18.0,17.9,17.9
2005-10-18,20200.0,17.7,17.98,17.98,17.64
2005-10-19,17300.0,17.63,17.7,17.6,17.53
