date,5. volume,4. close,2. high,1. open,3. low
2014-05-08,3735500.0,18.64,19.3,19.0,17.96
2014-05-09,293700.0,19.0,19.01,18.64,18.45
2014-05-12,149100.0,19.1,19.166,19.0,18.75
2014-05-13,99700.0,19.06,19.28,18.27,18.27
2014-05-14,47300.0,19.06,19.17,19.12,19.0
2014-05-15,368800.0,18.55,19.04,19.03,17.95
2014-05-16,67400.0,19.0,19.1,18.55,18.55
2014-05-19,47900.0,19.07,19.1,19.0,19.0
2014-05-20,44100.0,19.14,19.19,19.0,18.92
2014-05-21,47700.0,19.08,19.5,19.19,18.93
2014-05-22,52500.0,19.71,19.8,19.02,19.02
2014-05-23,51300.0,19.65,19.7,19.61,19.511
2014-05-27,47100.0,19.65,19.945,19.85,19.5
2014-05-28,56200.0,19.7,19.74,19.54,19.5
2014-05-29,306800.0,19.99,20.39,20.05,19.88
2014-05-30,487800.0,20.31,20.55,19.95,19.95
2014-06-02,306300.0,20.38,20.7,20.31,20.28
2014-06-03,289000.0,20.64,20.65,20.65,20.29
2014-06-04,262700.0,20.53,20.6,20.5,20.29
2014-06-05,140300.0,20.58,21.13,20.8,20.52
2014-06-06,197200.0,21.53,21.88,20.7,20.53
2014-06-09,199200.0,20.83,22.0,21.6,20.751
2014-06-10,224000.0,21.68,21.77,21.17,20.96
2014-06-11,321300.0,21.8,22.0,21.84,21.27
2014-06-12,131400.0,21.75,21.8899,21.79,21.53
2014-06-13,108100.0,21.63,21.75,21.75,21.25
2014-06-16,388800.0,20.73,21.97,21.97,20.19
2014-06-17,351100.0,21.15,21.75,21.49,20.97
2014-06-18,500400.0,22.08,23.12,21.4,21.4
2014-06-19,408100.0,22.35,22.95,22.5,22.02
2014-06-20,294700.0,22.7,22.86,22.24,21.81
2014-06-23,302800.0,22.92,23.14,22.75,22.47
2014-06-24,452900.0,23.33,23.73,22.96,22.89
2014-06-25,199000.0,22.55,23.34,23.3,22.5
2014-06-26,232700.0,23.46,23.77,23.24,23.0
2014-06-27,1039000.0,23.09,23.75,23.64,23.09
2014-06-30,444400.0,22.99,24.93,23.0,22.84
2014-07-01,383400.0,23.19,24.2,23.51,23.02
2014-07-02,246200.0,22.78,23.285,23.26,22.32
2014-07-03,93500.0,23.47,23.52,22.78,22.74
2014-07-07,451600.0,22.36,23.48,23.48,22.06
2014-07-08,167700.0,22.68,23.24,22.54,22.511
2014-07-09,133300.0,22.63,23.1,22.68,22.36
2014-07-10,256500.0,22.85,22.96,22.43,22.08
2014-07-11,126900.0,22.69,23.069,22.85,22.5
2014-07-14,183300.0,22.68,22.97,22.88,22.65
2014-07-15,110500.0,22.48,22.78,22.64,22.21
2014-07-16,202300.0,22.26,22.66,22.41,22.21
2014-07-17,186300.0,22.02,22.14,21.83,21.71
2014-07-18,124300.0,22.02,22.14,21.83,21.71
2014-07-21,55800.0,21.59,22.04,21.97,21.46
2014-07-22,44600.0,21.86,22.08,21.61,21.61
2014-07-23,113800.0,22.1,22.17,21.83,21.83
2014-07-24,120800.0,22.2,22.25,22.01,22.0001
2014-07-25,207900.0,22.14,22.23,22.1,21.87
2014-07-28,148500.0,21.56,22.08,22.08,21.38
2014-07-29,112300.0,21.66,21.77,21.6,21.46
2014-07-30,134000.0,20.89,21.78,21.77,20.8
2014-07-31,262500.0,20.07,20.93,20.93,19.99
2014-08-01,289400.0,20.53,20.6,20.0,20.0
2014-08-04,161600.0,20.55,20.59,20.56,19.86
2014-08-05,178200.0,20.22,20.62,20.51,20.01
2014-08-06,462600.0,19.76,21.06,20.03,19.6
2014-08-07,220000.0,19.53,19.76,19.75,19.4
2014-08-08,160800.0,19.63,19.68,19.52,19.31
2014-08-11,221500.0,19.63,19.92,19.76,19.51
2014-08-12,326900.0,19.2,19.8,19.8,18.88
2014-08-13,233100.0,19.59,19.8,19.19,19.11
2014-08-14,74400.0,19.67,19.75,19.7,19.525
