date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,70400.0,6.75,6.75,6.062,6.0
2000-01-04,136600.0,6.75,7.125,6.937,6.687
2000-01-05,97200.0,6.75,7.25,6.687,6.312
2000-01-06,204000.0,7.562,7.625,7.093,6.968
2000-01-07,255300.0,7.937,8.437,7.687,7.562
2000-01-10,128900.0,7.0,8.375,8.156,7.0
2000-01-11,56600.0,6.562,7.125,6.937,6.531
2000-01-12,13900.0,6.687,6.875,6.625,6.562
2000-01-13,71500.0,7.625,7.75,7.0,6.906
2000-01-14,51800.0,7.75,7.937,7.843,7.5
2000-01-18,141100.0,7.5,7.875,7.531,7.437
2000-01-19,59300.0,7.562,8.0,7.687,7.437
2000-01-20,192300.0,8.5,9.375,7.812,7.687
2000-01-21,213600.0,9.75,9.875,8.968,8.625
2000-01-24,557200.0,12.75,15.0,10.25,10.25
2000-01-25,308300.0,11.69,14.0,14.0,9.5
2000-01-26,166200.0,10.75,11.75,11.69,10.06
2000-01-27,196500.0,10.88,11.94,10.56,9.312
2000-01-28,70200.0,10.44,11.31,11.31,10.0
2000-01-31,48300.0,9.75,10.38,10.34,9.5
2000-02-01,163300.0,8.625,9.781,9.781,8.625
2000-02-02,100000.0,9.75,10.97,8.625,8.625
2000-02-03,38000.0,9.5,10.38,10.38,9.5
2000-02-04,51100.0,9.875,10.5,9.812,9.375
2000-02-07,21700.0,9.562,9.687,9.625,9.312
2000-02-08,52100.0,9.25,9.375,9.312,9.125
2000-02-09,41600.0,9.187,9.562,9.375,9.187
2000-02-10,31200.0,8.75,9.25,9.25,8.75
2000-02-11,38700.0,8.375,8.656,8.656,8.25
2000-02-14,50100.0,8.562,8.625,8.25,8.25
2000-02-15,19500.0,9.0,9.0,8.562,8.437
2000-02-16,11100.0,8.625,9.0,8.937,8.625
2000-02-17,18500.0,8.5,8.875,8.625,8.5
2000-02-18,49400.0,8.812,8.812,8.375,8.375
2000-02-22,17000.0,8.5,8.937,8.375,8.375
2000-02-23,58200.0,8.125,8.437,8.281,8.0
2000-02-24,44500.0,8.187,8.562,8.125,8.0
2000-02-25,59500.0,8.125,8.562,8.093,8.093
2000-02-28,27700.0,8.5,8.687,8.437,8.281
2000-02-29,74100.0,8.687,9.0,8.75,8.562
2000-03-01,162000.0,9.625,11.13,10.94,9.0
2000-03-02,95800.0,9.125,9.625,9.625,8.5
2000-03-03,47900.0,9.031,9.562,9.125,8.75
2000-03-06,162900.0,10.0,12.0,9.75,9.125
2000-03-07,97000.0,9.125,10.5,10.19,8.937
2000-03-08,36400.0,9.75,9.75,9.0,9.0
2000-03-09,28700.0,9.75,10.0,9.5,9.5
2000-03-10,49800.0,9.812,10.19,9.968,9.75
2000-03-13,146300.0,9.875,10.81,10.0,9.625
2000-03-14,41100.0,9.687,10.25,10.0,9.687
2000-03-15,68600.0,9.562,10.38,10.25,9.25
2000-03-16,45500.0,9.375,9.75,9.562,9.25
2000-03-17,55500.0,9.875,10.38,9.687,9.375
2000-03-20,71800.0,10.0,10.0,9.812,9.781
2000-03-21,57800.0,9.875,10.13,10.06,9.812
2000-03-22,54500.0,9.937,10.13,9.875,9.75
2000-03-23,33800.0,10.06,10.25,10.25,9.937
2000-03-24,42500.0,9.937,10.06,10.0,9.75
2000-03-27,40200.0,9.5,10.44,10.44,9.5
2000-03-28,34000.0,9.875,10.31,9.437,9.375
2000-03-29,38700.0,9.25,9.937,9.812,9.25
2000-03-30,77100.0,9.437,9.625,9.281,9.281
2000-03-31,58100.0,10.13,10.25,9.5,9.5
2000-04-03,109000.0,11.0,11.38,10.13,10.09
2000-04-04,91300.0,10.63,11.13,10.69,9.25
2000-04-05,45100.0,10.13,11.13,11.13,10.0
2000-04-06,27200.0,10.19,11.0,10.25,10.0
2000-04-07,82300.0,11.5,11.88,10.38,10.34
2000-04-10,151300.0,12.06,13.13,11.75,11.5
2000-04-11,362600.0,12.38,13.38,11.5,11.38
2000-04-12,347700.0,10.38,12.94,12.75,10.06
2000-04-13,86600.0,10.88,11.75,11.5,10.25
2000-04-14,152300.0,9.281,10.25,10.25,9.25
2000-04-17,100900.0,9.0,9.75,9.125,8.812
2000-04-18,121900.0,8.75,9.187,8.75,8.687
2000-04-19,29300.0,9.125,9.75,9.0,8.75
2000-04-20,28400.0,8.812,9.187,9.031,8.781
2000-04-24,46600.0,8.5,9.0,9.0,7.875
2000-04-25,39800.0,7.875,8.25,8.25,7.5
2000-04-26,19200.0,7.75,8.625,8.0,7.75
2000-04-27,21300.0,7.75,8.406,8.375,7.625
2000-04-28,35100.0,7.25,7.937,7.937,7.25
2000-05-01,61100.0,7.437,7.687,7.343,7.25
2000-05-02,44100.0,6.75,7.812,7.375,6.75
2000-05-03,52200.0,7.125,7.375,7.031,6.812
2000-05-04,21600.0,6.937,7.031,7.031,6.656
2000-05-05,22400.0,6.968,7.0,6.812,6.625
2000-05-08,11100.0,6.937,7.0,6.812,6.812
2000-05-09,78900.0,6.531,6.906,6.875,6.25
2000-05-10,30000.0,6.25,6.687,6.5,6.25
2000-05-11,43400.0,6.062,6.5,6.5,6.0
2000-05-12,18200.0,6.937,7.0,6.343,6.0
2000-05-15,36600.0,7.0,7.0,7.0,6.75
2000-05-16,9200.0,6.5,6.875,6.875,6.5
2000-05-17,41400.0,6.062,6.5,6.5,6.0
2000-05-18,109700.0,6.125,6.375,6.125,5.875
2000-05-19,19900.0,6.0,6.062,6.062,5.937
2000-05-22,24300.0,5.562,6.0,5.875,5.562
2000-05-23,38000.0,5.437,5.875,5.562,5.375
2000-05-24,181900.0,5.0,5.437,5.375,4.75
2000-05-25,39300.0,5.125,5.25,5.062,5.0
2000-05-26,46100.0,5.0,5.562,5.562,4.75
2000-05-30,62800.0,5.125,5.125,5.0,4.75
2000-05-31,25400.0,5.0,5.125,5.125,4.937
2000-06-01,47200.0,4.75,5.312,5.187,4.687
2000-06-02,39800.0,5.187,5.312,5.125,5.093
2000-06-05,13200.0,5.187,5.312,5.187,5.0
2000-06-06,25100.0,5.187,5.25,5.171,5.171
