date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,1061300.0,112.4,113.0,113.0,109.3
2000-01-04,1098600.0,107.5,111.5,109.2,106.1
2000-01-05,1031600.0,105.1,109.0,107.0,102.8
2000-01-06,880700.0,105.2,109.0,104.8,103.0
2000-01-07,1228200.0,106.8,107.3,105.5,99.5
2000-01-10,1879100.0,112.3,115.0,107.1,107.1
2000-01-11,1430100.0,110.9,118.9,110.8,110.0
2000-01-12,1712700.0,114.0,116.3,111.8,107.9
2000-01-13,909700.0,113.8,115.3,114.7,110.9
2000-01-14,2852400.0,129.8,131.6,116.1,116.0
2000-01-18,1901600.0,129.7,131.8,127.8,125.3
2000-01-19,1776600.0,136.4,138.8,130.3,125.4
2000-01-20,2080300.0,143.1,144.6,138.3,133.9
2000-01-21,2503000.0,138.9,149.6,149.5,134.9
2000-01-24,1503900.0,134.5,145.1,144.9,133.8
2000-01-25,1198400.0,137.9,140.0,135.9,130.5
2000-01-26,1786600.0,129.0,139.5,136.3,128.8
2000-01-27,1050000.0,129.5,136.7,131.5,129.0
2000-01-28,1047900.0,123.9,131.0,129.4,120.0
2000-01-31,1457900.0,124.9,125.5,122.4,116.9
2000-02-01,1225000.0,131.4,131.8,124.9,122.5
2000-02-02,1008400.0,137.3,137.6,131.4,129.4
2000-02-03,1085400.0,140.2,141.1,137.7,133.7
2000-02-04,1114400.0,137.1,143.6,140.8,134.3
2000-02-07,999600.0,139.0,141.9,138.3,135.9
2000-02-08,939100.0,138.9,141.4,140.5,136.0
2000-02-09,956100.0,136.8,143.1,136.8,134.3
2000-02-10,880100.0,143.9,144.8,136.7,133.6
2000-02-11,736500.0,140.2,144.3,142.4,137.4
2000-02-14,737100.0,144.4,145.0,141.1,140.2
2000-02-15,777100.0,143.0,144.4,144.4,137.9
2000-02-16,1527700.0,142.1,150.0,143.4,141.3
2000-02-17,1134100.0,146.0,146.6,142.5,136.5
2000-02-18,788800.0,138.4,147.0,146.6,138.0
2000-02-22,927700.0,138.9,141.8,137.2,129.3
2000-02-23,1355300.0,146.6,147.0,140.8,140.3
2000-02-24,1086500.0,143.0,150.0,147.7,139.1
2000-02-25,1004800.0,137.5,145.0,143.1,136.3
2000-02-28,868000.0,138.1,140.5,136.6,131.3
2000-02-29,2686800.0,156.1,156.1,139.7,139.7
2000-03-01,1630200.0,150.8,159.1,157.0,145.5
2000-03-02,1331100.0,150.3,154.1,151.5,148.0
2000-03-03,1712000.0,151.8,158.0,152.0,149.3
2000-03-06,779900.0,151.4,156.4,152.1,150.3
2000-03-07,1106700.0,152.0,159.0,155.6,150.3
2000-03-08,902600.0,146.9,154.2,154.2,143.4
2000-03-09,1019800.0,159.1,159.6,146.1,144.8
2000-03-10,1782700.0,162.4,165.0,157.0,156.1
2000-03-13,796200.0,154.5,161.7,161.7,152.5
2000-03-14,1005100.0,143.3,157.4,155.8,143.0
2000-03-15,1347900.0,133.1,143.9,143.9,132.6
2000-03-16,2874900.0,134.1,141.4,136.9,126.0
