date,5. volume,4. close,2. high,1. open,3. low
2007-12-13,4289300.0,24.55,25.75,21.51,19.75
2007-12-14,329300.0,25.5,25.9,24.35,23.81
2007-12-17,195100.0,24.98,26.28,25.75,24.74
2007-12-18,64000.0,25.64,26.0,25.0,25.0
2007-12-19,170000.0,29.0,30.5,25.5,25.1
2007-12-20,196200.0,27.11,31.0,29.89,26.8
2007-12-21,95700.0,28.41,28.9,27.35,27.11
2007-12-24,16900.0,28.48,30.0,30.0,28.48
2007-12-26,23200.0,28.29,29.01,28.11,27.25
2007-12-27,28600.0,27.29,28.36,27.95,27.281
2007-12-28,111600.0,26.01,27.11,27.09,25.82
2007-12-31,128700.0,25.87,26.1,25.6,25.35
2008-01-02,50800.0,26.36,27.89,25.1,24.98
2008-01-03,148000.0,27.81,29.43,26.0,26.0
2008-01-04,60700.0,27.46,28.0,26.51,26.51
2008-01-07,110900.0,25.8,27.25,27.0,25.4
2008-01-08,123900.0,26.04,26.04,25.8,25.5
2008-01-09,102100.0,26.1,26.41,25.8401,25.84
2008-01-10,9000.0,26.32,26.32,25.9,25.9
2008-01-11,21300.0,26.19,26.19,26.1,26.0
2008-01-14,202800.0,23.35,26.08,26.0,22.76
2008-01-15,155200.0,20.03,23.0,23.0,19.66
2008-01-16,92900.0,21.15,21.5,19.8,18.61
2008-01-17,33900.0,21.3,21.42,21.0,20.62
2008-01-18,26300.0,21.78,21.99,21.3,21.0
2008-01-22,36400.0,22.98,23.2499,21.66,20.0
2008-01-23,66600.0,24.0,24.31,22.9,21.98
2008-01-24,63700.0,25.5,25.94,23.55,23.5
2008-01-25,27400.0,25.29,25.6,25.6,24.98
2008-01-28,44100.0,24.87,25.2,24.98,24.35
2008-01-29,20400.0,24.21,25.15,25.0,23.5
2008-01-30,55000.0,23.0,24.94,24.94,22.56
2008-01-31,62500.0,23.0,24.0,23.05,22.8
2008-02-01,35000.0,23.0,23.325,23.1,22.84
2008-02-04,57800.0,23.7,24.5,23.12,23.07
2008-02-05,31600.0,22.98,23.76,23.7,22.98
2008-02-06,18400.0,23.05,23.61,23.18,22.92
2008-02-07,13200.0,23.0,23.4999,23.25,22.81
2008-02-08,21900.0,22.82,23.05,23.01,22.7
2008-02-11,19600.0,22.03,23.0,22.0,22.0
2008-02-12,7500.0,22.25,22.3299,22.0,21.02
2008-02-13,12800.0,24.0,24.0,23.86,21.85
2008-02-14,21200.0,23.575,24.79,23.8,23.35
2008-02-15,192000.0,25.08,26.25,23.95,22.31
2008-02-19,31200.0,26.96,27.48,26.0,25.45
2008-02-20,51500.0,27.34,27.36,26.96,26.56
2008-02-21,11400.0,26.32,27.6,26.78,25.81
2008-02-22,11100.0,26.7,27.48,27.3,26.16
2008-02-25,17900.0,27.59,27.82,27.5,26.54
2008-02-26,4900.0,26.452,27.8,27.0,26.1
2008-02-27,23900.0,27.78,27.78,26.08,25.78
2008-02-28,25400.0,27.2,27.25,27.15,25.38
2008-02-29,56000.0,27.12,28.05,27.12,26.8
2008-03-03,18100.0,26.82,27.84,27.11,26.58
2008-03-04,22300.0,26.34,27.82,27.82,25.17
2008-03-05,98400.0,25.1,26.35,26.35,25.0
2008-03-06,75400.0,23.48,25.75,23.9999,23.32
2008-03-07,12100.0,23.86,23.86,23.25,22.88
2008-03-10,6900.0,22.21,24.23,24.23,22.0
2008-03-11,28300.0,22.98,23.43,22.6,22.55
2008-03-12,35800.0,21.02,23.2,23.2,20.99
2008-03-13,156400.0,20.92,21.12,20.85,18.97
2008-03-14,10400.0,20.5,21.2,21.2,20.14
2008-03-17,10800.0,20.8,22.0,20.25,19.89
2008-03-18,33900.0,22.65,23.1,21.0,20.43
2008-03-19,33400.0,20.9,22.85,22.85,20.25
2008-03-20,22100.0,22.4,23.0,20.6,20.6
2008-03-24,54000.0,23.0,23.38,22.65,21.69
2008-03-25,32500.0,22.77,23.87,23.3,22.77
2008-03-26,8200.0,22.3,22.94,22.55,22.3
2008-03-27,28600.0,21.96,22.68,22.31,21.96
2008-03-28,106500.0,20.74,21.94,21.75,20.64
2008-03-31,638100.0,19.65,20.75,20.425,19.25
2008-04-01,248700.0,19.08,20.06,20.0,17.74
2008-04-02,241000.0,18.0,19.28,19.28,16.5
2008-04-03,55100.0,18.5,19.08,17.75,17.75
2008-04-04,54700.0,19.48,21.0,18.3,18.3
2008-04-07,156100.0,22.0,22.78,19.3,19.3
2008-04-08,16200.0,21.3,22.75,21.75,21.0
2008-04-09,35100.0,21.53,21.53,21.24,20.78
