date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,452300.0,47.13,47.13,47.13,47.13
2000-01-04,611500.0,44.94,47.88,45.63,44.75
2000-01-05,588900.0,44.5,45.88,45.0,42.75
2000-01-06,660500.0,41.63,44.75,44.0,40.88
2000-01-07,691900.0,43.34,43.94,42.44,41.0
2000-01-10,435800.0,47.44,48.0,44.69,44.5
2000-01-11,578900.0,45.94,48.5,48.25,45.38
2000-01-12,657200.0,46.88,48.22,46.0,45.13
2000-01-13,543000.0,49.63,49.81,48.0,47.63
2000-01-14,1066500.0,53.0,53.25,50.0,50.0
2000-01-18,910200.0,53.16,54.13,52.56,50.0
2000-01-19,955200.0,53.44,53.94,53.38,51.69
2000-01-20,2735000.0,59.94,60.75,55.0,55.0
2000-01-21,718700.0,59.13,60.25,59.56,58.25
2000-01-24,696300.0,59.0,60.13,59.5,58.56
2000-01-25,682600.0,59.59,61.56,59.06,57.5
2000-01-26,738500.0,56.19,59.63,59.63,54.38
2000-01-27,693700.0,53.75,58.25,56.5,52.0
2000-01-28,722000.0,52.56,55.5,53.5,51.63
2000-01-31,663900.0,51.31,54.0,52.75,50.0
2000-02-01,552800.0,53.38,53.75,52.13,51.31
2000-02-02,972800.0,56.84,58.0,54.38,54.13
2000-02-03,439900.0,59.0,59.25,57.75,56.25
2000-02-04,739400.0,58.75,60.0,59.75,56.75
2000-02-07,943200.0,63.22,63.25,59.0,58.63
2000-02-08,953700.0,65.06,65.75,63.63,62.63
2000-02-09,739400.0,63.44,65.0,65.0,62.13
2000-02-10,622100.0,66.16,66.5,63.0,61.38
2000-02-11,598100.0,65.44,66.56,66.56,64.38
2000-02-14,866500.0,64.88,65.75,65.5,63.5
2000-02-15,545200.0,63.38,65.0,64.31,61.25
2000-02-16,780800.0,64.13,66.38,63.25,63.25
2000-02-17,563800.0,62.38,65.25,64.25,62.0
2000-02-18,859400.0,58.13,62.0,62.0,57.63
2000-02-22,510300.0,59.66,60.13,58.25,58.25
2000-02-23,671600.0,62.75,63.25,59.75,59.75
2000-02-24,771800.0,65.13,66.13,62.75,62.75
2000-02-25,417600.0,64.97,66.25,65.56,63.56
2000-02-28,1325500.0,66.69,68.25,65.0,62.13
2000-02-29,922600.0,70.25,71.63,70.5,68.25
2000-03-01,996800.0,72.09,75.38,70.75,70.5
2000-03-02,712600.0,68.69,73.0,72.06,66.0
2000-03-03,538200.0,73.38,75.63,70.25,70.25
2000-03-06,1743300.0,78.06,80.5,73.5,73.5
2000-03-07,1163600.0,78.5,82.63,82.13,76.0
2000-03-08,1047600.0,74.38,79.75,79.25,73.0
2000-03-09,620400.0,77.69,78.06,73.75,71.75
2000-03-10,455700.0,79.06,79.75,78.25,75.75
2000-03-13,552600.0,74.63,77.38,76.75,71.94
2000-03-14,571700.0,69.38,77.31,76.0,68.38
2000-03-15,892400.0,64.13,70.0,69.5,63.25
2000-03-16,1379800.0,68.06,71.0,69.5,62.0
2000-03-17,746200.0,70.0,70.13,66.0,65.63
2000-03-20,458900.0,67.13,71.31,70.38,66.38
2000-03-21,789700.0,71.47,71.75,67.25,64.38
2000-03-22,872700.0,75.0,76.25,71.88,71.63
2000-03-23,604400.0,75.69,76.5,75.75,74.25
2000-03-24,572600.0,75.69,75.69,75.69,75.69
2000-03-27,622100.0,76.81,77.31,74.25,73.81
2000-03-28,617500.0,72.19,76.94,76.94,70.88
2000-03-29,1041600.0,69.38,73.0,72.75,66.75
2000-03-30,717800.0,66.75,71.25,68.88,64.5
2000-03-31,1799800.0,67.69,72.0,67.5,67.13
2000-04-03,1176600.0,63.13,68.13,68.13,60.5
2000-04-04,1778800.0,60.88,64.5,64.13,51.88
2000-04-05,981300.0,64.75,67.75,58.13,56.69
2000-04-06,717300.0,66.38,68.5,67.0,64.69
2000-04-07,764000.0,71.13,73.38,68.38,68.06
2000-04-10,849000.0,68.5,73.81,71.94,67.81
2000-04-11,1612000.0,66.75,69.38,67.38,59.94
2000-04-12,766700.0,61.75,68.5,66.75,60.88
2000-04-13,1138800.0,61.5,67.5,64.31,59.5
2000-04-14,1154700.0,53.8,61.44,61.13,51.75
2000-04-17,1200900.0,61.06,61.88,52.0,51.75
2000-04-18,1875400.0,63.75,67.13,60.94,57.56
2000-04-19,1489700.0,64.0,65.5,64.13,60.0
2000-04-20,1163300.0,62.94,64.88,64.38,59.75
2000-04-24,1052300.0,57.06,62.38,60.25,54.0
2000-04-25,875500.0,63.0,63.0,59.0,58.25
2000-04-26,1208300.0,59.13,64.75,63.25,58.75
2000-04-27,1098300.0,63.63,64.0,58.06,57.25
2000-04-28,609300.0,67.38,67.38,64.81,62.5
2000-05-01,1150000.0,68.13,69.81,66.63,66.63
2000-05-02,675400.0,64.5,69.38,67.0,64.44
2000-05-03,788000.0,60.63,66.13,64.5,59.25
2000-05-04,825100.0,61.19,63.0,61.25,59.5
2000-05-05,609800.0,63.88,65.13,61.06,60.75
2000-05-08,666100.0,60.25,64.63,63.63,60.25
2000-05-09,563200.0,58.38,62.0,61.25,57.25
2000-05-10,592200.0,53.38,58.81,58.25,52.63
2000-05-11,611700.0,58.66,58.75,56.0,54.0
2000-05-12,626200.0,57.88,62.63,59.0,57.63
2000-05-15,510600.0,59.5,60.0,59.38,55.63
2000-05-16,564000.0,61.25,61.63,60.06,57.88
2000-05-17,355400.0,60.44,62.88,60.31,58.88
2000-05-18,632200.0,59.44,62.25,61.94,59.13
2000-05-19,540400.0,55.38,60.13,59.25,55.38
2000-05-22,472400.0,55.88,56.25,56.0,51.63
2000-05-23,446500.0,51.5,57.13,55.56,51.5
2000-05-24,1019100.0,54.0,54.13,51.63,45.56
2000-05-25,586600.0,52.5,56.38,56.38,52.38
2000-05-26,204100.0,53.25,54.0,52.5,51.75
2000-05-30,625100.0,58.31,58.75,53.75,53.75
2000-05-31,821900.0,59.31,62.25,57.81,57.81
2000-06-01,937900.0,62.69,64.88,60.13,59.88
2000-06-02,1065500.0,67.94,70.44,66.63,66.06
2000-06-05,996800.0,69.06,71.13,67.69,66.25
2000-06-06,1217900.0,69.56,74.56,71.28,69.38
2000-06-07,618000.0,68.81,70.44,69.19,66.56
2000-06-08,428200.0,69.0,70.38,69.0,68.25
2000-06-09,1163800.0,76.0,76.13,70.5,70.13
2000-06-12,943900.0,70.13,76.0,76.0,69.5
2000-06-13,554100.0,72.94,73.25,68.56,68.56
2000-06-14,1232400.0,74.88,75.94,73.25,73.25
2000-06-15,598000.0,75.81,76.0,74.13,73.75
2000-06-16,1139500.0,77.0,77.94,77.63,74.25
2000-06-19,753100.0,79.81,80.0,75.38,75.25
2000-06-20,904300.0,81.75,82.13,80.0,78.88
2000-06-21,1171800.0,82.69,83.25,79.63,78.63
2000-06-22,739100.0,78.38,83.38,83.0,78.31
2000-06-23,496900.0,75.63,80.0,79.5,74.13
2000-06-26,658400.0,76.0,77.5,76.69,73.63
2000-06-27,1110200.0,73.56,75.81,75.63,72.0
2000-06-28,989200.0,74.94,76.25,73.5,73.0
2000-06-29,1419300.0,70.63,74.38,74.25,69.63
2000-06-30,1878800.0,69.13,71.5,70.38,64.5
2000-07-03,249600.0,72.5,72.5,69.5,69.31
2000-07-05,1342700.0,63.25,70.75,70.63,62.38
2000-07-06,1213600.0,65.81,68.5,63.88,61.06
2000-07-07,448900.0,68.44,69.48,67.38,66.5
2000-07-10,644000.0,69.19,70.5,68.31,66.44
2000-07-11,1290900.0,66.31,71.63,68.88,64.0
2000-07-12,459300.0,68.63,69.44,67.13,67.13
2000-07-13,1109600.0,72.13,74.75,69.38,68.88
2000-07-14,1285800.0,75.63,76.25,75.06,71.25
2000-07-17,1017600.0,78.56,80.0,75.75,73.5
2000-07-18,1687400.0,74.75,76.5,75.63,73.13
2000-07-19,503900.0,73.06,75.38,74.69,72.88
2000-07-20,809000.0,72.0,75.75,73.44,70.69
2000-07-21,910000.0,66.52,70.06,68.63,64.75
2000-07-24,912100.0,67.63,70.25,67.38,66.75
2000-07-25,435100.0,68.19,70.5,69.5,67.25
2000-07-26,638800.0,66.13,67.81,67.81,63.5
2000-07-27,1711900.0,55.0,65.69,65.69,55.0
2000-07-28,2267000.0,54.63,58.75,58.25,52.44
2000-07-31,2037400.0,54.88,56.44,56.13,52.44
2000-08-01,5400900.0,50.88,55.25,54.88,50.88
2000-08-02,1978500.0,52.25,55.19,52.19,51.02
2000-08-03,2385200.0,53.13,54.31,49.38,46.0
2000-08-04,2753800.0,55.38,56.5,53.91,50.88
2000-08-07,1037000.0,58.0,58.0,55.31,55.0
2000-08-08,755800.0,56.25,58.13,56.94,55.0
2000-08-09,958200.0,57.06,58.13,57.63,56.75
2000-08-10,587300.0,55.69,58.0,56.88,55.06
2000-08-11,902400.0,56.63,56.88,55.56,52.75
2000-08-14,904800.0,60.0,60.19,56.56,55.56
2000-08-15,947700.0,62.44,64.0,58.88,58.75
2000-08-16,1210700.0,61.13,64.81,64.5,59.63
2000-08-17,1524300.0,63.63,64.5,61.34,60.88
2000-08-18,1332300.0,67.63,67.69,64.06,64.0
2000-08-21,699300.0,64.38,68.88,68.16,63.25
2000-08-22,457400.0,65.19,66.25,65.0,63.25
2000-08-23,1292500.0,70.13,70.25,64.94,64.13
2000-08-24,1470500.0,74.5,74.63,70.75,70.75
2000-08-25,467500.0,74.25,74.56,73.13,72.38
2000-08-28,860200.0,71.5,75.5,74.38,71.5
2000-08-29,4476400.0,71.38,73.25,72.0,71.25
2000-08-30,492300.0,72.06,72.75,71.38,70.94
2000-08-31,1733800.0,77.88,78.75,72.44,72.25
2000-09-01,931400.0,77.69,78.25,77.88,76.0
2000-09-05,725600.0,75.3,77.94,77.25,75.0
2000-09-06,1234500.0,70.5,74.81,74.81,70.38
2000-09-07,676900.0,74.38,75.38,71.19,71.0
2000-09-08,751000.0,70.69,74.06,73.75,70.0
2000-09-11,992300.0,68.44,73.56,70.69,66.0
2000-09-12,982300.0,65.13,70.0,68.34,65.0
2000-09-13,1597000.0,65.25,66.75,64.56,62.5
2000-09-14,694300.0,65.5,68.25,66.44,64.31
2000-09-15,1163700.0,61.31,66.38,62.31,61.25
2000-09-18,709900.0,59.38,63.88,62.63,58.75
2000-09-19,1207300.0,62.69,63.06,60.75,58.94
2000-09-20,1706300.0,61.94,63.69,63.0,59.06
2000-09-21,1588400.0,58.0,61.94,61.88,57.75
2000-09-22,1837500.0,58.31,59.19,54.44,53.75
2000-09-25,982100.0,56.06,59.06,58.5,55.63
2000-09-26,849300.0,56.13,59.56,57.0,56.0
2000-09-27,604200.0,55.94,58.75,57.25,55.56
2000-09-28,954800.0,56.69,58.25,55.5,54.5
2000-09-29,920400.0,53.75,55.63,55.38,52.75
2000-10-02,793600.0,52.44,55.0,54.34,51.69
2000-10-03,1242500.0,48.81,53.5,53.44,48.75
2000-10-04,1966400.0,51.13,52.38,48.5,48.38
2000-10-05,1300800.0,51.19,52.63,50.5,49.75
2000-10-06,1032300.0,48.38,51.75,50.98,46.94
2000-10-09,930500.0,48.0,49.19,48.75,44.94
2000-10-10,2018500.0,43.5,45.0,42.94,41.5
2000-10-11,1815500.0,44.69,48.5,43.06,42.44
2000-10-12,1504700.0,22.25,24.75,23.5,22.13
2000-10-13,1869800.0,24.63,25.63,23.75,22.56
2000-10-16,1590100.0,24.19,25.0,25.0,23.56
2000-10-17,2186000.0,22.56,24.81,24.81,21.19
2000-10-18,3101800.0,22.31,26.19,21.56,20.19
2000-10-19,1757000.0,25.44,26.25,24.31,23.13
2000-10-20,1845900.0,26.31,27.0,25.31,24.19
2000-10-23,1593600.0,26.75,27.75,26.0,25.94
2000-10-24,2806100.0,25.25,26.81,26.75,24.75
2000-10-25,1609100.0,22.5,24.48,24.47,22.13
2000-10-26,1903200.0,24.75,25.06,22.88,22.0
2000-10-27,1921400.0,25.25,26.0,25.0,24.75
2000-10-30,1370500.0,25.63,26.0,25.13,24.38
2000-10-31,2970300.0,29.19,29.63,25.78,25.75
2000-11-01,3753400.0,25.0,26.63,26.44,24.75
2000-11-02,1761500.0,26.88,27.25,27.19,26.0
2000-11-03,1017900.0,26.06,27.0,26.88,25.83
2000-11-06,764400.0,25.88,27.0,26.13,25.56
2000-11-07,2353700.0,23.56,25.38,25.27,22.31
2000-11-08,1264700.0,22.0,23.88,23.53,21.69
2000-11-09,2280400.0,21.0,21.69,21.69,20.0
2000-11-10,1147000.0,20.25,20.88,20.44,19.81
2000-11-13,2075000.0,21.38,23.0,19.75,19.38
2000-11-14,1818600.0,21.75,23.0,22.06,21.19
2000-11-15,2291000.0,22.25,23.5,21.94,21.56
2000-11-16,1905600.0,20.81,21.69,21.38,20.56
2000-11-17,776200.0,20.75,21.31,20.31,19.81
2000-11-20,1517500.0,20.88,21.69,20.13,19.94
2000-11-21,1174100.0,19.88,21.06,20.94,19.63
2000-11-22,1838500.0,18.63,20.0,19.72,18.56
2000-11-24,529500.0,20.36,20.69,19.25,19.0
2000-11-27,1367900.0,19.06,20.44,20.25,18.56
2000-11-28,2137100.0,17.5,19.25,19.25,17.0
2000-11-29,1297600.0,17.56,18.13,17.5,16.88
2000-11-30,3204300.0,16.63,17.31,15.5,15.0
2000-12-01,1301600.0,17.0,17.88,16.75,16.63
2000-12-04,1943600.0,17.5,17.81,17.06,15.63
2000-12-05,1912700.0,18.25,18.38,17.69,17.13
2000-12-06,2728000.0,17.63,18.69,18.13,17.63
2000-12-07,1897200.0,16.56,17.69,17.63,16.5
2000-12-08,4634600.0,19.5,20.86,17.44,17.38
2000-12-11,1541600.0,20.75,21.13,19.56,18.94
2000-12-12,3054800.0,18.69,20.44,20.38,18.13
2000-12-13,1951500.0,17.81,19.19,19.0,17.69
2000-12-14,3161700.0,17.25,18.19,18.06,17.13
2000-12-15,3746700.0,17.19,17.25,17.06,16.81
2000-12-18,1418500.0,17.31,18.31,17.56,17.13
2000-12-19,1776700.0,16.94,18.5,16.94,16.88
2000-12-20,2550200.0,16.38,16.86,16.81,15.75
2000-12-21,3106700.0,15.88,16.63,16.38,15.38
2000-12-22,1778500.0,17.94,18.0,15.88,15.88
2000-12-26,898400.0,17.94,17.94,17.94,17.94
2000-12-27,1962400.0,17.0,19.06,17.88,16.75
2000-12-28,941400.0,18.19,18.44,17.0,17.0
2000-12-29,2201600.0,18.38,19.0,18.25,17.88
2001-01-02,1762400.0,17.81,18.75,18.53,17.38
2001-01-03,2007000.0,20.19,20.44,17.28,16.75
2001-01-04,2918100.0,20.75,21.94,19.88,19.5
2001-01-05,1751000.0,20.31,21.38,21.38,19.69
2001-01-08,1537600.0,19.94,20.44,20.25,19.13
2001-01-09,850800.0,20.38,20.63,20.56,19.69
2001-01-10,1869400.0,21.38,21.88,19.81,19.63
2001-01-11,2504000.0,23.25,23.81,20.94,20.88
2001-01-12,1150700.0,23.0,23.75,23.38,22.19
2001-01-16,1722100.0,22.25,23.13,22.98,21.06
2001-01-17,1484100.0,23.75,24.5,23.25,23.25
2001-01-18,3842300.0,24.75,25.13,22.89,22.19
2001-01-19,3550800.0,24.38,26.25,26.0,23.75
2001-01-22,1545300.0,24.06,24.63,24.63,23.44
2001-01-23,2239000.0,24.06,24.19,23.63,23.56
2001-01-24,2816100.0,24.31,24.88,24.16,23.88
2001-01-25,1355100.0,23.38,24.31,24.3,23.0
2001-01-26,2220100.0,22.88,23.0,22.94,22.0
2001-01-29,928700.0,23.56,23.88,22.81,22.19
2001-01-30,2869400.0,24.38,24.75,23.44,23.44
2001-01-31,4880000.0,25.94,26.88,25.0,24.75
2001-02-01,2045200.0,26.25,27.25,26.0,25.63
2001-02-02,1450300.0,24.38,26.38,26.25,24.13
2001-02-05,869000.0,23.75,24.44,24.44,23.03
2001-02-06,1215200.0,24.13,25.06,23.44,23.38
2001-02-07,2926900.0,22.5,23.75,23.38,22.0
2001-02-08,857600.0,22.5,23.44,22.56,22.25
2001-02-09,2182700.0,21.81,22.88,22.44,21.25
2001-02-12,2482600.0,22.13,23.5,21.63,21.63
2001-02-13,922900.0,22.06,23.63,22.25,22.0
2001-02-14,3173200.0,23.44,23.5,22.19,22.0
2001-02-15,2994100.0,25.44,26.13,23.75,23.69
2001-02-16,3296600.0,22.75,24.06,23.63,21.75
2001-02-20,1862600.0,20.5,23.13,22.75,20.44
2001-02-21,3010800.0,21.25,22.69,20.25,20.19
2001-02-22,1938000.0,20.75,22.38,21.38,20.19
2001-02-23,1584200.0,21.03,21.31,20.69,19.5
2001-02-26,1226300.0,20.5,21.31,21.28,19.69
2001-02-27,3079700.0,19.0,20.38,20.38,18.56
2001-02-28,2453100.0,18.5,19.06,18.56,17.56
2001-03-01,3326600.0,19.56,19.63,18.0,17.38
2001-03-02,6550200.0,20.19,21.69,18.5,18.5
2001-03-05,2894400.0,20.69,20.94,20.25,20.13
2001-03-06,2777700.0,21.81,22.38,21.5,21.31
2001-03-07,1581500.0,21.06,22.0,21.97,20.63
2001-03-08,2924000.0,20.5,21.19,20.88,20.13
2001-03-09,2069600.0,18.94,20.5,20.19,18.81
2001-03-12,1466200.0,18.2,19.56,18.81,18.19
2001-03-13,2152500.0,19.75,19.81,19.0,18.31
2001-03-14,1732500.0,19.55,20.38,19.31,19.0
2001-03-15,1673000.0,18.25,20.5,20.38,18.19
2001-03-16,2117000.0,17.56,18.38,17.5,17.38
2001-03-19,1200300.0,19.06,19.25,18.0,17.5
2001-03-20,2422800.0,18.56,20.31,18.94,18.5
2001-03-21,2789400.0,19.42,20.0,18.75,18.44
2001-03-22,2997000.0,21.25,22.0,19.5,19.31
2001-03-23,2375200.0,21.63,22.19,21.88,20.38
2001-03-26,1377800.0,20.86,21.88,21.88,20.69
2001-03-27,3046800.0,20.44,21.69,20.84,19.56
2001-03-28,2362700.0,19.38,20.81,19.75,18.94
2001-03-29,2128700.0,18.88,20.0,19.31,18.13
2001-03-30,2725800.0,18.19,19.0,18.97,17.63
2001-04-02,2345800.0,17.44,18.63,18.22,17.0
2001-04-03,2704400.0,16.75,17.44,17.19,16.19
2001-04-04,2217100.0,16.19,17.25,16.81,15.88
2001-04-05,2099600.0,18.5,18.69,17.0,16.94
2001-04-06,1286000.0,17.19,18.19,18.13,17.0
2001-04-09,1374100.0,17.0,18.0,17.77,15.95
2001-04-10,2505000.0,18.71,18.75,17.26,17.0
2001-04-11,3857100.0,20.7,21.96,20.76,20.0
2001-04-12,1994800.0,21.9,21.97,20.01,19.25
2001-04-16,1696900.0,21.12,21.94,21.06,20.4
2001-04-17,2005200.0,20.63,21.8,20.25,20.15
2001-04-18,4236700.0,23.15,24.63,21.85,21.81
2001-04-19,2792600.0,25.18,25.18,23.15,22.88
2001-04-20,4369200.0,25.17,26.4,25.8,24.7
2001-04-23,1455800.0,23.69,24.55,24.55,23.45
2001-04-24,1621700.0,23.66,25.29,23.44,23.28
2001-04-25,1380600.0,24.02,24.05,23.31,23.09
2001-04-26,1312300.0,22.67,24.35,24.0,22.57
2001-04-27,693700.0,23.85,24.03,23.17,23.09
2001-04-30,1245800.0,24.63,25.1,24.26,23.86
2001-05-01,1439700.0,24.64,24.69,24.5,23.4
2001-05-02,1473400.0,25.25,25.9,24.9,24.55
2001-05-03,1123600.0,24.03,24.96,24.91,23.75
2001-05-04,1765300.0,24.77,25.01,23.6,23.07
2001-05-07,2666400.0,24.42,25.58,24.5,24.33
2001-05-08,1943400.0,24.95,25.25,24.51,24.5
2001-05-09,2367000.0,24.12,24.55,24.35,23.75
2001-05-10,2189700.0,24.36,25.16,25.07,24.15
2001-05-11,1629900.0,24.04,25.5,24.11,23.9
2001-05-14,966100.0,23.26,24.0,23.9,22.63
2001-05-15,1179400.0,23.2,23.89,23.19,22.75
2001-05-16,2371200.0,24.78,24.85,23.11,22.65
2001-05-17,2167200.0,24.9,25.24,24.5,24.07
2001-05-18,2050900.0,24.89,25.24,24.47,24.25
2001-05-21,1825100.0,27.16,29.65,24.82,24.82
2001-05-22,1534500.0,26.65,27.64,27.0,26.5
2001-05-23,1361800.0,25.01,26.51,26.45,24.96
2001-05-24,1738800.0,24.48,25.1,25.07,23.51
2001-05-25,736000.0,24.22,25.05,24.59,24.0
2001-05-29,629800.0,22.72,24.05,24.05,22.68
2001-05-30,1488000.0,21.25,22.6,22.48,21.12
2001-05-31,1128600.0,21.76,22.38,21.41,21.33
2001-06-01,1420300.0,22.99,23.0,21.98,21.6
2001-06-04,779300.0,22.1,22.99,22.74,22.06
