date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,134400.0,16.38,16.81,16.81,15.88
2000-01-04,36100.0,15.75,16.5,16.5,15.62
2000-01-05,57000.0,15.81,16.06,16.06,15.62
2000-01-06,500900.0,15.56,16.06,16.06,15.0
2000-01-07,102100.0,15.75,15.88,15.44,15.44
2000-01-10,129700.0,16.0,16.62,15.75,15.69
2000-01-11,140700.0,15.62,16.19,16.0,15.38
2000-01-12,100600.0,15.69,15.81,15.69,15.56
2000-01-13,90700.0,15.62,15.88,15.88,15.5
2000-01-14,73200.0,15.62,15.75,15.62,15.5
2000-01-18,79700.0,15.56,15.81,15.81,15.19
2000-01-19,64900.0,15.31,15.88,15.56,15.31
2000-01-20,123200.0,15.0,15.44,15.19,14.75
2000-01-21,89800.0,15.0,15.5,15.0,14.88
2000-01-24,100300.0,14.81,15.69,15.25,14.81
2000-01-25,82500.0,14.81,15.25,15.0,14.75
2000-01-26,186800.0,15.38,15.62,15.0,15.0
2000-01-27,108100.0,14.81,15.5,15.5,14.56
2000-01-28,331900.0,14.31,14.75,14.75,13.5
2000-01-31,214500.0,13.69,14.31,14.25,13.5
2000-02-01,189700.0,14.31,14.62,13.62,13.62
2000-02-02,136000.0,15.06,15.31,14.31,14.31
2000-02-03,140300.0,14.5,15.12,14.81,14.12
2000-02-04,105100.0,14.31,14.94,14.62,14.12
2000-02-07,115500.0,14.31,14.5,14.31,14.12
2000-02-08,250300.0,15.0,15.75,14.75,14.19
2000-02-09,185500.0,14.38,15.0,15.0,14.0
2000-02-10,170000.0,13.75,14.44,14.31,13.62
2000-02-11,271400.0,14.0,14.88,13.75,13.75
2000-02-14,172900.0,15.0,15.31,14.12,14.12
2000-02-15,164400.0,14.5,15.56,15.06,14.44
2000-02-16,111700.0,14.75,15.25,14.38,14.38
2000-02-17,66200.0,15.25,15.38,14.69,14.69
2000-02-18,80800.0,14.81,15.25,15.25,14.81
2000-02-22,81400.0,14.94,15.0,14.81,14.75
2000-02-23,67100.0,15.31,15.38,14.75,14.69
2000-02-24,86500.0,14.69,15.38,15.31,14.62
2000-02-25,104100.0,15.44,15.56,14.69,14.69
2000-02-28,91200.0,15.5,15.5,15.38,14.62
2000-02-29,217000.0,16.62,16.75,15.44,15.41
2000-03-01,115000.0,15.81,16.69,16.62,15.25
2000-03-02,82300.0,16.19,16.25,15.81,15.69
2000-03-03,64700.0,16.62,16.81,16.19,16.19
2000-03-06,59000.0,16.62,16.88,16.88,16.5
2000-03-07,142700.0,15.56,16.5,16.5,15.25
2000-03-08,87900.0,15.44,15.75,15.31,15.19
2000-03-09,149000.0,16.5,17.0,15.5,15.44
2000-03-10,103400.0,15.38,16.56,16.5,15.25
2000-03-13,49400.0,15.38,15.69,15.44,15.25
2000-03-14,101300.0,15.56,15.94,15.56,15.31
2000-03-15,114500.0,16.0,16.12,15.69,15.25
2000-03-16,233500.0,17.81,17.81,16.12,15.94
2000-03-17,285500.0,17.19,17.38,16.75,16.75
2000-03-20,120200.0,17.69,17.69,17.12,17.12
2000-03-21,80800.0,16.94,17.5,17.5,16.75
2000-03-22,69700.0,17.12,17.44,17.0,16.44
2000-03-23,60000.0,16.5,17.0,17.0,16.5
2000-03-24,60800.0,16.94,16.94,16.69,16.5
2000-03-27,63200.0,16.38,17.0,16.94,16.0
2000-03-28,75500.0,15.94,16.25,15.88,15.81
2000-03-29,104500.0,16.0,16.0,15.75,15.5
2000-03-30,118300.0,16.0,16.19,16.19,15.38
