date,5. volume,4. close,2. high,1. open,3. low
2012-03-29,3778300.0,6.04,6.5,6.35,5.86
2012-03-30,623600.0,6.19,6.19,6.01,5.81
2012-04-02,284900.0,6.0,6.33,6.33,5.87
2012-04-03,284800.0,6.08,6.1,6.08,5.94
2012-04-04,49300.0,6.01,6.051,6.01,6.0
2012-04-05,45500.0,6.06,6.1,6.051,6.0
2012-04-09,161900.0,6.54,6.63,6.15,6.0
2012-04-10,270600.0,6.61,6.87,6.5,6.31
2012-04-11,161700.0,6.75,6.85,6.65,6.43
2012-04-12,126500.0,7.0,7.03,6.75,6.55
2012-04-13,57200.0,6.94,7.05,7.05,6.75
2012-04-16,393600.0,7.69,7.87,7.0,6.95
2012-04-17,164500.0,7.82,7.88,7.85,7.5
2012-04-18,174600.0,8.08,8.08,7.91,7.79
2012-04-19,215900.0,8.67,9.0,8.89,8.25
2012-04-20,168100.0,8.47,8.8,8.71,8.47
2012-04-23,181000.0,7.76,8.62,8.5,7.5
2012-04-24,81900.0,7.1,7.945,7.89,7.05
2012-04-25,185700.0,7.69,7.76,7.06,7.06
2012-04-26,14100.0,7.66,7.8581,7.63,7.5
2012-04-27,20000.0,7.26,7.53,7.12,7.12
2012-04-30,89500.0,7.9,7.98,7.41,7.41
2012-05-01,256000.0,7.66,9.0,7.86,7.4
2012-05-02,86000.0,7.61,7.945,7.73,7.5
2012-05-03,45800.0,7.42,7.79,7.61,7.42
2012-05-04,63400.0,7.46,8.49,7.48,7.3
2012-05-07,78000.0,7.5,7.65,7.46,7.46
2012-05-08,97600.0,7.62,7.9645,7.62,7.35
2012-05-09,55400.0,7.65,7.75,7.75,7.57
2012-05-10,87000.0,7.15,7.75,7.75,7.11
2012-05-11,38000.0,7.35,7.54,7.16,7.15
2012-05-14,21000.0,7.41,7.51,7.34,7.34
2012-05-15,28500.0,7.05,7.4632,7.35,7.05
2012-05-16,190000.0,7.37,7.39,7.12,7.12
2012-05-17,461200.0,7.35,7.43,7.43,7.05
2012-05-18,166000.0,7.3,7.4,7.34,7.1
2012-05-21,78300.0,7.23,7.33,7.26,7.08
2012-05-22,255500.0,6.56,7.3,7.15,6.32
2012-05-23,28100.0,6.58,6.61,6.515,6.5
2012-05-24,41500.0,7.02,7.02,6.57,6.26
2012-05-25,36300.0,6.85,7.15,6.99,6.74
2012-05-29,110600.0,6.94,7.01,7.0,6.85
2012-05-30,41300.0,6.57,6.895,6.87,6.31
2012-05-31,42600.0,6.87,6.87,6.56,6.32
2012-06-01,21100.0,6.21,6.79,6.79,6.21
2012-06-04,55800.0,6.1,6.18,6.12,5.9
2012-06-05,62100.0,5.67,6.11,6.005,5.66
2012-06-06,32600.0,6.18,6.19,5.7,5.68
2012-06-07,19200.0,6.71,6.7401,6.23,6.2101
2012-06-08,137800.0,7.35,7.58,6.69,6.69
2012-06-11,263800.0,6.49,7.3,7.3,6.01
2012-06-12,23900.0,6.46,6.98,6.44,6.16
2012-06-13,20700.0,6.8,6.8,6.47,6.31
2012-06-14,66300.0,7.15,7.19,6.82,6.63
2012-06-15,149100.0,7.35,7.5,7.2,6.58
2012-06-18,116300.0,7.36,7.45,7.27,7.2295
2012-06-19,97600.0,7.08,7.28,7.27,6.84
2012-06-20,120300.0,7.1,7.212,7.04,6.93
2012-06-21,99400.0,7.1,7.18,7.18,6.95
2012-06-22,2018500.0,7.0,7.32,7.1,6.81
2012-06-25,75500.0,7.12,7.24,6.88,6.66
2012-06-26,155600.0,7.1,7.23,7.2,6.97
2012-06-27,102700.0,7.0,7.33,7.06,6.92
2012-06-28,58700.0,7.1,7.15,6.93,6.63
2012-06-29,115800.0,7.28,7.3,7.17,6.89
2012-07-02,71900.0,7.47,7.47,7.17,7.11
2012-07-03,60900.0,7.28,7.48,7.45,7.11
2012-07-05,59200.0,7.26,7.5,7.28,7.2
2012-07-06,26600.0,7.31,7.38,7.24,7.15
2012-07-09,74700.0,7.39,7.41,7.32,7.31
2012-07-10,38700.0,7.11,7.3,7.3,7.01
2012-07-11,43000.0,7.17,7.3,7.15,7.0001
2012-07-12,26000.0,7.2,7.28,7.15,7.03
2012-07-13,102400.0,7.49,7.5,7.25,7.25
2012-07-16,96800.0,7.6,7.769,7.43,7.3
2012-07-17,65000.0,7.65,7.69,7.67,7.46
2012-07-18,90900.0,7.6,7.65,7.65,7.4
2012-07-19,41500.0,7.25,7.64,7.6,7.11
2012-07-20,507600.0,7.87,9.2,7.76,7.56
2012-07-23,208100.0,7.88,8.05,7.77,7.77
2012-07-24,405000.0,8.15,8.25,7.99,7.911
2012-07-25,371700.0,8.75,8.88,8.2,8.14
2012-07-26,220500.0,8.54,8.8699,8.75,8.51
2012-07-27,123700.0,8.32,8.6,8.6,8.26
2012-07-30,180500.0,7.82,8.39,8.36,7.71
2012-07-31,154500.0,7.97,8.1,7.84,7.84
2012-08-01,64000.0,7.8,8.08,8.02,7.79
2012-08-02,77100.0,7.68,7.86,7.73,7.58
2012-08-03,47100.0,7.71,7.98,7.74,7.6425
2012-08-06,52900.0,7.69,7.77,7.74,7.5707
2012-08-07,74000.0,7.7,7.73,7.73,7.658
2012-08-08,63800.0,7.37,7.7,7.7,7.33
2012-08-09,58300.0,7.37,7.5,7.4,7.35
2012-08-10,53400.0,7.38,7.69,7.37,7.33
2012-08-13,54200.0,7.64,7.65,7.39,7.39
2012-08-14,55600.0,7.6,7.81,7.65,7.52
2012-08-15,93600.0,7.64,7.65,7.6,7.54
2012-08-16,41800.0,7.6,7.7,7.66,7.51
2012-08-17,72800.0,7.79,7.88,7.56,7.54
2012-08-20,56600.0,7.64,7.84,7.84,7.62
2012-08-21,82100.0,7.59,7.73,7.7,7.54
2012-08-22,104400.0,7.3,7.62,7.62,7.28
2012-08-23,81800.0,7.525,7.71,7.33,7.28
2012-08-24,41200.0,7.515,7.6198,7.6198,7.5
2012-08-27,98100.0,7.57,7.71,7.58,7.55
2012-08-28,80400.0,7.59,7.71,7.6,7.55
2012-08-29,52200.0,7.69,7.74,7.62,7.605
2012-08-30,38000.0,7.55,7.79,7.61,7.55
2012-08-31,243400.0,7.96,8.3,7.75,7.71
2012-09-04,101400.0,7.94,8.09,8.0,7.8
2012-09-05,179000.0,7.95,8.05,7.9,7.6
2012-09-06,318300.0,8.14,8.2,8.0,7.8
2012-09-07,134100.0,8.11,8.1999,8.15,7.9
2012-09-10,109400.0,8.08,8.18,8.18,8.05
2012-09-11,47900.0,8.12,8.14,8.05,7.95
2012-09-12,54200.0,8.15,8.15,8.12,8.0
2012-09-13,138900.0,8.19,8.32,8.19,8.14
2012-09-14,158700.0,8.38,8.4,8.16,8.11
2012-09-17,64000.0,8.22,8.3498,8.31,8.03
2012-09-18,169600.0,8.71,8.75,8.38,8.1594
2012-09-19,206500.0,9.02,9.215,8.75,8.67
2012-09-20,236200.0,9.39,9.45,9.05,9.0
2012-09-21,639700.0,10.43,11.1098,9.85,9.85
2012-09-24,240300.0,10.94,11.0,10.23,10.16
2012-09-25,7402900.0,9.09,9.78,9.53,8.58
2012-09-26,1174800.0,9.17,9.17,9.09,8.7763
2012-09-27,1112300.0,9.55,9.58,9.03,8.95
2012-09-28,6101900.0,9.38,9.65,9.5,8.84
2012-10-01,1325700.0,8.92,9.4,9.39,8.85
2012-10-02,1973300.0,9.06,9.24,9.0,8.82
2012-10-03,344000.0,8.68,9.0,9.0,8.631
2012-10-04,351900.0,8.28,8.75,8.65,8.15
2012-10-05,313600.0,8.41,8.54,8.23,8.2
2012-10-08,171300.0,8.25,8.49,8.41,8.13
2012-10-09,417700.0,8.01,8.28,8.25,8.0
2012-10-10,294600.0,7.5,8.0,8.0,7.315
2012-10-11,217600.0,7.38,7.65,7.54,7.35
2012-10-12,143100.0,7.48,7.69,7.4,7.31
2012-10-15,129200.0,7.42,7.56,7.46,7.39
2012-10-16,158200.0,7.38,7.51,7.48,7.33
2012-10-17,87200.0,7.4,7.46,7.46,7.36
2012-10-18,155700.0,7.37,7.49,7.46,7.34
2012-10-19,303100.0,6.93,7.4,7.35,6.82
2012-10-22,336100.0,6.65,7.22,7.03,6.61
2012-10-23,234500.0,6.56,6.73,6.61,6.36
2012-10-24,159400.0,6.31,6.59,6.59,6.28
2012-10-25,109200.0,6.36,6.4,6.35,6.29
2012-10-26,157500.0,6.2,6.38,6.38,6.2
2012-10-31,189100.0,6.18,6.76,6.21,6.12
2012-11-01,235400.0,6.65,6.66,6.2,6.19
2012-11-02,223500.0,6.4184,6.68,6.64,6.285
2012-11-05,119400.0,6.61,6.7,6.5,6.4
2012-11-06,352000.0,7.02,7.06,6.66,6.66
2012-11-07,236100.0,6.78,7.06,6.95,6.6
2012-11-08,225800.0,6.84,6.98,6.73,6.62
2012-11-09,262700.0,7.2,7.3,6.94,6.74
2012-11-12,491400.0,7.2,7.35,7.35,7.1
2012-11-13,221500.0,6.97,7.22,7.22,6.92
2012-11-14,202100.0,6.87,7.1,7.0,6.78
2012-11-15,994900.0,7.1395,7.24,6.89,6.75
2012-11-16,2222800.0,6.85,6.95,6.75,6.38
2012-11-19,638500.0,6.98,6.99,6.9,6.61
2012-11-20,401300.0,6.85,6.95,6.95,6.71
2012-11-21,311500.0,6.78,6.855,6.73,6.71
2012-11-23,201400.0,6.99,7.025,6.75,6.75
2012-11-26,305200.0,6.79,7.09,6.99,6.625
2012-11-27,224500.0,6.8,6.8899,6.8,6.72
2012-11-28,474600.0,6.73,6.94,6.75,6.57
2012-11-29,384100.0,6.81,7.025,6.8,6.73
2012-11-30,6863500.0,7.14,7.14,6.83,6.6
2012-12-03,1094600.0,7.32,7.5,7.14,7.0
2012-12-04,575400.0,7.1,7.35,7.28,6.91
2012-12-05,293300.0,6.99,7.1,7.09,6.94
2012-12-06,310000.0,6.7,7.0,6.94,6.62
2012-12-07,420200.0,6.2,6.7,6.65,6.2
2012-12-10,1043600.0,6.09,6.46,6.35,6.02
2012-12-11,543500.0,6.46,6.53,6.24,6.17
2012-12-12,362300.0,6.63,6.75,6.33,6.33
2012-12-13,507800.0,6.83,6.89,6.73,6.64
2012-12-14,342700.0,6.56,6.83,6.79,6.52
2012-12-17,337500.0,6.38,6.619,6.25,6.2
2012-12-18,572500.0,6.89,6.93,6.59,6.48
2012-12-19,310600.0,6.49,6.87,6.87,6.45
2012-12-20,190800.0,6.49,6.515,6.44,6.35
2012-12-21,456800.0,6.12,6.42,6.33,6.0
2012-12-24,126600.0,6.26,6.28,6.15,6.05
2012-12-26,240000.0,6.09,6.38,6.29,6.07
2012-12-27,311800.0,6.08,6.19,6.11,5.95
2012-12-28,353400.0,5.95,6.24,6.08,5.91
2012-12-31,316600.0,6.09,6.17,5.99,5.92
2013-01-02,273700.0,6.23,6.35,6.26,6.15
2013-01-03,242700.0,6.19,6.3399,6.25,6.17
2013-01-04,245000.0,6.1901,6.4,6.19,6.13
2013-01-07,174300.0,6.01,6.23,6.17,5.99
2013-01-08,154100.0,6.05,6.13,6.06,6.03
2013-01-09,175500.0,6.16,6.17,6.06,6.01
2013-01-10,270100.0,6.37,6.38,6.23,6.16
2013-01-11,245700.0,6.16,6.4,6.34,6.13
2013-01-14,148400.0,6.25,6.3,6.19,6.17
2013-01-15,247100.0,6.18,6.39,6.37,6.15
2013-01-16,169200.0,6.15,6.25,6.2,6.11
2013-01-17,237800.0,6.28,6.31,6.16,6.16
2013-01-18,206400.0,6.28,6.3,6.27,6.18
2013-01-22,148800.0,6.28,6.34,6.32,6.18
2013-01-23,207700.0,6.19,6.3,6.2999,6.1485
2013-01-24,152100.0,6.15,6.28,6.15,6.1
2013-01-25,152200.0,6.11,6.23,6.18,6.06
2013-01-28,366800.0,6.16,6.2,6.11,6.05
2013-01-29,158600.0,6.2,6.2101,6.16,6.11
2013-01-30,215100.0,6.13,6.27,6.22,6.1
2013-01-31,321000.0,6.07,6.23,6.21,6.0
2013-02-01,447400.0,6.31,6.39,6.12,6.0
2013-02-04,180000.0,6.03,6.25,6.25,6.02
2013-02-05,2792800.0,6.47,6.5,6.07,6.05
2013-02-06,367600.0,6.38,6.66,6.5,6.32
2013-02-07,359000.0,6.27,6.39,6.35,6.13
2013-02-08,135000.0,6.34,6.43,6.25,6.18
2013-02-11,213900.0,6.39,6.42,6.32,6.2799
2013-02-12,925300.0,6.39,6.42,6.38,6.3
2013-02-13,343400.0,6.49,6.5,6.38,6.35
2013-02-14,219300.0,6.41,6.53,6.51,6.38
2013-02-15,318900.0,6.46,6.5,6.45,6.3
2013-02-19,213700.0,6.46,6.51,6.49,6.4
2013-02-20,192400.0,6.34,6.49,6.43,6.34
2013-02-21,188900.0,6.36,6.4,6.33,6.26
2013-02-22,158200.0,6.32,6.4,6.38,6.26
2013-02-25,193700.0,6.07,6.38,6.37,6.05
2013-02-26,137700.0,6.19,6.255,6.13,6.05
2013-02-27,120500.0,6.22,6.36,6.16,6.11
2013-02-28,421200.0,6.4,6.48,6.24,6.19
2013-03-01,319500.0,6.3,6.41,6.36,6.2
2013-03-04,243600.0,6.37,6.44,6.31,6.21
2013-03-05,453400.0,6.53,6.63,6.42,6.3901
2013-03-06,230900.0,6.51,6.63,6.56,6.45
2013-03-07,405300.0,6.51,6.69,6.53,6.47
2013-03-08,214400.0,6.5,6.61,6.52,6.46
2013-03-11,147300.0,6.57,6.6,6.49,6.44
2013-03-12,156200.0,6.35,6.58,6.56,6.32
2013-03-13,156300.0,6.34,6.4,6.38,6.24
2013-03-14,276500.0,6.15,6.42,6.34,6.14
2013-03-15,431800.0,6.03,6.24,6.18,6.0
2013-03-18,166000.0,6.1,6.24,6.0,5.97
2013-03-19,116900.0,6.15,6.2,6.12,6.05
2013-03-20,160700.0,6.24,6.3,6.18,6.16
2013-03-21,130400.0,6.19,6.23,6.19,6.15
2013-03-22,350400.0,6.08,6.21,6.21,6.0
2013-03-25,139300.0,6.03,6.16,6.1,6.01
2013-03-26,182200.0,5.93,6.15,6.11,5.9
2013-03-27,122800.0,6.07,6.09,5.91,5.9
2013-03-28,160200.0,6.1,6.165,6.05,5.99
2013-04-01,479400.0,6.14,6.21,6.09,6.02
2013-04-02,320600.0,6.26,6.27,6.19,6.13
2013-04-03,460300.0,6.21,6.29,6.26,6.14
2013-04-04,831000.0,6.21,6.22,6.06,5.93
2013-04-05,397500.0,6.15,6.218,6.06,6.03
2013-04-08,366100.0,6.05,6.17,6.16,5.9697
2013-04-09,196100.0,6.06,6.11,6.09,6.0
2013-04-10,347400.0,6.0,6.14,6.07,6.0
2013-04-11,438800.0,6.14,6.25,6.02,6.02
2013-04-12,245000.0,6.08,6.26,6.07,6.0
2013-04-15,268800.0,6.03,6.15,6.07,5.95
2013-04-16,442900.0,6.17,6.17,6.05,5.95
2013-04-17,340400.0,5.88,6.13,6.11,5.82
2013-04-18,336800.0,5.59,5.92,5.9,5.43
2013-04-19,327200.0,5.73,5.81,5.55,5.5
2013-04-22,295200.0,5.7,5.8,5.78,5.66
2013-04-23,274800.0,5.65,5.81,5.71,5.61
2013-04-24,791400.0,5.21,5.65,5.61,4.79
2013-04-25,494900.0,5.1,5.34,5.3,5.0
2013-04-26,332800.0,5.29,5.3,5.19,5.0
2013-04-29,409600.0,5.11,5.38,5.34,5.11
2013-04-30,358900.0,4.92,5.15,5.08,4.9
2013-05-01,895100.0,4.5,4.96,4.86,4.44
2013-05-02,384000.0,4.62,4.69,4.64,4.53
2013-05-03,493700.0,4.39,4.72,4.7,4.38
2013-05-06,437300.0,4.25,4.37,4.37,4.06
2013-05-07,255900.0,4.4,4.41,4.3,4.25
2013-05-08,404300.0,4.91,4.92,4.44,4.36
2013-05-09,227200.0,4.79,4.91,4.9,4.75
2013-05-10,535200.0,5.07,5.1,4.81,4.7
2013-05-13,422700.0,5.17,5.3399,5.07,4.99
2013-05-14,655100.0,5.53,5.64,5.2,5.15
2013-05-15,441900.0,5.74,5.83,5.5,5.36
2013-05-16,373100.0,5.48,5.77,5.71,5.46
2013-05-17,210600.0,5.52,5.65,5.54,5.47
2013-05-20,210800.0,5.28,5.66,5.53,5.27
2013-05-21,237400.0,5.27,5.37,5.33,5.1
2013-05-22,282500.0,5.11,5.465,5.32,5.01
2013-05-23,379000.0,5.26,5.32,5.05,5.01
2013-05-24,137600.0,5.2,5.3,5.25,5.16
2013-05-28,282600.0,5.21,5.38,5.3,5.13
2013-05-29,273600.0,5.43,5.44,5.19,5.15
2013-05-30,206000.0,5.49,5.54,5.47,5.44
2013-05-31,357100.0,5.53,5.61,5.43,5.25
2013-06-03,544800.0,5.79,5.82,5.57,5.27
2013-06-04,369900.0,5.34,5.83,5.82,5.33
2013-06-05,367400.0,5.17,5.41,5.31,5.08
2013-06-06,421900.0,4.96,5.24,5.19,4.8401
2013-06-07,346600.0,5.33,5.47,5.0,5.0
2013-06-10,237900.0,5.49,5.5,5.38,5.26
2013-06-11,193800.0,5.41,5.51,5.43,5.26
2013-06-12,222900.0,5.47,5.56,5.49,5.33
2013-06-13,201700.0,5.59,5.6,5.5,5.38
2013-06-14,555700.0,5.97,6.0,5.56,5.53
2013-06-17,793900.0,6.38,6.4,5.98,5.88
2013-06-18,456100.0,6.39,6.39,6.35,6.09
2013-06-19,600000.0,6.42,6.5,6.43,6.11
2013-06-20,613100.0,5.83,6.31,6.31,5.8
2013-06-21,557200.0,6.06,6.09,5.83,5.76
2013-06-24,867000.0,5.65,6.14,5.98,5.57
2013-06-25,743100.0,5.99,6.02,5.91,5.66
2013-06-26,731100.0,6.23,6.27,6.0,5.83
2013-06-27,938100.0,6.53,6.56,6.27,5.9
2013-06-28,10771400.0,6.74,6.76,6.54,6.35
2013-07-01,1024900.0,6.92,7.02,6.76,6.71
2013-07-02,527500.0,6.93,7.01,6.89,6.73
2013-07-03,377400.0,6.97,7.09,6.89,6.85
2013-07-05,467400.0,7.0,7.05,7.05,6.86
2013-07-08,468600.0,7.0,7.01,7.01,6.9
2013-07-09,484800.0,7.0,7.08,7.0,6.87
2013-07-10,411000.0,6.99,7.02,6.94,6.91
