date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,245000.0,52.0,52.0,44.69,44.69
2000-01-04,153100.0,49.88,50.31,48.25,45.31
2000-01-05,127400.0,49.25,51.25,48.63,48.63
2000-01-06,82500.0,45.63,50.56,50.53,45.31
2000-01-07,86800.0,46.0,47.5,45.94,44.75
2000-01-10,316300.0,46.38,48.0,47.0,42.63
2000-01-11,111200.0,49.38,50.75,45.63,43.5
2000-01-12,434400.0,45.88,50.5,49.44,45.88
2000-01-13,378000.0,46.06,46.5,46.38,44.19
2000-01-14,207800.0,45.5,47.0,47.0,45.13
2000-01-18,217300.0,45.06,49.88,45.81,45.06
2000-01-19,289000.0,45.0,45.38,45.13,44.38
2000-01-20,1539400.0,47.38,48.0,44.63,44.63
2000-01-21,1047000.0,57.56,58.78,48.5,47.38
2000-01-24,288300.0,51.5,57.13,55.75,51.5
2000-01-25,172700.0,53.0,53.5,51.75,51.5
2000-01-26,259000.0,51.5,52.88,52.56,51.13
2000-01-27,907200.0,50.25,52.25,51.69,48.88
2000-01-28,286200.0,48.0,50.13,43.88,43.5
2000-01-31,46100.0,47.63,48.25,48.16,47.13
2000-02-01,77000.0,45.25,47.81,47.81,44.5
2000-02-02,159800.0,45.19,46.0,45.5,45.19
2000-02-03,256400.0,44.63,46.13,46.13,42.38
2000-02-04,221400.0,47.38,49.13,44.25,44.0
2000-02-07,224800.0,49.0,52.19,47.25,47.25
2000-02-08,256500.0,44.63,49.38,49.0,43.0
2000-02-09,155200.0,44.75,45.88,44.0,44.0
2000-02-10,192800.0,48.63,49.0,44.75,44.75
2000-02-11,47200.0,46.75,49.0,48.5,46.75
2000-02-14,146400.0,48.63,49.5,47.5,47.0
2000-02-15,151800.0,46.0,49.5,49.25,44.88
2000-02-16,232100.0,47.31,47.38,46.06,44.0
2000-02-17,727700.0,49.94,50.75,47.56,47.56
2000-02-18,593600.0,50.0,50.25,50.06,49.75
2000-02-22,311500.0,51.75,51.94,50.09,49.88
2000-02-23,156300.0,51.5,52.0,51.86,50.5
2000-02-24,114100.0,51.38,52.0,51.5,51.0
2000-02-25,693800.0,60.88,72.75,52.0,52.0
2000-02-28,178600.0,58.0,61.5,61.5,53.56
