date,5. volume,4. close,2. high,1. open,3. low
2003-09-04,10500.0,1.65,1.65,1.62,1.46
2003-09-05,0.0,1.65,1.65,1.65,1.65
2003-09-08,11000.0,1.65,1.65,1.6,1.5
2003-09-09,12800.0,1.6,1.65,1.65,1.55
2003-09-10,8900.0,1.6,1.63,1.63,1.6
2003-09-11,2900.0,1.55,1.55,1.45,1.45
2003-09-12,5800.0,1.475,1.55,1.55,1.45
2003-09-15,7000.0,1.45,1.5,1.5,1.45
2003-09-16,7400.0,1.35,1.45,1.45,1.3
2003-09-17,0.0,1.35,1.35,1.35,1.35
2003-09-18,0.0,1.35,1.35,1.35,1.35
2003-09-19,38700.0,1.8,1.8,1.6,1.6
2003-09-22,0.0,1.8,1.8,1.8,1.8
2003-09-23,700.0,1.78,1.78,1.78,1.78
2003-09-24,300.0,1.7,1.78,1.78,1.7
2003-09-25,0.0,1.7,1.7,1.7,1.7
2003-09-26,700.0,1.66,1.66,1.66,1.66
2003-09-29,200.0,1.8,1.8,1.8,1.8
2003-09-30,0.0,1.8,1.8,1.8,1.8
2003-10-01,2200.0,1.8516,1.8516,1.8516,1.75
2003-10-02,500.0,1.8008,1.8008,1.8008,1.8008
2003-10-03,1100.0,1.8008,1.8008,1.75,1.75
2003-10-06,0.0,1.8008,1.8008,1.8008,1.8008
2003-10-07,6500.0,1.1992,1.8516,1.75,1.1992
2003-10-08,9700.0,1.6,1.6,1.25,1.25
2003-10-09,0.0,1.6,1.6,1.6,1.6
2003-10-10,0.0,1.6,1.6,1.6,1.6
2003-10-13,300.0,1.6992,1.75,1.75,1.6992
2003-10-14,200.0,1.75,1.75,1.75,1.75
2003-10-15,4300.0,1.75,1.75,1.4492,1.4492
2003-10-16,0.0,1.75,1.75,1.75,1.75
2003-10-17,0.0,1.75,1.75,1.75,1.75
2003-10-20,100.0,1.5,1.5,1.5,1.5
2003-10-21,3300.0,1.5,1.5,1.45,1.45
2003-10-22,8400.0,1.4492,1.5,1.4492,1.4492
2003-10-23,2200.0,1.45,1.55,1.45,1.45
2003-10-24,100.0,1.45,1.45,1.45,1.45
2003-10-27,0.0,1.45,1.45,1.45,1.45
2003-10-28,0.0,1.45,1.45,1.45,1.45
2003-10-29,1000.0,1.45,1.45,1.45,1.45
2003-10-30,100.0,1.4,1.4,1.4,1.4
2003-10-31,100.0,1.4,1.4,1.4,1.4
2003-11-03,700.0,1.4,1.4,1.4,1.4
2003-11-04,2500.0,1.3,1.35,1.35,1.3
2003-11-05,0.0,1.3,1.3,1.3,1.3
2003-11-06,0.0,1.3,1.3,1.3,1.3
2003-11-07,3400.0,1.3984,1.4492,1.3984,1.3984
2003-11-10,0.0,1.3984,1.3984,1.3984,1.3984
2003-11-11,0.0,1.3984,1.3984,1.3984,1.3984
2003-11-12,0.0,1.3984,1.3984,1.3984,1.3984
2003-11-13,900.0,1.3008,1.3008,1.25,1.25
2003-11-14,2800.0,1.3,1.3,1.12,1.12
2003-11-17,4100.0,1.25,1.3008,1.3008,1.1016
2003-11-18,2000.0,1.35,1.35,1.25,1.25
2003-11-19,300.0,1.3,1.3,1.3,1.3
