date,5. volume,4. close,2. high,1. open,3. low
2017-02-03,3843236.0,13.55,14.78,14.55,13.5
2017-02-06,965256.0,13.0,13.64,13.55,13.0
2017-02-07,640589.0,12.8,13.09,13.0,12.5
2017-02-08,300571.0,12.15,12.8,12.62,12.12
2017-02-09,551023.0,11.89,12.41,12.1,11.82
2017-02-10,734299.0,11.89,12.0,11.57,11.41
2017-02-13,259464.0,12.15,13.0,11.9,11.78
2017-02-14,434000.0,11.15,12.43,12.07,11.02
2017-02-15,596937.0,11.3,11.6,11.2,11.0
2017-02-16,157410.0,11.1,11.84,11.2,10.97
2017-02-17,242906.0,10.94,11.31,11.0,10.74
2017-02-21,147588.0,11.2,11.3,10.89,10.89
2017-02-22,172462.0,10.99,11.3,11.01,10.9
2017-02-23,102770.0,11.02,11.16,10.81,10.81
2017-02-24,67355.0,10.92,11.07,11.0,10.83
2017-02-27,124627.0,10.89,11.11,10.87,10.75
2017-02-28,201675.0,10.9,11.1,10.9,10.81
2017-03-01,383523.0,11.91,11.95,10.97,10.97
2017-03-02,359049.0,12.49,13.1,12.0,11.95
2017-03-03,308783.0,13.0,13.55,12.59,12.58
2017-03-06,144278.0,12.84,13.26,13.01,12.59
2017-03-07,148053.0,12.33,13.14,12.82,12.17
2017-03-08,368909.0,10.62,12.33,12.04,10.08
2017-03-09,288450.0,10.7,10.91,10.41,10.22
2017-03-10,313694.0,10.49,10.95,10.5,10.35
2017-03-13,179414.0,10.6,10.83,10.44,10.12
2017-03-14,114847.0,10.58,10.82,10.52,10.21
2017-03-15,151162.0,10.59,10.71,10.55,10.21
2017-03-16,139325.0,10.25,10.65,10.59,9.95
2017-03-17,279679.0,9.78,10.49,10.35,9.55
2017-03-20,304860.0,9.03,9.9,9.9,8.82
2017-03-21,190076.0,9.26,9.4,9.09,8.56
2017-03-22,198392.0,8.81,9.29,9.29,8.74
2017-03-23,158400.0,8.86,9.0,8.85,8.6
2017-03-24,96450.0,8.75,8.92,8.81,8.56
2017-03-27,277600.0,8.84,9.19,8.68,8.53
2017-03-28,456920.0,10.0,10.05,8.9,8.9
2017-03-29,417306.0,10.27,11.07,9.61,9.44
2017-03-30,243081.0,10.49,10.87,10.27,10.08
2017-03-31,815636.0,9.67,10.43,10.43,9.44
2017-04-03,250407.0,9.52,10.18,9.75,9.51
2017-04-04,213649.0,9.24,10.04,9.56,9.09
2017-04-05,264184.0,9.38,9.8,9.13,9.13
2017-04-06,128193.0,9.42,9.58,9.45,9.35
2017-04-07,204025.0,9.44,9.64,9.49,9.31
2017-04-10,136376.0,8.91,9.51,9.49,8.89
2017-04-11,117750.0,9.0,9.04,8.86,8.83
2017-04-12,201659.0,8.61,9.04,9.04,8.55
2017-04-13,145339.0,8.35,8.84,8.67,8.2
2017-04-17,191267.0,7.73,8.5,8.5,7.6
2017-04-18,135771.0,7.52,7.89,7.72,7.42
2017-04-19,127874.0,7.15,7.59,7.58,7.02
2017-04-20,107090.0,7.24,7.44,7.21,7.06
2017-04-21,44073.0,7.23,7.28,7.17,7.1
2017-04-24,475412.0,7.59,7.68,7.3,7.26
2017-04-25,101339.0,7.68,7.91,7.68,7.56
2017-04-26,99023.0,7.81,7.92,7.63,7.63
2017-04-27,122355.0,7.85,8.01,7.75,7.74
2017-04-28,159229.0,7.76,8.14,7.85,7.75
2017-05-01,229077.0,7.4,7.81,7.81,7.35
2017-05-02,217457.0,7.43,7.49,7.35,6.92
2017-05-03,131640.0,7.15,7.48,7.42,7.05
2017-05-04,195355.0,6.45,7.29,7.15,6.43
2017-05-05,180811.0,6.12,6.65,6.51,6.05
2017-05-08,286825.0,6.08,6.16,6.15,5.85
2017-05-09,133968.0,5.94,6.11,6.1,5.86
2017-05-10,231504.0,5.87,5.99,5.96,5.66
2017-05-11,270343.0,6.11,6.46,6.06,5.78
2017-05-12,357305.0,6.32,6.49,6.15,6.12
2017-05-15,281772.0,6.42,6.74,6.52,6.22
2017-05-16,285774.0,5.91,6.43,6.43,5.74
2017-05-17,429947.0,6.35,6.67,5.85,5.85
2017-05-18,143534.0,6.31,6.41,6.35,6.14
2017-05-19,228252.0,6.52,6.74,6.35,6.14
2017-05-22,187019.0,7.08,7.22,6.54,6.54
2017-05-23,214836.0,7.41,7.7,7.14,7.04
2017-05-24,183055.0,6.88,7.5,7.48,6.78
