date,5. volume,4. close,2. high,1. open,3. low
2017-09-01,31853690.0,29.15,30.39,29.52,28.59
2017-09-05,52887052.0,29.2,29.2,28.83,28.57
2017-09-06,30503388.0,31.73,32.19,30.82,30.37
2017-09-07,11437773.0,31.71,32.46,31.63,31.3
2017-09-08,13320484.0,30.99,32.03,31.8,30.7507
2017-09-11,9147418.0,31.48,31.85,31.5,31.15
2017-09-12,4238755.0,32.15,32.39,31.72,31.64
2017-09-13,2993282.0,31.97,32.13,32.08,31.92
2017-09-14,3276459.0,32.19,32.31,32.31,32.05
2017-09-15,4117992.0,32.47,32.67,32.55,32.29
2017-09-18,2445960.0,32.43,32.8,32.65,32.4
2017-09-19,2613990.0,33.1,33.19,33.14,32.93
2017-09-20,1937957.0,32.82,33.09,33.05,32.82
2017-09-21,1331295.0,32.55,32.8,32.78,32.54
2017-09-22,1637281.0,32.85,32.92,32.89,32.775
2017-09-25,1753524.0,32.94,33.18,33.05,32.73
2017-09-26,953218.0,32.57,32.78,32.7,32.375
2017-09-27,1134972.0,32.32,32.61,32.55,32.32
2017-09-28,2480389.0,31.65,32.24,32.17,31.515
2017-09-29,1565131.0,31.9,32.03,31.9,31.735
2017-10-02,1890720.0,31.87,32.03,32.0,31.76
2017-10-03,1868786.0,31.58,31.65,31.64,31.501
2017-10-04,1378659.0,31.67,31.85,31.83,31.57
2017-10-05,3328041.0,31.79,31.95,31.85,31.7
2017-10-06,1337293.0,31.58,31.75,31.6,31.54
2017-10-09,912074.0,31.73,31.81,31.81,31.68
2017-10-10,1036790.0,31.8,32.0,31.99,31.69
2017-10-11,1287531.0,31.79,31.84,31.7,31.6
2017-10-12,1631870.0,31.92,31.99,31.82,31.76
2017-10-13,570115.0,31.97,32.06,32.01,31.96
2017-10-16,1596557.0,32.47,32.53,32.07,32.04
2017-10-17,692798.0,32.17,32.51,32.5,32.0
2017-10-18,800365.0,32.45,32.52,32.38,32.29
2017-10-19,1288611.0,32.43,32.66,32.37,32.3
2017-10-20,726902.0,32.45,32.57,32.5,32.39
2017-10-23,686442.0,33.05,33.2,32.94,32.79
2017-10-24,940953.0,32.91,32.98,32.93,32.81
2017-10-25,847614.0,33.56,33.61,33.37,33.32
2017-10-26,2707957.0,33.67,33.89,33.6,33.4669
2017-10-27,878306.0,33.98,34.06,33.8,33.7
2017-10-30,501852.0,34.28,34.315,34.29,34.18
2017-10-31,1652907.0,34.93,35.09,34.85,34.66
2017-11-01,1080755.0,35.38,35.55,35.305,35.25
2017-11-02,1235786.0,34.86,35.04,34.74,34.67
2017-11-03,1156591.0,34.84,34.89,34.86,34.62
2017-11-06,834242.0,34.72,34.83,34.82,34.63
2017-11-07,581857.0,34.58,34.89,34.87,34.46
2017-11-08,2080267.0,34.97,34.97,34.5,34.48
2017-11-09,709403.0,34.52,34.59,34.46,34.33
2017-11-10,654764.0,34.53,34.722,34.68,34.43
2017-11-13,1317632.0,34.27,34.4,34.08,34.06
2017-11-14,1619265.0,34.53,34.62,34.54,34.49
2017-11-15,705962.0,34.63,34.71,34.57,34.5
2017-11-16,879938.0,35.53,35.68,35.4,35.31
2017-11-17,686318.0,35.44,35.72,35.69,35.33
2017-11-20,902277.0,35.73,35.81,35.56,35.46
2017-11-21,900222.0,35.81,36.21,35.89,35.75
2017-11-22,549658.0,35.88,36.015,35.93,35.7
2017-11-24,286155.0,35.46,35.53,35.5,35.34
2017-11-27,1020462.0,34.11,34.21,34.19,33.93
2017-11-28,829290.0,34.34,34.57,34.09,33.965
2017-11-29,863240.0,33.33,34.17,34.16,33.16
2017-11-30,612358.0,33.5,33.63,33.4,33.19
