date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,141200.0,9.62,10.0,10.0,9.5
2000-01-04,72700.0,9.5,9.75,9.75,9.438
2000-01-05,8400.0,9.5,9.625,9.625,9.5
2000-01-06,82200.0,9.375,9.5,9.438,9.375
2000-01-07,65500.0,9.438,9.5,9.438,9.375
2000-01-10,51000.0,9.438,9.5,9.5,9.438
2000-01-11,30600.0,9.125,9.25,9.25,9.125
2000-01-12,71700.0,9.0,9.125,9.0,9.0
2000-01-13,135300.0,9.25,9.25,9.0,8.938
2000-01-14,47400.0,9.375,9.5,9.375,9.375
2000-01-18,100.0,9.375,9.375,9.375,9.375
2000-01-19,23500.0,9.375,9.375,9.375,9.313
2000-01-20,44200.0,9.25,9.375,9.25,9.188
2000-01-21,3200.0,9.125,9.25,9.25,9.125
2000-01-24,12800.0,9.125,9.25,9.125,9.125
2000-01-25,45300.0,9.125,9.25,9.25,9.063
2000-01-26,21200.0,9.0,9.188,9.188,9.0
2000-01-27,20000.0,9.125,9.188,9.188,9.125
2000-01-28,22600.0,9.188,9.25,9.125,9.125
2000-01-31,4200.0,9.188,9.25,9.125,9.125
2000-02-01,10100.0,9.188,9.25,9.25,9.188
2000-02-02,29600.0,9.25,9.25,9.25,9.188
2000-02-03,68900.0,9.25,9.313,9.25,9.188
2000-02-04,33700.0,9.125,9.188,9.188,9.125
2000-02-07,55200.0,9.188,9.25,9.25,9.125
2000-02-08,42900.0,9.25,9.25,9.25,9.25
2000-02-09,17600.0,9.25,9.25,9.25,9.25
2000-02-10,42800.0,9.188,9.25,9.25,9.188
2000-02-11,25400.0,9.25,9.25,9.25,9.063
2000-02-14,55300.0,9.125,9.125,9.063,9.0
2000-02-15,122300.0,9.125,9.188,9.063,9.063
2000-02-16,24000.0,9.125,9.125,9.125,9.063
2000-02-17,10800.0,9.125,9.125,9.125,9.063
2000-02-18,20100.0,9.125,9.125,9.063,9.063
2000-02-22,58900.0,9.125,9.125,9.125,9.063
2000-02-23,0.0,9.12,9.12,9.12,9.12
2000-02-24,1200.0,9.125,9.125,9.125,9.125
2000-02-25,34300.0,9.125,9.188,9.063,9.063
2000-02-28,3400.0,9.188,9.188,9.188,9.188
2000-02-29,12300.0,9.063,9.063,9.063,9.063
2000-03-01,46400.0,9.063,9.125,9.063,9.0
2000-03-02,10000.0,9.125,9.125,9.063,9.063
2000-03-03,58600.0,9.125,9.125,9.063,9.063
2000-03-06,29800.0,9.125,9.125,9.063,9.063
2000-03-07,45100.0,9.063,9.125,9.063,9.063
2000-03-08,63100.0,9.125,9.125,9.125,9.063
2000-03-09,270700.0,8.813,9.063,9.0,8.813
2000-03-10,52800.0,8.75,8.938,8.813,8.688
2000-03-13,0.0,8.75,8.75,8.75,8.75
2000-03-14,34400.0,8.813,8.875,8.688,8.688
2000-03-15,17100.0,8.813,8.875,8.813,8.688
2000-03-16,198200.0,8.969,9.0,8.875,8.875
2000-03-17,58000.0,9.0,9.0,9.0,8.906
2000-03-20,10600.0,8.938,8.938,8.906,8.906
2000-03-21,19300.0,9.063,9.063,8.906,8.75
2000-03-22,64500.0,9.188,9.188,9.188,9.063
2000-03-23,7500.0,9.375,9.375,9.188,9.188
2000-03-24,16500.0,9.375,9.375,9.25,9.188
2000-03-27,4500.0,9.188,9.313,9.188,9.125
2000-03-28,17700.0,9.25,9.313,9.313,9.25
2000-03-29,10400.0,9.0,9.188,9.188,9.0
2000-03-30,1100.0,8.938,8.938,8.938,8.938
2000-03-31,22100.0,8.813,9.125,8.938,8.813
2000-04-03,25500.0,9.0,9.063,8.875,8.875
2000-04-04,12100.0,8.938,9.25,9.0,8.938
2000-04-05,1700.0,9.0,9.0,8.938,8.938
