date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,8100.0,14.75,14.75,14.75,14.69
2000-01-04,7900.0,14.88,14.94,14.88,14.75
2000-01-05,6000.0,14.94,14.94,14.75,14.56
2000-01-06,7100.0,14.63,14.94,14.94,14.63
2000-01-07,3600.0,14.56,15.0,14.75,14.56
2000-01-10,15700.0,14.88,14.88,14.06,14.06
2000-01-11,20100.0,14.13,14.63,14.63,14.13
2000-01-12,23000.0,14.19,14.44,13.94,13.94
2000-01-13,11900.0,14.19,14.44,14.25,14.13
2000-01-14,2000.0,14.25,14.25,14.06,14.06
2000-01-18,10600.0,14.19,14.25,14.25,14.0
2000-01-19,12200.0,14.0,14.25,14.19,13.81
2000-01-20,12000.0,13.94,14.0,14.0,13.88
2000-01-21,2400.0,13.94,14.0,13.94,13.94
2000-01-24,14500.0,14.0,14.0,14.0,13.94
2000-01-25,5400.0,14.0,14.06,13.94,13.94
2000-01-26,3700.0,14.0,14.25,14.0,14.0
2000-01-27,6600.0,14.0,14.06,14.0,14.0
2000-01-28,7200.0,14.0,14.06,14.0,14.0
2000-01-31,2900.0,14.13,14.13,14.06,14.06
2000-02-01,26600.0,14.25,14.69,14.69,14.25
2000-02-02,11300.0,14.0625,14.25,14.25,14.0625
2000-02-03,2400.0,14.06,14.13,14.13,14.06
2000-02-04,4300.0,14.06,14.06,14.06,14.06
2000-02-07,3300.0,14.06,14.06,14.06,14.0
2000-02-08,5800.0,14.06,14.31,14.0,14.0
2000-02-09,4300.0,14.06,14.25,14.06,14.06
2000-02-10,3400.0,14.06,14.31,14.25,14.06
2000-02-11,8300.0,14.06,14.06,14.0,13.88
2000-02-14,21000.0,14.0,14.13,14.0,13.94
2000-02-15,10900.0,13.94,14.06,14.06,13.88
2000-02-16,14700.0,13.75,14.0,13.94,13.75
2000-02-17,5900.0,13.81,14.0,13.94,13.81
2000-02-18,3300.0,13.75,13.88,13.88,13.75
2000-02-22,4900.0,13.81,13.94,13.75,13.75
2000-02-23,6000.0,13.94,13.94,13.88,13.75
2000-02-24,11000.0,14.0,14.06,14.0,13.88
2000-02-25,7200.0,13.88,14.0,13.81,13.81
2000-02-28,11900.0,13.88,14.0,14.0,13.75
2000-02-29,6700.0,13.94,13.94,13.88,13.81
2000-03-01,4900.0,13.94,13.94,13.88,13.81
2000-03-02,3100.0,13.88,13.94,13.88,13.88
2000-03-03,3400.0,13.88,13.94,13.94,13.88
2000-03-06,14200.0,13.88,13.94,13.88,13.81
2000-03-07,15300.0,13.81,13.94,13.88,13.81
2000-03-08,8700.0,13.69,13.81,13.81,13.63
2000-03-09,9300.0,13.69,13.75,13.75,13.69
2000-03-10,9300.0,13.63,13.75,13.75,13.63
2000-03-13,6900.0,13.5,13.63,13.31,13.31
2000-03-14,3400.0,13.5,13.63,13.5,13.5
2000-03-15,7100.0,13.44,13.56,13.56,13.38
2000-03-16,8400.0,13.69,13.69,13.5,13.5
2000-03-17,10100.0,13.75,13.75,13.69,13.69
