date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,255500.0,47.25,50.31,50.31,47.19
2000-01-04,102000.0,46.81,47.69,47.25,46.25
2000-01-05,125400.0,46.06,46.75,46.75,45.75
2000-01-06,335300.0,47.75,48.0,45.25,44.81
2000-01-07,115600.0,47.25,48.38,47.75,47.25
2000-01-10,157100.0,48.31,48.75,47.38,46.0
2000-01-11,147300.0,45.88,48.38,48.38,45.88
2000-01-12,343100.0,46.75,47.25,45.94,44.75
2000-01-13,154300.0,45.63,46.94,46.88,45.56
2000-01-14,84000.0,46.13,46.63,45.88,45.5
2000-01-18,97300.0,46.13,46.75,46.38,45.63
2000-01-19,277900.0,47.56,47.63,45.88,45.75
2000-01-20,549000.0,47.44,49.56,48.75,47.38
2000-01-21,483600.0,46.06,46.5,46.5,44.75
2000-01-24,186800.0,43.81,46.56,46.25,43.63
2000-01-25,360400.0,43.5,43.81,43.81,42.94
2000-01-26,193600.0,43.13,43.94,43.94,43.0
2000-01-27,509400.0,41.94,43.31,43.06,41.38
2000-01-28,424500.0,41.56,42.63,41.88,41.38
2000-01-31,273100.0,41.38,42.06,41.69,41.25
2000-02-01,414600.0,42.88,43.44,42.25,42.13
2000-02-02,289600.0,42.5,43.44,42.63,42.38
2000-02-03,83500.0,42.13,42.94,42.75,42.06
2000-02-04,282600.0,44.31,44.31,42.56,42.56
2000-02-07,158700.0,42.56,44.13,44.13,42.38
2000-02-08,170500.0,42.81,43.75,42.88,42.75
2000-02-09,110600.0,42.38,43.25,43.06,42.25
2000-02-10,47300.0,42.63,42.69,42.56,42.0
2000-02-11,81800.0,42.19,43.0,42.69,42.19
2000-02-14,88900.0,42.13,42.88,42.38,42.0
2000-02-15,325800.0,42.19,42.44,42.13,41.5
2000-02-16,187100.0,42.0,42.44,42.0,41.75
2000-02-17,118500.0,43.25,43.69,41.88,41.88
2000-02-18,393100.0,42.19,43.25,43.25,41.81
2000-02-22,133900.0,40.38,42.13,42.13,40.13
2000-02-23,858700.0,41.81,42.06,39.13,38.5
2000-02-24,745900.0,41.44,42.13,42.06,38.75
2000-02-25,453600.0,39.19,41.19,41.19,39.0
2000-02-28,183000.0,20.19,20.5,19.81,19.31
2000-02-29,283500.0,19.88,20.5,20.19,19.56
2000-03-01,472300.0,19.0,19.81,19.75,18.63
2000-03-02,580500.0,19.0,19.19,18.5,18.44
2000-03-03,189700.0,19.0,19.63,19.5,18.75
2000-03-06,808300.0,19.5,20.69,20.5,19.25
2000-03-07,866000.0,19.63,19.75,19.75,19.0
2000-03-08,449500.0,19.25,19.75,19.75,18.81
2000-03-09,701200.0,20.13,20.25,19.25,19.0
2000-03-10,471500.0,20.19,20.38,20.0,19.69
2000-03-13,464300.0,19.5,20.06,20.06,19.25
2000-03-14,448800.0,19.0,19.5,19.44,18.88
2000-03-15,879900.0,20.19,20.38,19.25,19.13
2000-03-16,901100.0,22.5,22.5,20.38,20.13
2000-03-17,787700.0,21.56,22.63,22.25,21.31
2000-03-20,538700.0,22.5,22.63,21.63,20.81
2000-03-21,305000.0,22.31,22.63,22.63,22.06
2000-03-22,311200.0,22.31,22.69,22.38,21.63
2000-03-23,444000.0,21.0,22.06,22.0,21.0
2000-03-24,385100.0,21.0,21.12,21.12,20.75
2000-03-27,932500.0,20.5,21.0,21.0,20.25
2000-03-28,1641200.0,21.94,22.13,20.25,20.0
2000-03-29,1973200.0,23.19,24.13,24.0,22.81
2000-03-30,845800.0,22.94,23.0,22.88,22.06
2000-03-31,1751600.0,24.0,25.0,23.0,23.0
2000-04-03,279200.0,24.0,24.5,24.5,23.75
2000-04-04,983700.0,23.94,24.0,23.88,23.0
2000-04-05,1783300.0,24.75,24.75,23.69,23.38
2000-04-06,524700.0,25.38,25.63,24.63,24.38
2000-04-07,1419700.0,27.06,27.25,25.94,25.75
2000-04-10,1370600.0,28.44,28.44,27.06,27.06
2000-04-11,1352200.0,28.67,29.13,28.63,28.13
2000-04-12,959500.0,29.63,29.75,29.0,28.25
2000-04-13,443900.0,29.25,29.5,29.5,28.38
2000-04-14,836500.0,27.0,28.0,28.0,27.0
2000-04-17,1217100.0,26.19,27.0,27.0,25.94
2000-04-18,1220400.0,26.94,28.88,26.06,26.06
2000-04-19,532500.0,27.5,28.13,27.0,27.0
2000-04-20,639400.0,28.25,28.25,27.5,27.38
2000-04-24,118600.0,27.63,28.25,28.25,27.25
2000-04-25,401900.0,28.94,29.0,27.94,27.88
2000-04-26,512600.0,28.63,29.63,29.5,28.38
2000-04-27,318600.0,28.19,28.38,28.38,27.88
2000-04-28,483900.0,29.5,29.94,29.25,28.81
2000-05-01,162900.0,29.5,29.94,29.75,29.38
2000-05-02,315200.0,29.0,29.94,29.56,29.0
2000-05-03,361400.0,28.56,28.88,28.88,28.38
2000-05-04,229000.0,29.13,29.69,28.81,28.81
2000-05-05,653300.0,29.88,30.5,28.94,28.94
2000-05-08,1129700.0,31.0,31.25,30.0,30.0
2000-05-09,876000.0,31.75,31.94,30.94,30.94
2000-05-10,712700.0,31.94,32.38,31.81,31.56
2000-05-11,1670200.0,33.13,33.13,31.94,31.94
2000-05-12,1435600.0,34.38,34.56,33.25,33.25
2000-05-15,1504500.0,34.56,35.25,34.5,34.0
2000-05-16,1365800.0,33.75,34.63,34.38,33.44
2000-05-17,1091000.0,33.56,34.0,33.75,33.25
2000-05-18,1507000.0,33.25,33.31,33.0,32.0
2000-05-19,1189100.0,33.69,34.0,33.25,33.25
2000-05-22,675300.0,33.13,33.69,33.69,33.0
2000-05-23,420000.0,33.0,33.44,33.13,32.88
2000-05-24,637700.0,33.06,33.06,33.06,32.63
2000-05-25,626600.0,32.88,32.94,32.88,32.5
2000-05-26,490700.0,33.31,33.31,32.94,32.88
2000-05-30,392800.0,33.81,33.94,33.31,33.31
2000-05-31,1896900.0,32.0,33.25,33.0,31.88
2000-06-01,409300.0,33.31,33.38,32.81,32.38
2000-06-02,472100.0,33.5,33.88,33.88,33.19
2000-06-05,417700.0,33.0,33.38,33.38,32.75
2000-06-06,324100.0,32.44,33.19,32.63,32.31
2000-06-07,505400.0,32.81,32.88,32.5,32.25
2000-06-08,491900.0,32.44,32.75,32.75,31.94
2000-06-09,544400.0,32.81,33.5,32.81,32.63
2000-06-12,374900.0,33.13,33.5,33.0,32.63
2000-06-13,170100.0,33.44,33.44,33.0,32.75
2000-06-14,645400.0,34.0,34.0,33.31,33.25
2000-06-15,508900.0,34.19,34.56,34.0,34.0
2000-06-16,225900.0,34.31,34.44,34.44,34.13
2000-06-19,213400.0,33.5,34.19,34.19,33.5
2000-06-20,220400.0,32.63,33.25,33.25,32.38
2000-06-21,578600.0,31.94,32.38,32.38,31.69
2000-06-22,349600.0,32.13,32.31,32.13,31.88
2000-06-23,345000.0,31.69,32.25,32.25,31.56
2000-06-26,238500.0,32.19,32.19,31.88,31.69
2000-06-27,231400.0,32.69,33.19,32.19,32.19
2000-06-28,136100.0,33.0,33.0,32.94,32.56
2000-06-29,318600.0,33.31,33.63,32.88,32.81
2000-06-30,647100.0,32.14,33.63,33.38,32.13
2000-07-03,139000.0,33.0,33.0,32.13,32.13
2000-07-05,206100.0,33.63,33.63,33.25,33.19
2000-07-06,655500.0,34.0,34.0,33.75,33.63
2000-07-07,407500.0,34.06,34.5,34.25,34.0
2000-07-10,264900.0,34.38,34.63,34.13,34.0
2000-07-11,412200.0,34.75,34.94,34.38,34.25
2000-07-12,425700.0,34.63,34.75,34.75,34.31
2000-07-13,511600.0,34.5,34.81,34.81,34.44
2000-07-14,277400.0,34.5,34.5,34.5,34.0
2000-07-17,236100.0,34.88,34.94,34.31,34.06
2000-07-18,597900.0,34.75,35.0,34.94,34.38
2000-07-19,825100.0,34.63,35.13,35.0,34.63
2000-07-20,1026700.0,35.75,36.63,34.88,34.75
2000-07-21,549700.0,35.94,36.44,36.13,35.81
2000-07-24,682100.0,35.88,36.06,36.0,35.69
2000-07-25,163100.0,35.94,36.25,36.0,35.75
2000-07-26,185900.0,35.94,35.94,35.75,35.5
2000-07-27,1122300.0,35.81,36.5,36.0,35.56
2000-07-28,441300.0,34.81,35.69,35.31,34.5
2000-07-31,446300.0,35.94,35.94,35.06,34.69
2000-08-01,931400.0,35.56,36.25,35.94,35.0
2000-08-02,274400.0,35.44,35.63,35.38,35.0
2000-08-03,210600.0,35.31,35.44,35.44,34.88
2000-08-04,670700.0,35.13,35.19,34.81,34.75
2000-08-07,425400.0,34.75,35.13,35.13,34.75
2000-08-08,702200.0,34.75,35.0,34.75,34.63
2000-08-09,208600.0,34.81,34.94,34.81,34.25
2000-08-10,266800.0,34.75,35.0,34.81,34.56
2000-08-11,475700.0,35.31,35.5,34.94,34.75
2000-08-14,337600.0,34.69,35.25,35.06,34.69
2000-08-15,249200.0,34.19,34.75,34.69,34.0
2000-08-16,621400.0,32.88,34.0,34.0,32.81
2000-08-17,843400.0,35.13,35.25,33.19,33.19
2000-08-18,347800.0,34.5,34.94,34.94,34.31
2000-08-21,425500.0,33.75,34.56,34.56,33.56
2000-08-22,193000.0,33.94,34.13,34.0,33.06
2000-08-23,517200.0,33.38,34.0,33.88,32.75
2000-08-24,353900.0,33.63,33.88,33.63,33.38
2000-08-25,151500.0,33.69,33.94,33.88,33.5
2000-08-28,197900.0,33.44,33.88,33.75,33.19
2000-08-29,150100.0,33.69,33.88,33.69,33.63
2000-08-30,317200.0,33.44,33.94,33.94,33.25
2000-08-31,320400.0,34.38,34.44,33.63,33.56
2000-09-01,140800.0,34.25,34.44,34.38,33.88
2000-09-05,742500.0,35.69,35.69,34.38,34.38
2000-09-06,869100.0,34.94,36.19,35.88,34.75
2000-09-07,392100.0,34.81,35.38,35.25,34.75
2000-09-08,478700.0,34.0,34.94,34.81,33.25
2000-09-11,443300.0,34.44,34.63,34.5,33.63
2000-09-12,303100.0,34.38,34.69,34.69,34.0
2000-09-13,132100.0,34.56,35.13,34.31,34.31
2000-09-14,200600.0,34.38,34.75,34.56,34.13
2000-09-15,218600.0,34.25,34.63,34.63,33.94
2000-09-18,318400.0,33.63,34.63,34.5,33.31
2000-09-19,166800.0,34.13,34.31,33.5,33.44
2000-09-20,124900.0,34.94,35.06,34.25,34.25
