date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,292900.0,6.063,6.063,6.063,6.063
2000-01-04,371100.0,6.125,6.125,6.063,6.063
2000-01-05,123800.0,6.125,6.188,6.125,6.125
2000-01-06,245000.0,6.188,6.188,6.125,6.125
2000-01-07,184700.0,6.125,6.188,6.125,6.125
2000-01-10,582800.0,6.063,6.188,6.188,6.063
2000-01-11,394400.0,6.125,6.125,6.063,6.063
2000-01-12,272700.0,6.063,6.125,6.063,6.0
2000-01-13,462100.0,6.0,6.188,6.0,6.0
2000-01-14,173700.0,6.063,6.188,6.063,6.063
2000-01-18,339000.0,6.125,6.188,6.063,6.063
2000-01-19,456800.0,6.063,6.125,6.063,6.063
2000-01-20,158100.0,6.063,6.125,6.063,6.063
2000-01-21,431900.0,6.125,6.188,6.063,6.063
2000-01-24,258500.0,6.125,6.188,6.063,6.063
2000-01-25,154600.0,6.188,6.188,6.125,6.063
2000-01-26,186900.0,6.125,6.188,6.125,6.063
2000-01-27,205400.0,6.188,6.188,6.125,6.125
2000-01-28,213600.0,6.125,6.25,6.125,6.125
2000-01-31,186800.0,6.188,6.25,6.25,6.125
2000-02-01,365100.0,6.25,6.313,6.188,6.188
2000-02-02,207700.0,6.25,6.313,6.25,6.25
2000-02-03,328200.0,6.25,6.375,6.25,6.25
2000-02-04,321800.0,6.25,6.313,6.25,6.25
2000-02-07,248900.0,6.25,6.375,6.25,6.25
2000-02-08,143500.0,6.313,6.375,6.313,6.25
2000-02-09,170800.0,6.25,6.375,6.313,6.25
2000-02-10,221800.0,6.25,6.313,6.25,6.25
2000-02-11,288000.0,6.25,6.25,6.188,6.188
2000-02-14,192600.0,6.188,6.25,6.188,6.188
2000-02-15,303500.0,6.188,6.25,6.25,6.188
2000-02-16,236100.0,6.188,6.25,6.188,6.188
2000-02-17,293400.0,6.25,6.25,6.188,6.188
2000-02-18,229200.0,6.188,6.313,6.188,6.188
2000-02-22,174400.0,6.188,6.25,6.188,6.188
2000-02-23,225500.0,6.313,6.313,6.188,6.188
2000-02-24,172200.0,6.25,6.313,6.25,6.188
2000-02-25,170200.0,6.25,6.313,6.188,6.188
2000-02-28,432700.0,6.25,6.313,6.188,6.188
2000-02-29,305100.0,6.188,6.25,6.188,6.188
2000-03-01,123500.0,6.188,6.25,6.188,6.188
2000-03-02,187900.0,6.25,6.25,6.188,6.188
2000-03-03,316200.0,6.125,6.25,6.188,6.125
2000-03-06,173700.0,6.063,6.125,6.063,6.063
2000-03-07,248700.0,6.063,6.125,6.063,6.063
2000-03-08,314200.0,6.125,6.188,6.063,6.063
2000-03-09,207300.0,6.188,6.25,6.063,6.063
2000-03-10,223700.0,6.188,6.25,6.188,6.125
2000-03-13,213300.0,6.125,6.188,6.063,6.063
2000-03-14,172500.0,6.063,6.188,6.125,6.063
2000-03-15,225500.0,6.063,6.125,6.125,6.063
2000-03-16,199500.0,6.125,6.188,6.063,6.063
2000-03-17,280300.0,6.063,6.188,6.125,6.063
2000-03-20,183300.0,6.063,6.188,6.063,6.063
2000-03-21,163600.0,6.125,6.188,6.125,6.063
2000-03-22,283200.0,6.188,6.188,6.063,6.063
2000-03-23,228000.0,6.188,6.25,6.188,6.125
2000-03-24,203600.0,6.125,6.25,6.188,6.125
2000-03-27,245000.0,6.125,6.188,6.125,6.125
2000-03-28,273500.0,6.188,6.188,6.125,6.125
