date,5. volume,4. close,2. high,1. open,3. low
2012-02-03,1842182.0,6.06,6.58,6.2,6.0
2012-02-06,109547.0,6.24,6.27,6.27,6.1
2012-02-07,67264.0,6.16,6.25,6.25,6.12
2012-02-08,38802.0,6.15,6.2,6.2,6.05
2012-02-09,56817.0,6.07,6.15,6.12,6.01
2012-02-10,120120.0,6.0,6.05,6.0,6.0
2012-02-13,62689.0,6.07,6.19,6.11,6.01
2012-02-14,30662.0,6.2,6.2,6.15,6.1
2012-02-15,29035.0,6.2,6.2,6.01,6.01
2012-02-16,26688.0,6.39,6.75,6.25,6.25
2012-02-17,68346.0,6.37,6.6,6.43,6.35
2012-02-21,55398.0,6.47,6.59,6.14,6.14
2012-02-22,99383.0,6.95,6.96,6.59,6.5
2012-02-23,46027.0,7.59,7.7,7.0,6.86
2012-02-24,41521.0,8.07,8.45,7.65,7.5901
2012-02-27,65992.0,8.0,8.05,7.92,7.59
2012-02-28,31505.0,7.63,7.919,7.8,7.46
2012-02-29,19300.0,7.5,7.65,7.51,6.62
2012-03-01,48176.0,7.5,8.19,7.23,7.23
2012-03-02,6191.0,7.5,7.5,7.3001,7.3001
2012-03-05,10302.0,7.47,7.47,7.3,7.09
2012-03-06,23613.0,7.08,7.48,7.48,7.0
2012-03-07,5800.0,7.39,7.48,7.16,7.16
2012-03-08,30504.0,7.35,7.5,7.44,7.2
2012-03-09,3034.0,7.16,7.35,7.35,7.08
2012-03-12,44112.0,7.64,7.64,7.46,7.1801
2012-03-13,6523.0,7.75,7.75,7.57,7.31
2012-03-14,21977.0,7.62,7.91,7.9,7.05
2012-03-15,158277.0,7.53,8.5,7.74,7.24
2012-03-16,27854.0,7.26,7.62,7.6,7.2
2012-03-19,38535.0,7.57,7.6,7.36,7.2
2012-03-20,56313.0,7.62,7.75,7.5201,7.5
2012-03-21,5951.0,7.4681,7.61,7.43,7.35
2012-03-22,8400.0,7.5,7.5,7.4,7.3901
2012-03-23,13495.0,7.78,8.19,7.618,7.618
2012-03-26,17058.0,7.7,7.9,7.75,7.42
2012-03-27,22269.0,7.6,7.7,7.5,7.4
2012-03-28,15605.0,7.5,7.61,7.53,7.35
2012-03-29,14250.0,7.11,7.45,7.45,7.01
2012-03-30,372979.0,7.55,7.97,7.23,7.19
2012-04-02,40207.0,7.55,7.99,7.53,7.0501
2012-04-03,12391.0,7.5,7.7179,7.5,7.37
2012-04-04,10608.0,7.26,7.9866,7.39,7.1
