date,5. volume,4. close,2. high,1. open,3. low
2011-08-04,3881500.0,18.41,19.28,19.0,18.41
2011-08-05,254100.0,18.63,18.75,18.5,18.5
2011-08-08,562300.0,18.05,18.74,18.0,18.0
2011-08-09,276300.0,19.4,19.5,18.01,18.0
2011-08-10,203900.0,19.25,20.0,18.53,18.52
2011-08-11,163100.0,19.69,19.69,19.05,18.81
2011-08-12,148800.0,19.53,19.7,19.7,19.25
2011-08-15,132900.0,19.65,19.76,19.68,19.25
2011-08-16,45800.0,19.59,19.65,19.65,19.252
2011-08-17,104900.0,19.41,19.57,19.5,19.41
2011-08-18,102900.0,19.0,19.49,19.1,19.0
2011-08-19,89700.0,18.86,19.17,19.0,18.79
2011-08-22,48400.0,18.4,19.1,19.1,18.3
2011-08-23,283000.0,18.28,18.5,18.5,17.55
2011-08-24,22100.0,18.19,18.75,18.1,18.05
2011-08-25,41200.0,18.01,18.17,18.17,17.9828
2011-08-26,88000.0,18.64,18.72,17.67,17.67
2011-08-29,19300.0,18.37,18.85,18.85,18.2
2011-08-30,48300.0,18.03,18.7,18.22,17.75
2011-08-31,15600.0,18.2,18.42,18.07,18.0
2011-09-01,11600.0,18.05,18.244,18.14,18.05
2011-09-02,162000.0,17.51,17.97,17.85,17.06
2011-09-06,28100.0,17.37,17.79,17.23,17.23
2011-09-07,138300.0,17.12,17.49,17.2,16.81
2011-09-08,41000.0,17.03,17.27,16.9,16.4
2011-09-09,13800.0,17.09,17.13,17.065,17.0
2011-09-12,24100.0,17.09,17.09,16.92,16.91
2011-09-13,34100.0,17.64,17.74,17.12,17.12
2011-09-14,45600.0,17.8,17.81,17.8,17.51
2011-09-15,25600.0,18.0,18.0624,18.02,17.75
2011-09-16,50100.0,18.47,18.47,17.7,17.7
2011-09-19,28900.0,18.2,18.43,18.39,18.0
2011-09-20,40200.0,17.7,18.17,17.95,17.65
2011-09-21,44000.0,16.96,18.0,17.45,16.96
2011-09-22,101600.0,17.0,17.04,16.65,16.43
2011-09-23,76700.0,16.96,17.6,17.6,16.49
2011-09-26,36000.0,16.96,17.15,17.13,16.75
2011-09-27,59500.0,17.0,17.0601,17.0,16.76
2011-09-28,51000.0,16.6,16.94,16.94,16.475
2011-09-29,43200.0,16.8,16.9,16.7,16.52
2011-09-30,760200.0,16.7,16.88,16.65,16.5
2011-10-03,65100.0,16.24,17.075,16.52,16.13
2011-10-04,167400.0,16.6,16.68,15.97,15.07
2011-10-05,36500.0,16.32,16.58,16.56,16.2
2011-10-06,48800.0,16.94,16.96,16.31,16.2
2011-10-07,106400.0,15.95,16.43,16.06,15.59
2011-10-10,58000.0,16.46,16.49,16.17,15.98
2011-10-11,40100.0,16.09,16.4,16.38,15.938
2011-10-12,102500.0,15.83,16.33,16.33,15.51
2011-10-13,43700.0,15.7,15.93,15.64,15.52
2011-10-14,25100.0,16.24,16.25,15.81,15.55
2011-10-17,49500.0,16.7,16.93,16.12,16.1
2011-10-18,54700.0,16.89,16.9,16.4,16.0
2011-10-19,39800.0,16.17,16.85,16.8,16.1
2011-10-20,21300.0,16.06,16.28,16.18,16.0
2011-10-21,43600.0,16.42,16.44,16.33,16.04
2011-10-24,41300.0,16.51,16.63,16.32,16.16
2011-10-25,136400.0,17.08,17.5,16.5,16.5
2011-10-26,107600.0,17.94,18.05,17.45,17.44
2011-10-27,141800.0,18.03,18.44,18.44,17.43
2011-10-28,54800.0,18.1,18.2,17.85,17.69
2011-10-31,124800.0,18.18,18.25,18.11,17.55
2011-11-01,90700.0,17.82,18.15,17.57,17.57
2011-11-02,29300.0,17.96,18.13,18.13,17.896
2011-11-03,124500.0,17.67,17.9773,17.7,17.44
2011-11-04,36900.0,17.91,17.99,17.55,17.46
2011-11-07,46900.0,17.93,18.01,17.75,17.53
2011-11-08,152700.0,17.7,17.99,17.99,17.56
2011-11-09,82400.0,17.46,17.62,17.46,17.2
2011-11-10,84300.0,17.5,17.76,17.58,17.2
2011-11-11,79200.0,17.7,17.73,17.5,17.39
2011-11-14,61200.0,17.44,17.58,17.53,17.27
2011-11-15,37200.0,17.51,17.58,17.45,17.35
2011-11-16,60500.0,17.62,17.79,17.37,17.37
2011-11-17,34800.0,17.55,17.61,17.6,17.5
2011-11-18,46600.0,17.51,17.62,17.51,17.45
2011-11-21,46000.0,17.35,17.52,17.49,17.26
2011-11-22,40900.0,17.4,17.6,17.5,17.3
2011-11-23,35000.0,17.42,17.5466,17.33,17.33
2011-11-25,11700.0,17.36,17.6255,17.38,17.36
2011-11-28,47400.0,17.63,17.84,17.71,17.48
2011-11-29,46600.0,17.5,17.6065,17.57,17.4
2011-11-30,80300.0,17.81,17.85,17.84,17.5
2011-12-01,67400.0,17.55,17.76,17.69,17.5
2011-12-02,40300.0,17.58,17.89,17.7,17.51
2011-12-05,87700.0,17.58,17.82,17.82,17.46
2011-12-06,97600.0,17.58,17.75,17.57,17.53
2011-12-07,77800.0,17.79,17.88,17.6,17.4895
2011-12-08,61400.0,17.63,17.75,17.7,17.56
2011-12-09,78000.0,17.79,17.96,17.67,17.6
2011-12-12,50400.0,17.83,17.91,17.62,17.62
2011-12-13,144100.0,18.27,18.51,18.21,18.21
2011-12-14,150500.0,18.49,18.63,18.25,18.2488
2011-12-15,145600.0,18.52,18.73,18.68,18.23
2011-12-16,354100.0,18.99,19.0,18.7,18.51
2011-12-19,213000.0,18.9,19.0,19.0,18.75
2011-12-20,180200.0,18.51,18.76,18.11,18.11
2011-12-21,83000.0,18.63,18.86,18.51,18.42
2011-12-22,111100.0,18.48,18.805,18.73,18.45
2011-12-23,31400.0,18.54,18.6005,18.52,18.41
2011-12-27,71300.0,18.66,19.0,18.5,18.49
2011-12-28,56400.0,18.57,18.93,18.93,18.55
2011-12-29,47300.0,18.68,18.77,18.54,18.54
2011-12-30,53500.0,18.82,18.8699,18.63,18.61
2012-01-03,152200.0,18.94,19.0,18.99,18.86
2012-01-04,90100.0,18.99,19.0,18.87,18.87
2012-01-05,71800.0,18.8,18.98,18.9,18.76
2012-01-06,122200.0,18.73,18.9,18.85,18.675
2012-01-09,76600.0,18.88,19.0,18.82,18.76
2012-01-10,99000.0,18.85,19.0,19.0,18.8
2012-01-11,88000.0,18.92,18.99,18.88,18.84
2012-01-12,175700.0,18.85,19.0,18.97,18.8
2012-01-13,141000.0,18.85,18.89,18.8,18.8
2012-01-17,186600.0,18.82,19.0,18.86,18.56
2012-01-18,141400.0,19.0,19.24,18.89,18.83
2012-01-19,149200.0,18.94,19.0,19.0,18.83
2012-01-20,162700.0,18.89,18.96,18.96,18.84
2012-01-23,205900.0,18.9,18.97,18.9,18.8701
2012-01-24,454600.0,18.85,18.9,18.9,18.82
2012-01-25,401500.0,19.06,19.5,18.9,18.88
2012-01-26,314300.0,19.25,19.57,19.13,19.06
2012-01-27,95500.0,19.5,19.54,19.26,19.15
2012-01-30,97400.0,19.48,19.58,19.58,19.4
2012-01-31,119900.0,19.58,19.67,19.6,19.5
2012-02-01,144100.0,19.74,19.84,19.67,19.56
2012-02-02,102600.0,19.6,19.75,19.68,19.53
2012-02-03,126900.0,19.7,19.84,19.8,19.6
2012-02-06,101100.0,19.67,19.84,19.78,19.52
2012-02-07,194200.0,19.65,19.89,19.56,19.5
2012-02-08,101500.0,19.74,19.795,19.79,19.58
2012-02-09,822600.0,20.4,20.9,20.5,20.32
2012-02-10,386600.0,20.69,20.8,20.48,20.34
2012-02-13,811900.0,21.56,21.8,20.94,20.9
2012-02-14,836400.0,21.5,21.94,21.87,21.44
2012-02-15,468200.0,21.71,22.038,21.66,21.57
2012-02-16,332800.0,21.75,21.8,21.7,21.6
2012-02-17,276000.0,21.75,21.98,21.98,21.66
2012-02-21,236700.0,21.71,21.94,21.91,21.71
2012-02-22,195100.0,21.74,21.8,21.73,21.69
2012-02-23,218800.0,21.79,21.89,21.66,21.61
2012-02-24,685800.0,21.38,21.73,21.6,21.38
2012-02-27,234700.0,21.49,21.68,21.38,21.2485
2012-02-28,147600.0,21.65,21.7,21.46,21.46
2012-02-29,240700.0,21.56,21.7077,21.65,21.5
2012-03-01,160500.0,21.6,21.655,21.54,21.54
2012-03-02,221100.0,21.63,21.69,21.69,21.57
2012-03-05,444700.0,22.04,22.15,21.6,21.57
2012-03-06,775900.0,22.74,23.17,23.0,22.6
2012-03-07,778800.0,23.54,23.75,23.7,22.95
2012-03-08,894700.0,24.09,24.23,23.75,23.5
2012-03-09,742200.0,23.55,24.06,24.04,23.22
2012-03-12,809500.0,23.52,23.61,23.54,23.15
2012-03-13,1215900.0,22.47,23.0,23.0,22.33
2012-03-14,11256100.0,21.5,21.97,21.94,21.5
2012-03-15,1010300.0,21.65,21.79,21.78,21.65
2012-03-16,655400.0,21.58,21.8,21.78,21.55
2012-03-19,330300.0,21.66,21.75,21.62,21.6
2012-03-20,325700.0,21.58,21.7,21.62,21.56
2012-03-21,532600.0,21.52,21.62,21.57,21.35
2012-03-22,503900.0,21.55,21.7,21.45,21.45
2012-03-23,189700.0,21.65,21.68,21.47,21.46
2012-03-26,326700.0,21.76,21.79,21.72,21.6702
2012-03-27,488900.0,21.8,21.84,21.82,21.71
2012-03-28,475400.0,21.76,21.86,21.85,21.61
2012-03-29,358200.0,21.71,21.75,21.68,21.5
2012-03-30,1470200.0,21.77,21.78,21.76,21.61
2012-04-02,575600.0,21.79,21.821,21.75,21.68
2012-04-03,327600.0,21.75,21.87,21.8,21.74
2012-04-04,373000.0,21.76,21.8495,21.68,21.68
2012-04-05,239400.0,21.75,21.81,21.76,21.68
2012-04-09,439400.0,21.8,21.84,21.61,21.56
2012-04-10,329600.0,21.67,21.84,21.75,21.6
2012-04-11,383600.0,21.83,21.87,21.79,21.55
2012-04-12,319600.0,21.9,21.92,21.8,21.79
2012-04-13,332300.0,21.94,21.99,21.92,21.8385
2012-04-16,214500.0,21.91,21.99,21.98,21.88
2012-04-17,272500.0,21.88,21.98,21.91,21.85
2012-04-18,268600.0,21.8,21.93,21.88,21.76
2012-04-19,404900.0,21.88,21.9301,21.88,21.76
2012-04-20,210700.0,21.94,21.98,21.98,21.87
2012-04-23,248200.0,21.93,22.0301,21.83,21.8
2012-04-24,228800.0,22.01,22.05,21.99,21.95
2012-04-25,417200.0,22.22,22.27,22.09,22.0
2012-04-26,465300.0,22.61,22.68,22.29,22.25
2012-04-27,461900.0,22.8,23.039,22.69,22.66
2012-04-30,259100.0,22.73,22.89,22.89,22.7
2012-05-01,329900.0,22.78,22.99,22.78,22.76
2012-05-02,203000.0,22.81,22.848,22.76,22.71
2012-05-03,737700.0,23.14,23.23,22.81,22.81
2012-05-04,414400.0,23.31,23.36,23.14,23.07
2012-05-07,640200.0,23.5,23.87,23.87,23.21
2012-05-08,588200.0,23.42,23.54,23.5,23.26
2012-05-09,551000.0,23.52,23.72,23.43,23.3528
2012-05-10,591000.0,23.74,23.81,23.59,23.53
2012-05-11,486400.0,23.95,23.95,23.74,23.66
2012-05-14,842600.0,23.28,23.65,23.65,23.2
2012-05-15,903300.0,23.45,23.75,23.42,23.41
2012-05-16,564200.0,23.68,23.81,23.65,23.52
2012-05-17,912500.0,23.27,23.82,23.74,23.12
2012-05-18,918000.0,23.57,23.66,23.3,23.27
2012-05-21,667400.0,23.76,23.9,23.59,23.45
2012-05-22,629800.0,23.79,24.0,23.85,23.69
2012-05-23,669700.0,23.82,23.89,23.79,23.64
2012-05-24,9106600.0,23.2,23.39,23.09,23.08
2012-05-25,1237100.0,23.63,23.69,23.28,23.27
2012-05-29,1050300.0,23.73,23.86,23.79,23.62
2012-05-30,578100.0,23.58,23.7,23.7,23.55
2012-05-31,2409300.0,23.79,23.83,23.6,23.55
2012-06-01,1011300.0,23.42,23.8415,23.57,23.4
2012-06-04,1022400.0,23.59,23.7,23.66,23.5
2012-06-05,910500.0,23.7,23.77,23.63,23.58
2012-06-06,1199800.0,23.94,24.04,23.89,23.8101
2012-06-07,670700.0,23.83,24.13,24.13,23.8
2012-06-08,639900.0,23.69,23.9,23.78,23.65
2012-06-11,632800.0,23.67,23.9,23.9,23.67
2012-06-12,937600.0,23.88,23.93,23.87,23.76
2012-06-13,1381900.0,23.86,23.94,23.94,23.74
