date,5. volume,4. close,2. high,1. open,3. low
2014-05-19,576328.0,24.85,24.87,24.7,24.6996
2014-05-20,223763.0,24.9,24.95,24.9,24.83
2014-05-21,100250.0,24.9,24.96,24.9,24.87
2014-05-22,35015.0,24.8801,24.96,24.9001,24.87
2014-05-23,17080.0,24.92,24.9699,24.9699,24.88
2014-05-27,37265.0,24.92,24.99,24.99,24.85
2014-05-28,116753.0,24.8,24.92,24.91,24.75
2014-05-29,152157.0,24.85,24.86,24.8399,24.8
2014-05-30,52636.0,24.91,24.94,24.86,24.85
2014-06-02,93295.0,24.95,24.99,24.82,24.82
2014-06-03,103795.0,24.9501,25.0,24.9199,24.9199
2014-06-04,104860.0,24.97,24.99,24.99,24.82
2014-06-05,110700.0,24.9999,25.01,24.95,24.9
2014-06-06,19300.0,24.97,25.01,24.999,24.97
2014-06-09,26550.0,24.96,25.01,25.01,24.91
2014-06-10,10600.0,24.9301,25.01,24.98,24.93
2014-06-11,2200.0,24.95,24.95,24.92,24.92
2014-06-12,10075.0,24.99,24.99,24.92,24.92
2014-06-13,5696.0,24.9899,25.0,25.0,24.9899
2014-06-16,15176.0,24.98,24.9999,24.9999,24.96
2014-06-17,47917.0,24.94,25.01,25.01,24.92
2014-06-18,22500.0,25.0,25.01,25.01,24.9899
2014-06-19,61524.0,25.01,25.02,25.0,24.95
2014-06-20,20193.0,25.01,25.02,25.01,24.9922
2014-06-23,46970.0,25.02,25.02,25.0,25.0
2014-06-24,56553.0,25.06,25.15,25.02,25.0199
2014-06-25,39633.0,25.02,25.11,25.05,25.02
2014-06-26,59916.0,25.04,25.08,25.05,24.99
2014-06-27,40890.0,24.92,24.97,24.89,24.88
2014-06-30,27456.0,25.0,25.0,24.91,24.9
2014-07-01,7562.0,25.0401,25.119,25.006,25.006
2014-07-02,20864.0,25.11,25.15,25.11,25.087
2014-07-03,10900.0,25.05,25.05,25.04,25.0
2014-07-07,26500.0,25.01,25.21,25.05,25.0
2014-07-08,34660.0,24.99,25.02,25.02,24.97
2014-07-09,22200.0,25.0,25.39,25.05,24.9905
2014-07-10,3466.0,25.06,25.06,25.059,25.059
2014-07-11,7608.0,25.0599,25.06,25.06,24.97
2014-07-14,2300.0,25.029,25.06,25.06,25.005
2014-07-15,8621.0,25.02,25.03,25.03,24.97
2014-07-16,13318.0,24.9743,25.02,25.0,24.95
2014-07-17,5050.0,25.01,25.03,25.03,25.01
2014-07-18,7550.0,25.03,25.03,25.0,24.97
2014-07-21,7125.0,25.0,25.03,25.03,25.0
2014-07-22,17085.0,25.05,25.054,25.0,25.0
2014-07-23,34869.0,25.15,25.15,25.0,25.0
2014-07-24,18384.0,25.185,25.21,25.1,25.1
2014-07-25,18350.0,25.26,25.33,25.32,25.17
2014-07-28,18400.0,25.2,25.21,25.15,25.15
2014-07-29,58250.0,25.33,25.3655,25.27,25.2
2014-07-30,15091.0,25.13,25.29,25.22,25.13
2014-07-31,31700.0,25.11,25.21,25.13,24.95
2014-08-01,18535.0,25.02,25.2629,25.02,24.98
2014-08-04,27916.0,24.9,25.23,25.1,24.85
2014-08-05,12447.0,25.02,25.02,24.93,24.93
2014-08-06,7750.0,24.9808,25.02,24.81,24.81
2014-08-07,5812.0,25.0499,25.06,25.01,25.0
2014-08-08,3516.0,25.05,25.15,25.05,25.04
2014-08-11,5020.0,25.08,25.18,25.13,25.02
2014-08-12,3225.0,25.03,25.08,25.08,25.03
2014-08-13,2940.0,25.0199,25.07,25.0699,24.93
2014-08-14,9015.0,25.06,25.18,25.15,25.04
2014-08-15,1850.0,25.05,25.18,25.18,25.03
2014-08-18,10195.0,25.03,25.07,25.03,25.03
2014-08-19,7415.0,25.0471,25.129,25.1,25.01
