date,5. volume,4. close,2. high,1. open,3. low
2018-03-12,920583.0,9.59,9.59,9.56,9.56
2018-03-13,300083.0,9.59,9.59,9.59,9.59
2018-03-14,225900.0,9.6,9.6,9.59,9.59
2018-03-15,0.0,9.6,9.6,9.6,9.6
2018-03-16,54200.0,9.55,9.6,9.6,9.55
2018-03-19,1900.0,9.62,9.62,9.62,9.55
2018-03-20,94.0,9.62,9.62,9.62,9.62
2018-03-21,0.0,9.62,9.62,9.62,9.62
2018-03-22,2000.0,9.5738,9.6007,9.6007,9.5738
2018-03-23,0.0,9.5738,9.5738,9.5738,9.5738
2018-03-26,400.0,9.585,9.585,9.585,9.585
2018-03-27,0.0,9.5848,9.5848,9.5848,9.5848
2018-03-28,9000.0,9.6009,9.62,9.6008,9.6008
2018-03-29,0.0,9.6009,9.6009,9.6009,9.6009
2018-04-02,0.0,9.6009,9.6009,9.6009,9.6009
2018-04-03,484400.0,9.62,9.62,9.595,9.595
2018-04-04,2942.0,9.61,9.61,9.55,9.55
2018-04-05,0.0,9.61,9.61,9.61,9.61
2018-04-06,0.0,9.61,9.61,9.61,9.61
2018-04-09,0.0,9.61,9.61,9.61,9.61
2018-04-10,0.0,9.61,9.61,9.61,9.61
2018-04-11,200000.0,9.6,9.6,9.6,9.6
2018-04-12,0.0,9.6,9.6,9.6,9.6
2018-04-13,150000.0,9.6,9.6,9.6,9.6
2018-04-16,96000.0,9.6,9.6,9.6,9.6
2018-04-17,200000.0,9.6,9.6,9.6,9.6
2018-04-18,400898.0,9.6,9.62,9.6,9.6
2018-04-19,1800.0,9.6,9.6,9.6,9.6
2018-04-20,0.0,9.6,9.6,9.6,9.6
2018-04-23,0.0,9.6,9.6,9.6,9.6
2018-04-24,93.0,9.6,9.6,9.6,9.6
2018-04-25,100.0,9.62,9.62,9.62,9.62
2018-04-26,10500.0,9.62,9.62,9.62,9.62
2018-04-27,0.0,9.62,9.62,9.62,9.62
2018-04-30,2300.0,9.67,9.67,9.67,9.67
2018-05-01,0.0,9.67,9.67,9.67,9.67
2018-05-02,0.0,9.67,9.67,9.67,9.67
2018-05-03,400000.0,9.61,9.61,9.61,9.61
2018-05-04,300000.0,9.61,9.61,9.61,9.61
2018-05-07,0.0,9.61,9.61,9.61,9.61
2018-05-08,2.0,9.61,9.61,9.61,9.61
2018-05-09,72340.0,9.61,9.61,9.61,9.61
2018-05-10,753300.0,9.67,9.67,9.63,9.61
2018-05-11,0.0,9.67,9.67,9.67,9.67
2018-05-14,400.0,9.61,9.71,9.71,9.61
2018-05-15,710360.0,9.61,9.67,9.67,9.61
2018-05-16,44802.0,9.63,9.63,9.63,9.62
2018-05-17,0.0,9.63,9.63,9.63,9.63
2018-05-18,655000.0,9.63,9.63,9.63,9.63
2018-05-21,40.0,9.63,9.63,9.63,9.63
2018-05-22,651132.0,9.63,9.94,9.94,9.63
2018-05-23,105812.0,9.63,9.63,9.62,9.62
2018-05-24,222203.0,9.63,9.63,9.63,9.61
2018-05-25,412.0,9.63,9.63,9.63,9.63
2018-05-29,19137.0,9.63,9.63,9.63,9.63
2018-05-30,0.0,9.63,9.63,9.63,9.63
2018-05-31,507515.0,9.62,9.64,9.64,9.61
2018-06-01,100.0,9.61,9.61,9.61,9.61
2018-06-04,600.0,9.61,9.64,9.64,9.6
2018-06-05,563356.0,9.61,9.64,9.61,9.6
2018-06-06,4056.0,9.6,9.61,9.61,9.6
2018-06-07,1100.0,9.63,9.63,9.61,9.61
2018-06-08,0.0,9.63,9.63,9.63,9.63
