date,5. volume,4. close,2. high,1. open,3. low
2018-03-12,2475000.0,0.65,0.72,0.66,0.65
2018-03-13,47500.0,0.66,0.67,0.67,0.6502
2018-03-14,13900.0,0.6486,0.66,0.56,0.56
2018-03-15,17500.0,0.6175,0.66,0.6,0.6
2018-03-16,85100.0,0.6,0.66,0.6,0.6
2018-03-19,106700.0,0.6,0.62,0.62,0.6
2018-03-20,400.0,0.6999,0.7,0.7,0.6999
2018-03-21,261825.0,0.64,0.7,0.64,0.64
2018-03-28,1100.0,0.65,1.5,0.75,0.65
2018-04-04,60100.0,0.65,0.65,0.625,0.625
2018-04-11,240000.0,0.64,0.66,0.66,0.62
2018-04-13,445500.0,0.64,0.65,0.65,0.625
2018-04-16,110250.0,0.65,0.65,0.65,0.65
2018-04-17,52500.0,0.6467,0.65,0.65,0.6467
2018-04-18,108500.0,0.65,0.65,0.65,0.65
2018-04-19,2500.0,0.647,0.65,0.65,0.647
2018-04-25,161675.0,0.65,0.65,0.63,0.63
2018-04-26,355500.0,0.62,0.65,0.64,0.62
2018-04-27,5000.0,0.63,0.63,0.63,0.63
2018-04-30,48810.0,0.61,0.64,0.64,0.6039
2018-05-02,1200.0,0.6641,0.9042,0.9,0.63
2018-05-03,859100.0,0.65,0.65,0.65,0.65
2018-05-04,500000.0,0.65,0.65,0.65,0.65
2018-05-07,39900.0,0.65,0.65,0.65,0.65
2018-05-08,14168.0,0.65,0.65,0.555,0.555
2018-05-09,60.0,0.65,0.65,0.65,0.65
2018-05-10,50000.0,0.62,0.62,0.62,0.62
2018-05-14,8900.0,0.65,0.65,0.65,0.62
2018-05-18,100.0,0.69,0.69,0.69,0.69
2018-05-21,5600.0,0.64,0.64,0.64,0.64
2018-05-23,5300.0,0.63,0.64,0.64,0.63
2018-05-25,200.0,0.64,0.65,0.65,0.64
2018-05-29,334700.0,0.64,0.845,0.64,0.64
2018-05-30,100.0,0.65,0.65,0.65,0.65
2018-06-05,700.0,0.65,0.65,0.65,0.62
