date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,61000.0,11.88,11.94,11.94,11.88
2000-01-04,27800.0,11.94,11.94,11.88,11.81
2000-01-05,29100.0,12.06,12.06,11.94,11.94
2000-01-06,13800.0,12.13,12.13,12.0,12.0
2000-01-07,10700.0,12.19,12.19,12.06,12.06
2000-01-10,8300.0,12.19,12.25,12.13,12.13
2000-01-11,11100.0,12.06,12.13,12.13,12.06
2000-01-12,17300.0,12.06,12.13,12.13,12.0
2000-01-13,19400.0,12.0,12.0,12.0,11.94
2000-01-14,22800.0,12.06,12.06,12.06,12.0
2000-01-18,14800.0,12.0,12.06,12.0,11.94
2000-01-19,3500.0,11.94,12.0,11.94,11.94
2000-01-20,4600.0,11.94,12.0,12.0,11.88
2000-01-21,25900.0,11.88,11.94,11.88,11.88
2000-01-24,28100.0,11.75,11.88,11.88,11.75
2000-01-25,21500.0,11.81,11.81,11.75,11.75
2000-01-26,24000.0,11.88,11.88,11.75,11.75
2000-01-27,30400.0,11.88,11.88,11.81,11.81
2000-01-28,14700.0,11.81,11.88,11.88,11.81
2000-01-31,43500.0,11.81,11.81,11.81,11.75
2000-02-01,40700.0,11.75,11.81,11.81,11.69
2000-02-02,47300.0,11.81,11.88,11.69,11.69
2000-02-03,60200.0,12.0,12.0,11.81,11.81
2000-02-04,26500.0,11.94,11.94,11.94,11.94
2000-02-07,28200.0,12.06,12.13,12.0,12.0
2000-02-08,17000.0,12.0,12.13,12.13,11.94
2000-02-09,49100.0,11.94,12.06,12.0,11.94
2000-02-10,21200.0,11.94,12.0,11.94,11.88
2000-02-11,20600.0,11.94,11.94,11.94,11.88
2000-02-14,15900.0,11.94,11.94,11.94,11.88
2000-02-15,8200.0,11.81,11.88,11.88,11.81
2000-02-16,21100.0,11.94,11.94,11.88,11.81
2000-02-17,23800.0,11.88,11.88,11.81,11.81
2000-02-18,24200.0,11.88,11.94,11.88,11.81
2000-02-22,24900.0,11.94,11.94,11.88,11.81
2000-02-23,24400.0,12.0,12.0,11.94,11.88
2000-02-24,29100.0,12.06,12.06,12.0,11.94
2000-02-25,4900.0,12.0,12.0,12.0,11.94
2000-02-28,14200.0,12.0,12.0,11.94,11.94
2000-02-29,36400.0,11.94,12.0,12.0,11.81
2000-03-01,14200.0,11.88,11.88,11.81,11.81
2000-03-02,14700.0,11.75,11.88,11.88,11.69
2000-03-03,15800.0,11.75,11.75,11.69,11.69
2000-03-06,43200.0,11.94,11.94,11.75,11.69
2000-03-07,36500.0,11.94,11.94,11.94,11.81
2000-03-08,46500.0,12.0,12.0,11.88,11.88
2000-03-09,40200.0,11.75,11.94,11.94,11.75
2000-03-10,64800.0,11.56,11.75,11.75,11.56
2000-03-13,68800.0,11.38,11.63,11.56,11.31
2000-03-14,27200.0,11.44,11.5,11.38,11.38
2000-03-15,46000.0,11.44,11.5,11.38,11.31
2000-03-16,69700.0,11.31,11.5,11.5,11.31
2000-03-17,36500.0,11.44,11.44,11.31,11.31
2000-03-20,86500.0,11.38,11.5,11.44,11.31
2000-03-21,46500.0,11.44,11.5,11.31,11.31
2000-03-22,65900.0,11.5,11.56,11.5,11.44
2000-03-23,24600.0,11.56,11.56,11.44,11.44
2000-03-24,30100.0,11.44,11.5,11.5,11.38
2000-03-27,32200.0,11.5,11.5,11.44,11.31
2000-03-28,47500.0,11.44,11.5,11.44,11.38
2000-03-29,73600.0,11.38,11.44,11.44,11.31
2000-03-30,73600.0,11.44,11.5,11.38,11.31
2000-03-31,96200.0,11.75,11.81,11.5,11.44
2000-04-03,55700.0,11.75,11.75,11.63,11.56
2000-04-04,78100.0,11.69,11.88,11.75,11.63
2000-04-05,110300.0,11.81,11.94,11.63,11.63
2000-04-06,65100.0,11.81,11.88,11.88,11.69
2000-04-07,24500.0,11.81,11.88,11.88,11.75
2000-04-10,90100.0,11.56,11.75,11.75,11.5
2000-04-11,54900.0,11.75,11.88,11.63,11.63
2000-04-12,29300.0,11.69,11.81,11.81,11.63
2000-04-13,45000.0,11.5,11.5,11.5,11.38
2000-04-14,57500.0,11.38,11.44,11.44,11.31
2000-04-17,39300.0,11.31,11.38,11.38,11.31
2000-04-18,46400.0,11.31,11.31,11.31,11.25
2000-04-19,32000.0,11.19,11.31,11.31,11.19
2000-04-20,24400.0,11.25,11.31,11.25,11.19
