date,5. volume,4. close,2. high,1. open,3. low
2016-07-25,100.0,6.0,6.0,6.0,6.0
2016-07-26,16.0,6.0,6.0,6.0,6.0
2016-07-27,0.0,6.0,6.0,6.0,6.0
2016-07-28,0.0,6.0,6.0,6.0,6.0
2016-07-29,0.0,6.0,6.0,6.0,6.0
2016-08-01,0.0,6.0,6.0,6.0,6.0
2016-08-02,4193.0,5.2,7.2,7.2,5.2
2016-08-03,10.0,5.2,5.2,5.2,5.2
2016-08-04,0.0,5.2,5.2,5.2,5.2
2016-08-05,0.0,5.2,5.2,5.2,5.2
2016-08-08,0.0,5.2,5.2,5.2,5.2
2016-08-09,440.0,5.1999,5.2,5.2,5.15
2016-08-10,0.0,5.1999,5.1999,5.1999,5.1999
2016-08-11,100.0,5.19,5.19,5.19,5.19
2016-08-12,0.0,5.19,5.19,5.19,5.19
2016-08-15,0.0,5.19,5.19,5.19,5.19
2016-08-16,850.0,4.95,5.19,5.0,4.94
2016-08-17,0.0,4.95,4.95,4.95,4.95
2016-08-18,0.0,4.95,4.95,4.95,4.95
2016-08-19,0.0,4.95,4.95,4.95,4.95
2016-08-22,0.0,4.95,4.95,4.95,4.95
2016-08-23,0.0,4.95,4.95,4.95,4.95
2016-08-24,0.0,4.95,4.95,4.95,4.95
2016-08-25,204.0,5.15,5.15,5.15,5.15
2016-08-26,0.0,5.15,5.15,5.15,5.15
2016-08-29,0.0,5.15,5.15,5.15,5.15
2016-08-30,0.0,5.15,5.15,5.15,5.15
2016-08-31,0.0,5.15,5.15,5.15,5.15
2016-09-01,0.0,5.15,5.15,5.15,5.15
2016-09-02,0.0,5.15,5.15,5.15,5.15
2016-09-06,2362.0,5.25,5.25,5.2,5.2
2016-09-07,2920.0,5.45,5.45,5.2,4.97
2016-09-08,0.0,5.45,5.45,5.45,5.45
2016-09-09,0.0,5.45,5.45,5.45,5.45
2016-09-12,4.0,5.45,5.45,5.45,5.45
2016-09-13,0.0,5.45,5.45,5.45,5.45
2016-09-14,2186.0,5.24,5.44,5.44,5.24
2016-09-15,624.0,5.25,5.25,5.1,5.1
2016-09-16,0.0,5.25,5.25,5.25,5.25
2016-09-19,0.0,5.25,5.25,5.25,5.25
2016-09-20,0.0,5.25,5.25,5.25,5.25
2016-09-21,0.0,5.25,5.25,5.25,5.25
2016-09-22,0.0,5.25,5.25,5.25,5.25
2016-09-23,0.0,5.25,5.25,5.25,5.25
2016-09-26,0.0,5.25,5.25,5.25,5.25
2016-09-27,0.0,5.25,5.25,5.25,5.25
2016-09-28,0.0,5.25,5.25,5.25,5.25
2016-09-29,0.0,5.25,5.25,5.25,5.25
2016-09-30,0.0,5.25,5.25,5.25,5.25
2016-10-03,0.0,5.25,5.25,5.25,5.25
2016-10-04,1.0,5.25,5.25,5.25,5.25
2016-10-05,0.0,5.25,5.25,5.25,5.25
2016-10-06,0.0,5.25,5.25,5.25,5.25
2016-10-07,0.0,5.25,5.25,5.25,5.25
2016-10-10,0.0,5.25,5.25,5.25,5.25
2016-10-11,0.0,5.25,5.25,5.25,5.25
2016-10-12,0.0,5.25,5.25,5.25,5.25
2016-10-13,0.0,5.25,5.25,5.25,5.25
2016-10-14,1.0,5.25,5.25,5.25,5.25
2016-10-17,4.0,5.25,5.25,5.25,5.25
2016-10-18,0.0,5.25,5.25,5.25,5.25
2016-10-19,2.0,5.25,5.25,5.25,5.25
2016-10-20,0.0,5.25,5.25,5.25,5.25
2016-10-21,0.0,5.25,5.25,5.25,5.25
2016-10-24,0.0,5.25,5.25,5.25,5.25
2016-10-25,0.0,5.25,5.25,5.25,5.25
2016-10-26,0.0,5.25,5.25,5.25,5.25
2016-10-27,0.0,5.25,5.25,5.25,5.25
2016-10-28,0.0,5.25,5.25,5.25,5.25
2016-10-31,0.0,5.25,5.25,5.25,5.25
2016-11-01,0.0,5.25,5.25,5.25,5.25
2016-11-02,0.0,5.25,5.25,5.25,5.25
2016-11-03,0.0,5.25,5.25,5.25,5.25
2016-11-04,0.0,5.25,5.25,5.25,5.25
2016-11-07,0.0,5.25,5.25,5.25,5.25
