date,5. volume,4. close,2. high,1. open,3. low
2016-09-15,9496715.0,26.2,27.32,26.5,26.0
2016-09-16,688654.0,26.26,26.7493,26.0,26.0
2016-09-19,549849.0,26.4,26.6899,26.51,26.04
2016-09-20,155095.0,26.32,26.45,26.27,26.23
2016-09-21,201198.0,26.41,26.6,26.59,26.3
2016-09-22,129215.0,26.74,26.78,26.5,26.41
2016-09-23,212821.0,26.9,27.4579,27.0,26.51
2016-09-26,140055.0,27.5,28.0,26.81,26.8001
2016-09-27,289421.0,27.2,27.5,27.35,27.03
2016-09-28,283001.0,27.82,28.0,27.13,27.125
2016-09-29,57118.0,27.62,27.9923,27.61,27.45
2016-09-30,136602.0,27.9,28.14,27.99,27.652
2016-10-03,222894.0,27.58,28.35,28.1,27.4203
2016-10-04,59988.0,27.79,28.03,28.0,26.92
2016-10-05,89039.0,27.81,28.05,27.4,27.21
2016-10-06,121317.0,27.8,28.0,27.97,27.64
2016-10-07,165001.0,27.71,28.0,28.0,27.495
2016-10-10,674956.0,28.41,28.99,28.3,28.0
2016-10-11,349254.0,28.39,28.885,28.8,28.1
2016-10-12,677529.0,29.07,29.72,28.4,28.26
2016-10-13,258941.0,28.76,29.28,29.04,28.15
2016-10-14,280510.0,29.25,29.3,28.67,28.67
2016-10-17,288065.0,30.5,30.82,29.44,29.24
2016-10-18,270887.0,30.42,30.7,30.45,30.28
2016-10-19,240626.0,29.85,30.54,30.49,29.65
2016-10-20,226459.0,30.04,30.63,30.01,29.8701
2016-10-21,169653.0,30.2,30.659,30.19,29.855
2016-10-24,496339.0,31.0,31.07,30.43,29.855
2016-10-25,15833.0,30.7,30.9434,30.76,30.25
2016-10-26,44811.0,30.64,30.77,30.75,30.25
2016-10-27,14078.0,31.18,31.28,30.64,30.64
2016-10-28,27073.0,30.5,31.3019,31.15,30.08
2016-10-31,38425.0,30.0,30.67,30.67,29.76
2016-11-01,174826.0,28.99,30.094,29.85,28.89
2016-11-02,397083.0,29.96,30.73,28.9,28.9
2016-11-03,379858.0,29.86,30.4807,30.0,29.125
2016-11-04,95390.0,29.89,30.32,29.87,29.5
2016-11-07,26494.0,30.16,30.88,29.53,29.53
