date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,1492700.0,29.38,30.69,30.63,29.13
2000-01-04,759600.0,28.81,29.38,28.25,28.13
2000-01-05,1948300.0,29.56,30.0,28.88,28.44
2000-01-06,1382000.0,31.06,31.06,29.5,29.0
2000-01-07,1305500.0,31.44,31.69,30.88,30.44
2000-01-10,869300.0,32.0,32.06,31.44,30.44
2000-01-11,1614000.0,32.0,32.5,32.0,31.75
2000-01-12,875200.0,31.81,32.19,32.0,31.5
2000-01-13,1727800.0,32.44,32.75,31.69,31.69
2000-01-14,758300.0,32.88,33.88,32.5,32.31
2000-01-18,2143200.0,35.25,35.25,32.94,32.88
2000-01-19,1185200.0,34.5,35.31,35.0,34.44
2000-01-20,1037400.0,33.63,34.5,34.5,33.25
2000-01-21,1248700.0,34.94,35.5,34.38,34.31
2000-01-24,818800.0,33.38,35.38,35.0,32.38
2000-01-25,1036900.0,32.38,33.94,33.25,32.19
2000-01-26,1263900.0,31.94,33.5,32.75,31.63
2000-01-27,1323600.0,30.25,33.0,31.88,30.25
2000-01-28,930800.0,29.81,31.0,30.25,29.38
2000-01-31,941400.0,29.63,30.25,29.25,29.25
2000-02-01,736200.0,31.0,31.38,30.25,30.06
2000-02-02,768800.0,31.0,32.69,31.5,31.0
2000-02-03,412000.0,30.69,31.5,31.25,30.38
2000-02-04,606900.0,31.0,31.31,30.94,30.31
2000-02-07,755000.0,32.13,32.38,30.56,30.56
2000-02-08,478200.0,31.13,32.06,32.0,30.38
2000-02-09,733000.0,29.81,31.06,30.88,29.75
2000-02-10,892600.0,31.88,32.0,30.0,29.88
2000-02-11,1071800.0,32.88,33.63,33.0,32.63
2000-02-14,889800.0,33.63,33.81,32.13,31.69
2000-02-15,1270000.0,35.25,35.44,33.81,33.75
2000-02-16,1349100.0,35.5,36.19,35.31,34.31
2000-02-17,835300.0,34.56,35.0,34.0,33.19
2000-02-18,739900.0,33.56,34.5,34.25,33.0
2000-02-22,968900.0,31.56,33.38,33.38,31.31
2000-02-23,722100.0,32.0,32.06,31.38,31.31
2000-02-24,1284800.0,33.63,33.94,32.5,32.19
2000-02-25,1071200.0,33.0,33.63,33.38,32.63
2000-02-28,1263300.0,34.38,34.38,32.5,32.44
2000-02-29,1451900.0,35.88,36.88,34.31,34.31
2000-03-01,1505200.0,37.75,37.75,35.94,35.44
2000-03-02,2221000.0,39.19,40.38,37.75,37.69
2000-03-03,1523100.0,37.44,39.19,39.19,36.38
2000-03-06,1030600.0,38.38,38.88,37.63,37.5
2000-03-07,2012300.0,40.0,40.0,38.75,38.62
2000-03-08,1124700.0,36.69,38.06,38.0,36.31
2000-03-09,1101800.0,35.75,37.19,37.13,34.75
2000-03-10,1178100.0,36.5,39.25,35.63,35.38
2000-03-13,935900.0,35.75,38.5,35.63,35.5
2000-03-14,773000.0,35.88,36.25,35.5,34.38
2000-03-15,1044200.0,35.63,35.81,35.0,34.75
2000-03-16,1342900.0,38.31,38.31,35.63,35.38
2000-03-17,1343600.0,38.0,38.25,37.88,36.63
2000-03-20,978100.0,36.75,38.0,38.0,35.75
2000-03-21,1811600.0,39.0,39.19,37.0,37.0
2000-03-22,1734500.0,39.56,40.56,39.0,39.0
2000-03-23,1093800.0,39.69,39.94,39.88,37.88
2000-03-24,3192500.0,37.63,38.63,37.75,36.75
2000-03-27,7019100.0,36.25,37.38,37.31,35.0
2000-03-28,1655500.0,36.5,37.69,36.0,35.75
2000-03-29,1180400.0,38.13,38.44,36.0,35.63
2000-03-30,1539200.0,38.5,39.38,38.25,37.38
2000-03-31,1368400.0,38.81,39.38,38.75,36.94
2000-04-03,1777500.0,39.56,39.69,39.0,38.63
2000-04-04,1450000.0,37.38,39.69,39.25,35.44
2000-04-05,1163600.0,35.31,36.88,36.63,35.19
2000-04-06,1674000.0,36.13,36.19,35.75,34.81
2000-04-07,1601600.0,36.81,37.56,36.5,36.0
2000-04-10,1139300.0,34.44,36.75,36.38,34.0
2000-04-11,1975700.0,35.94,35.94,34.75,34.13
2000-04-12,1166200.0,37.13,37.69,36.25,35.75
2000-04-13,1743300.0,36.75,38.0,36.75,36.63
2000-04-14,2763100.0,36.25,38.38,36.75,36.06
2000-04-17,2028100.0,35.75,36.0,35.5,34.06
2000-04-18,1174100.0,38.38,38.38,36.25,36.25
2000-04-19,1162800.0,37.38,38.5,38.5,36.94
2000-04-20,1016400.0,38.75,38.88,37.5,37.5
2000-04-24,746700.0,37.81,39.19,38.94,36.94
2000-04-25,662700.0,37.19,38.19,37.81,36.0
2000-04-26,1752800.0,37.44,37.94,37.13,35.5
2000-04-27,1590000.0,38.63,39.44,37.63,36.94
2000-04-28,949100.0,39.44,39.75,39.25,38.56
2000-05-01,1631900.0,40.13,40.25,39.38,38.5
2000-05-02,2967900.0,40.69,41.06,39.75,39.75
2000-05-03,741700.0,38.06,40.63,40.63,38.0
2000-05-04,1400700.0,39.88,40.0,38.63,38.19
2000-05-05,927900.0,40.0,40.06,39.38,38.94
2000-05-08,2164600.0,41.31,41.38,39.75,39.75
2000-05-09,1220600.0,42.56,42.63,41.13,40.69
2000-05-10,1293900.0,41.19,42.25,42.0,40.38
2000-05-11,1118000.0,40.94,41.88,41.19,40.69
2000-05-12,1134800.0,42.25,42.25,41.25,40.38
2000-05-15,1358200.0,42.94,43.44,42.25,41.75
2000-05-16,850600.0,42.56,43.0,42.94,41.44
2000-05-17,736400.0,43.44,43.44,42.13,41.75
2000-05-18,1026400.0,42.19,43.63,43.63,41.38
2000-05-19,755600.0,42.31,42.56,41.94,41.69
2000-05-22,1017600.0,40.5,42.0,42.0,40.31
2000-05-23,1206600.0,42.5,42.5,40.88,40.75
2000-05-24,1154900.0,41.25,42.44,42.31,40.69
2000-05-25,987100.0,41.5,41.5,41.25,39.5
2000-05-26,454900.0,40.38,41.75,41.13,40.31
2000-05-30,605600.0,40.31,41.25,40.38,40.19
2000-05-31,1159500.0,43.0,43.13,40.5,40.5
2000-06-01,759800.0,42.25,43.38,42.75,41.38
2000-06-02,1243500.0,39.38,42.25,42.25,39.13
2000-06-05,1541300.0,36.44,40.0,39.5,36.44
2000-06-06,1945900.0,39.38,39.38,37.25,36.5
2000-06-07,1055800.0,39.0,40.25,40.0,38.13
2000-06-08,1131300.0,41.38,41.38,38.75,38.75
2000-06-09,920100.0,40.25,40.88,40.88,39.75
2000-06-12,1168600.0,42.13,42.13,40.75,40.75
2000-06-13,1023100.0,42.5,42.63,41.75,41.69
2000-06-14,5092800.0,39.5,44.25,42.5,39.0
2000-06-15,4567800.0,40.06,40.69,39.63,38.44
2000-06-16,3492700.0,41.44,41.56,40.0,40.0
2000-06-19,1590100.0,40.19,41.44,41.38,39.63
2000-06-20,1186400.0,39.75,40.31,40.19,38.69
2000-06-21,1968800.0,42.0,42.13,39.88,39.63
2000-06-22,1606200.0,41.38,43.31,43.0,40.81
2000-06-23,1326100.0,42.0,42.5,41.38,41.38
2000-06-26,1559800.0,41.0,42.44,41.75,40.25
2000-06-27,998600.0,41.56,41.69,41.0,39.69
2000-06-28,1101600.0,39.81,41.75,41.75,39.75
2000-06-29,978900.0,41.13,41.94,40.06,40.06
2000-06-30,1418200.0,41.56,42.63,41.13,40.63
2000-07-03,324700.0,41.63,42.19,41.94,41.63
2000-07-05,1361100.0,39.44,40.5,40.5,39.31
2000-07-06,1403400.0,40.75,40.94,40.63,40.13
2000-07-07,876300.0,40.31,40.75,40.5,39.88
2000-07-10,1378700.0,40.13,41.63,40.25,40.0
2000-07-11,2252800.0,44.19,44.19,41.0,41.0
2000-07-12,1668000.0,43.31,44.69,44.19,43.25
2000-07-13,987300.0,43.56,43.75,43.38,43.0
2000-07-14,737300.0,44.81,44.81,44.0,44.0
2000-07-17,714700.0,43.44,44.25,44.25,43.06
2000-07-18,965300.0,45.0,45.0,43.63,43.63
2000-07-19,996300.0,44.56,45.63,45.38,44.5
2000-07-20,779000.0,44.0,44.75,44.5,43.69
2000-07-21,647500.0,42.25,43.88,43.25,42.06
2000-07-24,1000900.0,40.19,42.63,42.0,39.75
2000-07-25,1107700.0,38.88,41.5,40.88,38.69
2000-07-26,1422100.0,41.31,41.63,38.94,38.56
2000-07-27,699600.0,42.0,42.38,41.75,41.5
2000-07-28,731800.0,41.63,42.69,41.88,41.63
2000-07-31,650100.0,41.63,42.44,42.25,41.13
2000-08-01,1000600.0,44.0,44.0,42.25,42.13
2000-08-02,2162100.0,45.0,45.25,44.38,44.38
2000-08-03,894400.0,43.69,44.75,44.63,43.13
2000-08-04,1299200.0,45.0,45.13,43.88,43.06
2000-08-07,1069200.0,45.83,46.0,44.88,44.56
2000-08-08,1170000.0,46.0,46.5,45.69,45.63
2000-08-09,1992300.0,46.5,46.88,46.5,45.81
2000-08-10,955500.0,46.31,47.0,46.5,46.0
2000-08-11,731700.0,46.38,46.88,46.31,45.75
2000-08-14,1188200.0,47.94,48.0,46.0,46.0
2000-08-15,1460500.0,47.81,48.38,47.88,47.44
2000-08-16,1507700.0,48.75,48.81,47.81,47.75
2000-08-17,1583600.0,49.25,49.88,49.19,48.56
2000-08-18,960600.0,47.69,49.25,49.25,47.44
2000-08-21,902800.0,47.94,48.75,48.75,47.25
2000-08-22,683400.0,47.94,48.81,48.25,47.63
2000-08-23,1580600.0,48.38,48.63,48.0,48.0
2000-08-24,731400.0,47.31,48.31,48.25,47.13
2000-08-25,803000.0,46.94,47.25,47.25,45.69
2000-08-28,802400.0,47.63,47.75,47.06,46.19
2000-08-29,791700.0,47.27,48.38,47.63,47.06
2000-08-30,949800.0,47.44,48.0,47.38,47.0
2000-08-31,719300.0,47.56,48.0,47.5,47.06
2000-09-01,553200.0,47.75,48.0,47.56,47.44
2000-09-05,846200.0,48.5,48.88,48.0,47.69
2000-09-06,1605900.0,51.63,51.63,49.0,49.0
2000-09-07,1637200.0,51.38,51.63,51.63,50.63
2000-09-08,911700.0,50.38,50.81,50.75,49.63
2000-09-11,892600.0,52.5,52.69,50.38,50.38
2000-09-12,2044900.0,53.13,53.81,53.38,52.63
2000-09-13,904400.0,52.38,52.81,52.75,51.38
2000-09-14,613100.0,52.38,53.0,52.38,51.81
2000-09-15,870900.0,52.75,53.81,52.63,52.63
2000-09-18,1126700.0,51.27,53.25,53.25,50.88
2000-09-19,926200.0,50.44,51.69,51.0,50.19
2000-09-20,1303100.0,49.0,52.38,51.0,48.56
2000-09-21,1509900.0,46.5,49.0,49.0,46.5
2000-09-22,1715000.0,47.04,48.5,46.5,46.5
2000-09-25,2081500.0,47.35,48.09,46.75,44.9
2000-09-26,1126000.0,50.02,50.15,48.5,48.35
2000-09-27,1920100.0,51.97,52.75,51.0,50.46
2000-09-28,1043200.0,52.31,53.15,51.98,51.09
2000-09-29,979100.0,52.4,53.74,52.75,52.1
2000-10-02,767000.0,53.21,53.37,52.6,51.25
2000-10-03,621400.0,52.27,54.0,53.3,52.15
2000-10-04,2987200.0,50.85,53.75,53.75,50.5
2000-10-05,1091600.0,51.41,51.64,50.8,49.65
2000-10-06,995100.0,51.9,53.3,51.88,51.8
2000-10-09,577600.0,51.98,53.0,52.1,51.21
2000-10-10,1261000.0,53.7,54.05,52.25,52.25
2000-10-11,995400.0,53.5,55.11,54.2,52.44
2000-10-12,1266800.0,55.41,55.84,54.45,54.45
2000-10-13,1033700.0,53.95,55.25,55.0,53.04
2000-10-16,1261700.0,53.05,53.2,52.25,51.88
2000-10-17,11656200.0,53.25,58.0,53.75,53.25
2000-10-18,3718700.0,53.67,54.4,53.19,52.65
2000-10-19,1628000.0,54.64,55.0,53.5,53.3
2000-10-20,1707200.0,56.1,56.19,54.5,54.5
2000-10-23,1101200.0,54.7,56.0,56.0,53.96
2000-10-24,1353700.0,53.5,55.6,55.6,53.1
2000-10-25,1380700.0,51.55,53.55,53.0,51.45
2000-10-26,1867900.0,51.7,53.4,53.25,50.79
2000-10-27,2442800.0,48.7,51.0,51.0,47.0
2000-10-30,1468700.0,50.38,52.0,48.55,48.1
2000-10-31,1037600.0,50.9,51.59,50.95,49.75
2000-11-01,1516000.0,53.23,53.6,51.06,51.06
2000-11-02,1146400.0,52.0,52.9,52.9,51.5
2000-11-03,923900.0,52.87,53.35,51.75,51.15
2000-11-06,956600.0,53.09,53.31,52.88,52.0
2000-11-07,496800.0,53.66,54.85,53.9,52.8
2000-11-08,693200.0,55.25,55.4,53.0,53.0
2000-11-09,861500.0,53.53,55.75,55.25,52.0
2000-11-10,409400.0,52.18,54.15,53.75,52.17
2000-11-13,1075200.0,49.5,53.05,52.75,49.4
2000-11-14,1446200.0,50.85,51.35,49.5,49.25
2000-11-15,1531100.0,53.7,53.98,52.5,52.4
2000-11-16,755900.0,54.6,55.35,53.7,53.1
