date,5. volume,4. close,2. high,1. open,3. low
2015-09-18,1906618.0,13.24,17.48,11.39,10.8
2015-09-21,489482.0,12.62,14.825,14.26,12.58
2015-09-22,354234.0,10.81,12.89,12.35,10.62
2015-09-23,68118.0,10.79,11.2,10.93,10.7
2015-09-24,176522.0,9.67,10.715,10.54,9.629
2015-09-25,136096.0,9.73,10.35,9.83,9.65
2015-09-28,25566.0,9.77,9.99,9.68,9.51
2015-09-29,18985.0,9.3,9.8,9.52,9.22
2015-09-30,96568.0,9.5,10.65,9.45,8.7539
2015-10-01,82853.0,9.23,9.52,9.25,9.02
2015-10-02,43503.0,9.01,9.5,9.5,9.0
2015-10-05,59295.0,9.75,9.9789,9.16,9.16
2015-10-06,61123.0,10.27,10.36,10.18,9.95
2015-10-07,126691.0,10.27,10.5384,10.02,9.81
2015-10-08,20257.0,9.775,10.08,10.08,9.5601
2015-10-09,11977.0,9.86,9.99,9.6,9.6
2015-10-12,15320.0,10.0,10.0,9.61,9.61
2015-10-13,34652.0,10.06,10.33,9.81,9.81
2015-10-14,12892.0,10.24,10.4331,9.96,9.96
2015-10-15,14071.0,10.0,10.25,10.04,10.0
2015-10-16,127337.0,10.24,10.52,10.35,9.89
2015-10-19,11738.0,9.92,10.28,10.28,9.92
2015-10-20,9002.0,10.23,10.23,9.7101,9.5
2015-10-21,14042.0,10.04,10.27,10.27,9.5
2015-10-22,21440.0,9.53,10.13,9.72,9.01
2015-10-23,29569.0,9.57,10.16,9.7599,8.92
2015-10-26,12188.0,9.87,10.12,9.6599,9.62
2015-10-27,10054.0,9.83,10.16,9.7962,9.52
2015-10-28,9864.0,10.15,10.2,9.3,9.11
2015-10-29,3126.0,9.96,10.16,9.99,9.96
2015-10-30,6583.0,9.95,10.2,10.197,9.73
2015-11-02,4108.0,10.0866,10.2,10.11,9.99
2015-11-03,2050.0,10.03,10.1,10.09,10.0
2015-11-04,3111.0,10.0,10.149,10.03,10.0
2015-11-05,959.0,10.0,10.1,10.1,10.0
2015-11-06,4207.0,10.01,10.08,10.0,9.916
2015-11-09,9959.0,10.045,10.19,10.09,9.99
2015-11-10,3434.0,10.11,10.19,10.0,9.99
2015-11-11,11871.0,9.99,10.24,10.24,9.49
2015-11-12,24795.0,9.52,10.0,9.99,9.52
2015-11-13,332125.0,9.68,9.9499,9.86,9.34
2015-11-16,18529.0,9.65,9.99,9.61,9.29
2015-11-17,10913.0,9.87,9.98,9.78,9.75
2015-11-18,24828.0,9.92,9.99,9.89,9.2
2015-11-19,25304.0,9.98,9.98,9.91,9.81
2015-11-20,12734.0,10.34,10.34,9.97,9.97
2015-11-23,12561.0,10.23,10.255,10.15,10.0
2015-11-24,2035.0,10.205,10.34,9.8,9.8
2015-11-25,6612.0,10.01,10.24,9.99,9.99
2015-11-27,420.0,10.06,10.17,10.17,10.06
2015-11-30,8394.0,10.192,10.25,9.66,9.66
2015-12-01,13505.0,9.9301,10.25,10.2,9.9301
2015-12-02,8790.0,10.21,10.22,10.2,10.0689
2015-12-03,9755.0,10.2389,10.69,10.3,10.0801
2015-12-04,18170.0,10.23,10.25,9.95,9.524
2015-12-07,24435.0,9.67,10.09,10.09,9.53
2015-12-08,1881.0,10.0,10.055,9.95,9.91
2015-12-09,17096.0,9.67,10.11,9.7395,9.54
2015-12-10,42515.0,9.5,9.98,9.51,9.05
2015-12-11,24362.0,9.17,9.7,9.32,9.04
2015-12-14,21208.0,9.13,9.7,9.16,8.92
2015-12-15,42979.0,9.04,9.64,9.39,8.79
2015-12-16,30560.0,8.83,9.94,9.39,8.83
2015-12-17,46640.0,8.66,9.326,8.51,8.51
2015-12-18,45294.0,8.82,9.4,8.76,8.61
2015-12-21,14001.0,9.19,9.35,9.07,8.99
2015-12-22,44371.0,9.16,9.34,9.3,8.97
2015-12-23,54962.0,9.18,9.41,9.03,8.89
2015-12-24,11560.0,9.26,9.59,9.09,9.08
2015-12-28,8788.0,9.06,9.45,9.2995,9.01
2015-12-29,14843.0,9.235,9.69,9.3,8.74
2015-12-30,33870.0,9.005,9.51,9.37,8.88
2015-12-31,13685.0,9.62,9.62,9.08,8.9001
2016-01-04,8308.0,9.515,9.8,9.55,8.7
2016-01-05,5820.0,9.29,9.65,9.55,9.14
2016-01-06,32009.0,9.09,9.23,8.9,8.9
2016-01-07,22397.0,9.0112,9.28,9.1,8.61
2016-01-08,22728.0,9.28,9.28,9.1,8.72
2016-01-11,5574.0,9.35,9.48,9.36,9.04
2016-01-12,19497.0,9.11,9.57,9.405,9.0
2016-01-13,124691.0,7.93,9.4,9.27,7.48
2016-01-14,23891.0,7.86,8.97,8.01,7.69
2016-01-15,72414.0,7.4,7.97,7.74,6.75
2016-01-19,37054.0,7.29,8.0,7.47,7.05
2016-01-20,30320.0,7.25,7.4,7.11,6.91
2016-01-21,28207.0,7.15,8.2499,7.78,7.15
2016-01-22,37432.0,7.8,8.3138,7.29,7.15
2016-01-25,17547.0,7.32,7.995,7.75,7.32
2016-01-26,36696.0,6.83,7.91,7.46,6.74
2016-01-27,20712.0,6.845,7.2435,7.12,6.61
2016-01-28,30517.0,8.3,8.3,6.96,6.95
2016-01-29,137228.0,8.47,8.6499,8.5,8.4
2016-02-01,103407.0,8.37,8.62,8.62,7.59
2016-02-02,15869.0,8.31,8.38,8.37,8.05
2016-02-03,33572.0,8.11,8.37,8.31,8.02
2016-02-04,20008.0,8.3,8.5,8.24,8.0397
2016-02-05,6439.0,8.34,8.35,8.35,8.062
2016-02-08,17310.0,8.25,8.5,8.5,8.05
2016-02-09,2043.0,8.46,8.46,8.35,8.35
2016-02-10,30998.0,8.25,8.5,8.41,8.25
2016-02-11,15241.0,8.52,8.52,8.47,8.3
2016-02-12,11473.0,8.52,8.52,8.52,8.4
2016-02-16,8819.0,8.84,9.28,8.52,8.52
2016-02-17,45167.0,8.65,9.3348,9.3348,8.5
2016-02-18,36859.0,8.9,9.295,8.55,8.1
2016-02-19,9952.0,8.98,9.28,9.28,8.51
2016-02-22,23261.0,8.84,9.7871,9.15,8.51
2016-02-23,9294.0,8.738,8.95,8.78,8.69
2016-02-24,22315.0,9.05,9.05,8.84,8.5
2016-02-25,12003.0,8.99,9.4,9.05,8.85
2016-02-26,35659.0,8.98,9.52,9.35,8.7228
2016-02-29,21053.0,9.01,9.7556,9.0,8.5801
2016-03-01,19267.0,8.975,9.4499,9.1,8.84
2016-03-02,5325.0,8.785,9.11,9.11,8.605
2016-03-03,4810.0,8.87,9.2815,8.84,8.7
2016-03-04,4918.0,9.08,9.475,9.3,8.89
2016-03-07,12450.0,8.9,9.28,9.28,8.61
2016-03-08,3086.0,8.76,8.99,8.76,8.75
2016-03-09,5665.0,8.86,9.19,8.9,8.76
2016-03-10,5586.0,8.92,9.1899,9.1899,8.9
2016-03-11,1938.0,8.87,9.1885,9.1885,8.87
2016-03-14,2323.0,8.9,9.25,8.8738,8.8701
2016-03-15,3986.0,9.09,9.126,8.94,8.94
2016-03-16,13430.0,9.25,9.25,9.08,9.0
2016-03-17,10486.0,8.87,9.33,9.2,8.87
2016-03-18,1102.0,8.82,8.837,8.824,8.82
2016-03-21,3695.0,8.9,8.9,8.8372,8.82
2016-03-22,5073.0,9.1,9.2452,8.86,8.86
2016-03-23,6921.0,8.95,9.02,9.02,8.86
2016-03-24,6716.0,8.85,9.05,8.82,8.8
2016-03-28,3699.0,8.9,9.2356,9.2356,8.9
2016-03-29,2286.0,8.84,9.1,8.88,8.8001
2016-03-30,4079.0,9.0,9.16,8.84,8.84
2016-03-31,5973.0,8.96,9.1,8.9201,8.9
2016-04-01,13749.0,8.91,8.93,8.93,8.75
2016-04-04,4628.0,8.66,8.89,8.8408,8.66
2016-04-05,6191.0,8.56,8.89,8.6,8.51
2016-04-06,7611.0,8.59,8.8799,8.55,8.51
2016-04-07,5722.0,8.58,8.83,8.548,8.548
2016-04-08,122006.0,8.59,8.85,8.62,8.49
2016-04-11,10437.0,8.4,8.5896,8.53,8.4
2016-04-12,12534.0,8.46,8.8999,8.8999,8.44
2016-04-13,7730.0,8.4,8.8999,8.8999,8.4
2016-04-14,18888.0,8.41,8.85,8.45,8.2
2016-04-15,16670.0,8.5,8.9,8.4,8.4
2016-04-18,6690.0,8.56,8.63,8.5,8.5
2016-04-19,14008.0,8.43,8.71,8.71,8.42
2016-04-20,6849.0,8.5,8.6,8.43,8.35
2016-04-21,27932.0,8.5,8.52,8.51,8.362
2016-04-22,40600.0,8.58,9.28,8.46,8.46
2016-04-25,7672.0,8.98,9.704,9.2,8.67
2016-04-26,9346.0,8.73,9.1,8.86,8.437
2016-04-27,2017.0,8.82,8.85,8.78,8.7
2016-04-28,28794.0,8.49,8.72,8.7,8.35
2016-04-29,61070.0,8.5,8.95,8.5,8.418
2016-05-02,1718.0,8.8,8.9544,8.5,8.5
2016-05-03,1700.0,9.0,9.0,8.83,8.5
2016-05-04,6026.0,8.66,8.89,8.89,8.51
2016-05-05,9799.0,8.49,9.0166,8.66,8.48
2016-05-06,2971.0,8.5,8.6,8.51,8.43
2016-05-09,2050.0,8.71,8.71,8.43,8.43
2016-05-10,3526.0,8.74,8.78,8.75,8.57
2016-05-11,4170.0,8.63,8.76,8.76,8.43
2016-05-12,2914.0,8.42,8.6556,8.6556,8.4001
2016-05-13,11204.0,8.36,8.9,8.49,8.31
2016-05-16,29235.0,8.31,8.475,8.36,8.2
2016-05-17,2635.0,8.33,8.46,8.3891,8.33
2016-05-18,5576.0,8.49,8.49,8.43,8.1999
2016-05-19,40.0,8.49,8.49,8.49,8.49
2016-05-20,6300.0,8.33,8.763,8.46,8.33
2016-05-23,23975.0,8.01,8.6,8.31,8.0
2016-05-24,5884.0,8.2,8.4,8.065,8.065
2016-05-25,8803.0,8.01,8.25,8.19,8.01
2016-05-26,14153.0,7.76,8.01,8.01,7.5
2016-05-27,28232.0,7.45,7.805,7.74,7.01
2016-05-31,23570.0,7.25,7.74,7.48,7.22
2016-06-01,9692.0,7.47,7.71,7.25,7.25
2016-06-02,5698.0,7.51,7.7199,7.4,7.4
2016-06-03,17570.0,7.38,7.654,7.5,7.22
2016-06-06,39211.0,7.1,7.49,7.49,7.1
2016-06-07,28550.0,7.05,7.31,7.16,7.05
2016-06-08,22135.0,7.11,7.32,7.1,7.0635
2016-06-09,20980.0,7.14,7.2,7.15,7.1
2016-06-10,10153.0,7.2,7.25,7.2032,7.2
2016-06-13,28862.0,7.07,7.5,7.2,7.01
2016-06-14,15193.0,7.08,7.451,7.01,7.01
2016-06-15,9257.0,7.09,7.21,7.01,7.01
2016-06-16,23355.0,7.42,7.71,7.01,7.01
2016-06-17,10325.0,7.63,7.75,7.45,7.45
2016-06-20,4708.0,7.7,7.75,7.71,7.6
2016-06-21,2998.0,7.69,7.69,7.65,7.63
2016-06-22,13543.0,7.35,7.68,7.66,7.1901
2016-06-23,1391.0,7.27,7.7699,7.29,7.27
2016-06-24,14781.0,7.15,7.99,7.18,7.0403
2016-06-27,16469.0,6.99,7.23,7.07,6.85
2016-06-28,1944.0,7.29,7.3999,7.09,7.09
2016-06-29,13642.0,7.9,7.9,7.39,7.3201
2016-06-30,21853.0,7.5,7.69,7.62,7.27
2016-07-01,8283.0,7.58,7.75,7.31,7.31
2016-07-05,2346.0,7.5101,7.9299,7.55,7.5101
2016-07-06,10262.0,7.68,7.96,7.61,7.595
2016-07-07,2925.0,8.0399,8.05,7.79,7.777
2016-07-08,9593.0,7.9801,8.19,7.94,7.8
2016-07-11,2268.0,8.0001,8.1683,8.08,8.0
2016-07-12,1867.0,8.027,8.08,7.9856,7.9856
2016-07-13,3966.0,8.0,8.0,8.0,7.81
2016-07-14,3458.0,7.99,8.0,7.885,7.885
2016-07-15,2219.0,7.75,7.97,7.97,7.72
2016-07-18,11855.0,7.5,7.85,7.73,7.5
2016-07-19,11598.0,8.03,8.03,7.61,7.515
2016-07-20,600.0,8.105,8.105,8.03,8.03
2016-07-21,660.0,8.1516,8.2761,8.2761,8.1516
2016-07-22,2530.0,8.32,8.4695,8.44,8.06
2016-07-25,1120.0,8.29,8.4,8.4,8.29
2016-07-26,5425.0,8.3,8.36,8.36,8.25
2016-07-27,6240.0,8.2001,8.3,8.25,8.18
2016-07-28,1850.0,8.058,8.2321,8.2321,8.01
2016-07-29,5808.0,8.43,8.43,8.29,8.17
2016-08-01,7315.0,8.33,8.4,8.31,8.26
2016-08-02,3300.0,8.3,8.32,8.32,8.02
2016-08-03,2199.0,8.1001,8.13,8.13,8.1001
2016-08-04,8765.0,7.82,8.1726,8.12,7.82
2016-08-05,2958.0,7.5,8.07,7.8,7.12
2016-08-08,9727.0,7.62,8.37,7.5,7.5
2016-08-09,31671.0,7.57,7.88,7.63,7.48
2016-08-10,7235.0,7.5,7.72,7.24,7.24
2016-08-11,15852.0,7.5,7.7,7.54,7.21
2016-08-12,13510.0,7.21,7.5,7.42,7.21
2016-08-15,7187.0,7.34,7.62,7.22,7.22
2016-08-16,8285.0,7.21,7.6258,7.3,7.2
2016-08-17,14410.0,7.52,7.71,7.19,7.19
2016-08-18,7150.0,7.51,7.72,7.51,7.4501
2016-08-19,3133.0,7.5,7.631,7.52,7.5
2016-08-22,2734.0,7.5,7.5699,7.45,7.43
2016-08-23,1064.0,7.58,7.6206,7.52,7.52
2016-08-24,2662.0,7.6,7.7188,7.55,7.55
2016-08-25,1102.0,7.47,7.71,7.6,7.42
2016-08-26,13591.0,7.49,7.75,7.48,7.48
2016-08-29,7120.0,7.49,7.65,7.5,7.47
2016-08-30,6084.0,7.64,7.67,7.48,7.4701
2016-08-31,14772.0,7.98,8.05,7.62,7.47
2016-09-01,11798.0,7.77,7.99,7.78,7.63
2016-09-02,10755.0,7.63,7.86,7.86,7.5
2016-09-06,8563.0,8.04,8.219,7.59,7.59
2016-09-07,2379.0,7.92,8.17,7.96,7.91
2016-09-08,23095.0,8.22,8.85,7.95,7.95
2016-09-09,7142.0,8.4399,8.6,8.3,8.22
2016-09-12,27051.0,7.89,8.42,8.42,7.47
2016-09-13,3600.0,7.89,7.99,7.89,7.69
2016-09-14,5637.0,7.749,7.94,7.94,7.52
2016-09-15,61014.0,7.42,7.72,7.65,7.41
2016-09-16,20851.0,7.5,7.59,7.41,7.25
2016-09-19,10550.0,7.21,7.44,7.44,7.2
2016-09-20,4450.0,7.16,7.31,7.18,7.11
2016-09-21,10225.0,7.29,7.4,7.11,7.11
2016-09-22,24763.0,7.24,7.335,7.26,7.1011
2016-09-23,1830.0,7.3292,7.43,7.23,7.23
2016-09-26,680.0,7.23,7.34,7.34,7.23
2016-09-27,7014.0,7.35,7.48,7.31,7.31
2016-09-28,5591.0,7.25,7.3819,7.35,7.25
2016-09-29,5306.0,7.0495,7.29,7.29,7.01
2016-09-30,6920.0,7.0501,7.59,7.06,7.01
2016-10-03,3865.0,7.07,7.39,7.1,7.01
2016-10-04,36165.0,7.15,7.38,7.02,7.0
2016-10-05,62692.0,7.2401,7.5,7.15,7.0
