date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,106700.0,53.12,55.75,55.31,53.06
2000-01-04,37800.0,51.19,53.31,53.13,50.88
2000-01-05,79500.0,52.38,52.44,51.19,50.75
2000-01-06,84100.0,54.08,54.75,51.88,51.75
2000-01-07,53000.0,54.19,54.56,53.5,53.5
2000-01-10,76800.0,53.44,54.69,54.44,53.44
2000-01-11,42600.0,53.38,53.94,53.25,53.25
2000-01-12,30700.0,52.25,53.63,53.63,52.06
2000-01-13,48100.0,53.81,54.0,52.5,52.5
2000-01-14,47800.0,54.69,54.75,54.06,54.06
2000-01-18,39900.0,53.94,54.69,54.63,53.25
2000-01-19,41100.0,53.0,53.94,53.81,52.94
2000-01-20,43500.0,52.38,52.94,52.94,52.38
2000-01-21,192600.0,51.0,52.63,52.63,50.94
2000-01-24,51200.0,50.5,51.13,50.88,50.25
2000-01-25,84400.0,50.31,50.38,50.38,49.38
2000-01-26,49300.0,51.06,51.75,50.19,50.13
2000-01-27,88100.0,50.38,51.5,51.13,50.25
2000-01-28,57900.0,50.13,51.25,51.25,50.06
2000-01-31,62100.0,50.75,50.88,50.13,50.06
2000-02-01,57600.0,51.5,52.0,50.63,50.38
2000-02-02,42000.0,50.75,51.44,51.38,50.75
2000-02-03,100600.0,50.5,51.5,50.75,50.44
2000-02-04,83500.0,51.13,51.63,50.75,50.25
2000-02-07,82900.0,50.56,51.5,51.0,50.13
2000-02-08,88700.0,49.19,51.5,50.75,48.5
2000-02-09,48100.0,49.06,49.75,49.13,48.63
2000-02-10,79500.0,47.75,49.0,48.88,47.75
2000-02-11,65200.0,47.69,49.0,47.75,47.5
2000-02-14,107300.0,47.13,47.75,47.5,46.63
2000-02-15,121600.0,49.94,50.25,47.25,47.25
2000-02-16,167600.0,48.56,50.13,49.94,48.5
2000-02-17,68900.0,47.69,48.63,48.63,46.75
2000-02-18,149600.0,47.13,48.0,47.88,46.81
2000-02-22,113700.0,47.25,47.5,47.0,45.13
2000-02-23,56000.0,46.56,47.25,47.25,45.75
2000-02-24,248100.0,44.69,46.5,46.44,42.63
2000-02-25,79800.0,42.94,44.88,44.88,42.88
2000-02-28,70700.0,44.63,44.75,42.94,42.56
2000-02-29,103300.0,43.44,44.56,44.5,43.06
2000-03-01,257000.0,42.44,46.38,43.56,42.31
2000-03-02,92300.0,43.13,43.88,42.69,42.16
2000-03-03,105100.0,43.25,44.63,43.13,43.0
2000-03-06,62500.0,43.38,44.94,43.25,42.88
2000-03-07,57600.0,41.94,43.5,43.5,41.63
2000-03-08,103900.0,42.25,43.94,41.88,41.13
2000-03-09,65200.0,42.0,42.5,42.5,41.38
2000-03-10,57300.0,42.13,42.75,41.94,41.81
2000-03-13,96300.0,41.5,42.38,42.13,41.25
2000-03-14,170400.0,40.69,41.38,41.38,39.5
2000-03-15,154800.0,41.88,43.25,40.63,40.0
2000-03-16,145100.0,47.13,47.88,42.13,42.13
2000-03-17,161200.0,44.88,45.88,45.38,44.69
2000-03-20,74600.0,44.5,46.13,45.06,44.31
2000-03-21,79200.0,45.31,45.75,44.75,44.75
2000-03-22,75600.0,45.56,46.81,45.44,44.69
2000-03-23,81400.0,46.19,46.63,45.5,45.44
2000-03-24,65200.0,46.81,47.0,46.25,46.06
2000-03-27,62800.0,46.94,47.25,47.06,46.75
2000-03-28,90500.0,46.38,46.88,46.88,46.25
2000-03-29,44200.0,47.63,48.13,46.63,46.06
2000-03-30,103000.0,49.19,50.0,48.0,46.88
2000-03-31,65500.0,47.94,49.06,48.94,47.88
2000-04-03,51800.0,48.13,49.0,48.19,46.5
2000-04-04,69200.0,47.5,48.38,48.38,46.25
2000-04-05,67300.0,47.44,47.88,47.5,46.69
2000-04-06,40500.0,49.06,49.25,47.69,47.69
2000-04-07,50900.0,47.56,49.06,49.06,47.5
2000-04-10,54500.0,47.63,48.63,47.63,46.94
2000-04-11,80700.0,49.13,50.38,48.13,48.0
2000-04-12,99600.0,50.0,50.75,49.0,49.0
2000-04-13,84400.0,50.44,51.25,51.0,50.13
2000-04-14,74600.0,47.94,50.19,50.19,47.25
2000-04-17,104800.0,48.0,48.31,47.0,46.63
2000-04-18,35000.0,47.25,48.38,48.25,46.75
2000-04-19,100300.0,44.75,47.25,47.0,43.63
2000-04-20,59700.0,45.88,46.88,44.63,44.63
2000-04-24,101200.0,44.63,46.13,46.13,43.75
2000-04-25,122800.0,46.81,46.81,44.38,44.06
2000-04-26,63400.0,45.75,48.0,47.25,45.69
2000-04-27,84400.0,43.94,46.25,45.75,43.75
2000-04-28,67900.0,44.88,46.0,44.19,43.38
2000-05-01,73400.0,44.88,45.31,45.13,43.31
2000-05-02,118200.0,43.75,45.56,45.0,43.69
2000-05-03,36200.0,42.5,44.25,44.25,42.5
2000-05-04,95700.0,44.19,45.0,42.75,42.63
2000-05-05,41100.0,43.25,44.06,44.0,43.25
2000-05-08,62100.0,43.63,44.69,43.38,43.38
2000-05-09,69500.0,43.0,43.75,43.5,43.0
2000-05-10,19200.0,42.56,43.13,43.0,42.56
2000-05-11,174300.0,45.31,46.56,43.0,42.75
2000-05-12,87800.0,45.0,46.0,45.38,45.0
2000-05-15,33200.0,45.25,45.56,45.0,44.88
2000-05-16,95400.0,46.56,46.81,45.44,45.44
2000-05-17,62500.0,46.19,46.38,46.31,45.88
2000-05-18,56400.0,45.81,46.69,46.44,45.5
2000-05-19,39600.0,44.63,45.88,45.81,44.5
2000-05-22,34400.0,45.19,45.5,44.88,44.38
2000-05-23,60600.0,44.13,45.63,45.63,44.13
2000-05-24,72200.0,44.5,45.13,44.13,43.69
2000-05-25,45100.0,44.19,45.25,44.75,44.0
2000-05-26,511800.0,40.13,40.94,40.25,39.0
2000-05-30,93900.0,40.0,40.44,39.88,39.81
2000-05-31,815200.0,37.75,40.25,40.0,36.13
2000-06-01,559100.0,38.25,38.88,37.88,37.81
2000-06-02,2806700.0,37.38,38.25,38.25,37.0
2000-06-05,729800.0,37.06,38.13,37.88,36.63
2000-06-06,405400.0,37.5,37.69,36.88,36.75
2000-06-07,188700.0,37.31,37.69,37.5,37.13
2000-06-08,235000.0,36.81,37.31,37.25,36.75
2000-06-09,122200.0,37.13,37.31,37.0,36.94
2000-06-12,122200.0,36.88,37.31,37.25,36.88
2000-06-13,167300.0,36.81,36.88,36.75,36.25
2000-06-14,264900.0,36.38,36.63,36.44,36.19
2000-06-15,207300.0,35.94,36.44,36.25,35.81
2000-06-16,203900.0,35.0,36.25,36.19,35.0
2000-06-19,78000.0,35.31,35.75,35.38,35.25
2000-06-20,141400.0,35.25,36.38,35.38,35.25
2000-06-21,107600.0,34.56,35.25,35.25,34.5
2000-06-22,98100.0,34.19,35.25,34.81,34.13
2000-06-23,132600.0,34.13,34.25,34.25,33.75
2000-06-26,50600.0,34.13,34.44,34.25,34.0
