date,5. volume,4. close,2. high,1. open,3. low
2004-12-15,8246900.0,21.0,21.26,19.0,17.49
2004-12-16,1918100.0,22.26,23.86,22.44,21.0
2004-12-17,664800.0,23.49,23.9,22.8,22.6
2004-12-20,648500.0,22.9,25.25,24.66,22.84
2004-12-21,538100.0,21.7,23.59,23.11,21.1
2004-12-22,221100.0,21.5,22.3,21.26,21.26
2004-12-23,273200.0,21.4,22.0,22.0,20.7
2004-12-27,127400.0,21.26,21.75,21.21,21.21
2004-12-28,131400.0,21.251,21.54,21.25,21.17
2004-12-29,467000.0,23.6,23.99,21.25,21.25
2004-12-30,387400.0,24.1,24.5,23.56,23.22
2004-12-31,149300.0,23.62,24.25,23.89,23.28
2005-01-03,243500.0,22.5,24.11,24.11,22.26
2005-01-04,446100.0,21.29,23.1,23.1,20.75
2005-01-05,115900.0,21.15,21.4,20.89,20.8
2005-01-06,72200.0,20.6,21.57,21.2,20.4
2005-01-07,409100.0,20.5,20.79,20.38,19.8
2005-01-10,101700.0,21.48,21.69,21.0,20.21
2005-01-11,89800.0,20.908,21.75,21.501,20.55
2005-01-12,414000.0,20.0,21.0,20.8,19.9
2005-01-13,50800.0,20.15,20.8,20.0,20.0
2005-01-14,112800.0,20.3,20.64,20.3,20.2
2005-01-18,307200.0,20.25,20.53,20.2,19.91
2005-01-19,267700.0,19.4,20.17,20.1,19.36
2005-01-20,479100.0,18.25,19.78,19.28,17.02
2005-01-21,158800.0,18.21,18.74,17.73,17.73
2005-01-24,169000.0,17.271,18.351,18.35,17.2
2005-01-25,99100.0,17.9,17.93,17.1,17.09
2005-01-26,138700.0,18.67,19.0,18.0,17.77
2005-01-27,94200.0,19.25,19.25,19.17,18.45
2005-01-28,81100.0,19.27,19.6,19.38,18.8
2005-01-31,211200.0,20.8,20.86,19.679,19.679
2005-02-01,303800.0,22.15,22.5,20.8,20.8
2005-02-02,76500.0,22.0,23.1,23.1,21.65
2005-02-03,68400.0,22.26,22.36,21.51,21.01
2005-02-04,275200.0,22.8,23.27,23.2,22.45
2005-02-07,56700.0,21.78,22.88,22.75,20.94
2005-02-08,61000.0,21.01,21.28,21.0,20.01
2005-02-09,43000.0,21.75,22.16,21.25,20.98
2005-02-10,42500.0,21.1,22.55,22.49,20.87
2005-02-11,50700.0,20.96,21.17,20.95,20.6
2005-02-14,54300.0,21.47,21.89,21.37,21.06
2005-02-15,26200.0,21.15,21.56,21.56,20.68
2005-02-16,37600.0,21.08,21.25,20.56,20.56
2005-02-17,48800.0,20.2,20.79,20.79,20.2
2005-02-18,35500.0,20.4,21.21,20.2,20.2
2005-02-22,71600.0,21.0,21.19,21.19,20.5
2005-02-23,142000.0,21.9,21.9,21.1,21.0
2005-02-24,371400.0,18.41,20.19,20.19,18.23
2005-02-25,185300.0,19.0,19.5,18.5,18.37
2005-02-28,132700.0,18.12,19.25,19.25,18.0
2005-03-01,153000.0,18.32,19.25,19.25,18.03
2005-03-02,169200.0,18.71,19.25,18.99,18.2
2005-03-03,31800.0,19.06,19.45,19.1,18.901
2005-03-04,117100.0,18.76,19.55,19.55,18.119
2005-03-07,57900.0,18.98,19.45,18.7,18.51
2005-03-08,165700.0,18.0,18.88,18.75,17.95
2005-03-09,131600.0,17.75,18.5,18.0,17.28
2005-03-10,167800.0,17.25,18.44,17.42,16.8
2005-03-11,44600.0,17.1,17.41,17.05,16.95
2005-03-14,137500.0,17.34,17.45,17.05,17.05
2005-03-15,46000.0,17.52,17.72,17.45,17.34
2005-03-16,60000.0,16.97,17.68,17.625,16.77
2005-03-17,50600.0,17.05,17.34,17.0,16.85
2005-03-18,22200.0,17.06,17.28,17.05,16.95
2005-03-21,71100.0,16.85,17.15,17.15,16.75
2005-03-22,59100.0,16.85,17.15,16.85,16.7
2005-03-23,136600.0,17.19,17.19,16.85,16.85
2005-03-24,175000.0,17.16,17.3,17.3,17.04
2005-03-28,132500.0,17.61,18.01,17.2,17.1
