date,5. volume,4. close,2. high,1. open,3. low
2015-09-28,22100.0,25.5,26.0,24.9,24.0
2015-09-29,1830.0,25.45,25.65,25.65,25.4
2015-09-30,7530.0,25.45,25.48,25.3,25.18
2015-10-01,5670.0,25.5,25.7,25.49,25.35
2015-10-02,17650.0,25.35,25.6,25.35,25.0
2015-10-05,4430.0,25.45,25.55,25.401,25.4
2015-10-06,15700.0,25.5,27.47,25.98,25.45
2015-10-07,6100.0,25.55,27.45,25.5,25.45
2015-10-08,2076.0,26.801,26.801,25.57,25.57
2015-10-09,195.0,26.801,26.801,26.801,26.801
2015-10-12,0.0,26.801,26.801,26.801,26.801
2015-10-13,0.0,26.801,26.801,26.801,26.801
2015-10-14,9150.0,25.65,25.68,25.6,25.53
2015-10-15,3100.0,25.7,25.7501,25.65,25.65
2015-10-16,2900.0,26.0,26.12,25.8,25.7602
2015-10-19,2697.0,25.99,26.85,26.85,25.8
2015-10-20,5351.0,26.12,26.12,25.82,25.53
2015-10-21,25.0,26.12,26.12,26.12,26.12
2015-10-22,890.0,25.8999,26.25,26.25,25.8999
2015-10-23,0.0,25.8999,25.8999,25.8999,25.8999
2015-10-26,2.0,25.8999,25.8999,25.8999,25.8999
2015-10-27,400.0,25.8999,25.8999,25.8999,25.8999
2015-10-28,300.0,25.8999,25.8999,25.8999,25.8999
2015-10-29,2177.0,25.66,26.0,26.0,25.65
2015-10-30,100.0,25.6501,25.6501,25.6501,25.6501
2015-11-02,401.0,25.67,25.68,25.68,25.67
2015-11-03,65.0,25.67,25.67,25.67,25.67
2015-11-04,200.0,25.6951,25.7,25.7,25.6951
2015-11-05,400.0,25.6951,25.6951,25.6951,25.6951
2015-11-06,650.0,25.75,25.75,25.7444,25.7444
2015-11-09,200.0,25.75,25.75,25.75,25.75
2015-11-10,125.0,26.145,26.145,26.145,26.145
2015-11-11,0.0,26.145,26.145,26.145,26.145
2015-11-12,0.0,26.145,26.145,26.145,26.145
2015-11-13,0.0,26.145,26.145,26.145,26.145
2015-11-16,1075.0,25.6501,25.886,25.886,25.6501
2015-11-17,3780.0,25.5,25.991,25.991,25.5
2015-11-18,1335.0,25.5,25.5,25.5,25.45
2015-11-19,384.0,25.6,25.6,25.6,25.6
2015-11-20,10774.0,25.46,25.5,25.5,25.4
2015-11-23,2550.0,25.41,25.65,25.509,25.41
2015-11-24,0.0,25.41,25.41,25.41,25.41
2015-11-25,3376.0,25.5,25.5,25.491,25.41
2015-11-27,300.0,25.43,25.47,25.421,25.421
2015-11-30,0.0,25.43,25.43,25.43,25.43
2015-12-01,1250.0,25.5,25.5477,25.52,25.45
2015-12-02,2500.0,25.44,25.45,25.45,25.25
2015-12-03,0.0,25.44,25.44,25.44,25.44
2015-12-04,120.0,25.44,25.44,25.44,25.44
2015-12-07,900.0,25.5,25.51,25.51,25.5
2015-12-08,0.0,25.5,25.5,25.5,25.5
2015-12-09,500.0,25.5,25.5,25.5,25.5
2015-12-10,1000.0,25.4396,25.5,25.5,25.4396
2015-12-11,7810.0,25.05,25.15,25.1,25.05
2015-12-14,1480.0,25.4499,25.5,25.5,25.4499
2015-12-15,2100.0,25.1,25.26,25.101,24.75
2015-12-16,1150.0,24.917,25.1899,25.14,24.917
2015-12-17,5688.0,24.9399,25.11,24.93,24.54
2015-12-18,702.0,24.95,24.95,24.77,24.76
2015-12-21,950.0,25.2,25.68,25.68,25.2
2015-12-22,270.0,25.3088,25.3499,25.3499,25.3088
2015-12-23,1750.0,25.2313,26.275,26.275,25.1458
2015-12-24,300.0,25.1985,25.199,25.1985,25.1985
2015-12-28,350.0,25.2194,25.2285,25.2285,25.2194
2015-12-29,136.0,25.05,25.05,25.05,25.05
2015-12-30,0.0,25.05,25.05,25.05,25.05
2015-12-31,200.0,25.9958,25.996,25.996,25.9958
2016-01-04,0.0,25.9958,25.9958,25.9958,25.9958
2016-01-05,0.0,25.9958,25.9958,25.9958,25.9958
2016-01-06,95.0,25.9958,25.9958,25.9958,25.9958
2016-01-07,7300.0,25.0,25.1,25.0812,24.81
2016-01-08,0.0,25.0,25.0,25.0,25.0
2016-01-11,4800.0,24.95,25.1,25.0,24.95
2016-01-12,2100.0,24.9,25.02,24.95,24.9
2016-01-13,2000.0,24.8,24.9,24.9,24.8
2016-01-14,3162.0,24.8095,25.0,24.9,24.8
2016-01-15,1835.0,24.32,24.7995,24.7995,24.32
2016-01-19,3260.0,24.55,24.68,24.68,24.49
2016-01-20,1390.0,24.1799,24.61,24.6,24.1293
2016-01-21,1036.0,24.7,24.7,24.4,24.4
2016-01-22,19245.0,24.38,24.85,24.85,23.83
2016-01-25,70.0,24.38,24.38,24.38,24.38
2016-01-26,1000.0,24.2899,24.2899,24.26,24.26
2016-01-27,930.0,24.3001,24.33,24.33,24.3001
2016-01-28,8000.0,24.4,24.65,24.1499,24.0485
2016-01-29,34048.0,25.15,25.19,24.146,23.98
2016-02-01,0.0,25.15,25.15,25.15,25.15
2016-02-02,0.0,25.15,25.15,25.15,25.15
2016-02-03,0.0,25.15,25.15,25.15,25.15
2016-02-04,0.0,25.15,25.15,25.15,25.15
2016-02-05,5566.0,24.56,24.93,24.93,24.56
2016-02-08,33513.0,24.2,24.77,24.1485,24.1485
2016-02-09,2504.0,24.8,25.3,24.4,24.05
2016-02-10,2205.0,24.67,24.8,24.8,24.37
2016-02-11,0.0,24.67,24.67,24.67,24.67
2016-02-12,1000.0,24.3921,24.46,24.46,24.3921
2016-02-16,3150.0,24.5011,24.52,24.5,24.4543
2016-02-17,494.0,24.75,24.75,24.75,24.75
2016-02-18,600.0,24.75,24.75,24.75,24.75
2016-02-19,14702.0,25.08,25.27,24.71,24.71
2016-02-22,2000.0,24.7,24.9,24.9,24.7
2016-02-23,0.0,24.7,24.7,24.7,24.7
2016-02-24,0.0,24.7,24.7,24.7,24.7
2016-02-25,0.0,24.7,24.7,24.7,24.7
2016-02-26,27037.0,24.76,25.36,24.66,24.6199
2016-02-29,1160.0,24.745,24.76,24.76,24.745
2016-03-01,875.0,24.8,24.8,24.8,24.79
2016-03-02,36900.0,24.75,25.7,24.86,24.51
2016-03-03,910.0,24.56,24.68,24.61,24.56
2016-03-04,1500.0,24.7385,24.739,24.7385,24.7385
2016-03-07,2600.0,24.75,24.75,24.75,24.75
2016-03-08,5100.0,24.75,25.0,24.8,24.75
2016-03-09,1402.0,24.99,25.0767,25.0767,24.99
2016-03-10,4183.0,24.9583,25.08,25.07,24.9425
2016-03-11,2460.0,25.0499,25.08,25.08,25.01
2016-03-14,3500.0,25.0,25.0,25.0,25.0
