date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,21300.0,14.81,14.88,14.88,14.75
2000-01-04,22400.0,14.31,14.69,14.69,14.31
2000-01-05,20300.0,14.69,14.75,14.38,14.25
2000-01-06,11500.0,14.94,15.13,14.81,14.63
2000-01-07,17100.0,15.0,15.06,14.94,14.88
2000-01-10,27900.0,15.19,15.19,14.88,14.88
2000-01-11,23000.0,15.0,15.13,15.0,15.0
2000-01-12,11200.0,15.0,15.06,15.0,15.0
2000-01-13,9900.0,15.19,15.19,15.0,15.0
2000-01-14,13500.0,15.06,15.19,15.19,15.06
2000-01-18,8200.0,15.13,15.13,15.06,15.0
2000-01-19,49700.0,15.19,15.19,15.06,14.94
2000-01-20,13900.0,15.13,15.19,15.06,15.06
2000-01-21,26200.0,14.81,15.0,15.0,14.75
2000-01-24,28600.0,14.81,14.88,14.69,14.69
2000-01-25,34900.0,14.5,14.75,14.69,14.5
2000-01-26,7700.0,14.5,14.63,14.5,14.5
2000-01-27,10800.0,14.75,14.81,14.5,14.5
2000-01-28,26600.0,14.5,14.63,14.63,14.5
2000-01-31,27700.0,14.44,14.5,14.5,14.38
2000-02-01,17800.0,14.06,14.38,14.38,14.06
2000-02-02,63500.0,14.0,14.13,14.13,13.94
2000-02-03,36500.0,14.06,14.06,14.0,13.94
2000-02-04,5800.0,14.0,14.12,14.12,13.81
2000-02-07,32500.0,14.0,14.0,13.88,13.88
2000-02-08,31800.0,14.19,14.19,13.94,13.94
2000-02-09,23200.0,14.25,14.38,14.19,14.13
2000-02-10,81000.0,14.06,14.38,14.25,14.06
2000-02-11,45500.0,14.0,14.13,14.0,13.94
2000-02-14,20000.0,14.75,14.94,14.13,14.13
2000-02-15,28600.0,15.13,15.13,14.63,14.63
2000-02-16,23700.0,15.19,15.25,15.13,15.13
2000-02-17,13300.0,14.94,15.19,15.19,14.94
2000-02-18,33000.0,14.94,15.0,15.0,14.94
2000-02-22,32700.0,14.69,14.88,14.81,14.63
2000-02-23,93300.0,14.31,14.75,14.69,14.19
2000-02-24,21700.0,14.19,14.25,14.25,14.13
2000-02-25,35800.0,14.0,14.06,14.06,13.94
2000-02-28,7300.0,14.19,14.19,14.0,13.94
2000-02-29,15000.0,14.44,14.44,14.13,14.13
2000-03-01,10000.0,14.38,14.44,14.38,14.19
2000-03-02,6900.0,14.38,14.44,14.44,14.38
2000-03-03,66800.0,14.56,14.56,14.38,14.38
2000-03-06,10900.0,14.5,14.63,14.5,14.5
2000-03-07,18400.0,14.56,14.63,14.5,14.5
2000-03-08,6500.0,14.63,14.63,14.56,14.5
2000-03-09,4700.0,14.56,14.63,14.63,14.5
2000-03-10,17100.0,14.5,14.63,14.56,14.5
2000-03-13,14200.0,14.88,14.88,14.5,14.5
2000-03-14,7900.0,14.63,14.63,14.56,14.5
2000-03-15,37900.0,14.81,14.81,14.56,14.5
2000-03-16,38700.0,16.25,16.25,14.81,14.81
2000-03-17,40800.0,15.94,16.38,16.13,15.94
2000-03-20,11700.0,16.13,16.19,16.0,16.0
2000-03-21,16300.0,16.31,16.31,16.0,15.88
2000-03-22,17600.0,16.13,16.38,16.38,15.88
2000-03-23,13300.0,15.75,16.13,16.13,15.63
2000-03-24,12200.0,15.38,15.75,15.75,15.25
2000-03-27,22400.0,15.0,15.56,15.31,14.94
2000-03-28,26800.0,14.0,15.0,15.0,14.0
2000-03-29,40600.0,14.19,14.19,14.13,14.0
2000-03-30,8700.0,14.06,14.19,14.06,14.0
2000-03-31,48000.0,13.0,14.19,14.19,13.0
2000-04-03,36900.0,13.75,13.75,13.13,13.13
2000-04-04,21400.0,13.75,13.75,13.75,13.69
2000-04-05,5700.0,13.94,13.94,13.75,13.75
2000-04-06,23400.0,14.06,14.25,14.06,14.0
2000-04-07,6700.0,14.31,14.31,14.13,14.06
2000-04-10,7600.0,14.25,14.31,14.19,14.19
2000-04-11,6400.0,14.19,14.31,14.25,14.13
2000-04-12,4300.0,14.25,14.38,14.13,14.13
2000-04-13,22000.0,14.5,14.69,14.19,14.19
2000-04-14,14100.0,14.56,14.69,14.56,14.5
2000-04-17,6500.0,14.81,14.81,14.5,14.38
2000-04-18,33500.0,14.69,15.19,14.94,14.56
2000-04-19,27100.0,14.5,14.94,14.69,14.5
2000-04-20,13400.0,14.69,14.69,14.63,14.5
2000-04-24,8000.0,14.75,14.75,14.75,14.69
2000-04-25,5000.0,14.75,14.81,14.69,14.0
2000-04-26,60300.0,16.25,16.38,14.69,14.69
2000-04-27,29600.0,16.31,16.44,16.19,16.06
2000-04-28,26300.0,16.25,16.31,16.25,16.06
2000-05-01,16500.0,16.31,16.38,16.19,16.13
2000-05-02,14200.0,16.19,16.25,16.19,16.13
2000-05-03,16000.0,16.19,16.19,16.19,16.13
2000-05-04,6500.0,16.31,16.31,16.13,16.13
2000-05-05,4500.0,16.31,16.31,16.31,16.25
2000-05-08,64600.0,16.5,16.5,16.25,16.13
2000-05-09,22500.0,16.88,16.88,16.56,16.44
2000-05-10,21300.0,17.0,17.0,16.88,16.88
2000-05-11,34000.0,17.31,17.31,17.0,17.0
2000-05-12,47000.0,17.69,18.0,17.38,17.38
2000-05-15,50600.0,18.06,18.13,17.69,17.5
2000-05-16,48600.0,18.25,18.38,18.19,17.94
2000-05-17,26500.0,18.06,18.13,18.13,18.0
2000-05-18,14800.0,17.88,18.06,18.06,17.88
2000-05-19,45400.0,17.19,17.75,17.75,17.19
2000-05-22,86300.0,17.06,17.06,17.06,17.0
2000-05-23,25900.0,17.0,17.13,17.06,17.0
2000-05-24,26200.0,17.0,17.13,17.0,17.0
2000-05-25,17100.0,17.0,17.13,17.0,17.0
2000-05-26,11800.0,17.13,17.13,17.0,17.0
2000-05-30,4600.0,17.19,17.19,17.19,17.13
2000-05-31,21800.0,17.38,17.44,17.19,17.13
2000-06-01,16000.0,17.56,17.56,17.44,17.38
2000-06-02,88000.0,17.06,17.56,17.56,16.94
2000-06-05,21500.0,17.25,17.31,17.0,17.0
2000-06-06,40700.0,17.25,17.44,17.19,17.19
2000-06-07,36300.0,17.19,17.25,17.13,17.06
2000-06-08,10500.0,17.19,17.19,17.19,17.13
2000-06-09,41800.0,17.13,17.19,17.13,17.13
2000-06-12,15000.0,17.25,17.31,17.06,17.06
2000-06-13,37200.0,17.75,17.81,17.06,17.06
2000-06-14,11600.0,17.75,18.06,17.69,17.69
2000-06-15,23300.0,17.69,17.81,17.75,17.13
2000-06-16,32400.0,17.69,17.88,17.69,17.63
2000-06-19,7000.0,17.75,17.81,17.63,17.63
2000-06-20,12500.0,17.81,17.88,17.63,17.63
2000-06-21,11800.0,17.94,17.94,17.88,17.88
2000-06-22,19500.0,18.13,18.19,18.0,17.88
2000-06-23,10600.0,18.19,18.19,18.13,18.13
2000-06-26,51800.0,18.19,18.44,18.31,18.19
2000-06-27,9800.0,18.31,18.44,18.31,18.31
2000-06-28,16900.0,18.69,18.69,18.38,18.19
2000-06-29,50100.0,18.63,18.69,18.63,18.13
