date,5. volume,4. close,2. high,1. open,3. low
2016-01-07,100.0,8.2,8.2,8.2,8.2
2016-01-08,774.0,8.25,9.99,8.21,8.21
2016-01-11,280.0,8.11,8.11,8.11,8.11
2016-01-12,0.0,8.11,8.11,8.11,8.11
2016-01-13,426.0,7.96,7.96,7.96,7.96
2016-01-14,50.0,7.96,7.96,7.96,7.96
2016-01-15,0.0,7.96,7.96,7.96,7.96
2016-01-19,185.0,7.38,7.38,7.38,7.38
2016-01-20,60.0,7.38,7.38,7.38,7.38
2016-01-21,150.0,7.04,7.04,7.04,7.04
2016-01-22,10.0,7.04,7.04,7.04,7.04
2016-01-25,500.0,7.23,7.27,7.23,7.23
2016-01-26,650.0,7.1,7.3,7.26,7.1
2016-01-27,102.0,7.29,7.29,7.29,7.29
2016-01-28,10.0,7.29,7.29,7.29,7.29
2016-01-29,0.0,7.29,7.29,7.29,7.29
2016-02-01,130.0,7.4,7.4,7.4,7.4
2016-02-02,2.0,7.4,7.4,7.4,7.4
2016-02-03,1302.0,7.59,7.64,7.47,7.47
2016-02-04,0.0,7.59,7.59,7.59,7.59
2016-02-05,0.0,7.59,7.59,7.59,7.59
2016-02-08,100.0,7.0,7.0,7.0,7.0
2016-02-09,0.0,7.0,7.0,7.0,7.0
2016-02-10,1050.0,7.1,7.1,7.1,7.1
2016-02-11,4.0,7.1,7.1,7.1,7.1
2016-02-12,11.0,7.1,7.1,7.1,7.1
2016-02-16,11.0,7.1,7.1,7.1,7.1
2016-02-17,35.0,7.1,7.1,7.1,7.1
2016-02-18,200.0,7.05,7.05,7.05,7.05
2016-02-19,0.0,7.05,7.05,7.05,7.05
2016-02-22,560.0,7.2,7.2,7.2,7.2
2016-02-23,2750.0,7.4,7.4,7.26,7.26
2016-02-24,367.0,7.3,7.3,7.3,7.3
2016-02-25,200.0,7.3,7.3,7.3,7.3
2016-02-26,0.0,7.3,7.3,7.3,7.3
2016-02-29,861.0,7.25,7.3,7.3,7.25
2016-03-01,5014.0,7.15,7.29,7.25,7.15
2016-03-02,100.0,7.19,7.19,7.19,7.19
2016-03-03,0.0,7.19,7.19,7.19,7.19
2016-03-04,0.0,7.19,7.19,7.19,7.19
2016-03-07,1000.0,7.14,7.14,7.14,7.14
2016-03-08,1001.0,6.9,6.9,6.9,6.9
2016-03-09,0.0,6.9,6.9,6.9,6.9
2016-03-10,8.0,6.9,6.9,6.9,6.9
2016-03-11,28.0,6.9,6.9,6.9,6.9
2016-03-14,836.0,6.7999,6.7999,6.65,6.57
2016-03-15,10733.0,7.5,7.5899,7.49,7.39
2016-03-16,13261.0,8.39,8.4,7.7,7.7
2016-03-17,13932.0,7.993,8.34,8.15,7.75
2016-03-18,992.0,7.9408,8.03,8.0174,7.9408
2016-03-21,38301.0,8.75,9.4,8.72,8.3501
2016-03-22,31158.0,8.89,8.9,8.9,8.4187
2016-03-23,27133.0,8.39,8.86,8.66,8.39
2016-03-24,2807.0,8.4885,8.5,8.4785,8.34
2016-03-28,9391.0,8.36,8.79,8.79,7.75
2016-03-29,1143.0,8.16,8.18,8.15,8.15
2016-03-30,7048.0,8.01,8.14,7.75,7.75
2016-03-31,10932.0,8.4685,8.8,7.61,7.61
2016-04-01,10305.0,8.1985,8.4,8.04,7.24
2016-04-04,1665.0,8.34,8.34,8.34,8.34
2016-04-05,1029.0,8.1001,8.2999,8.15,8.1001
2016-04-06,1157.0,8.16,8.2,8.0915,8.0915
2016-04-07,1754.0,8.34,8.39,8.32,8.2
2016-04-08,4971.0,8.201,8.42,8.4185,8.16
2016-04-11,29163.0,8.03,8.2499,8.0,7.78
2016-04-12,61118.0,7.8,8.03,7.89,7.65
2016-04-13,5078.0,7.76,7.79,7.7,7.62
2016-04-14,30081.0,7.69,7.84,7.56,7.56
2016-04-15,27.0,7.69,7.69,7.69,7.69
2016-04-18,2988.0,7.89,7.89,7.88,7.8432
