date,5. volume,4. close,2. high,1. open,3. low
2017-03-16,1748591.0,14.75,15.0,14.1,14.0
2017-03-17,132941.0,14.45,14.9,14.9,14.31
2017-03-20,159553.0,14.49,14.73,14.73,14.25
2017-03-21,92980.0,14.4,14.65,14.55,14.4
2017-03-22,180251.0,14.51,14.67,14.45,14.3
2017-03-23,129557.0,14.39,14.6,14.51,14.36
2017-03-24,113613.0,14.41,14.55,14.33,14.32
2017-03-27,59016.0,14.53,14.54,14.329,14.329
2017-03-28,56324.0,14.53,14.59,14.51,14.42
2017-03-29,53356.0,14.52,14.59,14.46,14.4
2017-03-30,164085.0,14.69,14.75,14.52,14.5
2017-03-31,104121.0,14.93,14.93,14.75,14.68
2017-04-03,62942.0,15.25,15.75,14.84,14.82
2017-04-04,46939.0,15.36,15.7,15.49,15.1
2017-04-05,25711.0,15.34,15.49,15.42,15.16
2017-04-06,32854.0,15.28,15.4,15.39,15.227
2017-04-07,19317.0,15.4,15.452,15.452,15.2
2017-04-10,19335.0,15.69,15.7,15.3,15.29
2017-04-11,64846.0,15.93,16.3,15.6,15.6
2017-04-12,17934.0,15.47,15.99,15.99,15.4
2017-04-13,26515.0,15.74,15.75,15.45,15.26
2017-04-17,22812.0,15.7,15.75,15.75,15.5
2017-04-18,43055.0,15.82,16.0,15.75,15.0
2017-04-19,8354.0,15.53,15.99,15.99,15.52
2017-04-20,37346.0,15.34,15.85,15.85,15.13
2017-04-21,54081.0,15.59,15.65,15.35,15.35
2017-04-24,10808.0,15.64,15.65,15.65,15.45
2017-04-25,22563.0,15.91,15.99,15.65,15.594
2017-04-26,13996.0,15.58,16.04,15.87,15.36
2017-04-27,33336.0,15.77,15.88,15.6,15.43
2017-04-28,11181.0,15.71,15.89,15.78,15.605
2017-05-01,8052.0,15.55,15.78,15.604,15.5
2017-05-02,3970.0,15.4,15.71,15.5,15.4
2017-05-03,6708.0,15.73,15.73,15.69,15.4
2017-05-04,37061.0,15.58,15.75,15.52,15.07
2017-05-05,6931.0,15.72,15.75,15.72,15.57
2017-05-08,14358.0,15.82,15.953,15.73,15.32
2017-05-09,21496.0,16.0,16.0,15.76,15.624
2017-05-10,12978.0,15.75,15.905,15.73,15.71
2017-05-11,29519.0,16.05,16.29,15.57,15.5
2017-05-12,10804.0,15.85,16.05,16.05,15.7
2017-05-15,14495.0,15.96,16.05,15.75,15.75
2017-05-16,35724.0,16.24,16.25,16.03,16.0
2017-05-17,19004.0,15.99,16.21,16.21,15.92
2017-05-18,32452.0,16.17,16.17,15.99,15.91
2017-05-19,20927.0,16.35,16.35,16.28,16.06
2017-05-22,10815.0,16.65,16.83,16.34,16.17
2017-05-23,16173.0,16.56,16.79,16.67,16.55
2017-05-24,45173.0,16.51,16.86,16.68,16.35
2017-05-25,39334.0,16.77,16.9,16.89,16.68
2017-05-26,43691.0,16.97,17.05,16.77,16.655
2017-05-30,171461.0,17.26,17.4,17.02,16.97
2017-05-31,36973.0,17.45,17.45,17.23,16.95
2017-06-01,73933.0,18.5,18.79,17.49,17.47
2017-06-02,35511.0,18.23,18.4,18.35,17.43
2017-06-05,89896.0,18.5,18.5,18.19,17.96
2017-06-06,83391.0,18.67,18.67,18.5,18.26
2017-06-07,89621.0,18.73,18.74,18.55,18.0
2017-06-08,37051.0,18.51,18.8,18.79,18.32
2017-06-09,33211.0,18.44,18.52,18.5,17.89
2017-06-12,68888.0,18.43,18.8,18.5,18.13
2017-06-13,214652.0,18.47,18.6,18.5,18.15
2017-06-14,75101.0,18.45,18.5,18.25,17.99
2017-06-15,106283.0,18.47,18.65,18.44,18.195
2017-06-16,599326.0,18.33,18.57,18.49,17.98
2017-06-19,222633.0,18.12,18.5,18.06,18.04
2017-06-20,154397.0,17.58,18.13,18.01,17.55
2017-06-21,40232.0,17.96,18.0,17.59,17.52
2017-06-22,54021.0,17.31,17.99,17.99,17.25
2017-06-23,1231803.0,17.15,17.24,17.2,16.58
2017-06-26,54433.0,17.79,17.86,17.0,16.83
2017-06-27,45501.0,18.0,18.06,17.68,17.68
2017-06-28,39856.0,18.0,18.19,17.655,17.52
2017-06-29,18467.0,17.98,18.0,17.88,17.52
2017-06-30,15988.0,17.88,18.12,17.863,17.43
2017-07-03,17007.0,17.81,17.99,17.77,17.57
2017-07-05,10209.0,17.8,17.86,17.68,17.345
2017-07-06,12778.0,17.62,17.81,17.63,17.42
2017-07-07,12912.0,17.93,17.99,17.49,17.47
2017-07-10,71098.0,17.94,18.04,17.81,17.65
2017-07-11,10291.0,17.92,18.0,17.95,17.86
2017-07-12,34599.0,17.99,18.14,17.61,17.61
2017-07-13,17442.0,17.62,18.0,17.95,17.2901
2017-07-14,9943.0,17.28,17.92,17.66,17.13
2017-07-17,25582.0,17.37,17.51,17.27,17.1
2017-07-18,15149.0,17.72,17.97,17.19,17.19
2017-07-19,24171.0,17.97,18.05,17.31,17.31
2017-07-20,30474.0,18.0,18.15,17.93,17.825
2017-07-21,15300.0,17.97,18.2,18.15,17.93
2017-07-24,12834.0,17.96,18.06,17.99,17.9
2017-07-25,21961.0,17.99,18.09,17.93,17.93
2017-07-26,2689.0,17.94,18.04,18.04,17.94
2017-07-27,6708.0,17.87,17.97,17.97,17.87
2017-07-28,15127.0,17.99,18.0,17.85,17.85
2017-07-31,6763.0,17.98,18.06,17.6,17.6
2017-08-01,37402.0,18.0,18.18,18.0,17.55
2017-08-02,4907.0,17.78,17.964,17.6,17.6
2017-08-03,5266.0,17.71,17.77,17.75,17.6
2017-08-04,7690.0,17.97,17.989,17.989,17.73
2017-08-07,23318.0,18.0,18.0,17.78,17.77
2017-08-08,10207.0,17.93,18.0,17.89,17.75
2017-08-09,7443.0,17.75,17.92,17.84,17.72
2017-08-10,16438.0,17.65,17.77,17.77,17.46
2017-08-11,8379.0,17.42,17.73,17.7,17.4
2017-08-14,23502.0,17.14,17.869,17.869,16.96
2017-08-15,21975.0,16.39,16.99,16.99,16.34
2017-08-16,16881.0,16.06,16.604,16.39,16.01
2017-08-17,30511.0,15.98,16.12,16.0,15.9
2017-08-18,24886.0,16.31,16.39,15.81,15.81
2017-08-21,18413.0,16.26,16.37,16.21,16.04
2017-08-22,4392.0,16.22,16.25,16.15,16.15
2017-08-23,7483.0,16.21,16.24,16.1,16.1
2017-08-24,7484.0,16.18,16.25,16.2,16.16
2017-08-25,14274.0,16.12,16.2,16.1,16.01
2017-08-28,10988.0,16.01,16.13,16.13,16.01
2017-08-29,9366.0,16.08,16.13,16.005,16.005
2017-08-30,9017.0,16.2,16.33,16.13,16.075
2017-08-31,17752.0,16.51,16.79,16.36,16.21
2017-09-01,8601.0,16.33,16.4,16.4,16.19
2017-09-05,39688.0,16.3,16.49,16.36,16.25
2017-09-06,13770.0,16.4,16.41,16.29,16.29
2017-09-07,31808.0,16.8,16.93,16.525,16.32
2017-09-08,19208.0,16.51,16.7,16.66,16.5
2017-09-11,22714.0,16.38,16.66,16.4,16.29
2017-09-12,14103.0,16.58,16.78,16.35,16.35
2017-09-13,60209.0,16.76,16.89,16.41,16.24
2017-09-14,129961.0,17.36,17.585,16.6,16.55
2017-09-15,143860.0,17.4,17.61,17.48,17.18
2017-09-18,70106.0,17.37,17.58,17.06,17.06
2017-09-19,58726.0,17.56,17.79,17.33,17.3
2017-09-20,45062.0,17.37,17.75,17.52,17.33
2017-09-21,40243.0,17.4,17.56,17.36,17.36
2017-09-22,34495.0,17.3,17.32,17.26,17.22
2017-09-25,6375.0,17.54,17.57,17.22,17.22
2017-09-26,14639.0,17.79,17.84,17.58,17.58
2017-09-27,40273.0,18.02,18.2,17.85,17.85
2017-09-28,14407.0,18.0,18.11,17.66,17.63
2017-09-29,16151.0,17.9,18.17,17.94,17.79
2017-10-02,15166.0,18.01,18.12,17.86,17.86
2017-10-03,8816.0,18.0,18.1,18.08,17.99
2017-10-04,8705.0,18.0,18.1,17.95,17.95
2017-10-05,7815.0,18.05,18.1,18.09,17.99
2017-10-06,9885.0,17.99,18.1,18.1,17.92
2017-10-09,4884.0,18.06,18.14,18.03,18.03
2017-10-10,51300.0,18.35,18.51,18.1,18.09
2017-10-11,20610.0,18.27,18.42,18.42,17.47
2017-10-12,24271.0,18.21,18.54,18.23,18.01
2017-10-13,45396.0,18.18,18.32,18.2,18.08
2017-10-16,30352.0,18.28,18.35,18.2,18.16
2017-10-17,15828.0,18.25,18.35,18.27,18.145
2017-10-18,7920.0,18.25,18.33,18.27,18.17
2017-10-19,50063.0,18.19,18.22,18.03,17.91
2017-10-20,61823.0,18.13,18.615,18.29,18.0
2017-10-23,5356.0,17.87,18.0,17.576,17.576
2017-10-24,6285.0,17.9,18.03,17.64,17.64
2017-10-25,4509.0,17.74,17.86,17.7,17.65
2017-10-26,8713.0,17.8,17.81,17.81,17.6
2017-10-27,16146.0,17.85,17.94,17.8,17.633
2017-10-30,14138.0,17.65,17.8,17.8,17.51
2017-10-31,18525.0,17.89,18.0,17.66,17.66
2017-11-01,9497.0,17.86,17.94,17.94,17.695
2017-11-02,7498.0,17.87,17.9,17.89,17.81
2017-11-03,9665.0,17.82,17.88,17.76,17.76
2017-11-06,2019.0,17.79,17.95,17.95,17.74
2017-11-07,4346.0,17.31,17.689,17.49,17.3
2017-11-08,19374.0,17.01,17.37,17.26,16.72
2017-11-09,3181.0,17.09,17.12,17.0,16.97
2017-11-10,1176.0,17.12,17.65,17.65,17.12
2017-11-13,59937.0,17.0,17.24,16.72,16.09
2017-11-14,7172.0,16.9,17.1,17.1,16.83
2017-11-15,6251.0,16.9,17.09,17.09,16.875
2017-11-16,5939.0,17.48,17.66,17.2,17.2
2017-11-17,7977.0,17.36,17.86,17.39,16.81
2017-11-20,7444.0,17.48,17.59,17.15,17.15
2017-11-21,14309.0,17.45,17.5,17.5,17.44
2017-11-22,7985.0,17.3,17.5,17.5,17.3
2017-11-24,1910.0,17.39,17.4,17.4,17.14
2017-11-27,1897.0,17.35,17.35,17.24,17.24
2017-11-28,10080.0,17.5,17.5,17.22,17.21
2017-11-29,12150.0,17.62,17.64,17.5,17.22
