date,5. volume,4. close,2. high,1. open,3. low
2003-01-16,1300.0,14.3,14.35,14.35,14.3
2003-01-17,1300.0,14.5,14.5,14.4,14.4
2003-01-21,2100.0,14.4,14.49,14.49,14.4
2003-01-22,2300.0,14.46,14.6,14.5,14.46
2003-01-23,2400.0,14.3,14.4,14.36,14.3
2003-01-24,1000.0,14.2,14.2,14.2,14.2
2003-01-27,400.0,14.1,14.1,14.1,14.1
2003-01-28,6400.0,14.4,14.45,14.2,14.2
2003-01-29,6400.0,14.4,14.45,14.2,14.2
2003-01-30,4200.0,14.5,14.7,14.7,14.5
2003-01-31,100.0,14.6,14.6,14.6,14.6
2003-02-03,2100.0,14.45,14.6,14.6,14.45
2003-02-04,3600.0,14.86,14.86,14.55,14.55
2003-02-05,10000.0,14.85,14.86,14.86,14.5
2003-02-06,1600.0,14.75,14.75,14.75,14.7
2003-02-07,4000.0,14.75,14.76,14.75,14.66
2003-02-10,4400.0,14.55,14.8,14.8,14.55
2003-02-11,1900.0,14.65,14.7,14.7,14.6
2003-02-12,6200.0,14.65,14.85,14.7,14.65
2003-02-13,2200.0,14.65,14.75,14.75,14.65
2003-02-14,3100.0,14.4,14.75,14.75,14.4
2003-02-18,300.0,14.45,14.45,14.45,14.45
2003-02-19,3900.0,14.25,14.45,14.45,14.25
2003-02-20,2500.0,14.16,14.25,14.25,14.16
2003-02-21,2800.0,14.25,14.35,14.2,14.15
2003-02-24,1900.0,14.35,14.35,14.25,14.25
2003-02-25,3000.0,14.55,14.55,14.25,14.25
2003-02-26,400.0,14.55,14.55,14.55,14.55
2003-02-27,4300.0,14.8,14.8,14.65,14.55
2003-02-28,1700.0,14.8,14.8,14.7,14.7
2003-03-03,5600.0,14.8,15.0,14.9,14.8
2003-03-04,16000.0,14.9,15.0,14.7,14.6
2003-03-05,3800.0,15.0,15.0,15.0,14.91
2003-03-06,2800.0,14.85,15.0,15.0,14.85
2003-03-07,9700.0,14.99,14.99,14.85,14.85
2003-03-10,9000.0,15.0,15.0,14.9,14.8
2003-03-11,4800.0,14.95,15.0,14.95,14.85
2003-03-12,100.0,14.75,14.75,14.75,14.75
2003-03-13,3500.0,14.95,14.95,14.84,14.84
2003-03-14,1500.0,14.94,14.94,14.87,14.87
2003-03-17,2200.0,14.85,14.95,14.95,14.75
2003-03-18,1400.0,14.89,14.89,14.77,14.77
2003-03-19,3000.0,14.72,14.93,14.91,14.6
2003-03-20,2400.0,14.72,14.72,14.72,14.72
2003-03-21,500.0,14.7,14.7,14.7,14.7
2003-03-24,5000.0,14.66,14.7,14.7,14.66
2003-03-25,10100.0,14.55,14.83,14.66,14.45
2003-03-26,8000.0,14.5,14.84,14.6,14.5
2003-03-27,0.0,14.5,14.5,14.5,14.5
2003-03-28,2200.0,14.6,14.6,14.56,14.56
2003-03-31,1700.0,14.7,14.7,14.7,14.69
2003-04-01,2100.0,14.89,14.9,14.9,14.89
2003-04-02,5000.0,14.75,14.94,14.89,14.75
2003-04-03,800.0,14.89,14.89,14.85,14.85
2003-04-04,1300.0,14.9,14.9,14.79,14.79
2003-04-07,300.0,14.9,14.9,14.9,14.9
2003-04-08,1100.0,14.9,14.9,14.8,14.8
2003-04-09,13600.0,14.84,14.95,14.95,14.8
2003-04-10,700.0,14.98,14.98,14.94,14.94
2003-04-11,1600.0,14.9,15.0,14.98,14.9
2003-04-14,6700.0,14.83,14.91,14.91,14.74
2003-04-15,3000.0,14.73,14.74,14.74,14.73
2003-04-16,500.0,14.74,14.74,14.74,14.74
2003-04-17,4600.0,14.7,14.7,14.61,14.59
2003-04-21,1300.0,14.79,14.79,14.78,14.78
2003-04-22,200.0,14.7,14.7,14.7,14.7
2003-04-23,3500.0,14.61,14.75,14.61,14.51
