date,5. volume,4. close,2. high,1. open,3. low
2016-05-06,5025236.0,22.1,24.0,22.0,21.0
2016-05-09,778138.0,24.0,24.24,22.9,22.7
2016-05-10,658353.0,25.75,26.0,24.58,24.5
2016-05-11,377679.0,25.25,26.25,26.1,25.06
2016-05-12,588352.0,23.54,25.9999,25.29,23.54
2016-05-13,208534.0,23.39,24.0,23.33,22.56
2016-05-16,281313.0,24.98,25.13,23.55,23.55
2016-05-17,420707.0,26.29,26.4,25.0,24.8001
2016-05-18,335703.0,27.69,28.07,26.07,26.07
2016-05-19,231848.0,26.54,27.99,27.64,25.3
2016-05-20,145238.0,27.14,27.55,26.75,26.75
2016-05-23,245671.0,28.29,28.5,27.7,27.15
2016-05-24,454214.0,28.82,29.09,28.4,27.5
2016-05-25,169065.0,29.14,29.8,29.38,28.79
2016-05-26,263900.0,29.0,29.63,29.46,28.2299
2016-05-27,269044.0,29.5,29.69,29.49,28.76
2016-05-31,396062.0,29.57,30.4,29.98,29.1201
2016-06-01,172969.0,29.13,29.8,29.36,29.05
2016-06-02,540241.0,28.39,29.175,28.79,27.01
2016-06-03,319465.0,28.8,29.0,28.37,27.0801
2016-06-06,142066.0,29.275,29.7399,29.68,29.0173
2016-06-07,426482.0,28.51,29.3503,29.02,27.0801
2016-06-08,151276.0,28.35,29.0,28.85,28.038
2016-06-09,239934.0,27.02,28.5,28.01,26.85
2016-06-10,221307.0,27.04,27.5999,26.66,26.2501
2016-06-13,263252.0,26.61,28.0,27.07,26.29
2016-06-14,399659.0,26.75,27.03,26.19,25.0
2016-06-15,189367.0,26.43,27.4399,26.89,26.25
2016-06-16,142024.0,26.56,26.985,26.62,26.0
2016-06-17,633440.0,27.1,27.28,26.75,26.5
2016-06-20,175616.0,27.61,27.77,27.55,27.22
2016-06-21,187207.0,26.35,27.5,27.5,25.33
2016-06-22,226803.0,26.54,27.12,26.75,25.9
2016-06-23,155765.0,26.46,27.2,26.81,26.0
2016-06-24,984188.0,26.17,27.0,26.54,25.575
2016-06-27,608906.0,24.87,27.0,26.15,23.69
2016-06-28,148691.0,24.59,26.97,25.7,24.37
2016-06-29,368954.0,22.7,24.9266,24.76,21.77
2016-06-30,297123.0,21.35,22.8994,22.7,20.701
2016-07-01,115746.0,21.02,21.84,21.29,20.87
2016-07-05,171669.0,19.86,21.03,20.68,19.52
2016-07-06,208688.0,19.2,19.88,19.71,18.75
2016-07-07,222237.0,19.01,19.59,19.03,18.65
2016-07-08,136251.0,19.51,20.05,19.21,18.88
2016-07-11,125158.0,19.93,20.25,19.54,19.54
2016-07-12,120502.0,19.68,20.25,19.96,19.55
2016-07-13,128666.0,18.82,19.8429,19.8,18.81
2016-07-14,144003.0,18.29,19.61,18.81,18.22
2016-07-15,154681.0,17.7,18.55,18.33,17.53
2016-07-18,130668.0,17.68,17.84,17.61,17.05
2016-07-19,130198.0,17.28,17.79,17.61,17.21
2016-07-20,104485.0,17.91,18.21,17.25,17.18
2016-07-21,345824.0,19.31,19.63,18.02,18.0
2016-07-22,279423.0,18.5,20.64,19.6,18.35
2016-07-25,129256.0,18.6,19.47,18.62,18.51
2016-07-26,122966.0,17.57,18.77,18.6,17.5
2016-07-27,132005.0,18.45,18.52,17.55,17.26
2016-07-28,566072.0,18.95,19.09,18.54,17.36
2016-07-29,172717.0,18.92,19.696,19.34,18.9
2016-08-01,143959.0,18.56,19.49,19.49,18.51
2016-08-02,141613.0,17.95,18.6,18.6,17.56
2016-08-03,77811.0,17.71,17.97,17.95,17.6
2016-08-04,51719.0,17.66,18.1042,17.82,17.51
2016-08-05,579971.0,20.19,20.3,19.07,18.1801
2016-08-08,158494.0,19.37,20.52,20.5,19.27
2016-08-09,210162.0,18.76,19.35,19.34,18.5
2016-08-10,315532.0,17.92,19.129,18.81,17.73
2016-08-11,147424.0,17.87,18.5185,18.12,17.65
2016-08-12,89813.0,18.34,18.4,17.92,17.87
2016-08-15,208771.0,18.94,19.0283,18.83,18.35
2016-08-16,315846.0,21.69,21.9699,18.93,18.75
2016-08-17,281502.0,23.15,23.42,21.94,21.0804
2016-08-18,105222.0,22.79,23.0,22.61,22.2
2016-08-19,162974.0,22.3,23.6778,23.25,21.9
2016-08-22,241807.0,22.54,23.4666,22.45,22.315
2016-08-23,270681.0,24.5,24.66,22.77,22.75
