date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,41133.0,13.31,13.88,13.88,13.0
2000-01-04,24833.0,12.94,13.0,12.94,12.88
2000-01-05,1200.0,13.0,13.31,13.31,13.0
2000-01-06,12967.0,13.0,13.12,12.94,12.94
2000-01-07,11000.0,13.12,13.25,12.75,12.75
2000-01-10,16500.0,13.5,13.5,13.0,12.94
2000-01-11,14067.0,13.75,13.75,13.5,13.31
2000-01-12,48400.0,13.63,15.0,13.5,13.5
2000-01-13,42333.0,14.12,14.25,13.88,13.88
2000-01-14,46300.0,14.12,14.25,14.06,13.88
2000-01-18,25933.0,14.06,14.06,14.0,13.88
2000-01-19,18700.0,13.88,13.94,13.56,13.56
2000-01-20,30567.0,13.75,14.06,14.0,13.75
2000-01-21,21200.0,13.25,13.88,13.88,13.25
2000-01-24,48167.0,13.19,14.12,13.12,13.12
2000-01-25,11533.0,13.5,13.81,13.37,13.37
2000-01-26,44433.0,13.37,13.44,13.25,12.88
2000-01-27,16500.0,13.5,13.75,13.5,13.5
2000-01-28,24733.0,13.37,13.75,13.63,13.12
2000-01-31,23867.0,13.5,13.75,13.5,13.5
2000-02-01,31333.0,13.88,14.0,13.5,13.5
2000-02-02,19233.0,13.88,14.0,13.88,13.75
2000-02-03,19900.0,13.75,13.88,13.81,13.75
2000-02-04,33300.0,13.25,13.69,13.69,13.0
2000-02-07,26400.0,13.19,13.81,13.75,13.19
2000-02-08,13200.0,13.5,13.56,13.53,13.37
2000-02-09,20333.0,13.75,13.75,13.5,13.5
2000-02-10,22300.0,13.0,13.63,13.5,12.88
2000-02-11,22000.0,13.5,13.5,13.12,13.12
2000-02-14,37600.0,13.44,13.63,13.5,12.63
2000-02-15,43333.0,13.81,13.88,13.25,13.25
2000-02-16,25300.0,14.0,14.0,13.63,13.63
2000-02-17,28467.0,14.0,14.0,13.88,13.88
2000-02-18,24300.0,13.88,14.12,13.81,13.69
2000-02-22,76200.0,14.75,15.25,14.06,14.0
2000-02-23,105800.0,16.0,16.81,15.44,15.12
2000-02-24,15400.0,15.06,15.88,15.88,14.75
2000-02-25,50267.0,15.0,15.88,14.94,14.88
2000-02-28,153767.0,15.19,15.75,15.25,14.69
2000-02-29,112300.0,14.75,15.31,14.88,14.44
2000-03-01,42000.0,14.75,14.75,14.37,14.25
2000-03-02,36733.0,14.63,14.75,14.69,14.44
2000-03-03,31433.0,14.63,15.0,14.69,14.63
2000-03-06,70600.0,16.12,16.37,14.75,14.63
2000-03-07,51700.0,16.37,16.5,16.19,15.88
