date,5. volume,4. close,2. high,1. open,3. low
2013-06-19,7717000.0,15.53,16.03,15.21,14.96
2013-06-20,1874600.0,15.44,16.3,16.25,15.36
2013-06-21,635300.0,15.8,15.98,15.98,15.46
2013-06-24,758300.0,15.52,15.79,15.79,15.19
2013-06-25,564400.0,15.66,15.67,15.5,15.35
2013-06-26,901000.0,15.47,15.55,15.54,15.31
2013-06-27,3258000.0,15.37,15.74,14.78,14.659
2013-06-28,1793700.0,15.38,15.68,15.29,15.25
2013-07-01,4343500.0,14.87,15.5,15.48,14.84
2013-07-02,8682500.0,14.99,15.19,14.68,14.67
2013-07-03,2265100.0,14.97,15.12,14.84,14.84
2013-07-05,3470900.0,15.61,15.94,14.96,14.96
2013-07-08,4010700.0,16.02,16.08,15.83,15.55
2013-07-09,3656200.0,15.73,16.02,15.81,15.665
2013-07-10,3010500.0,15.45,15.6,15.5,15.22
2013-07-11,3630300.0,15.21,15.8,15.8,15.06
2013-07-12,3042300.0,14.99,15.18,15.0,14.97
2013-07-15,5331400.0,14.8,15.08,15.0,14.52
2013-07-16,2711100.0,15.39,15.47,14.71,14.7
2013-07-17,3737700.0,16.02,16.12,15.28,15.28
2013-07-18,2827900.0,15.6,16.25,16.04,15.46
2013-07-19,3735400.0,16.12,16.26,15.37,15.37
2013-07-22,2159200.0,15.9,16.26,16.15,15.751
2013-07-23,2104900.0,15.85,16.05,15.85,15.71
2013-07-24,2205100.0,15.92,16.05,15.79,15.62
2013-07-25,2097300.0,15.76,16.045,15.91,15.64
2013-07-26,937600.0,16.09,16.16,15.76,15.5
2013-07-29,3495600.0,15.71,16.069,15.98,15.61
2013-07-30,3438100.0,16.14,16.18,15.73,15.67
2013-07-31,2392800.0,16.09,16.37,16.09,16.04
2013-08-01,1951600.0,16.39,16.42,16.11,16.09
2013-08-02,2042800.0,16.5,16.64,16.29,16.25
2013-08-05,1127500.0,16.21,16.48,16.41,16.08
2013-08-06,1335300.0,16.39,16.45,16.13,16.03
2013-08-07,1239800.0,16.16,16.3,16.24,16.04
2013-08-08,2109500.0,16.38,16.51,16.32,16.15
2013-08-09,1370900.0,16.24,16.41,16.41,16.22
2013-08-12,1917600.0,16.11,16.3,16.1,15.975
2013-08-13,1643600.0,16.05,16.23,16.23,16.0
2013-08-14,2029000.0,16.18,16.21,16.0,15.87
2013-08-15,1351600.0,16.32,16.3901,16.06,15.935
2013-08-16,2144700.0,16.19,16.45,16.26,16.16
2013-08-19,610700.0,15.89,16.22,16.21,15.875
2013-08-20,993300.0,15.88,15.98,15.91,15.716
2013-08-21,1948100.0,15.94,16.0,15.83,15.7
2013-08-22,1611600.0,15.88,16.03,15.99,15.82
2013-08-23,1676500.0,15.92,16.02,15.84,15.77
2013-08-26,1095300.0,16.06,16.13,15.94,15.94
2013-08-27,3848700.0,15.94,16.2,15.98,15.93
2013-08-28,7235800.0,15.97,16.02,15.97,15.89
2013-08-29,797500.0,15.96,16.085,15.98,15.83
2013-08-30,1583300.0,15.84,15.97,15.91,15.7601
2013-09-03,584400.0,16.0,16.2,16.02,15.88
2013-09-04,2037400.0,16.21,16.28,15.9,15.9
2013-09-05,1912100.0,16.39,16.44,16.2,16.07
2013-09-06,1655900.0,16.34,16.49,16.43,16.23
2013-09-09,772900.0,16.49,16.5,16.33,16.3
2013-09-10,846300.0,16.72,16.72,16.53,16.41
2013-09-11,1531600.0,17.2,17.2,16.71,16.68
