date,5. volume,4. close,2. high,1. open,3. low
2013-06-19,31981500.0,15.8,16.25,15.28,15.2
2013-06-20,9274200.0,15.3,16.37,16.37,15.25
2013-06-21,8323500.0,15.62,15.8,15.7,15.4
2013-06-24,4279700.0,15.53,15.84,15.64,15.2
2013-06-25,3577300.0,15.72,15.74,15.55,15.35
2013-06-26,14755100.0,15.4,15.69,15.69,15.18
2013-06-27,12121700.0,15.5,15.87,15.34,14.85
2013-06-28,16988100.0,15.25,15.77,15.5,15.25
2013-07-01,25839400.0,14.79,15.59,15.59,14.75
2013-07-02,30520100.0,15.0,15.12,14.69,14.69
2013-07-03,8542600.0,14.87,15.09,14.95,14.73
2013-07-05,12427000.0,15.66,15.95,14.95,14.89
2013-07-08,15345100.0,15.955,16.04,15.63,15.495
2013-07-09,9936400.0,15.71,15.97,15.79,15.5
2013-07-10,16327000.0,15.39,15.57,15.5,15.145
2013-07-11,17029600.0,15.13,15.6,15.6,14.96
2013-07-12,10426300.0,14.93,15.12,15.07,14.9
2013-07-15,20636400.0,14.67,15.03,14.93,14.39
2013-07-16,9328500.0,15.28,15.34,14.57,14.57
2013-07-17,13411100.0,15.89,15.96,15.36,15.29
2013-07-18,10825700.0,15.47,16.1,15.94,15.33
2013-07-19,11658700.0,15.97,16.08,15.35,15.26
2013-07-22,6141600.0,15.73,16.125,16.09,15.61
2013-07-23,9298400.0,15.65,15.865,15.69,15.54
2013-07-24,6205200.0,15.71,15.885,15.65,15.42
2013-07-25,7069700.0,15.57,15.87,15.66,15.45
2013-07-26,5884800.0,15.89,15.97,15.54,15.31
2013-07-29,9020200.0,15.51,15.87,15.87,15.4
2013-07-30,12798200.0,15.95,15.955,15.6,15.46
2013-07-31,7681500.0,15.93,16.21,16.0,15.83
2013-08-01,10303300.0,16.215,16.28,15.94,15.94
2013-08-02,8258600.0,16.34,16.47,16.15,16.12
2013-08-05,8754100.0,16.0,16.33,16.33,15.89
2013-08-06,6232000.0,16.18,16.25,15.99,15.82
2013-08-07,4755000.0,15.95,16.15,16.15,15.85
2013-08-08,7110400.0,16.13,16.31,16.07,15.91
2013-08-09,4293800.0,15.98,16.16,16.09,15.96
2013-08-12,4882400.0,15.92,16.06,15.88,15.74
2013-08-13,3615400.0,15.83,15.95,15.91,15.8
2013-08-14,3940500.0,15.9,16.01,15.83,15.66
2013-08-15,5160000.0,16.1,16.19,15.79,15.7
2013-08-16,6373200.0,15.98,16.25,16.04,15.96
2013-08-19,6123600.0,15.7,16.06,16.05,15.69
2013-08-20,4265600.0,15.7,15.83,15.83,15.52
2013-08-21,5040000.0,15.76,15.78,15.61,15.49
2013-08-22,3731700.0,15.71,15.825,15.76,15.63
2013-08-23,3981300.0,15.75,15.79,15.71,15.57
2013-08-26,4125000.0,15.86,15.9,15.79,15.71
2013-08-27,9059500.0,15.729,16.0,15.75,15.69
2013-08-28,11099300.0,15.76,15.81,15.76,15.68
2013-08-29,2795500.0,15.77,15.89,15.73,15.64
2013-08-30,5386300.0,15.7,15.78,15.75,15.59
2013-09-03,3783600.0,15.78,16.03,15.89,15.69
2013-09-04,4992000.0,16.03,16.08,15.79,15.76
2013-09-05,3521200.0,16.24,16.275,15.97,15.88
2013-09-06,3358700.0,16.19,16.34,16.31,16.08
2013-09-09,3668900.0,16.335,16.34,16.16,16.16
2013-09-10,4292100.0,16.555,16.57,16.38,16.25
2013-09-11,7562700.0,17.05,17.06,16.65,16.5
2013-09-12,4836500.0,17.105,17.26,17.12,16.94
2013-09-13,2717700.0,16.89,17.08,17.06,16.77
2013-09-16,5758300.0,16.96,17.1999,17.12,16.78
2013-09-17,2538500.0,16.995,17.17,17.03,16.89
2013-09-18,3862600.0,17.045,17.18,16.99,16.84
2013-09-19,3286100.0,16.871,17.1,17.1,16.66
2013-09-20,4594000.0,16.635,17.0,16.92,16.47
2013-09-23,2360000.0,16.53,16.64,16.62,16.37
2013-09-24,5611800.0,17.04,17.2,16.53,16.505
2013-09-25,4389700.0,16.8,17.04,17.03,16.68
2013-09-26,12737900.0,16.29,16.87,16.77,16.1
2013-09-27,7098300.0,16.17,16.25,16.1,15.99
2013-09-30,6237900.0,16.06,16.26,16.2,15.91
2013-10-01,8815300.0,15.91,16.14,16.05,15.8
2013-10-02,17758200.0,16.14,16.27,15.85,15.7
2013-10-03,17833500.0,15.87,16.2499,16.14,15.79
2013-10-04,13660000.0,15.84,16.01,15.84,15.79
2013-10-07,8663200.0,15.91,15.98,15.7,15.69
2013-10-08,4825300.0,15.8,15.975,15.5107,15.5107
2013-10-09,4210300.0,15.88,15.95,15.8,15.75
2013-10-10,5506700.0,16.22,16.25,15.98,15.94
2013-10-11,5085700.0,16.41,16.6,16.16,16.14
2013-10-14,3606300.0,16.56,16.62,16.31,16.23
2013-10-15,4406800.0,16.58,16.67,16.46,16.42
2013-10-16,4511900.0,16.78,16.79,16.72,16.565
2013-10-17,3972000.0,16.795,16.81,16.64,16.625
2013-10-18,5809100.0,16.85,16.9,16.85,16.75
2013-10-21,3107000.0,16.85,16.975,16.86,16.79
2013-10-22,7274300.0,17.001,17.06,16.89,16.79
2013-10-23,5145800.0,17.11,17.24,16.8,16.8
2013-10-24,4734900.0,17.29,17.4,17.07,17.0201
2013-10-25,6197900.0,17.15,17.55,17.55,17.09
2013-10-28,4131800.0,17.29,17.315,17.12,17.03
2013-10-29,6582700.0,17.46,17.51,17.3,17.24
2013-10-30,8031100.0,17.35,17.51,17.46,17.31
2013-10-31,4697900.0,17.595,17.77,17.37,17.34
2013-11-01,3714000.0,17.765,17.81,17.62,17.45
2013-11-04,2870800.0,17.76,17.86,17.73,17.67
2013-11-05,3820200.0,17.685,17.85,17.57,17.48
2013-11-06,3922700.0,17.41,17.82,17.73,17.35
2013-11-07,3888200.0,17.26,17.62,17.51,17.25
2013-11-08,1787500.0,17.6,17.62,17.31,17.17
2013-11-11,5387300.0,17.42,17.6499,17.6,17.35
2013-11-12,12944400.0,17.15,17.31,16.85,16.72
2013-11-13,3673400.0,17.215,17.285,17.02,16.95
2013-11-14,2920600.0,17.25,17.38,17.24,17.18
2013-11-15,4606300.0,17.76,17.81,17.32,17.32
2013-11-18,4431400.0,17.42,17.82,17.77,17.37
2013-11-19,2961800.0,17.48,17.66,17.43,17.38
2013-11-20,6256400.0,17.67,17.79,17.54,17.45
2013-11-21,4075000.0,17.56,17.75,17.71,17.54
2013-11-22,3624500.0,17.55,17.69,17.61,17.495
2013-11-25,3397600.0,17.48,17.675,17.63,17.36
2013-11-26,5585700.0,17.69,17.71,17.43,17.37
2013-11-27,5083300.0,17.86,17.94,17.66,17.51
2013-11-29,1506100.0,17.96,17.97,17.85,17.84
2013-12-02,4610200.0,17.65,17.97,17.92,17.6
2013-12-03,3120100.0,17.5,17.63,17.63,17.4
2013-12-04,2676000.0,17.58,17.62,17.44,17.38
2013-12-05,2562600.0,17.46,17.55,16.54,16.54
2013-12-06,4483700.0,17.78,17.86,17.66,17.52
2013-12-09,4088800.0,17.52,17.9,17.89,17.46
2013-12-10,2618000.0,17.64,17.72,17.49,17.44
2013-12-11,3255300.0,17.6,17.74,17.65,17.48
2013-12-12,4073000.0,17.49,17.655,17.64,17.4883
2013-12-13,4320800.0,17.66,17.705,17.49,17.32
2013-12-16,1885100.0,17.77,17.8,17.77,17.58
2013-12-17,4023000.0,17.35,17.57,17.57,17.17
2013-12-18,2539200.0,17.5,17.53,17.3,17.07
2013-12-19,2475900.0,17.36,17.47,17.41,17.29
2013-12-20,7055200.0,17.75,17.97,17.43,17.314
2013-12-23,1974600.0,17.9,17.97,17.93,17.73
2013-12-24,683100.0,17.9,18.01,17.96,17.78
2013-12-26,2259900.0,17.77,18.07,17.99,17.645
2013-12-27,2691300.0,17.73,17.82,17.74,17.56
2013-12-30,1918400.0,17.91,17.93,17.78,17.7
2013-12-31,2612000.0,18.02,18.09,17.98,17.84
2014-01-02,3673400.0,17.95,18.17,18.05,17.815
2014-01-03,2016600.0,17.82,18.01,17.93,17.78
