date,5. volume,4. close,2. high,1. open,3. low
2015-07-16,12591082.0,21.15,22.99,22.68,20.57
2015-07-17,1260506.0,20.04,21.35,21.24,20.0
2015-07-20,485590.0,20.2,21.18,20.4,19.58
2015-07-21,207677.0,20.0,20.45,20.0,19.624
2015-07-22,199662.0,20.65,20.82,20.0,20.0
2015-07-23,95332.0,20.37,20.9,20.83,20.33
2015-07-24,139124.0,20.0,20.89,20.22,19.79
2015-07-27,576596.0,19.97,20.17,20.0,18.28
2015-07-28,294181.0,19.71,20.835,19.94,18.72
2015-07-29,150521.0,19.7,19.81,19.46,19.27
2015-07-30,188234.0,19.6,19.73,19.45,19.0
2015-07-31,99722.0,19.62,19.68,19.55,19.43
2015-08-03,267256.0,20.88,20.91,19.56,19.44
2015-08-04,299719.0,20.57,21.19,20.9,19.7
2015-08-05,237507.0,19.99,20.8495,20.61,19.8
2015-08-06,129565.0,19.95,20.43,20.0,19.75
2015-08-07,150970.0,19.94,20.06,19.81,19.8
2015-08-10,310550.0,19.13,20.83,19.89,18.8
2015-08-11,220060.0,19.31,19.83,18.86,18.79
2015-08-12,145352.0,19.73,19.9254,19.3,18.95
2015-08-13,101124.0,19.25,19.94,19.79,19.12
2015-08-14,201500.0,19.91,20.0,19.42,18.97
2015-08-17,265914.0,19.45,20.4,19.99,19.165
2015-08-18,110047.0,19.87,20.0095,19.66,19.1801
2015-08-19,162911.0,19.81,20.32,19.75,19.52
2015-08-20,132704.0,19.54,20.03,19.75,19.54
2015-08-21,331972.0,18.32,19.74,19.29,18.28
2015-08-24,313979.0,16.72,18.01,17.36,16.0
2015-08-25,493805.0,15.91,17.74,17.4,15.7
2015-08-26,230287.0,16.52,16.71,16.37,16.22
2015-08-27,321943.0,16.62,17.31,16.86,16.415
2015-08-28,169368.0,17.57,17.63,16.72,16.59
2015-08-31,184184.0,17.89,17.97,17.7,16.97
2015-09-01,126512.0,17.55,18.045,17.62,17.26
2015-09-02,380037.0,17.1,17.97,17.92,16.98
2015-09-03,365455.0,16.61,17.64,17.07,16.22
2015-09-04,185257.0,17.03,17.29,16.31,16.31
2015-09-08,236913.0,17.27,17.81,17.47,16.95
2015-09-09,326073.0,17.09,18.27,17.29,16.9975
2015-09-10,582143.0,18.25,18.74,17.48,17.31
2015-09-11,498268.0,18.26,18.78,18.5,17.71
2015-09-14,405832.0,18.1,18.45,18.24,17.78
2015-09-15,238376.0,18.19,18.44,18.19,17.74
2015-09-16,283246.0,18.68,18.7,18.1,17.9901
2015-09-17,257544.0,18.7,18.83,18.56,18.25
2015-09-18,882220.0,17.82,18.95,18.33,17.53
2015-09-21,269708.0,17.31,18.64,17.97,17.19
2015-09-22,244493.0,17.27,17.31,17.15,16.82
