date,5. volume,4. close,2. high,1. open,3. low
2009-10-08,2964400.0,8.73,9.49,8.8,8.13
2009-10-09,289800.0,8.46,8.77,8.77,8.25
2009-10-12,70400.0,8.41,8.756,8.41,8.25
2009-10-13,388800.0,7.47,8.6,8.5,7.29
2009-10-14,240600.0,7.44,7.6819,7.5,7.16
2009-10-15,255800.0,7.03,7.45,7.45,6.81
2009-10-16,57300.0,6.88,7.23,7.23,6.88
2009-10-19,77100.0,7.0,7.2496,6.81,6.8
2009-10-20,59200.0,6.82,7.19,7.06,6.82
2009-10-21,46700.0,6.91,7.09,6.85,6.8
2009-10-22,16500.0,6.93,7.0499,7.04,6.91
2009-10-23,48500.0,6.58,7.03,7.03,6.56
2009-10-26,117100.0,6.45,6.9,6.52,6.42
2009-10-27,202700.0,6.01,6.44,6.44,5.79
2009-10-28,90900.0,5.71,6.0,6.0,5.63
2009-10-29,83900.0,5.58,5.96,5.96,5.46
2009-10-30,90700.0,5.4,5.75,5.75,5.27
2009-11-02,29000.0,5.79,5.79,5.38,5.3
2009-11-03,81900.0,6.51,6.62,5.82,5.82
2009-11-04,27700.0,6.5,6.62,6.62,6.3
2009-11-05,36200.0,6.7,6.73,6.61,6.5156
2009-11-06,44300.0,6.85,6.85,6.3276,6.3276
2009-11-09,25500.0,6.7,6.88,6.88,6.572
2009-11-10,12500.0,6.44,6.57,6.3495,6.3429
2009-11-11,40900.0,6.44,6.515,6.515,6.25
2009-11-12,48200.0,6.06,6.5,6.5,6.0
2009-11-13,37500.0,6.71,6.85,6.01,6.01
2009-11-16,58200.0,6.86,6.89,6.88,6.46
2009-11-17,150300.0,7.33,7.63,6.98,6.87
2009-11-18,169200.0,7.7,7.84,7.43,7.3
2009-11-19,62900.0,7.7,7.7,7.68,7.3
2009-11-20,96000.0,7.5,7.84,7.84,7.1522
2009-11-23,48400.0,7.05,7.6,7.6,6.94
2009-11-24,33700.0,7.1499,7.2491,7.06,6.84
2009-11-25,20500.0,7.12,7.24,7.21,6.54
2009-11-27,22000.0,6.63,7.09,6.87,6.3
2009-11-30,11100.0,6.81,6.91,6.6301,6.55
2009-12-01,44900.0,6.92,7.03,7.02,6.58
2009-12-02,17500.0,6.9301,7.0,6.75,6.75
2009-12-03,18800.0,7.01,7.09,7.0,6.91
2009-12-04,47900.0,7.07,7.14,7.1,7.0
2009-12-07,9100.0,7.16,7.19,7.19,7.09
2009-12-08,29500.0,7.01,7.19,7.16,6.91
2009-12-09,21100.0,7.005,7.1,6.9201,6.72
2009-12-10,23100.0,7.09,7.21,6.75,6.71
2009-12-11,31800.0,7.1,7.1,7.0,6.76
2009-12-14,38700.0,7.29,7.29,6.77,6.77
2009-12-15,69100.0,7.56,7.71,7.08,6.92
2009-12-16,62300.0,7.48,7.92,7.52,7.09
2009-12-17,46500.0,7.5,7.8,7.33,7.23
2009-12-18,602400.0,7.53,8.0266,7.5,7.26
2009-12-21,66500.0,7.7,7.82,7.53,7.5
2009-12-22,34600.0,7.52,7.75,7.71,7.52
2009-12-23,37900.0,7.23,7.59,7.59,7.1
2009-12-24,9600.0,7.2,7.5,7.27,7.2
2009-12-28,33000.0,7.22,7.5,7.26,7.12
2009-12-29,47100.0,7.32,7.5,7.26,7.21
2009-12-30,54900.0,7.33,7.47,7.45,7.0901
2009-12-31,53600.0,7.02,7.46,7.46,7.01
2010-01-04,12300.0,7.29,7.45,7.44,7.1
2010-01-05,24300.0,6.96,7.25,7.25,6.9
2010-01-06,26200.0,6.85,7.26,6.93,6.8
2010-01-07,38900.0,6.78,6.9728,6.9728,6.75
2010-01-08,42800.0,6.83,6.91,6.91,6.76
2010-01-11,13100.0,6.78,6.82,6.8,6.75
2010-01-12,43000.0,6.63,6.83,6.79,6.55
2010-01-13,10500.0,6.67,6.75,6.65,6.65
