date,5. volume,4. close,2. high,1. open,3. low
2016-08-03,16399.0,0.95,1.0,0.95,0.95
2016-08-04,3960.0,0.95,0.95,0.95,0.95
2016-08-05,500.0,1.15,1.15,1.15,1.15
2016-08-08,1000.0,1.1,1.1,1.1,1.1
2016-08-09,6040.0,0.94,1.15,1.15,0.9
2016-08-10,2168.0,0.9019,1.1,0.97,0.5
2016-08-11,906.0,1.09,1.09,0.95,0.9114
2016-08-12,500.0,1.09,1.09,1.09,1.09
2016-08-15,4621.0,1.16,1.25,1.1,1.1
2016-08-16,899.0,0.95,0.95,0.95,0.95
2016-08-17,12299.0,1.0,1.1,0.9,0.9
2016-08-18,5200.0,1.05,1.1,1.1,1.05
2016-08-19,0.0,1.05,1.05,1.05,1.05
2016-08-22,24628.0,1.2,1.3,1.0,1.0
2016-08-23,4600.0,1.25,1.3,1.3,1.25
2016-08-24,7800.0,1.2,1.25,1.25,1.15
2016-08-25,3200.0,1.2,1.2,1.2,1.05
2016-08-26,2162.0,1.1,1.13,1.13,1.0636
2016-08-29,2000.0,1.18,1.18,1.18,1.12
2016-08-30,0.0,1.18,1.18,1.18,1.18
2016-08-31,135.0,1.1,1.1,1.1,1.1
2016-09-01,200.0,1.05,1.05,1.05,1.05
2016-09-02,0.0,1.05,1.05,1.05,1.05
2016-09-06,100.0,0.95,0.95,0.95,0.95
2016-09-07,1000.0,1.2,1.2,1.2,1.01
2016-09-08,400.0,1.0204,1.0204,1.0,1.0
2016-09-09,100.0,0.99,0.99,0.99,0.99
2016-09-12,3800.0,1.085,1.09,1.09,0.9857
2016-09-13,1575.0,0.95,0.95,0.95,0.95
2016-09-14,100.0,0.95,0.95,0.95,0.95
2016-09-15,0.0,0.95,0.95,0.95,0.95
2016-09-16,400.0,0.89,0.89,0.85,0.85
2016-09-19,0.0,0.89,0.89,0.89,0.89
2016-09-20,0.0,0.89,0.89,0.89,0.89
2016-09-21,75.0,0.89,0.89,0.89,0.89
2016-09-22,0.0,0.89,0.89,0.89,0.89
2016-09-23,25019.0,1.12,1.12,1.0,1.0
2016-09-26,3175.0,1.1,1.1,1.1,1.1
2016-09-27,200.0,1.05,1.05,1.05,1.05
2016-09-28,500.0,1.0,1.0,1.0,1.0
2016-09-29,0.0,1.0,1.0,1.0,1.0
2016-09-30,100.0,1.0,1.0,1.0,1.0
2016-10-03,1000.0,1.1,1.1,1.09,1.09
2016-10-04,0.0,1.1,1.1,1.1,1.1
2016-10-05,0.0,1.1,1.1,1.1,1.1
2016-10-06,0.0,1.1,1.1,1.1,1.1
2016-10-07,0.0,1.1,1.1,1.1,1.1
2016-10-10,200.0,0.95,0.98,0.98,0.95
2016-10-11,0.0,0.95,0.95,0.95,0.95
2016-10-12,0.0,0.95,0.95,0.95,0.95
2016-10-13,0.0,0.95,0.95,0.95,0.95
2016-10-14,100.0,0.92,0.92,0.92,0.92
2016-10-17,0.0,0.92,0.92,0.92,0.92
2016-10-18,0.0,0.92,0.92,0.92,0.92
2016-10-19,0.0,0.92,0.92,0.92,0.92
2016-10-20,0.0,0.92,0.92,0.92,0.92
2016-10-21,0.0,0.92,0.92,0.92,0.92
2016-10-24,860.0,0.9,0.9,0.82,0.7
2016-10-25,602.0,0.8,0.8,0.8,0.8
2016-10-26,0.0,0.8,0.8,0.8,0.8
2016-10-27,0.0,0.8,0.8,0.8,0.8
2016-10-28,1200.0,0.8,0.8,0.76,0.5
2016-10-31,0.0,0.8,0.8,0.8,0.8
2016-11-01,0.0,0.8,0.8,0.8,0.8
2016-11-02,0.0,0.8,0.8,0.8,0.8
2016-11-03,0.0,0.8,0.8,0.8,0.8
2016-11-04,304.0,0.68,0.68,0.68,0.68
2016-11-07,200.0,0.72,0.73,0.73,0.72
2016-11-08,20000.0,0.75,0.75,0.75,0.75
2016-11-09,1600.0,0.75,0.75,0.5,0.5
