date,5. volume,4. close,2. high,1. open,3. low
2018-03-14,1454258.0,10.02,10.05,10.03,10.01
2018-03-15,147409.0,10.02,10.04,10.02,10.02
2018-03-16,55942.0,10.03,10.04,10.03,10.0262
2018-03-19,41896.0,10.02,10.04,10.02,10.02
2018-03-20,26580.0,10.025,10.03,10.0286,10.025
2018-03-21,80190.0,10.03,10.0325,10.02,10.02
2018-03-22,150261.0,10.0399,10.055,10.03,10.03
2018-03-23,39754.0,10.08,10.1,10.04,10.04
2018-03-26,241122.0,10.1,10.14,10.0999,10.0693
2018-03-27,239904.0,10.1,10.1,10.08,10.05
2018-03-28,47750.0,10.07,10.1,10.05,10.01
2018-03-29,16914.0,10.0549,10.08,10.06,10.03
2018-04-02,210.0,10.08,10.08,10.01,10.01
2018-04-03,474279.0,10.03,10.08,10.01,10.01
2018-04-04,200.0,10.08,10.1,10.1,10.08
2018-04-05,61500.0,10.05,10.07,10.04,10.01
2018-04-06,29660.0,10.04,10.05,10.03,10.02
2018-04-09,13800.0,10.07,10.08,10.05,10.05
2018-04-10,62210.0,10.07,10.07,10.02,10.02
2018-04-11,25760.0,10.05,10.1,10.03,10.03
2018-04-12,15200.0,10.08,10.1,10.1,10.07
2018-04-13,38929.0,10.05,10.07,10.02,10.02
2018-04-16,10695.0,10.06,10.1,9.11,9.11
2018-04-17,200.0,10.06,10.06,10.06,10.06
2018-04-18,200.0,10.03,10.07,10.07,10.03
2018-04-19,2000.0,10.08,10.08,10.08,10.08
2018-04-20,0.0,10.0799,10.0799,10.0799,10.0799
2018-04-23,4800.0,10.06,10.06,10.05,10.05
2018-04-24,0.0,10.06,10.06,10.06,10.06
2018-04-25,5700.0,10.05,10.07,10.07,10.05
2018-04-26,0.0,10.05,10.05,10.05,10.05
2018-04-27,0.0,10.05,10.05,10.05,10.05
2018-04-30,200.0,10.07,10.07,10.07,10.07
2018-05-01,0.0,10.07,10.07,10.07,10.07
2018-05-02,1500.0,10.05,10.05,10.05,10.05
2018-05-03,2100.0,10.05,10.05,10.04,10.04
2018-05-04,0.0,10.05,10.05,10.05,10.05
2018-05-07,85950.0,10.02,10.05,10.02,10.02
2018-05-08,94836.0,10.02,10.02,10.02,10.0
2018-05-09,8800.0,10.02,10.0301,10.03,10.02
2018-05-10,0.0,10.02,10.02,10.02,10.02
2018-05-11,24226.0,10.02,10.03,10.03,10.02
2018-05-14,17680.0,10.03,10.03,10.03,10.03
2018-05-15,6100.0,10.01,10.01,10.01,10.01
2018-05-16,0.0,10.01,10.01,10.01,10.01
2018-05-17,400.0,10.04,10.04,10.04,10.04
2018-05-18,0.0,10.04,10.04,10.04,10.04
2018-05-21,338100.0,10.08,10.08,10.05,10.05
2018-05-22,500.0,10.08,10.08,10.08,10.08
2018-05-23,0.0,10.08,10.08,10.08,10.08
2018-05-24,0.0,10.08,10.08,10.08,10.08
2018-05-25,40400.0,10.1,10.1,10.07,10.07
2018-05-29,0.0,10.1,10.1,10.1,10.1
2018-05-30,1000.0,10.1,10.1,10.1,10.1
2018-05-31,100200.0,10.09,10.09,10.03,10.03
2018-06-01,0.0,10.09,10.09,10.09,10.09
2018-06-04,0.0,10.09,10.09,10.09,10.09
2018-06-05,83600.0,10.07,10.15,10.01,10.01
2018-06-06,2000.0,10.05,10.06,10.06,10.05
2018-06-07,100.0,10.07,10.07,10.07,10.07
2018-06-08,1.0,10.07,10.07,10.07,10.07
