date,5. volume,4. close,2. high,1. open,3. low
2018-03-26,139100.0,0.4,0.55,0.55,0.4
2018-03-27,729250.0,0.39,0.42,0.4,0.35
2018-03-28,17600.0,0.4,0.4199,0.4199,0.39
2018-03-29,11800.0,0.38,0.4,0.4,0.37
2018-04-02,59700.0,0.385,0.39,0.39,0.385
2018-04-03,55850.0,0.38,0.39,0.39,0.37
2018-04-04,22400.0,0.39,0.39,0.35,0.35
2018-04-05,14200.0,0.3799,0.3899,0.3899,0.375
2018-04-06,48700.0,0.361,0.3899,0.3899,0.33
2018-04-09,200.0,0.3899,0.3899,0.37,0.37
2018-04-10,400000.0,0.38,0.39,0.39,0.38
2018-04-11,199800.0,0.38,0.38,0.38,0.38
2018-04-16,1550.0,0.39,0.39,0.39,0.3899
2018-04-17,603012.0,0.39,0.39,0.3899,0.36
2018-04-18,191000.0,0.39,0.39,0.39,0.39
2018-04-20,100.0,0.38,0.38,0.38,0.38
2018-04-23,1300.0,0.38,0.38,0.38,0.38
2018-04-27,10200.0,0.38,0.3899,0.38,0.38
2018-04-30,405300.0,0.3609,0.3799,0.37,0.3609
2018-05-01,31800.0,0.36,0.3899,0.3899,0.36
2018-05-02,300.0,0.3799,0.3899,0.3899,0.3799
2018-05-03,100.0,0.3899,0.3899,0.3899,0.3899
2018-05-07,27000.0,0.39,0.39,0.37,0.3403
2018-05-08,300.0,0.3899,0.3899,0.3899,0.38
2018-05-09,100.0,0.3899,0.3899,0.3899,0.3899
2018-05-11,5500.0,0.36,0.36,0.36,0.36
2018-05-14,3900.0,0.39,0.39,0.38,0.3799
2018-05-15,100.0,0.39,0.39,0.39,0.39
2018-06-07,85500.0,0.36,0.36,0.36,0.36
