date,5. volume,4. close,2. high,1. open,3. low
2016-06-09,4764.0,25.36,26.0,26.0,25.33
2016-06-10,6476.0,24.98,37.52,37.52,24.92
2016-06-13,10093.0,24.6,25.06,25.06,24.6
2016-06-14,7000.0,24.29,24.49,24.44,24.22
2016-06-15,513.0,24.0901,24.2291,24.2291,24.0901
2016-06-16,5579.0,24.21,24.21,23.88,23.82
2016-06-17,3351.0,24.27,24.29,24.29,24.2199
2016-06-20,304.0,24.5074,24.58,24.58,24.5074
2016-06-21,1598.0,24.58,24.58,24.4232,24.42
2016-06-22,432.0,24.39,24.418,24.418,24.39
2016-06-23,800.0,24.63,24.71,24.6,24.6
2016-06-24,449.0,23.928,24.06,24.06,23.928
2016-06-27,1239.0,23.97,23.97,23.86,23.86
2016-06-28,1649.0,24.0,25.05,25.05,23.968
2016-06-29,358.0,24.3035,24.3035,24.3035,24.3035
2016-06-30,3352.0,24.41,24.51,24.3081,24.3081
2016-07-01,779.0,24.9424,24.9424,24.67,24.67
2016-07-05,190.0,24.9424,24.9424,24.9424,24.9424
2016-07-06,1990.0,25.02,25.02,24.78,24.78
2016-07-07,6300.0,25.47,25.47,25.35,25.06
2016-07-08,526.0,25.8,25.8,25.68,25.68
2016-07-11,1008.0,25.9,25.9,25.8276,25.777
2016-07-12,1436.0,25.8516,25.9,25.9,25.812
2016-07-13,3547.0,25.76,26.15,26.15,25.72
2016-07-14,3538.0,26.016,26.11,25.91,25.87
2016-07-15,869.0,26.33,26.33,25.9288,25.83
2016-07-18,118.0,25.8112,25.8112,25.8112,25.8112
2016-07-19,613.0,25.75,26.36,26.36,25.75
2016-07-20,1500.0,25.7225,26.14,26.14,25.7225
2016-07-21,1019.0,25.77,25.79,25.7601,25.7508
2016-07-22,68.0,25.77,25.77,25.77,25.77
2016-07-25,1098.0,26.06,26.06,26.01,25.93
2016-07-26,13593.0,26.16,26.29,26.12,26.1
2016-07-27,930.0,26.09,27.48,27.48,25.901
2016-07-28,233.0,26.07,26.07,26.07,26.07
2016-07-29,84.0,26.07,26.07,26.07,26.07
2016-08-01,350.0,25.6143,26.07,26.07,25.6143
2016-08-02,1999.0,25.61,25.63,25.6,25.6
2016-08-03,321.0,25.65,25.65,25.6,25.6
2016-08-04,2743.0,25.76,25.76,25.76,25.6209
2016-08-05,225.0,25.77,25.77,25.77,25.77
2016-08-08,4260.0,25.75,25.78,25.78,25.6735
2016-08-09,2988.0,25.94,26.98,26.98,25.94
2016-08-10,1030.0,25.86,25.9,25.8165,25.8165
2016-08-11,484.0,25.99,25.99,25.9249,25.9249
2016-08-12,0.0,25.99,25.99,25.99,25.99
2016-08-15,148.0,26.2999,26.2999,26.2999,26.2999
2016-08-16,816.0,25.87,25.95,25.95,25.87
2016-08-17,194.0,26.48,26.48,26.48,26.48
2016-08-18,280.0,25.54,25.54,25.54,25.54
2016-08-19,1185.0,25.59,25.59,25.51,25.51
2016-08-22,798.0,25.73,25.73,25.63,25.63
2016-08-23,798.0,25.85,26.1,26.02,25.84
2016-08-24,1309.0,25.92,25.93,25.92,25.67
2016-08-25,100.0,25.49,25.49,25.49,25.49
2016-08-26,446.0,25.35,25.46,25.46,25.35
