date,5. volume,4. close,2. high,1. open,3. low
2016-01-04,6826.0,19.02,19.02,18.94,18.64
2016-01-05,371.0,18.78,19.11,19.11,18.78
2016-01-06,362.0,18.35,18.35,18.22,18.22
2016-01-07,100.0,17.78,17.78,17.78,17.78
2016-01-08,2971.0,17.821,17.85,17.7612,17.72
2016-01-11,1264.0,16.8085,17.44,17.32,16.791
2016-01-12,16730.0,16.7668,16.7668,16.7307,16.7307
2016-01-13,1614.0,17.2364,18.32,18.14,17.2364
2016-01-14,10275.0,17.9,18.05,17.13,17.13
2016-01-15,1307.0,17.4179,17.4179,17.27,17.14
2016-01-19,328.0,16.27,16.85,16.85,16.27
2016-01-20,4980.0,16.27,16.27,16.1351,15.54
2016-01-21,4813.0,17.0,17.1057,16.6561,16.6561
2016-01-22,1670.0,17.96,18.26,18.0,17.69
2016-01-25,7815.0,17.0,17.13,16.821,16.68
2016-01-26,988.0,17.25,17.25,17.14,17.14
2016-01-27,1420.0,16.721,17.37,17.37,16.721
2016-01-28,785.0,17.39,17.39,17.31,17.06
2016-01-29,800.0,17.22,17.51,17.51,17.22
2016-02-01,1278.0,17.2,17.34,17.34,17.2
2016-02-02,644.0,16.01,16.83,16.83,16.01
2016-02-03,1100.0,16.71,16.71,16.46,16.29
2016-02-04,400.0,16.81,17.12,17.12,16.81
2016-02-05,437.0,16.0468,16.55,16.45,16.0468
2016-02-08,1130.0,14.47,15.82,15.82,14.47
2016-02-09,2304.0,14.51,14.54,14.06,14.02
2016-02-10,412.0,14.65,14.68,14.41,14.36
2016-02-11,1016.0,14.409,14.409,14.25,14.0
2016-02-12,1617.0,14.9228,14.9725,14.748,14.748
2016-02-16,855.0,15.2,15.2,15.17,15.01
2016-02-17,2200.0,16.35,16.36,16.25,16.25
2016-02-18,580.0,16.35,16.35,16.27,16.09
2016-02-19,4207.0,16.01,16.3,16.3,15.6
2016-02-22,1045.0,16.53,16.53,16.48,16.4041
2016-02-23,5076.0,15.85,16.77,16.53,15.85
2016-02-24,2930.0,15.66,15.66,15.4,15.12
2016-02-25,5536.0,16.19,16.22,15.93,15.76
2016-02-26,1055.0,16.35,16.51,16.42,16.23
2016-02-29,5030.0,16.35,16.43,16.32,16.21
2016-03-01,4760.0,17.51,17.53,16.75,16.46
2016-03-02,27669.0,18.01,18.26,17.46,17.11
2016-03-03,29381.0,18.47,18.54,18.09,18.09
2016-03-04,6658.0,18.41,18.7,18.53,18.41
2016-03-07,9337.0,18.62,18.73,18.26,18.26
2016-03-08,6902.0,18.33,18.62,18.26,18.0401
2016-03-09,4619.0,18.97,18.97,18.48,18.367
2016-03-10,1744.0,18.3829,19.02,19.02,18.3
2016-03-11,2899.0,19.35,19.43,18.83,18.81
2016-03-14,4421.0,19.1,19.31,19.31,18.96
2016-03-15,1102.0,18.89,18.93,18.83,18.58
2016-03-16,1907.0,19.4,19.41,18.96,18.96
2016-03-17,13040.0,19.85,19.92,19.65,19.65
2016-03-18,5409.0,19.78,19.93,19.83,19.58
2016-03-21,937.0,19.47,19.64,19.5601,19.47
2016-03-22,2850.0,19.27,19.29,19.16,19.01
2016-03-23,7216.0,18.86,19.165,19.13,18.84
2016-03-24,4094.0,18.4,18.83,18.67,18.39
2016-03-28,3945.0,18.38,18.52,18.49,18.18
2016-03-29,12743.0,19.62,19.92,18.24,18.24
2016-03-30,22540.0,19.82,20.58,19.8,19.41
2016-03-31,14375.0,19.94,20.13,19.75,19.68
2016-04-01,8526.0,20.32,20.33,19.64,19.59
2016-04-04,24747.0,20.19,20.45,20.33,19.81
2016-04-05,4975.0,20.17,20.21,19.97,19.74
2016-04-06,11423.0,20.96,20.96,20.17,20.09
2016-04-07,6186.0,20.18,20.67,20.67,19.64
2016-04-08,7110.0,20.4,20.57,20.57,20.22
2016-04-11,8515.0,20.42,20.6,20.42,20.27
2016-04-12,7049.0,20.32,20.7099,20.55,20.203
2016-04-13,8565.0,20.14,20.42,20.42,19.92
2016-04-14,8989.0,20.19,20.28,20.25,19.975
2016-04-15,3491.0,20.24,20.46,19.84,19.82
2016-04-18,4064.0,20.62,20.74,20.22,20.22
2016-04-19,6073.0,20.3,20.82,20.82,20.28
2016-04-20,4876.0,20.36,20.55,20.26,20.12
2016-04-21,5611.0,19.56,20.3,20.3,19.53
2016-04-22,3774.0,19.3,19.88,19.68,19.3
2016-04-25,6971.0,18.69,19.295,19.26,18.69
2016-04-26,5964.0,19.05,19.32,18.86,18.86
2016-04-27,8045.0,18.84,19.2636,19.2636,18.76
2016-04-28,4799.0,18.53,19.03,18.64,18.53
2016-04-29,8026.0,20.0,20.81,19.76,19.69
2016-05-02,8042.0,20.78,20.87,20.18,20.08
