date,5. volume,4. close,2. high,1. open,3. low
2001-01-02,59100.0,5.0,5.75,5.234,5.0
2001-01-03,63000.0,5.562,5.625,5.187,4.843
2001-01-04,27400.0,6.156,6.312,6.015,6.0
2001-01-05,23300.0,6.0,6.531,6.468,6.0
2001-01-08,19500.0,6.125,6.125,6.031,5.75
2001-01-09,31300.0,6.75,6.75,6.125,6.125
2001-01-10,42900.0,7.875,7.875,6.906,6.75
2001-01-11,18400.0,7.062,7.859,7.843,6.781
2001-01-12,22200.0,7.625,7.75,7.5,7.5
2001-01-16,18900.0,7.625,7.75,7.75,7.0
2001-01-17,11500.0,7.5,7.75,7.75,7.25
2001-01-18,15500.0,7.062,7.187,6.75,6.625
2001-01-19,0.0,7.062,7.062,7.062,7.062
2001-01-22,16100.0,7.437,7.437,7.0,6.843
2001-01-23,82100.0,8.375,8.375,7.578,7.5
2001-01-24,53900.0,8.75,8.875,8.5,8.5
2001-01-25,39400.0,8.25,8.859,8.859,8.25
2001-01-26,31600.0,7.562,8.359,8.359,7.25
2001-01-29,11100.0,7.906,7.906,7.5,7.5
2001-01-30,12400.0,7.75,8.0,8.0,7.5
2001-01-31,19900.0,7.75,7.875,7.75,7.687
2001-02-01,14700.0,7.187,7.984,7.984,7.125
2001-02-02,12800.0,7.375,7.75,7.625,7.375
2001-02-05,23800.0,6.812,7.5,7.437,6.75
2001-02-06,6900.0,6.937,7.187,7.187,6.75
2001-02-07,12300.0,6.625,7.031,7.0,6.531
2001-02-08,11700.0,6.75,7.031,6.531,6.531
2001-02-09,17500.0,6.187,6.531,6.531,6.187
2001-02-12,48500.0,6.0,6.75,6.218,5.75
2001-02-13,86200.0,5.062,7.375,6.125,5.062
2001-02-14,52800.0,5.625,5.687,5.593,5.281
2001-02-15,24900.0,6.5,6.625,5.703,5.562
2001-02-16,19000.0,5.75,6.75,6.5,5.75
2001-02-20,30600.0,6.562,6.625,6.265,6.187
2001-02-21,24800.0,6.531,6.812,6.609,6.5
2001-02-22,22900.0,6.546,6.812,6.75,6.546
2001-02-23,19400.0,6.875,6.875,6.531,6.312
2001-02-26,12800.0,6.375,6.843,6.625,6.25
2001-02-27,15300.0,6.625,6.625,6.5,6.375
2001-02-28,5600.0,6.5,6.625,6.562,6.5
2001-03-01,8400.0,6.375,6.531,6.531,6.25
2001-03-02,10900.0,6.375,6.5,6.5,6.25
2001-03-05,18200.0,6.25,6.468,6.25,6.25
2001-03-06,10900.0,6.312,6.484,6.25,6.25
2001-03-07,26400.0,6.875,6.875,6.484,6.313
2001-03-08,34000.0,6.531,7.375,7.188,6.5
2001-03-09,9200.0,6.094,6.563,6.531,6.063
2001-03-12,16600.0,5.813,6.156,6.031,5.813
2001-03-13,23300.0,6.0,6.0,6.0,5.5
2001-03-14,9100.0,5.938,6.0,5.75,5.625
2001-03-15,9900.0,5.656,5.938,5.875,5.563
2001-03-16,30100.0,5.188,5.875,5.656,5.188
2001-03-19,13000.0,5.25,5.5,5.063,5.063
2001-03-20,4800.0,5.031,5.25,5.234,5.031
2001-03-21,27700.0,5.0,5.25,5.031,5.0
2001-03-22,17300.0,5.063,5.688,5.0,5.0
2001-03-23,21100.0,5.219,5.453,5.266,5.063
2001-03-26,18700.0,5.25,5.313,5.313,5.188
2001-03-27,19200.0,5.625,5.75,5.625,5.344
2001-03-28,7800.0,5.188,5.531,5.438,5.125
2001-03-29,15900.0,5.188,5.438,5.438,5.156
2001-03-30,53900.0,5.438,5.438,5.188,5.0
2001-04-02,29100.0,5.0,5.375,5.328,4.844
