date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,14800.0,19.62,19.81,19.81,19.56
2000-01-04,5900.0,19.56,19.56,19.5,19.5
2000-01-05,23400.0,19.69,20.0,20.0,19.56
2000-01-06,11600.0,19.5,19.69,19.62,19.5
2000-01-07,3300.0,19.62,19.62,19.62,19.5
2000-01-10,13000.0,20.0,20.0,19.88,19.75
2000-01-11,12700.0,19.56,20.0,20.0,19.31
2000-01-12,19400.0,19.12,19.5,19.5,19.12
2000-01-13,11300.0,19.69,19.75,19.38,19.38
2000-01-14,2900.0,19.75,19.75,19.75,19.62
2000-01-18,19500.0,19.62,19.75,19.75,19.62
2000-01-19,13400.0,19.12,19.12,18.75,18.75
2000-01-20,9000.0,19.0,19.06,19.0,18.69
2000-01-21,12200.0,18.38,19.25,18.88,18.25
2000-01-24,51600.0,17.44,18.38,18.38,17.25
2000-01-25,10300.0,17.81,17.81,17.62,17.56
2000-01-26,23500.0,18.31,18.44,17.81,17.81
2000-01-27,17900.0,18.44,18.56,18.44,18.19
2000-01-28,6200.0,18.0,18.5,18.5,18.0
2000-01-31,11700.0,17.25,18.12,18.12,17.12
2000-02-01,22100.0,18.75,18.81,17.25,17.19
2000-02-02,10900.0,18.81,18.88,18.75,18.75
2000-02-03,6600.0,19.0,19.0,18.69,18.69
2000-02-04,7100.0,19.31,19.38,19.06,19.0
2000-02-07,7700.0,18.5,19.44,19.38,18.5
2000-02-08,11400.0,17.81,18.56,18.56,17.81
2000-02-09,7800.0,17.62,17.81,17.81,17.5
2000-02-10,10000.0,16.75,17.75,17.75,16.75
2000-02-11,17400.0,16.5,16.69,16.56,16.31
2000-02-14,4800.0,16.88,16.88,16.62,16.38
2000-02-15,52800.0,16.88,17.0,16.75,16.0
2000-02-16,4300.0,17.12,17.12,17.0,16.88
2000-02-17,8700.0,16.88,17.0,17.0,16.88
2000-02-18,4800.0,16.5,16.94,16.94,16.5
2000-02-22,26500.0,17.06,17.12,16.75,16.75
2000-02-23,5300.0,16.75,17.06,16.94,16.75
2000-02-24,4200.0,16.56,16.75,16.75,16.56
2000-02-25,61700.0,16.25,16.62,16.62,16.25
2000-02-28,7400.0,16.62,16.62,16.25,16.25
2000-02-29,13700.0,16.62,16.62,16.62,16.44
