date,5. volume,4. close,2. high,1. open,3. low
2013-10-16,52675193.0,22.0,23.02,22.75,21.99
2013-10-17,15700047.0,22.05,22.1,22.0,21.5
2013-10-18,3107186.0,21.9,22.21,22.0,21.8
2013-10-21,2516445.0,21.8,22.0,21.8,21.75
2013-10-22,1934240.0,21.51,21.98,21.8,21.5
2013-10-23,2395613.0,21.55,21.85,21.5,21.5
2013-10-24,2087822.0,22.55,22.69,21.85,21.64
2013-10-25,1780865.0,22.8,23.2,22.75,22.126
2013-10-28,1387098.0,22.34,22.8627,22.85,22.27
2013-10-29,2081926.0,22.35,22.67,22.5,22.06
2013-10-30,1692156.0,22.28,22.49,22.24,22.19
2013-10-31,1346667.0,22.29,22.55,22.4,22.2501
2013-11-01,1415121.0,22.69,22.82,22.5,22.26
2013-11-04,772416.0,23.16,23.19,22.9,22.55
2013-11-05,855475.0,22.91,23.3,23.0,22.64
2013-11-06,1366941.0,23.15,23.21,23.0,22.65
2013-11-07,1835956.0,23.25,23.38,23.18,22.7
2013-11-08,1959525.0,23.27,23.59,23.3,23.19
2013-11-11,1009249.0,22.92,23.85,23.1,22.76
2013-11-12,1021896.0,22.91,23.34,23.0,22.83
2013-11-13,483256.0,22.84,22.89,22.85,22.65
2013-11-14,1077941.0,22.85,23.03,22.97,22.7
2013-11-15,1110229.0,22.48,22.99,22.65,22.43
2013-11-18,1524164.0,22.53,22.79,22.44,22.25
2013-11-19,902368.0,22.22,22.44,22.44,22.031
2013-11-20,1441801.0,22.39,22.62,22.44,22.09
2013-11-21,994168.0,22.68,22.84,22.54,22.28
2013-11-22,985064.0,22.89,23.1,22.75,22.53
2013-11-25,2103566.0,22.94,23.264,23.2,22.71
2013-11-26,779911.0,22.92,23.1,23.1,22.87
2013-11-27,912175.0,23.32,23.32,22.95,22.95
2013-11-29,467313.0,23.5,23.579,23.36,23.25
2013-12-02,658670.0,23.51,23.61,23.51,23.38
2013-12-03,928256.0,23.65,23.87,23.5,23.4
2013-12-04,1176057.0,23.69,23.96,23.84,23.38
2013-12-05,1001959.0,23.94,24.07,23.95,23.52
2013-12-06,1099232.0,24.35,24.56,23.9,23.88
2013-12-09,1786795.0,24.4,24.95,24.47,24.21
2013-12-10,534667.0,24.36,24.47,24.45,23.76
2013-12-11,568540.0,24.37,24.5,24.5,23.97
2013-12-12,618065.0,24.36,24.41,24.29,24.11
2013-12-13,1013969.0,24.55,24.6075,24.26,24.2366
2013-12-16,488695.0,24.18,24.79,24.79,24.11
2013-12-17,569087.0,24.06,24.15,24.15,23.85
2013-12-18,1668295.0,24.57,24.6,24.31,23.86
2013-12-19,886473.0,24.83,24.89,24.6,24.42
2013-12-20,1192020.0,25.25,25.38,24.82,24.61
2013-12-23,875655.0,25.7,26.25,26.0,25.5
2013-12-24,353761.0,26.03,26.14,25.82,25.64
2013-12-26,543517.0,26.57,26.67,26.22,26.12
2013-12-27,625959.0,26.63,26.97,26.59,26.58
2013-12-30,315564.0,26.68,26.86,26.6,26.6
2013-12-31,473444.0,26.77,27.04,26.82,26.61
2014-01-02,957727.0,26.2,27.0,27.0,26.14
2014-01-03,501057.0,26.0,26.405,26.39,25.73
2014-01-06,673524.0,26.0,26.36,26.11,25.76
2014-01-07,507064.0,25.93,26.16,25.97,25.85
2014-01-08,404651.0,26.11,26.11,25.79,25.76
2014-01-09,777800.0,26.72,26.73,26.11,26.06
2014-01-10,1143643.0,26.6,27.04,26.75,26.49
2014-01-13,844959.0,26.57,26.79,26.69,26.25
2014-01-14,389535.0,26.55,26.67,26.54,26.11
2014-01-15,657406.0,26.32,26.54,26.54,26.26
2014-01-16,409523.0,26.3,26.44,26.34,26.115
2014-01-17,662709.0,26.03,26.53,26.28,25.98
